职业ID,职业名称,技能页ID,技能页名称,技能ID,技能名称
26,恐懼騎士,228,長拳套技能,2402602,絕望 [精通]
26,恐懼騎士,228,長拳套技能,1002125,撞擊力 [精通]
26,恐懼騎士,228,長拳套技能,2402601,電流潰堤
26,恐懼騎士,228,長拳套技能,1001125,電流潰堤 [精通]
26,恐懼騎士,228,長拳套技能,2402608,電流潰堤 [盾牌]
26,恐懼騎士,228,長拳套技能,1003025,死亡之手
26,恐懼騎士,228,長拳套技能,1001025,耗盡元氣
26,恐懼騎士,228,長拳套技能,2402607,耗盡元氣 [精通]
26,恐懼騎士,228,長拳套技能,1011025,混沌領域
26,恐懼騎士,228,長拳套技能,2402605,混沌領域 [精通]
26,恐懼騎士,228,長拳套技能,2402606,混沌領域 [覺醒]
26,恐懼騎士,228,長拳套技能,3802601,【 物理威力 】
26,恐懼騎士,228,長拳套技能,3802602,【 騎士的吶喊 】
26,恐懼騎士,228,長拳套技能,3802603,【 爆擊 】
26,恐懼騎士,228,長拳套技能,3802604,【 覺醒 】
26,恐懼騎士,228,長拳套技能,3802605,【 祈福武器 】
26,恐懼騎士,228,長拳套技能,3802606,【 超越之力 】
26,恐懼騎士,228,長拳套技能,3802607,【 傳奇 】
26,恐懼騎士,228,長拳套技能,3812601,【 隱藏能力 】
26,恐懼騎士,228,長拳套技能,3812602,【 極限力量 】
26,恐懼騎士,228,長拳套技能,3812603,【 必死攻擊 】
26,恐懼騎士,228,長拳套技能,3812604,【 覺醒 II 】
26,恐懼騎士,228,長拳套技能,3812605,【 專業技巧 】
26,恐懼騎士,228,長拳套技能,3812606,【 生存本能 】
26,恐懼騎士,228,長拳套技能,3812607,【 傳奇 II 】
27,鬥神,229,神擊手技能,1003026,神擊移動-前
27,鬥神,229,神擊手技能,2402709,神擊移動 [精通]
27,鬥神,229,神擊手技能,1004026,神擊移動 - 後
27,鬥神,229,神擊手技能,2402701,神擊移動 [勇氣]
27,鬥神,229,神擊手技能,2402703,神擊移動 [神速]
27,鬥神,229,神擊手技能,2402702,[近身短打]
27,鬥神,229,神擊手技能,2402704,[迅風快擊]
27,鬥神,229,神擊手技能,2402706,[近身短打] 左右直拳
27,鬥神,229,神擊手技能,1000026,[近身短打] 鉤拳
27,鬥神,229,神擊手技能,2402710,猛烈 [精通]
27,鬥神,229,神擊手技能,1010026,神擊計謀-猛烈
27,鬥神,229,神擊手技能,1001026,[近身短打] 上鉤拳
27,鬥神,229,神擊手技能,1002026,[迅風快擊] 波擊
27,鬥神,229,神擊手技能,1005026,[近身短打] 組合拳
27,鬥神,229,神擊手技能,2402707,團結之力 [精通]
27,鬥神,229,神擊手技能,2402711,團結之力 [覺醒]
27,鬥神,229,神擊手技能,2402705,[迅風快擊] 氣功
27,鬥神,229,神擊手技能,2402708,氣功 [精通]
27,鬥神,229,神擊手技能,3802701,【 物理威力 】
27,鬥神,229,神擊手技能,3802702,【 騎士的吶喊 】
27,鬥神,229,神擊手技能,3802703,【 祈福武器 】
27,鬥神,229,神擊手技能,3802704,【覺醒】
27,鬥神,229,神擊手技能,3802705,【 超越之力 】
27,鬥神,229,神擊手技能,3802706,【 爆擊 】
27,鬥神,229,神擊手技能,3802707,【 傳奇 】
27,鬥神,229,神擊手技能,3812701,【 隱藏能力 】
27,鬥神,229,神擊手技能,3812702,【 極限力量 】
27,鬥神,229,神擊手技能,3812703,【 必死攻擊 】
27,鬥神,229,神擊手技能,3812704,【 覺醒 II 】
27,鬥神,229,神擊手技能,3812705,【 專業技巧 】
27,鬥神,229,神擊手技能,3812706,【 生存本能 】
27,鬥神,229,神擊手技能,3812707,【 傳奇 II 】
28,幻術師,230,戰擊拐杖技能,1000027,魔王血統 [攻擊]
28,幻術師,230,戰擊拐杖技能,2402801,魔王血統 [回擊]
28,幻術師,230,戰擊拐杖技能,1008027,後空翻
28,幻術師,230,戰擊拐杖技能,2402803,魔王血統 [三斬]
28,幻術師,230,戰擊拐杖技能,1008028,後空翻 [開關]
28,幻術師,230,戰擊拐杖技能,2402802,魔王血統 [泣]
28,幻術師,230,戰擊拐杖技能,1003027,風車 [風]
28,幻術師,230,戰擊拐杖技能,1004027,祕密花園
28,幻術師,230,戰擊拐杖技能,1011027,魔王血統 [杖擊]
28,幻術師,230,戰擊拐杖技能,1010027,死神降臨
28,幻術師,230,戰擊拐杖技能,2402805,死神降臨 [精通]
28,幻術師,230,戰擊拐杖技能,3802801,【 雙重威力 】
28,幻術師,230,戰擊拐杖技能,3802802,【 超越之力 】
28,幻術師,230,戰擊拐杖技能,3802803,【 祈福武器 】
28,幻術師,230,戰擊拐杖技能,3802804,【 覺醒 】
28,幻術師,230,戰擊拐杖技能,3802805,【 神擊斬 】
28,幻術師,230,戰擊拐杖技能,3802806,【 爆擊 】
28,幻術師,230,戰擊拐杖技能,3802807,【 傳奇 】
28,幻術師,230,戰擊拐杖技能,3812801,【 隱藏能力 】
28,幻術師,230,戰擊拐杖技能,3812802,【 極限力量 】
28,幻術師,230,戰擊拐杖技能,3812803,【 必死攻擊 】
28,幻術師,230,戰擊拐杖技能,3812804,【 覺醒 II 】
28,幻術師,230,戰擊拐杖技能,3812805,【 專業技巧 】
28,幻術師,230,戰擊拐杖技能,3812806,【 生存本能 】
28,幻術師,230,戰擊拐杖技能,3812807,【 傳奇 II 】
29,音樂大師,231,音樂權杖技能,2402901,猛衝
29,音樂大師,231,音樂權杖技能,1006028,停止演奏
29,音樂大師,231,音樂權杖技能,1000028,優雅
29,音樂大師,231,音樂權杖技能,1010028,演奏名手
29,音樂大師,231,音樂權杖技能,1005028,漸次加強
29,音樂大師,231,音樂權杖技能,1002028,莊嚴
29,音樂大師,231,音樂權杖技能,1011028,[召喚] 氣勢磅礡
29,音樂大師,231,音樂權杖技能,1001028,轉慢
29,音樂大師,231,音樂權杖技能,2402902,[召喚] 小號
29,音樂大師,231,音樂權杖技能,1003028,急速
29,音樂大師,231,音樂權杖技能,2402903,[召喚] 打擊樂
29,音樂大師,231,音樂權杖技能,3802901,【 魔幻力量 】
29,音樂大師,231,音樂權杖技能,3802902,【 超越之力 】
29,音樂大師,231,音樂權杖技能,3802903,【 神擊斬 】
29,音樂大師,231,音樂權杖技能,3802904,【 覺醒 】
29,音樂大師,231,音樂權杖技能,3802905,【 祈福武器 】
29,音樂大師,231,音樂權杖技能,3802906,【 爆擊 】
29,音樂大師,231,音樂權杖技能,3802907,【 傳奇 】
29,音樂大師,231,音樂權杖技能,3812901,【 隱藏能力 】
29,音樂大師,231,音樂權杖技能,3812902,【 極限力量 】
29,音樂大師,231,音樂權杖技能,3812903,【 必死攻擊 】
29,音樂大師,231,音樂權杖技能,3812904,【 覺醒 II 】
29,音樂大師,231,音樂權杖技能,3812905,【 專業技巧 】
29,音樂大師,231,音樂權杖技能,3812906,【 生存本能 】
29,音樂大師,231,音樂權杖技能,3812907,【 傳奇 II 】
30,忍者大師,232,盜賊短劍技能,1005029,忍法_快
30,忍者大師,232,盜賊短劍技能,2403001,忍法_速
30,忍者大師,232,盜賊短劍技能,2403002,忍法_雷
30,忍者大師,232,盜賊短劍技能,1000029,忍法_絅
30,忍者大師,232,盜賊短劍技能,1002029,忍法_誣
30,忍者大師,232,盜賊短劍技能,2403005,忍法_亂
30,忍者大師,232,盜賊短劍技能,2403008,忍法_逃 [精通]
30,忍者大師,232,盜賊短劍技能,2403007,忍法_逃
30,忍者大師,232,盜賊短劍技能,2403003,忍法_幻
30,忍者大師,232,盜賊短劍技能,2403006,忍法_爆
30,忍者大師,232,盜賊短劍技能,1000129,忍法_爆 [精通]
30,忍者大師,232,盜賊短劍技能,2403004,忍法_攪
30,忍者大師,232,盜賊短劍技能,3803001,【 物理威力 】
30,忍者大師,232,盜賊短劍技能,3803002,【 爆擊 】
30,忍者大師,232,盜賊短劍技能,3803003,【 祈福武器 】
30,忍者大師,232,盜賊短劍技能,3803004,【 覺醒 】
30,忍者大師,232,盜賊短劍技能,3803005,【 超越之力 】
30,忍者大師,232,盜賊短劍技能,3803006,【 神擊斬 】
30,忍者大師,232,盜賊短劍技能,3803007,【 傳奇 】
30,忍者大師,232,盜賊短劍技能,3813001,【 隱藏能力 】
30,忍者大師,232,盜賊短劍技能,3813002,【 極限力量 】
30,忍者大師,232,盜賊短劍技能,3813003,【 必死攻擊 】
30,忍者大師,232,盜賊短劍技能,3813004,【 覺醒 II 】
30,忍者大師,232,盜賊短劍技能,3813005,【 專業技巧 】
30,忍者大師,232,盜賊短劍技能,3813006,【 生存本能 】
30,忍者大師,232,盜賊短劍技能,3813007,【 傳奇 II 】
31,審判者,233,神槍劍技能,1007030,滾動
31,審判者,233,神槍劍技能,1000030,狙擊
31,審判者,233,神槍劍技能,1001030,揮擊
31,審判者,233,神槍劍技能,1005030,狙擊者
31,審判者,233,神槍劍技能,1004030,合體能力
31,審判者,233,神槍劍技能,1002030,揮擊力
31,審判者,233,神槍劍技能,1011030,疾速連擊
31,審判者,233,神槍劍技能,1003030,J-31手榴彈
31,審判者,233,神槍劍技能,2403101,旋風斬
31,審判者,233,神槍劍技能,1010030,直搗天際
31,審判者,233,神槍劍技能,1006030,即決審判
31,審判者,233,神槍劍技能,3803101,【 物理威力 】
31,審判者,233,神槍劍技能,3803102,【 祈福武器 】
31,審判者,233,神槍劍技能,3803103,【 神擊斬 】
31,審判者,233,神槍劍技能,3803104,【 覺醒 】
31,審判者,233,神槍劍技能,3803105,【 超越之力 】
31,審判者,233,神槍劍技能,3803106,【 爆擊 】
31,審判者,233,神槍劍技能,3803107,【 傳奇 】
31,審判者,233,神槍劍技能,3813101,【 隱藏能力 】
31,審判者,233,神槍劍技能,3813102,【 極限力量 】
31,審判者,233,神槍劍技能,3813103,【 必死攻擊 】
31,審判者,233,神槍劍技能,3813104,【 覺醒 II 】
31,審判者,233,神槍劍技能,3813105,【 專業技巧 】
31,審判者,233,神槍劍技能,3813106,【 生存本能 】
31,審判者,233,神槍劍技能,3813107,【 傳奇 II 】
32,改造大師,234,禦守珠技能,1011031,DM-EMP
32,改造大師,234,禦守珠技能,1007031,DM-GR
32,改造大師,234,禦守珠技能,1005031,DM-DR
32,改造大師,234,禦守珠技能,2403201,DS-DR
32,改造大師,234,禦守珠技能,1004031,DS-SD
32,改造大師,234,禦守珠技能,2403202,DS-MT
32,改造大師,234,禦守珠技能,2403204,DS-CALL
32,改造大師,234,禦守珠技能,1010031,DS-SL
32,改造大師,234,禦守珠技能,2403203,DS-BG
32,改造大師,234,禦守珠技能,1012031,SL-UPGRADE
32,改造大師,234,禦守珠技能,2403206,猛衝
32,改造大師,234,禦守珠技能,3803201,【 機械力量 】
32,改造大師,234,禦守珠技能,3803202,【 超越之力 】
32,改造大師,234,禦守珠技能,3803203,【 神擊斬 】
32,改造大師,234,禦守珠技能,3803204,【 覺醒 】
32,改造大師,234,禦守珠技能,3803205,【 爆擊 】
32,改造大師,234,禦守珠技能,3803206,【 DS-EM 】
32,改造大師,234,禦守珠技能,3803207,【 傳奇 】
32,改造大師,234,禦守珠技能,3813201,【 隱藏能力 】
32,改造大師,234,禦守珠技能,3813202,【 極限力量 】
32,改造大師,234,禦守珠技能,3813203,【 必死攻擊 】
32,改造大師,234,禦守珠技能,3813204,【 覺醒 II 】
32,改造大師,234,禦守珠技能,3813205,【 專業技巧 】
32,改造大師,234,禦守珠技能,3813206,【 生存本能 】
32,改造大師,234,禦守珠技能,3813207,【 傳奇 II 】
36,天之王者,2214,雙手劍技能,8000301,熟練雙手劍[初級]
36,天之王者,2214,雙手劍技能,1107005,鳴牙閃
36,天之王者,2214,雙手劍技能,1109812,鳴牙閃[強化]
36,天之王者,2214,雙手劍技能,1107015,風捲連刃
36,天之王者,2214,雙手劍技能,8000302,熟練雙手劍[中級]
36,天之王者,2214,雙手劍技能,1109505,天霸淒皇斬
36,天之王者,2214,雙手劍技能,1109811,天霸淒皇斬[強化]
36,天之王者,2214,雙手劍技能,8000303,熟練雙手劍[高級]
36,天之王者,2214,雙手劍技能,1109305,迅速移動
36,天之王者,2214,雙手劍技能,1109405,奇斯多
36,天之王者,2214,雙手劍技能,1212005,狂風斬
36,天之王者,2214,雙手劍技能,8000304,熟練雙手劍[最高級]
36,天之王者,2214,雙手劍技能,1210005,昇天擊
36,天之王者,2214,雙手劍技能,1105005,飛翔斬
36,天之王者,2214,雙手劍技能,5000911,[特殊]天之王者_雙手劍
36,天之王者,2214,雙手劍技能,1109807,昇天擊[強化]
36,天之王者,2214,雙手劍技能,1109808,飛翔斬[防禦]
36,天之王者,2214,雙手劍技能,1109809,飛翔斬[攻擊]
36,天之王者,2214,雙手劍技能,1802401,[無限]絕路
36,天之王者,2214,雙手劍技能,1211005,天破俠亂
36,天之王者,2214,雙手劍技能,1109810,天破俠亂[強化]
36,天之王者,2214,雙手劍技能,3803601,【 物理威力 】
36,天之王者,2214,雙手劍技能,3803602,【 決鬥大師 】
36,天之王者,2214,雙手劍技能,3803603,【 鑲嵌武器 】
36,天之王者,2214,雙手劍技能,3803604,【 覺醒 】
36,天之王者,2214,雙手劍技能,3803605,【 必殺之力】
36,天之王者,2214,雙手劍技能,3803606,【戰士的後裔 】
36,天之王者,2214,雙手劍技能,3803607,【 傳奇 】
36,天之王者,2214,雙手劍技能,3813601,【 隱藏能力 】
36,天之王者,2214,雙手劍技能,3813602,【 極限力量 】
36,天之王者,2214,雙手劍技能,3813603,【 必死攻擊 】
36,天之王者,2214,雙手劍技能,3813604,【 覺醒 II 】
36,天之王者,2214,雙手劍技能,3813605,【 墮落的力量 】
36,天之王者,2214,雙手劍技能,3813606,【 生存本能 】
36,天之王者,2214,雙手劍技能,3813607,【 傳奇 II 】
36,天之王者,2216,矛槍技能,8000601,熟練槍[初級]
36,天之王者,2216,矛槍技能,1104017,疾風
36,天之王者,2216,矛槍技能,1105017,旋槍陣
36,天之王者,2216,矛槍技能,1212008,猛衝
36,天之王者,2216,矛槍技能,8000602,熟練槍[中級]
36,天之王者,2216,矛槍技能,1106007,連訣槍
36,天之王者,2216,矛槍技能,1105007,絕影刺
36,天之王者,2216,矛槍技能,8000603,熟練槍[高級]
36,天之王者,2216,矛槍技能,1107027,絕氣槍
36,天之王者,2216,矛槍技能,1107017,龍槍連閃
36,天之王者,2216,矛槍技能,1211007,追進擊
36,天之王者,2216,矛槍技能,8000604,熟練槍[最高級]
36,天之王者,2216,矛槍技能,1109107,龍槍(風)
36,天之王者,2216,矛槍技能,1109207,龍槍(雷)
36,天之王者,2216,矛槍技能,5000921,[特殊]天之王者_矛槍
36,天之王者,2216,矛槍技能,1210007,威力穿刺
36,天之王者,2216,矛槍技能,1212007,閃電長矛
36,天之王者,2216,矛槍技能,1802402,[無限]百花撩亂
36,天之王者,2216,矛槍技能,3803601,【 物理威力 】
36,天之王者,2216,矛槍技能,3803602,【 決鬥大師 】
36,天之王者,2216,矛槍技能,3803603,【 鑲嵌武器 】
36,天之王者,2216,矛槍技能,3803604,【 覺醒 】
36,天之王者,2216,矛槍技能,3803605,【 必殺之力】
36,天之王者,2216,矛槍技能,3803606,【戰士的後裔 】
36,天之王者,2216,矛槍技能,3803607,【 傳奇 】
36,天之王者,2216,矛槍技能,3813601,【 隱藏能力 】
36,天之王者,2216,矛槍技能,3813602,【 極限力量 】
36,天之王者,2216,矛槍技能,3813603,【 必死攻擊 】
36,天之王者,2216,矛槍技能,3813604,【 覺醒 II 】
36,天之王者,2216,矛槍技能,3813605,【 墮落的力量 】
36,天之王者,2216,矛槍技能,3813606,【 生存本能 】
36,天之王者,2216,矛槍技能,3813607,【 傳奇 II 】
37,幻武劍豪,2206,雙刀技能,3000501,熟練雙刀[初級]
37,幻武劍豪,2206,雙刀技能,3000502,熟練雙刀[中級]
37,幻武劍豪,2206,雙刀技能,3000503,熟練雙刀[高級]
37,幻武劍豪,2206,雙刀技能,3000508,熟練雙刀[最高級]
37,幻武劍豪,2206,雙刀技能,5000912,[特殊]幻武劍豪
37,幻武劍豪,2206,雙刀技能,1802403,[無限]偏執狂
37,幻武劍豪,2206,雙刀技能,3210502,備戰姿態
37,幻武劍豪,2206,雙刀技能,3210505,忘卻
37,幻武劍豪,2206,雙刀技能,3210506,不死
37,幻武劍豪,2206,雙刀技能,1210205,昇天亂舞[秘笈]
37,幻武劍豪,2206,雙刀技能,1210101,昇天亂舞
37,幻武劍豪,2206,雙刀技能,1210102,無雙亂舞
37,幻武劍豪,2206,雙刀技能,1210207,無雙亂舞[秘笈]
37,幻武劍豪,2206,雙刀技能,1210905,後騰空翻
37,幻武劍豪,2206,雙刀技能,1210103,聚精會神
37,幻武劍豪,2206,雙刀技能,1210021,嗜魂刃
37,幻武劍豪,2206,雙刀技能,1109021,十字劍
37,幻武劍豪,2206,雙刀技能,1210104,逃遁
37,幻武劍豪,2206,雙刀技能,3803701,【 物理威力 】
37,幻武劍豪,2206,雙刀技能,3803702,【 戰士的吶喊 】
37,幻武劍豪,2206,雙刀技能,3803703,【 神擊斬 】
37,幻武劍豪,2206,雙刀技能,3803704,【 覺醒 】
37,幻武劍豪,2206,雙刀技能,3803705,【 祈福武器 】
37,幻武劍豪,2206,雙刀技能,3803706,【 爆擊 】
37,幻武劍豪,2206,雙刀技能,3803707,【 傳奇 】
37,幻武劍豪,2206,雙刀技能,3813701,【 隱藏能力 】
37,幻武劍豪,2206,雙刀技能,3813702,【 極限力量 】
37,幻武劍豪,2206,雙刀技能,3813703,【 必死攻擊 】
37,幻武劍豪,2206,雙刀技能,3813704,【 覺醒 II 】
37,幻武劍豪,2206,雙刀技能,3813705,【 墮落的力量 】
37,幻武劍豪,2206,雙刀技能,3813706,【 生存本能 】
37,幻武劍豪,2206,雙刀技能,3813707,【 傳奇 II 】
38,創世主,2213,單手劍技能,8000201,熟練單手劍[初級]
38,創世主,2213,單手劍技能,1104014,昇龍斬
38,創世主,2213,單手劍技能,1105014,龍尾襲
38,創世主,2213,單手劍技能,1106004,音速斬
38,創世主,2213,單手劍技能,1105004,順烈斬
38,創世主,2213,單手劍技能,1107004,閃影劍
38,創世主,2213,單手劍技能,8000202,熟練單手劍[中級]
38,創世主,2213,單手劍技能,1106101,光速斬
38,創世主,2213,單手劍技能,1106102,迴旋盾牌
38,創世主,2213,單手劍技能,1107014,迴旋斬
38,創世主,2213,單手劍技能,3200209,強化迴旋盾牌
38,創世主,2213,單手劍技能,8000203,熟練單手劍[高級]
38,創世主,2213,單手劍技能,1802405,心狀紋
38,創世主,2213,單手劍技能,8000204,熟練單手劍[最高級]
38,創世主,2213,單手劍技能,1109304,圍繞斬
38,創世主,2213,單手劍技能,1109104,邁大步走
38,創世主,2213,單手劍技能,5000913,[特殊]創世主_單手劍
38,創世主,2213,單手劍技能,1211004,十字審判
38,創世主,2213,單手劍技能,1210004,劍氣波
38,創世主,2213,單手劍技能,1213005,猛衝
38,創世主,2213,單手劍技能,1802404,[無限] 結界之擊
38,創世主,2213,單手劍技能,1212004,[單手劍]祈福
38,創世主,2213,單手劍技能,1109204,神聖氣息
38,創世主,2213,單手劍技能,1109004,撞擊盾
38,創世主,2213,單手劍技能,1210014,盾擊
38,創世主,2213,單手劍技能,3803801,【 物理威力 】
38,創世主,2213,單手劍技能,3803802,【 騎士的吶喊 】
38,創世主,2213,單手劍技能,3803803,【 集中之力 】
38,創世主,2213,單手劍技能,3803804,【 覺醒 】
38,創世主,2213,單手劍技能,3803805,【 鑲嵌武器 】
38,創世主,2213,單手劍技能,3803806,【 武裝祝福】
38,創世主,2213,單手劍技能,3803807,【 傳奇 】
38,創世主,2213,單手劍技能,3813801,【 隱藏能力 】
38,創世主,2213,單手劍技能,3813802,【 極限力量 】
38,創世主,2213,單手劍技能,3813803,【 必死攻擊 】
38,創世主,2213,單手劍技能,3813804,【 覺醒 II 】
38,創世主,2213,單手劍技能,3813805,【 墮落的力量 】
38,創世主,2213,單手劍技能,3813806,【 生存本能 】
38,創世主,2213,單手劍技能,3813807,【 傳奇 II 】
38,創世主,2215,鈍器技能,8000501,熟練鈍器[初級]
38,創世主,2215,鈍器技能,1213004,猛衝
38,創世主,2215,鈍器技能,8000502,熟練鈍器[中級]
38,創世主,2215,鈍器技能,1802407,撞擊鎚
38,創世主,2215,鈍器技能,8000503,熟練鈍器[高級]
38,創世主,2215,鈍器技能,1211101,雙連爆
38,創世主,2215,鈍器技能,1211103,反殺
38,創世主,2215,鈍器技能,1109406,颱風鎚
38,創世主,2215,鈍器技能,1211102,盾擊
38,創世主,2215,鈍器技能,1106202,迴旋盾牌
38,創世主,2215,鈍器技能,8000504,熟練鈍器[最高級]
38,創世主,2215,鈍器技能,1211006,天降制裁
38,創世主,2215,鈍器技能,5000923,[特殊]創世主_鈍器
38,創世主,2215,鈍器技能,1210006,威力襲捲
38,創世主,2215,鈍器技能,1802406,[無限]天堂地獄
38,創世主,2215,鈍器技能,1211104,威力爆擊
38,創世主,2215,鈍器技能,3803801,【 物理威力 】
38,創世主,2215,鈍器技能,3803802,【 騎士的吶喊 】
38,創世主,2215,鈍器技能,3803803,【 集中之力 】
38,創世主,2215,鈍器技能,3803804,【 覺醒 】
38,創世主,2215,鈍器技能,3803805,【 鑲嵌武器 】
38,創世主,2215,鈍器技能,3803806,【 武裝祝福】
38,創世主,2215,鈍器技能,3803807,【 傳奇 】
38,創世主,2215,鈍器技能,3813801,【 隱藏能力 】
38,創世主,2215,鈍器技能,3813802,【 極限力量 】
38,創世主,2215,鈍器技能,3813803,【 必死攻擊 】
38,創世主,2215,鈍器技能,3813804,【 覺醒 II 】
38,創世主,2215,鈍器技能,3813805,【 墮落的力量 】
38,創世主,2215,鈍器技能,3813806,【 生存本能 】
38,創世主,2215,鈍器技能,3813807,【 傳奇 II 】
39,諸神使者,2222,拳套技能,8000001,熟練拳套[初級]
39,諸神使者,2222,拳套技能,8000002,熟練拳套[中級]
39,諸神使者,2222,拳套技能,8000003,熟練拳套[高級]
39,諸神使者,2222,拳套技能,8000004,熟練拳套[最高級]
39,諸神使者,2222,拳套技能,5000914,[特殊]諸神使者
39,諸神使者,2222,拳套技能,1802408,[無限]幻夜馬郎拳
39,諸神使者,2222,拳套技能,1106012,肘擊
39,諸神使者,2222,拳套技能,1107012,如來神掌
39,諸神使者,2222,拳套技能,1106002,能量波
39,諸神使者,2222,拳套技能,1101101,升龍拳
39,諸神使者,2222,拳套技能,1211002,地雷陣
39,諸神使者,2222,拳套技能,1100110,斬靈拳
39,諸神使者,2222,拳套技能,1100113,吸血拳
39,諸神使者,2222,拳套技能,1109201,真空拳
39,諸神使者,2222,拳套技能,1109301,C.移動
39,諸神使者,2222,拳套技能,1109101,天龍波
39,諸神使者,2222,拳套技能,1104001,虎烈腳
39,諸神使者,2222,拳套技能,1100109,旋轉腳
39,諸神使者,2222,拳套技能,1106001,半月腳
39,諸神使者,2222,拳套技能,1210002,大地毀滅
39,諸神使者,2222,拳套技能,1107001,天龍腳
39,諸神使者,2222,拳套技能,1100112,鏟腳
39,諸神使者,2222,拳套技能,1100111,幻影腳
39,諸神使者,2222,拳套技能,1212002,旋風腳
39,諸神使者,2222,拳套技能,3803901,【 物理威力 】
39,諸神使者,2222,拳套技能,3803902,【 騎士的吶喊 】
39,諸神使者,2222,拳套技能,3803903,【 集中之力 】
39,諸神使者,2222,拳套技能,3803904,【 覺醒 】
39,諸神使者,2222,拳套技能,3803905,【體術大師 】
39,諸神使者,2222,拳套技能,3803906,【 生命汲取 】
39,諸神使者,2222,拳套技能,3803907,【 傳奇 】
