任務ID,任務名稱,任務目標,NPC位置,NPC名稱,EXP獎勵,ELY獎勵,道具獎勵
112000053,已經死去的人們,需要消滅“金字塔”的 [殭屍] 20隻。,金字塔,托特,46100.0,29000,
112000054,奇怪的手銬,需要從“金字塔”的 [殭屍] 那裡收集 <手銬> 18個。,金字塔,托特,46100.0,29000,
112000060,變成木乃伊的僵屍,需要消滅“金字塔”的 [木乃伊殭屍] 20隻。,金字塔,托特,48100.0,29500,
112000061,無藥可解的劇毒,需要從“金字塔”的 [木乃伊殭屍] 那裡收集 <毒缸> 18個。,金字塔,托特,48100.0,29500,"靈藥兌換券 X1
一般恢復藥水 X10"
112000067,金字塔的琪拉,需要與“金字塔”的“琪拉”對話。,金字塔,琪拉,50200.0,30000,
112000068,托特的擔憂,需要與“金字塔”的“托特”對話。,金字塔,托特,50200.0,30000,
112000074,消滅半死屍怪,"需要消滅""金字塔""的 [半死屍怪] 23隻。",金字塔,琪拉,52500.0,30500,
112000075,不能吃的食物,"需要從""金字塔""的 [半死屍怪] 那裡收集 <稍微腐爛的肉塊> 20個。",金字塔,琪拉,52500.0,30500,
112000081,專心修煉,需要與“金字塔”的“琪拉”對話。,金字塔,琪拉,54900.0,31000,
112000082,守護寶物的怪物,"需要消滅""金字塔""的 [吞天獸] 23隻。",金字塔,琪拉,54900.0,31000,
112000091,變成蛇的女王,"需要消滅""金字塔""的 [蛇女] 23隻。",金字塔,琪拉,57400.0,31500,
112000092,執著於寶物的蛇女,"需要消滅""金字塔""的 [蛇女] 23隻。",金字塔,琪拉,57400.0,31500,"一般恢復藥水 X20
靈藥兌換券 X2
貝斯傳送膠囊 X2"
112000097,結束金字塔的修煉,需要與“阿法村”的“琪拉”對話。,阿法村莊,琪拉,57400.0,31500,
112000098,卡地佛的召喚,需要與“阿法村”的“卡地佛”對話。,阿法村莊,卡地佛,59900.0,32000,
112000099,新的麻煩,需要消滅“奧爾卡海邊”地區的 [螃蟹怪] 23隻。,阿法村莊,卡地佛,59900.0,32000,
112000105,螃蟹怪與藍螃蟹怪,需要消滅“奧爾卡海邊”地區的[藍螃蟹怪] 10隻。,阿法村莊,卡地佛,62400.0,32500,
112000106,破壞者“藍螃蟹怪”,需要消滅“奧爾卡海邊”地區的 [藍螃蟹怪] 23隻。,阿法村莊,卡地佛,62400.0,32500,一般恢復藥水 X25
112000112,研究海岸的托特,需要與“阿法村”的“托特”對話。,阿法村莊,托特,65000.0,33000,
112000113,研究海之星,需要消滅“奧爾卡海邊”地區的 [海之星] 23隻。,阿法村莊,托特,65000.0,33000,
112000119,更強大的海之星,需要消滅“奧爾卡海邊”地區的 [沙灘海之星] 23隻。,阿法村莊,卡地佛,67600.0,33500,
112000120,與海之星比較,需要消滅“奧爾卡海邊”地區的[沙灘海之星] 10隻。,阿法村莊,卡地佛,67600.0,33500,"一般恢復藥水 X30
靈藥兌換券 X1
不屈的精神 X2"
112000126,前往貝斯村莊,需要與“貝斯村”的“加納思”對話。,貝斯村莊,加納思,70300.0,34000,
112000127,宣聖的召喚,需要與“貝斯村”的“宣聖”對話。,貝斯村莊,宣聖,70300.0,34000,
112000128,雨林地帶的野蠻族,需要消滅“雨林地帶”的 [野蠻族] 23隻。,貝斯村莊,宣聖,70300.0,34000,
112000129,突變的野蠻族,需要消滅“雨林地帶”的 [野蠻族] 23隻。,貝斯村莊,宣聖,70300.0,34000,
112000133,可怕的水圖騰,需要消滅“雨林地帶 2”的 [水圖騰] 23隻。,貝斯村莊,宣聖,73000.0,34500,
112000134,危險但有益的水,需要從“雨林地帶 2”的 [水圖騰] 那裡收集 <水滴> 20個。,貝斯村莊,宣聖,73000.0,34500,
112000135,水圖騰運行方法,需要從“雨林地帶 2”的 [水圖騰] 那裡收集 <水結晶> 20個。,貝斯村莊,宣聖,73000.0,34500,"中級恢復藥水 X20
鈦金合金手套(S) X1
貝斯傳送膠囊 X2"
112000140,懶惰的修煉者,需要與“貝斯村”的“西斯藍”對話。,貝斯村莊,西斯藍,75700.0,35000,
112000141,確認西斯藍的實力,需要消滅“雨林地帶”的 [匹諾曹] 23隻。,貝斯村莊,西斯藍,75700.0,35000,
112000142,西斯藍的事,需要從“雨林地帶”的 [匹諾曹] 那裡收集 <匹諾曹的葉子> 20個。,貝斯村莊,西斯藍,75700.0,35000,
112000151,西斯藍的荒唐決定,需要與“貝斯村”的“西斯藍”對話。,貝斯村莊,西斯藍,78400.0,35500,
112000152,前往雨林地帶,需要與“雨林地帶”的“西斯藍”對話。,雨林地帶,西斯藍,78400.0,35500,
112000153,消滅地圖騰,需要消滅“雨林地帶”的 [地圖騰] 25隻。,雨林地帶,西斯藍,78400.0,35500,
112000158,消滅地圖騰,需要消滅“雨林地帶 5”的 [地圖騰]50隻。,雨林地帶,西斯藍,156800.0,35500,"中級恢復藥水 X20
鈦金合金襯衫(S) X1"
112000159,棕樹爺爺的麻煩,需要消滅“雨林地帶”的 [棕樹爺爺] 25隻。,雨林地帶,西斯藍,81200.0,36000,
112000160,雨林的油炸?,需要從“雨林地帶”的 [棕樹爺爺] 那裡收集 <五彩鳥蛋> 22個。,雨林地帶,西斯藍,81200.0,36000,
112000161,解決雨林之寒,需要從“雨林地帶”的 [棕樹爺爺] 那裡收集 <棕樹爺爺的斷枝> 22個。,雨林地帶,西斯藍,81200.0,36000,中級恢復藥水 X15
112000167,製造風的圖騰,需要消滅“雨林地帶 3”的 [風圖騰] 25隻。,雨林地帶,西斯藍,84000.0,36500,
112000173,因為糟蹋了農作物,需要消滅“雨林地帶 3”的 [風圖騰] 25隻。,雨林地帶,西斯藍,84000.0,36500,
112000174,處理風圖騰,需要消滅“雨林地帶 3”的 [風圖騰] 25隻。,雨林地帶,西斯藍,84000.0,36500,"中級恢復藥水 X15
鈦金合金褲裙(S) X1"
112000175,阻止大火燒毀雨林,需要消滅“雨林地帶 4”的 [火圖騰] 25隻。,雨林地帶,西斯藍,86800.0,37000,
112000176,滅火的方法,需要從“雨林地帶 4”的 [火圖騰] 那裡收集 <火苗> 22個。,雨林地帶,西斯藍,86800.0,37000,
112000177,不斷滅火,需要消滅“雨林地帶 4”的 [火圖騰] 15隻，及與貝斯村的宣聖會面。,雨林地帶,西斯藍,86800.0,37000,靈藥兌換券 X1
112000185,宣聖的決心,需要與“貝斯村”的“宣聖”對話。,貝斯村莊,宣聖,86800.0,37000,
112000186,前往克杜卡遺址,需要與“克杜卡遺址”的“宣聖”對話。,克杜卡遺址,宣聖,89700.0,37500,
112000187,深刻的教訓,需要消滅“克杜卡遺址”的 [蜂鳥] 25隻。,克杜卡遺址,宣聖,89700.0,37500,
112000188,驅趕蜂鳥,需要消滅“克杜卡遺址”的 [蜂鳥] 15隻，帶來 <蜂鳥的羽毛> 10個。,克杜卡遺址,宣聖,89700.0,37500,
112000189,尋找蜂鳥羽毛,需要從“克杜卡遺址”的 [蜂鳥] 那裡收集 <蜂鳥的羽毛> 22個。,克杜卡遺址,宣聖,89700.0,37500,"靈藥兌換券 X1
鈦金合金鞋子(S) X1"
112000194,魔物“棕樹伯伯”,需要消滅“克杜卡遺址”的 [棕樹伯伯] 25隻。,克杜卡遺址,宣聖,92500.0,38000,
112000195,陰森的“棕樹伯伯”,需要消滅“克杜卡遺址”的 [棕樹伯伯] 15隻，帶來<樹蘚> 10個。,克杜卡遺址,宣聖,92500.0,38000,中級恢復藥水 X20
112000196,調查樹蘚,需要從“克杜卡遺址”的 [棕樹伯伯] 那裡收集 <樹蘚> 22個。,克杜卡遺址,宣聖,92500.0,38000,
112000202,確認食人花,需要從“克杜卡遺址”的 [食人花] 那裡收集 <被食人花淹死的蒼蠅> 22隻。,克杜卡遺址,宣聖,95400.0,38500,
112000203,食人花的觸鬚,需要從“克杜卡遺址”的 [食人花] 那裡收集 <短觸鬚> 22個。,克杜卡遺址,宣聖,95400.0,38500,
112000204,古怪的食人花,需要消滅“克杜卡遺址”的 [食人花] 25隻。,克杜卡遺址,宣聖,95400.0,38500,靈藥兌換券 X1
112000210,沒能升天的龍,需要消滅“克杜卡遺址”的 [綠龍] 25隻。,克杜卡遺址,宣聖,98300.0,39000,
112000211,玲瓏的彩虹珠,需要從“克杜卡遺址”的 [綠龍] 那裡收集 <綠龍的七彩珠> 22顆。,克杜卡遺址,宣聖,98300.0,39000,
112000212,調查堅硬的爪子,需要從“克杜卡遺址”的 [綠龍] 那裡收集 <綠龍爪子> 22個。,克杜卡遺址,宣聖,98300.0,39000,"中級恢復藥水 X25
鈦金合金髮帶(S) X1"
112000219,逃出克杜卡遺址!,需要與“貝斯村”的“宣聖”對話。,貝斯村莊,宣聖,101000.0,39500,
112000220,布馬的召喚,需要與“貝斯”的“布馬”對話。,貝斯村莊,布馬,101000.0,39500,
112000221,調查螞蟻洞窟,需要消滅“螞蟻洞穴”地區的 [螞蟻士兵] 25隻。,貝斯村莊,布馬,101000.0,39500,
112000222,異常螞蟻,需要消滅“螞蟻洞穴”地區的 [士兵螞蟻] 15隻，帶來 <螞蟻士兵的矛槍> 10個。,貝斯村莊,布馬,101000.0,39500,
112000228,兩隻螞蟻的區別,需要消滅“螞蟻洞穴”地區的[兵蟻] 10隻。,貝斯村莊,布馬,103000.0,40000,中級恢復藥水 X15
112000229,消滅兵蟻,需要消滅“螞蟻洞穴”地區的 [兵蟻] 50隻。,貝斯村莊,布馬,206000.0,40000,
112000230,兵蟻的弱點,需要消滅“螞蟻洞穴”地區的 [兵蟻] 15隻。,貝斯村莊,布馬,103000.0,40000,中級恢復藥水 X15
112000237,螞蟻洞窟的女王,需喲啊消滅“螞蟻洞穴”地區的 [蟻后] 28隻。,貝斯村莊,布馬,106000.0,40500,
112000238,奪取指揮棒,需要從“螞蟻洞穴” 地區的 [蟻后] 那裡收集 <皇后棒> 24個。,貝斯村莊,布馬,106000.0,40500,
112000239,繁殖的元兇,需要消滅“螞蟻洞穴”地區的 [蟻后] 20隻。,貝斯村莊,布馬,106000.0,40500,靈藥兌換券 X1
112000246,跨越時空,需要與“史前村莊”的“原始 托勒妮亞”對話。,史前村莊,原始 托勒妮亞,108000.0,41000,
112000247,原始怪物,需要消滅“薩勒斯原野”地區的 [小紫龍] 28隻。,史前村莊,原始 托勒妮亞,108000.0,41000,
112000248,確認小紫龍情報,需要消滅“薩勒斯原野”地區的 [小紫龍] 28隻。,史前村莊,原始 托勒妮亞,108000.0,41000,
112000255,原始老虎,需要消滅“薩勒斯原野”地區的 [劍齒虎] 28隻。,史前村莊,原始 托勒妮亞,110000.0,41500,
112000256,研究劍齒虎,需要消滅“薩勒斯原野”地區的 <劍齒虎的獠牙> 10個。,史前村莊,原始 托勒妮亞,110000.0,41500,
112000257,適合做紀念品!,需要從“薩勒斯原野”地區的 [劍齒虎] 那裡收集 <劍齒虎的獠牙> 24個。,史前村莊,原始 托勒妮亞,110000.0,41500,中級恢復藥水 X15
112000264,與龍克斯對話,需要與“史前村莊”的“原始 龍克斯”對話。,史前村莊,原始 龍克斯,113000.0,42000,
112000265,劍齒虎首領!,需要消滅“薩勒斯原野”地區的 [劍齒虎首領] 28隻。,史前村莊,原始 龍克斯,113000.0,42000,
112000266,想觸摸的皮革,需要從“薩勒斯原野”地區的 [劍齒虎首領] 那裡收集 <劍齒虎首領的皮> 24張。,史前村莊,原始 龍克斯,113000.0,42000,"中級恢復藥水 X15
靈藥兌換券 X1"
112000273,坐地起價!,需要從“薩勒斯森林”地區的 [司戴高] 那裡收集 <司戴高的皮> 24張。,史前村莊,原始 龍克斯,115000.0,42500,
112000274,樹葉終結者,需要消滅“薩勒斯森林”地區的 [司戴高] 28隻。,史前村莊,原始 龍克斯,115000.0,42500,
112000275,研究所需的皮革,需要消滅“薩勒斯森林”地區的 <司戴高的皮> 10張。,史前村莊,原始 龍克斯,115000.0,42500,
112000282,遇見原始海伊凱爾,需要與“史前村莊”的“海伊凱爾”對話。,史前村莊,原始 海伊凱爾,117000.0,43000,
112000283,妨礙生意的,需要消滅“薩勒斯森林”地區的 [大力司戴高] 28隻。,史前村莊,原始 海伊凱爾,117000.0,43000,
112000284,大力司戴高的證據,需要消滅“薩勒斯森林”地區的 [大力司戴高] 20隻，帶來 <大力司戴高的皮> 10張。,史前村莊,原始 海伊凱爾,117000.0,43000,
112000285,幫助困難的人,需要消滅“薩勒斯森林”地區的 [大力司戴高] 28隻。,史前村莊,原始 海伊凱爾,117000.0,43000,中級恢復藥水 X15
112000291,翼龍翼手龍,需要消滅“薩勒斯原野”地區的 [翼手龍] 28隻。,史前村莊,原始 海伊凱爾,120000.0,43500,
112000292,酸液翼手龍,需要消滅“薩勒斯原野”地區的 [翼手龍] 20隻，帶來 <翼手龍的唾液> 10個。,史前村莊,原始 海伊凱爾,120000.0,43500,
112000293,輕盈的翅膀皮,需要消滅“薩勒斯原野”地區的 [翼手龍] 20隻，帶來 <翼手龍的翅膀皮> 10張。,史前村莊,原始 海伊凱爾,120000.0,43500,
112000294,飛行所需的材料,需要從“薩勒斯原野”地區的 [翼手龍] 那裡收集<翼手龍的翅膀皮> 12張。,史前村莊,原始 海伊凱爾,120000.0,43500,"中級恢復藥水 X15
靈藥兌換券 X1"
112000303,貝斯村莊的拉塔特,需要與“貝斯村”的“拉塔特”對話。,貝斯村莊,拉塔特,122000.0,44000,
112000304,前往爬呀爬大樹!,需要與“爬呀爬大樹”的“拉塔特”對話。,爬呀爬大樹,拉塔特,122000.0,44000,靈藥兌換券 X1
112000305,巨大的螳螂怪,需要消滅“爬呀爬大樹”地區的 [螳螂怪] 28隻。,爬呀爬大樹,拉塔特,122000.0,44000,
112000312,持矛槍的蜂,需要消滅“爬呀爬大樹”地區的 [槍蜂怪] 56隻。,爬呀爬大樹,拉塔特,250000.0,44500,
112000313,稀有的花粉,需要從“爬呀爬大樹”地區的 [槍蜂怪] 那裡收集 <蜂怪花粉> 24個。,爬呀爬大樹,拉塔特,125000.0,44500,靈藥兌換券 X1
112000314,散發蜂蜜味的矛槍,需要從“爬呀爬大樹”地區的 [槍蜂怪] 那裡收集 <槍蜂怪的花蜜槍> 24個。,爬呀爬大樹,拉塔特,125000.0,44500,
112000315,沒完沒了的槍蜂怪,需要消滅“爬呀爬大樹”地區的 [槍蜂怪] 28隻。,爬呀爬大樹,拉塔特,125000.0,44500,中級恢復藥水 X15
112000322,持弓箭的蜂,需要消滅“爬呀爬大樹”地區的 [弓蜂怪] 28隻。,爬呀爬大樹,拉塔特,128000.0,45000,
112000323,捅蜂窩的代價,需要從“爬呀爬大樹”地區的 [弓蜂怪] 那裡收集 <蜂窩> 24個。,爬呀爬大樹,拉塔特,128000.0,45000,靈藥兌換券 X2
112000324,看起來好吃的弓?,需要從“爬呀爬大樹”地區的 [弓蜂怪] 那裡收集 <弓蜂怪的花蜜弓> 24個。,爬呀爬大樹,拉塔特,128000.0,45000,
112000325,弓蜂怪的美味,需要從“爬呀爬大樹”地區的 [弓蜂怪] 那裡收集 <弓蜂怪的蜂蜜> 24個。,爬呀爬大樹,拉塔特,128000.0,45000,"中級恢復藥水 X15
藍色水晶手套(S) X1"
112000332,調查蜂怪戰士的蜜罐,需要從“爬呀爬大樹”地區的 [蜂怪戰士] 那裡收集 <巨大的蜜罐> 26個。,爬呀爬大樹,拉塔特,130000.0,45500,
112000333,可怕的蜂怪戰士,需要消滅“爬呀爬大樹”地區的 [蜂怪戰士] 30隻。,爬呀爬大樹,拉塔特,130000.0,45500,戰鬥靈藥 X1
112000334,長角的屁股好可怕,需要從“爬呀爬大樹”地區的 [蜂怪戰士] 那裡收集 <蜂怪戰士的長角的臀部> 26個。,爬呀爬大樹,拉塔特,130000.0,45500,
112000335,味道強烈的蜂蜜,需要從“爬呀爬大樹”地區的 [蜂怪戰士] 那裡收集 <蜂怪戰士的蜂蜜> 26個。,爬呀爬大樹,拉塔特,130000.0,45500,"中級恢復藥水 X15
藍色水晶短襯衫(S) X1"
112000342,去找布馬,需要與“貝斯村”的“布馬”對話。,貝斯村莊,布馬,133000.0,46000,
112000343,前往克杜卡遺址地下,需要與“克杜卡遺址地下”的“布馬”對話。,克杜卡遺址 地下,布馬,133000.0,46000,
112000344,暗中活躍的野蠻族飛鏢手,需要消滅“克杜卡遺址地下”的[野蠻族飛鏢手] 30隻。,克杜卡遺址 地下,布馬,133000.0,46000,
112000345,惡靈迴旋鏢,需要從“克杜卡遺址地下”的 [野蠻族飛鏢手] 那裡收集 <野蠻族飛鏢手的飛鏢> 26個。,克杜卡遺址 地下,布馬,133000.0,46000,"中級恢復藥水 X15
藍色水晶褲裙(S) X1"
112000352,野蠻族火炬手的面具,需要消滅“克杜卡遺址地下”的 <野蠻族火炬手的面具> 20個。,克杜卡遺址 地下,布馬,136000.0,46500,
112000353,火熱的野蠻族火炬手,需要消滅“克杜卡遺址地下”的 [野蠻族火炬手] 30隻。,克杜卡遺址 地下,布馬,272000.0,46500,實用的靈藥 X1
112000354,可怕的野蠻族火炬手羽毛,需要從“克杜卡遺址地下”的 [野蠻族火炬手] 那裡收集 <野蠻族火炬手的羽毛> 26個。,克杜卡遺址 地下,布馬,136000.0,46500,
112000355,驚人的野蠻族火炬手,需要消滅“克杜卡遺址地下”的 [野蠻族火炬手] 30隻。,克杜卡遺址 地下,布馬,136000.0,46500,"中級恢復藥水 X15
藍色水晶靴子(S) X1"
112000362,惡靈咒術師,需要消滅“克杜卡遺址地下”的 [野蠻族持杖手] 30隻。,克杜卡遺址 地下,布馬,138000.0,47000,
112000363,咒術物品,需要消滅“克杜卡遺址地下”的 [野蠻族持杖手] 20隻，帶來 <野蠻族持杖手的杖> 15個。,克杜卡遺址 地下,布馬,138000.0,47000,
112000367,外皮野蠻族持杖手,需要從“克杜卡遺址地下”的 [野蠻族持杖手] 那裡收集 <野蠻族持杖手的皮> 26張。,克杜卡遺址 地下,布馬,138000.0,47000,
112000368,保護羽毛的野蠻族持杖手,需要消滅“克杜卡遺址地下”的 [野蠻族持杖手] 20隻，帶來 <野蠻族持杖手的羽毛> 20個。,克杜卡遺址 地下,布馬,138000.0,47000,"中級恢復藥水 X15
藍色水晶帽子(S) X1"
112001091,菜鳥?暈!,需要到“幽靈海盜船”消滅25個[殭屍船員]。,幽靈海盜船,卡達麗娜,78400.0,35500,
112001092,教科書劇情,需要到“幽靈海盜船”收集22個[殭屍船員]的<閃爍的金牙>回來。,幽靈海盜船,卡達麗娜,78400.0,35500,
112001093,幽靈船的劇情之類,需要到“幽靈海盜船”收集22個[殭屍船員]的<閃爍的金牙>回來。,幽靈海盜船,卡達麗娜,78400.0,35500,"中級恢復藥水 X20
不屈的精神 X2"
112001097,輕輕鬆松?,需要到“幽靈海盜船”消滅25個[邪惡的殭屍船員]。,幽靈海盜船,卡達麗娜,81200.0,36000,
112001098,幽靈的現實。其實是強盜,需要到“幽靈海盜船”收集22個[邪惡的殭屍船員]的<舊衣角>回來。,幽靈海盜船,卡達麗娜,81200.0,36000,
112001099,命運的定數,需要到“幽靈海盜船”收集22個[邪惡的殭屍船員]的<舊衣角>回來。,幽靈海盜船,卡達麗娜,81200.0,36000,靈藥兌換券 X1
112001103,僵屍船員 僵屍船員,請去“幽靈海盜船”狩獵 [骷髏船員] 25隻。,幽靈海盜船,卡達麗娜,84000.0,36500,
112001104,銀牙不值錢,需要到“幽靈海盜船”收集22個[骷髏船員]的<劣質銀牙>回來。,幽靈海盜船,卡達麗娜,84000.0,36500,
112001105,還是不夠,需要到“幽靈海盜船”收集22個[骷髏船員]的<劣質銀牙>回來。,幽靈海盜船,卡達麗娜,84000.0,36500,中級恢復藥水 X20
112001109,終結者npc?,需要消滅“幽靈海盜船”的BOSS[強尼船長]。,幽靈海盜船,強尼船長,217000.0,37000,"經驗值秘藥100% X1
強尼船長圖鑑卡片 X1"
112001193,讚美你,需要到“水上庭園”消滅30隻[地龍寶寶]。,水上庭園,波利斯修女,122000.0,44000,
112001194,卑賤的僕人,需要到“水上庭園”消滅30隻[地龍寶寶]。,水上庭園,波利斯修女,122000.0,44000,靈藥兌換券 X1
112001195,全能者的庇佑,需要到“水上庭園”收集26個[地龍寶寶]的<大地之龍精髓>回來。,水上庭園,波利斯修女,122000.0,44000,
112001196,神聖的存在,需要到“水上庭園”收集26個[地龍寶寶]的<地球龍指南>回來。,水上庭園,波利斯修女,122000.0,44000,中級恢復藥水 X15
112001200,饑漢與飽漢,需要到“水上庭園”消滅30隻[風龍寶寶]。,水上庭園,波利斯修女,125000.0,44500,
112001201,您的僕人——吉納蒂亞的百姓們,需要到“水上庭園”消滅30隻[風龍寶寶]。,水上庭園,波利斯修女,125000.0,44500,
112001202,承諾之事,需要到“水上庭園”消滅30隻[風龍寶寶]。,水上庭園,波利斯修女,125000.0,44500,中級恢復藥水 X15
112001203,全世界的榮耀,需要到“水上庭園”收集26個[風龍寶寶]的<風龍之淨水>回來。,水上庭園,波利斯修女,125000.0,44500,
112001208,願一直同在,需要到“水上庭園”消滅30隻[水龍寶寶]。,水上庭園,波利斯修女,128000.0,45000,
112001209,敬獻給至高者,需要到“水上庭園”消滅30隻[水龍寶寶]。,水上庭園,波利斯修女,128000.0,45000,靈藥兌換券 X2
112001210,認識至高者,需要到“水上庭園”消滅30隻[水龍寶寶]。,水上庭園,波利斯修女,128000.0,45000,
112001211,離開至高者的存在們,需要到“水上庭園”收集26個[水龍寶寶]的<龍王之證>回來。,水上庭園,波利斯修女,128000.0,45000,中級恢復藥水 X15
112001216,呼喊萬歲,需要到“水上庭園”消滅30隻[石灰幼龍]。,水上庭園,波利斯修女,130000.0,45500,
112001217,信仰告白,需要到“水上庭園”消滅30隻[石灰幼龍]。,水上庭園,波利斯修女,130000.0,45500,
112001218,神聖的和平,需要到“水上庭園”消滅30隻[石灰幼龍]。,水上庭園,波利斯修女,130000.0,45500,
112001219,讚美與榮耀,需要到“水上庭園”收集26個[石灰幼龍]的<石灰色的眼淚>回來。,水上庭園,波利斯修女,130000.0,45500,中級恢復藥水 X15
112001224,等候您的旨意。,需要到“水上庭園”消滅30隻[原始奇比奧利溫]。,水上庭園,波利斯修女,133000.0,46000,
112001225,守望者的黎明,需要到“水上庭園”消滅30隻[原始奇比奧利溫]。,水上庭園,波利斯修女,133000.0,46000,
112001226,吉納蒂亞的黎明,需要到“水上庭園”消滅30隻[原始奇比奧利溫]。,水上庭園,波利斯修女,133000.0,46000,中級恢復藥水 X15
112001227,至高者的恩惠,需要到“水上庭園”收集26個[原始奇比奧利溫]的<射手腰帶>回來。,水上庭園,波利斯修女,133000.0,46000,
112001232,和平與安息,需要到“水上庭園”消滅30隻[奇比奧利溫]。,水上庭園,波利斯修女,136000.0,46500,
112001233,請寬恕我。,需要到“水上庭園”消滅30隻[奇比奧利溫]。,水上庭園,波利斯修女,136000.0,46500,
112001234,真心悔改,需要到“水上庭園”消滅30隻[奇比奧利溫]。,水上庭園,波利斯修女,136000.0,46500,
112001235,至高者的庇佑,需要到“水上庭園”收集26個[奇比奧利溫]的<奇比奧利溫模型>回來。,水上庭園,波利斯修女,136000.0,46500,中級恢復藥水 X15
112001240,天上之母,需要到“地上庭園1、2”消滅30隻[風之普魯頓神官]。,地上庭園,波利斯修女,138000.0,47000,
112001241,獨自懇求,需要到“地上庭園1、2”消滅30隻[風之普魯頓神官]。,地上庭園,波利斯修女,138000.0,47000,
112001242,黑暗勢力,需要到“地上庭園1、2”消滅30隻[風之普魯頓神官]。,地上庭園,波利斯修女,138000.0,47000,
112001243,用全能之臂,需要到“地上庭園1、2”收集26個[風之普魯頓神官]的<撕開的藍婚紗>回來。,地上庭園,波利斯修女,138000.0,47000,中級恢復藥水 X15
112001248,至高者的戒律,需要到“地上庭園 1”消滅30隻[水之普魯頓神女]。,地上庭園,波利斯修女,141000.0,47500,
112001249,冷淡者?!?!,需要到“地上庭園 1”消滅30隻[水之普魯頓神女]。,地上庭園,波利斯修女,141000.0,47500,
112001250,非信徒!?!,需要到“地上庭園 1”消滅30隻[水之普魯頓神女]。,地上庭園,波利斯修女,141000.0,47500,
112001251,人類的至高者,需要到“地上庭園 1”收集26個[水之普魯頓神女]的<燦爛之石>回來。,地上庭園,波利斯修女,141000.0,47500,中級恢復藥水 X15
112001256,唯有至高者。,"需要在 ""中央地帶""狩獵 [變節的神殿騎士]30隻。",中央地帶,愛蓮修女,144000.0,48000,
112001257,隱喻的禱文,需要到“中央地區”、“廢墟地帶”消滅30隻[墮落的神殿騎士]。,中間地區,西斯特 愛蓮,144000.0,48000,
112001258,被風刮起的穀糠,需要到“中央地區”、“廢墟地帶”消滅30隻[墮落的神殿騎士]。,中間地區,西斯特 愛蓮,144000.0,48000,
112001259,到審判之日,需要到“中央地區”、“廢墟地帶”收集26個[墮落的神殿騎士]的<聖餐盤>回來。,中間地區,西斯特 愛蓮,144000.0,48000,中級恢復藥水 X15
112001265,請庇佑吉納蒂亞。,"需要在 ""中央地帶""狩獵 [變節的修女] 30隻。",中央地帶,愛蓮修女,147000.0,48500,
112001266,你是我兒,需要到“廢墟地帶”消滅30隻[彷徨的神女]。,中間地區,西斯特 愛蓮,147000.0,48500,
112001267,把吉納蒂亞作為遺產。,需要到“廢墟地帶”消滅30隻[彷徨的神女]。,中間地區,西斯特 愛蓮,147000.0,48500,靈藥兌換券 X2
112001268,廢墟上的和平,需要到“廢墟地帶”收集26個[彷徨的神女]的<魔王信物>回來。,中間地區,西斯特 愛蓮,147000.0,48500,
112001269,智慧與教訓,需要到“廢墟地帶”收集26本[彷徨的神女]的<藥草圖鑒>回來。,中間地區,西斯特 愛蓮,147000.0,48500,中級恢復藥水 X15
