ID,經驗值,ELY掉落率(%),最小ELY,最大ELY
810001321,661,1.0,122,132
810001322,674,1.0,123,133
810001323,688,1.0,125,135
810001324,701,1.0,125,135
810001325,716,1.0,126,136
810001326,7300,1.0,126,136
810000784,790,1.0,130,141
810000785,805,1.0,130,141
810000786,821,1.0,132,143
810000787,837,1.0,133,144
810000789,854,1.0,133,144
810000790,871,1.0,134,144
810001234,331,1.0,95,103
810001239,331,1.0,95,103
810001238,338,1.0,95,103
810000212,1619,1.0,162,175
810000213,1649,1.0,162,175
810000214,1679,1.0,164,177
810000219,1941,1.0,171,185
810000220,1976,1.0,171,185
810000215,1906,1.0,169,182
810000221,2012,1.0,172,186
810000276,1710,1.0,164,177
810000277,1741,1.0,165,179
810000278,1773,1.0,167,180
810000279,1806,1.0,167,180
810000280,1839,1.0,168,181
810000281,1872,1.0,168,181
810000370,17943,1.0,50,60
810000371,18944,1.0,50,60
810000372,19997,1.0,51,61
810000377,21102,1.0,52,62
810001335,497,1.0,111,120
810001336,507,1.0,112,121
810001337,518,1.0,112,121
810001338,528,1.0,113,122
810001339,539,1.0,113,122
810001340,551,1.0,115,125
810001341,562,1.0,116,126
810001342,574,1.0,116,126
810001343,585,1.0,118,127
810001344,597,1.0,118,127
810001362,610,1.0,119,128
810001345,622,1.0,120,130
810001363,635,1.0,120,130
810001346,648,1.0,122,132
810001364,661,1.0,122,132
810001347,674,1.0,123,133
810001365,688,1.0,125,135
810001348,701,1.0,125,135
810001366,658,1.0,75,90
810001349,730,1.0,126,136
810001370,685,1.0,76,91
810001350,759,1.0,129,139
810001368,712,1.0,77,92
810001351,790,1.0,130,141
810001369,741,1.0,78,93
810000714,1477,1.0,158,171
810000715,1504,1.0,158,171
810000716,1532,1.0,160,173
810001546,996,1.0,140,152
810001547,1015,1.0,141,153
810001548,1035,1.0,141,153
810001549,1055,1.0,143,154
810001550,1075,1.0,143,154
810001551,1096,1.0,144,155
810001552,1117,1.0,146,158
810001553,1138,1.0,146,158
810001554,1159,1.0,147,159
810001357,1741,1.0,165,179
810000720,1619,1.0,162,175
810000721,1649,1.0,162,175
810000722,1679,1.0,164,177
810000723,17100,1.0,164,177
810000302,0,0.0,0,0
810000307,0,0.0,0,0
810000310,0,0.0,0,0
810060017,0,0.0,0,0
810070039,0,0.0,0,0
810080001,0,0.0,0,0
810080002,0,0.0,0,0
810080003,0,0.0,0,0
810080004,0,0.0,0,0
810080005,0,0.0,0,0
810080006,0,0.0,0,0
810080007,0,0.0,0,0
810080008,0,0.0,0,0
810080009,0,0.0,0,0
810080010,0,0.0,0,0
810080011,0,0.0,0,0
810080012,0,0.0,0,0
810080013,0,0.0,0,0
810080014,0,0.0,0,0
810080015,0,0.0,0,0
810080016,0,0.0,0,0
810080017,0,0.0,0,0
810080018,0,0.0,0,0
810080019,0,0.0,0,0
810080020,0,0.0,0,0
810080021,0,0.0,0,0
810080022,0,0.0,0,0
810080023,0,0.0,0,0
810080024,0,0.0,0,0
810080025,0,0.0,0,0
810080026,0,0.0,0,0
810080027,0,0.0,0,0
810080028,0,0.0,0,0
810080031,0,0.0,0,0
810080032,0,0.0,0,0
810080033,0,0.0,0,0
810080034,0,0.0,0,0
810080035,0,0.0,0,0
810080036,0,0.0,0,0
810080037,0,0.0,0,0
810080038,0,0.0,0,0
810080039,0,0.0,0,0
810080040,0,0.0,0,0
810080041,0,0.0,0,0
810080042,0,0.0,0,0
810080043,0,0.0,0,0
810080044,0,0.0,0,0
810080045,0,0.0,0,0
810080046,0,0.0,0,0
810080047,0,0.0,0,0
810080048,0,0.0,0,0
810080049,0,0.0,7,0
810090009,0,0.0,0,0
810090010,0,0.0,0,0
810090011,0,0.0,0,0
810000367,0,0.0,0,0
810000368,0,0.0,0,0
810060003,0,0.0,0,0
810060019,0,0.0,0,0
810000107,5,1.0,10,12
810000199,5,1.0,12,13
810000110,7,1.0,14,17
810000283,13,1.0,24,28
810000284,21,1.0,33,38
810000203,29,1.0,40,47
810000200,31,1.0,40,47
810000231,42,1.0,49,59
810000327,44,1.0,35,42
810000202,45,1.0,51,61
810000287,48,1.0,286,336
810000298,53,1.0,365,428
810000297,55,1.0,732,858
810000288,72,1.0,454,530
810000328,74,1.0,47,56
810000285,76,1.0,530,530
810000204,78,1.0,68,80
810000289,82,1.0,530,530
810000299,95,1.0,1260,1512
810000235,100,1.0,173,206
810000329,122,1.0,59,70
810000286,138,1.0,924,924
810000222,153,1.0,91,110
810000282,153,1.0,91,110
810000305,165,1.0,410,490
810000304,175,1.0,420,500
810000326,175,1.0,1200,2400
810000330,191,1.0,71,85
810000183,217,1.0,329,392
810000184,119,1.0,240,285
810000180,280,1.0,371,441
810000181,317,1.0,392,469
810000182,357,1.0,413,490
810000158,401,1.0,434,518
810000290,454,1.0,5040,6160
810000291,454,1.0,1740,2040
810000311,515,1.0,690,810
810000292,815,1.0,1638,1966
810000241,833,1.0,1638,1966
810000293,852,1.0,1664,1992
810000300,895,1.0,2700,3240
810000301,955,1.0,1980,2340
810000247,1153,1.0,3024,3612
810000312,1224,1.0,3180,3780
810000319,1224,1.0,3180,3780
810000236,1442,1.0,5600,9800
810000306,1584,1.0,3600,4320
810000303,2018,1.0,4020,4800
810000324,2719,1.0,4680,5580
810000364,3774,1.0,4020,4800
810000234,0,0.0,0,0
810000237,0,0.0,0,0
810000243,0,0.0,0,0
810000308,0,0.0,0,0
810000309,0,0.0,0,0
810000313,0,0.0,0,0
810000314,0,0.0,0,0
810000315,0,0.0,0,0
810000316,0,0.0,0,0
810000317,0,0.0,0,0
810000318,0,0.0,0,0
810000320,0,0.0,0,0
810000321,0,0.0,0,0
810000322,0,0.0,0,0
810000323,0,0.0,0,0
810000325,0,0.0,0,0
810000359,0,0.0,0,0
810000360,0,0.0,0,0
810090012,0,0.0,0,0
810090013,0,0.0,0,0
810090014,0,0.0,0,0
810090015,0,0.0,0,0
810090016,0,0.0,0,0
810090017,0,0.0,0,0
810090018,0,0.0,0,0
810090019,0,0.0,0,0
810090020,0,0.0,0,0
810090021,0,0.0,0,0
810090022,0,0.0,0,0
810090023,0,0.0,0,0
810090024,0,0.0,0,0
810090025,0,0.0,0,0
810090026,0,0.0,0,0
810090027,0,0.0,0,0
810090028,0,0.0,0,0
810090029,0,0.0,0,0
810090030,0,0.0,0,0
810090031,0,0.0,0,0
810090032,0,0.0,0,0
810090033,0,0.0,0,0
810090034,0,0.0,0,0
810090035,0,0.0,0,0
810090036,0,0.0,0,0
810090037,0,0.0,0,0
810090038,0,0.0,0,0
810090039,0,0.0,0,0
810000331,26,1.0,34,40
810000332,30,1.0,36,42
810000333,35,1.0,40,48
810000334,45,1.0,48,56
810000335,40,1.0,44,52
810000336,434,1.0,140,168
810000337,406,1.0,130,156
810000338,418,1.0,132,158
810000339,450,1.0,136,162
810000340,60,1.0,58,68
810000341,67,1.0,60,72
810000342,74,1.0,64,76
810000343,81,1.0,68,80
810000344,89,1.0,72,86
810000345,112,1.0,82,98
810000346,122,1.0,84,100
810000347,133,1.0,88,104
810000348,144,1.0,92,110
810000349,156,1.0,96,114
810000350,191,1.0,106,126
810000351,205,1.0,108,128
810000352,221,1.0,112,134
810000353,237,1.0,116,138
810090054,0,0.0,0,0
810090055,0,0.0,0,0
810090056,0,0.0,0,0
810090057,0,0.0,0,0
810090058,0,0.0,0,0
810090078,0,0.0,0,0
810090079,0,0.0,0,0
810090080,0,0.0,0,0
810090081,0,0.0,0,0
810090082,0,1.0,1000,5000
810090083,0,0.0,0,0
810090095,0,0.0,0,0
810090102,0,0.0,0,0
810090103,0,0.0,0,0
810090007,0,0.0,0,0
810000373,862,1.0,1984,2352
810000374,925,1.0,2016,2416
810000375,991,1.0,3472,4144
810000376,7547,1.0,5400,6480
810090112,0,0.0,0,0
810090113,0,0.0,0,0
810090120,0,0.0,0,0
810090121,0,0.0,0,0
810090123,0,0.0,0,0
810090124,0,0.0,0,0
810090125,0,0.0,0,0
810090126,0,0.0,0,0
810090127,0,0.0,0,0
810090128,0,0.0,0,0
810090129,0,0.0,0,0
810000386,3440,1.0,125,135
810000387,3505,1.0,125,135
810000388,35800,1.0,126,136
810000389,3650,1.0,126,136
810000390,3720,1.0,127,137
810000391,37950,1.0,1290,1390
810000406,149,1.0,0,0
810000407,160,1.0,0,0
810000408,172,1.0,0,0
810000409,183,1.0,0,0
810000410,195,1.0,0,0
810000411,207,1.0,0,0
810000412,220,1.0,0,0
810000413,233,1.0,0,0
810000414,247,1.0,0,0
810000415,260,1.0,0,0
810000416,274,1.0,0,0
810000417,288,1.0,0,0
810000418,302,1.0,0,0
810000419,317,1.0,0,0
810000420,333,1.0,0,0
810000421,348,1.0,0,0
810000422,364,1.0,0,0
810000423,380,1.0,0,0
810000424,397,1.0,0,0
810000425,414,1.0,0,0
810000426,431,1.0,0,0
810000427,449,1.0,0,0
810000428,467,1.0,0,0
810000429,486,1.0,0,0
810000430,504,1.0,0,0
810000431,524,1.0,0,0
810000432,543,1.0,0,0
810000433,564,1.0,0,0
810000434,585,1.0,0,0
810000435,606,1.0,0,0
810000436,627,1.0,0,0
810000437,649,1.0,0,0
810000438,672,1.0,0,0
810000439,695,1.0,0,0
810000440,718,1.0,0,0
810000441,743,1.0,0,0
810000442,767,1.0,0,0
810000443,792,1.0,0,0
810000444,817,1.0,0,0
810000445,844,1.0,0,0
810000446,870,1.0,0,0
810000447,898,1.0,0,0
810000448,925,1.0,0,0
810000449,953,1.0,0,0
810000450,982,1.0,0,0
810000451,1012,1.0,0,0
810000452,1042,1.0,0,0
810000453,1073,1.0,0,0
810000454,1104,1.0,0,0
810000455,1137,1.0,0,0
810000456,1169,1.0,0,0
810000457,1202,1.0,0,0
810000458,1236,1.0,0,0
810000459,1271,1.0,0,0
810000460,1307,1.0,0,0
810000461,1343,1.0,0,0
810000462,1380,1.0,0,0
810000463,1417,1.0,0,0
810000464,1456,1.0,0,0
810000465,1495,1.0,0,0
810000466,1535,1.0,0,0
810000467,1575,1.0,0,0
810000468,1617,1.0,0,0
810000469,1659,1.0,0,0
810000470,1702,1.0,0,0
810000471,1746,1.0,0,0
810000472,1791,1.0,0,0
810000473,1837,1.0,0,0
810000474,1883,1.0,0,0
810000476,1979,1.0,0,0
810000477,2029,1.0,0,0
810000478,2079,1.0,0,0
810000479,2131,1.0,0,0
810000480,2183,1.0,0,0
810000481,2236,1.0,0,0
810000482,2291,1.0,0,0
810000483,2346,1.0,0,0
810000484,2402,1.0,0,0
810000485,2460,1.0,0,0
810000486,2519,1.0,0,0
810000487,2578,1.0,0,0
810000488,2639,1.0,0,0
810000489,2701,1.0,0,0
810000490,2764,1.0,0,0
810000491,2829,1.0,0,0
810000492,2895,1.0,0,0
810000493,2961,1.0,0,0
810000494,3029,1.0,0,0
810000495,3099,1.0,0,0
810000496,3170,1.0,0,0
810000497,3242,1.0,0,0
810000498,3315,1.0,0,0
810000499,3390,1.0,0,0
810000500,3466,1.0,0,0
810000501,3544,1.0,0,0
810000502,3622,1.0,0,0
810000503,3703,1.0,0,0
810000504,3785,1.0,0,0
810000505,3868,1.0,0,0
810000506,3953,1.0,0,0
810000507,4040,1.0,0,0
810000508,4128,1.0,0,0
810000509,4218,1.0,0,0
810000510,4309,1.0,0,0
810000511,4402,1.0,0,0
810000512,4497,1.0,0,0
810000513,4593,1.0,0,0
810000514,4691,1.0,0,0
810000515,4791,1.0,0,0
810000516,4893,1.0,0,0
810000517,4997,1.0,0,0
810000518,5102,1.0,0,0
810000519,5210,1.0,0,0
810000520,5319,1.0,0,0
810000521,5431,1.0,0,0
810000522,5544,1.0,0,0
810000523,5659,1.0,0,0
810000524,5777,1.0,0,0
810000525,5896,1.0,0,0
810000526,6018,1.0,0,0
810000527,6142,1.0,0,0
810000528,6268,1.0,0,0
810000529,6397,1.0,0,0
810000530,6527,1.0,0,0
810000531,6660,1.0,0,0
810000532,6795,1.0,0,0
810000533,6933,1.0,0,0
810000534,7073,1.0,0,0
810000535,7216,1.0,0,0
810000536,0,0.0,0,0
810000537,0,0.0,0,0
810000538,0,0.0,0,0
810000539,0,0.0,0,0
810000540,0,0.0,0,0
810000541,0,0.0,0,0
810000542,0,0.0,0,0
810000543,0,0.0,0,0
810000544,0,0.0,0,0
810000545,0,0.0,0,0
810000546,0,0.0,0,0
810000547,0,0.0,0,0
810000548,0,0.0,0,0
810000549,0,0.0,0,0
810000550,0,0.0,0,0
810000551,0,0.0,0,0
810000552,0,0.0,0,0
810000553,0,0.0,0,0
810000554,0,0.0,0,0
810000555,0,0.0,0,0
810000556,0,0.0,0,0
810000557,0,0.0,0,0
810000558,0,0.0,0,0
810000559,0,0.0,0,0
810000560,0,0.0,0,0
810000561,0,0.0,0,0
810000392,27624,1.0,10500,12600
810000393,27624,1.0,10500,12600
810000394,30198,1.0,10740,12840
810000578,0,0.0,0,0
810000579,0,0.0,0,0
810000580,0,0.0,0,0
810000581,0,0.0,0,0
810000582,0,0.0,0,0
810000583,0,0.0,0,0
810000584,0,0.0,0,0
810000585,0,0.0,0,0
810000586,0,0.0,0,0
810000587,0,0.0,0,0
810000588,0,0.0,0,0
810000589,0,0.0,0,0
810000590,0,0.0,0,0
810000591,0,0.0,0,0
810000592,0,0.0,0,0
810000593,0,0.0,0,0
810000594,0,0.0,0,0
810000595,0,0.0,0,0
810000596,0,0.0,0,0
810000598,0,0.0,0,0
810000599,0,0.0,0,0
810000600,0,0.0,0,0
810000601,0,0.0,0,0
810000562,246,1.0,19,23
810000563,266,1.0,20,24
810000564,287,1.0,21,25
810000565,310,1.0,21,26
810000566,317,1.0,22,26
810000567,449,1.0,344,412
810000568,475,1.0,352,420
810000569,516,1.0,370,436
810000570,560,1.0,386,462
810000571,5592,1.0,2000,20000
810000572,411,1.0,104,112
810000573,420,1.0,104,112
810000574,429,1.0,105,114
810000575,438,1.0,105,114
810000576,4470,1.0,106,115
810000617,29379,1.0,69720,83160
810000631,0,0.0,0,0
810000639,929,1.0,883,1056
810000673,0,0.0,0,0
810000674,0,0.0,0,0
810000675,0,0.0,0,0
810000676,0,0.0,0,0
810000677,0,0.0,0,0
810000678,0,0.0,0,0
810000679,0,0.0,0,0
810000680,0,0.0,0,0
810000681,0,0.0,0,0
810000682,0,0.0,0,0
810000683,0,0.0,0,0
810000684,0,0.0,0,0
810000685,0,0.0,0,0
810000686,0,0.0,0,0
810000687,0,0.0,0,0
810000688,0,0.0,0,0
810000689,0,0.0,0,0
810000690,0,0.0,0,0
810000691,0,0.0,0,0
810000692,0,0.0,0,0
810000693,0,0.0,0,0
810000694,0,0.0,0,0
810000695,0,0.0,0,0
810000696,0,0.0,0,0
810000697,0,0.0,0,0
810000698,0,0.0,0,0
810000699,0,0.0,0,0
810000700,0,0.0,0,0
810000701,0,0.0,0,0
810000702,0,0.0,0,0
810000703,0,0.0,0,0
810000704,0,0.0,0,0
810000705,0,0.0,0,0
810000706,0,0.0,0,0
810000707,0,0.0,0,0
810000708,0,0.0,0,0
810000709,0,0.0,0,0
810000710,0,0.0,0,0
810000668,0,0.0,0,0
810000669,0,0.0,0,0
810000670,0,0.0,0,0
810000658,0,0.0,0,0
810000659,0,0.0,0,0
810000660,0,0.0,0,0
810000661,0,0.0,0,0
810000662,0,0.0,0,0
810000663,0,0.0,0,0
810000664,0,0.0,0,0
810000665,0,0.0,0,0
810000666,0,0.0,0,0
810000712,0,0.0,0,0
810000717,1561,1.0,160,173
810000718,1590,1.0,161,174
810000719,1619,1.0,162,175
810000735,0,0.0,0,0
810000770,1250,1.0,150,162
810000771,1273,1.0,151,163
810000772,1297,1.0,151,163
810000779,13220,0.0,0,0
810000780,62552,1.0,9000,10800
810000773,13220,1.0,1530,1650
810000788,0,0.0,0,0
810000791,888,1.0,134,144
810000792,905,1.0,136,147
810000793,923,1.0,137,148
810000794,1015,1.0,141,153
810000795,13276,1.0,8460,10140
810000796,0,1.0,5580,6660
810000800,0,1.0,5580,6660
810000804,0,1.0,5580,6660
810000820,0,0.0,0,0
810000821,0,0.0,0,0
810000822,0,0.0,0,0
810000823,0,0.0,0,0
810000827,0,0.0,0,0
810000828,0,0.0,0,0
810000829,0,0.0,0,0
810000811,0,0.0,0,0
810000812,0,0.0,0,0
810000813,0,0.0,0,0
810000817,0,0.0,0,0
810000818,0,0.0,0,0
810000819,0,0.0,0,0
810000830,0,0.0,0,0
810000831,0,0.0,0,0
810000832,0,0.0,0,0
810000833,0,0.0,0,0
810000834,0,0.0,0,0
810000835,0,0.0,0,0
810000836,0,0.0,0,0
810000837,0,0.0,0,0
810000838,0,0.0,0,0
810000839,0,0.0,0,0
810000840,0,0.0,0,0
810000841,0,0.0,0,0
810000842,0,0.0,0,0
810000848,0,0.0,0,0
810001052,0,0.0,0,0
810001053,0,0.0,0,0
810000854,26,1.0,13,16
810000855,28,1.0,13,16
810000856,30,1.0,14,17
810000857,32,1.0,14,17
810000858,34,1.0,16,18
810000859,36,1.0,17,19
810000860,39,1.0,17,19
810000861,41,1.0,18,22
810000862,43,1.0,18,22
810000863,46,1.0,19,23
810000864,48,1.0,20,24
810000865,51,1.0,20,24
810000866,53,1.0,22,25
810000867,56,1.0,22,25
810000868,59,1.0,23,26
810000869,62,1.0,24,29
810000870,64,1.0,24,29
810000871,67,1.0,25,30
810000872,70,1.0,25,30
810000873,73,1.0,26,31
810000874,76,1.0,28,32
810000875,80,1.0,28,32
810000876,83,1.0,29,34
810000877,86,1.0,29,34
810000878,90,1.0,30,36
810000879,93,1.0,31,37
810000880,97,1.0,31,37
810000881,100,1.0,32,38
810000882,104,1.0,32,38
810000883,108,1.0,34,40
810000884,112,1.0,35,41
810000885,116,1.0,35,41
810000886,120,1.0,36,43
810000887,124,1.0,36,43
810000888,128,1.0,37,44
810000889,132,1.0,38,46
810000890,137,1.0,38,46
810000891,141,1.0,40,47
810000892,146,1.0,40,47
810000893,151,1.0,41,48
810000894,156,1.0,42,50
810000895,160,1.0,42,50
810000896,165,1.0,43,52
810000897,171,1.0,43,52
810000898,176,1.0,44,53
810000899,181,1.0,46,54
810000900,187,1.0,46,54
810000901,192,1.0,47,55
810000902,198,1.0,47,55
810000903,203,1.0,48,58
810000904,209,1.0,49,59
810000905,215,1.0,49,59
810000906,222,1.0,50,60
810000907,228,1.0,50,60
810000908,234,1.0,52,61
810000909,241,1.0,53,62
810000910,247,1.0,53,62
810000911,254,1.0,54,65
810000912,261,1.0,54,65
810000913,268,1.0,55,66
810000914,275,1.0,56,67
810000915,283,1.0,56,67
810000916,290,1.0,58,68
810000917,298,1.0,58,68
810000918,306,1.0,59,70
810000919,313,1.0,60,72
810000920,322,1.0,60,72
810000921,330,1.0,61,73
810000922,338,1.0,61,73
810000923,347,1.0,62,74
810000924,356,1.0,64,76
810000925,364,1.0,64,76
810000926,374,1.0,65,77
810000927,383,1.0,65,77
810000928,392,1.0,66,79
810000929,402,1.0,67,80
810000930,412,1.0,67,80
810000931,422,1.0,68,82
810000932,432,1.0,68,82
810000933,442,1.0,70,83
810000934,453,1.0,71,84
810000935,464,1.0,71,84
810000936,475,1.0,72,86
810000937,486,1.0,72,86
810000938,497,1.0,73,88
810000939,509,1.0,74,89
810000940,521,1.0,74,89
810000941,533,1.0,76,90
810000942,545,1.0,76,90
810000943,558,1.0,77,91
810000944,570,1.0,78,94
810000945,583,1.0,78,94
810000946,597,1.0,79,95
810000947,610,1.0,79,95
810000948,624,1.0,80,96
810000949,638,1.0,82,97
810000950,652,1.0,82,97
810000951,667,1.0,83,98
810000952,681,1.0,83,98
810000953,696,1.0,84,101
810000954,712,1.0,85,102
810000955,727,1.0,85,102
810000956,743,1.0,86,103
810000957,760,1.0,86,103
810000958,776,1.0,88,104
810000959,793,1.0,89,106
810000960,810,1.0,89,106
810000961,827,1.0,90,108
810000962,845,1.0,90,108
810000963,863,1.0,91,109
810000964,882,1.0,92,110
810000965,900,1.0,92,110
810000966,919,1.0,94,112
810000967,939,1.0,94,112
810000968,959,1.0,95,113
810000969,979,1.0,96,115
810000970,999,1.0,96,115
810000971,1020,1.0,97,116
810000972,1041,1.0,97,116
810000973,1063,1.0,98,118
810000974,1085,1.0,100,119
810000975,1107,1.0,100,119
810000976,1130,1.0,101,120
810000977,1153,1.0,101,120
810000978,1177,1.0,102,122
810000979,1201,1.0,103,124
810000980,1225,1.0,103,124
810000981,1250,1.0,104,125
810000982,1275,1.0,104,125
810000983,1301,1.0,106,126
810000984,1517,1.0,107,127
810000985,1548,1.0,107,127
810000986,1579,1.0,108,130
810000987,1610,1.0,108,130
810000988,1642,1.0,109,131
810000989,1675,1.0,110,132
810000990,1708,1.0,110,132
810000991,1742,1.0,112,133
810000992,1777,1.0,112,133
810000993,1812,1.0,113,134
810000994,1848,1.0,114,137
810000995,1884,1.0,114,137
810000996,1921,1.0,115,138
810000997,1958,1.0,115,138
810000998,1997,1.0,116,139
810000999,2035,1.0,118,140
810001000,2075,1.0,118,140
810001001,2115,1.0,119,142
810001002,2156,1.0,119,142
810001003,2198,1.0,120,144
810001004,2240,1.0,121,145
810001005,2284,1.0,121,145
810001006,2327,1.0,122,146
810001007,2372,1.0,122,146
810001008,2417,1.0,124,148
810001009,2464,1.0,125,149
810001010,2511,1.0,125,149
810001011,2558,1.0,126,151
810001012,2607,1.0,126,151
810001013,2656,1.0,127,152
810001014,2707,1.0,128,154
810001015,2758,1.0,128,154
810001016,2810,1.0,130,155
810001017,2863,1.0,130,155
810001018,2917,1.0,131,156
810001019,2971,1.0,132,158
810001020,3027,1.0,132,158
810001021,3084,1.0,133,160
810001022,3141,1.0,133,160
810001023,3200,1.0,134,161
810001024,3259,1.0,136,162
810001025,3320,1.0,136,162
810001026,3381,1.0,137,163
810001027,3444,1.0,137,163
810001028,3508,1.0,138,166
810001029,3572,1.0,139,167
810001030,3638,1.0,139,167
810001031,3705,1.0,140,168
810001032,3773,1.0,140,168
810001033,3842,1.0,142,169
