ID,道具名稱,鑲嵌類型ID,道具屬性
80602907,華爾基莉雙刀+6,20,"最小攻擊力+300
最大攻擊力+326
物理最小傷害+7%
目標物理防禦力減少6%
體力 +207"
80602908,華爾基莉雙刀+7,20,"最小攻擊力+311
最大攻擊力+336
物理最小傷害+8%
目標物理防禦力減少8%
體力 +215"
80602909,華爾基莉雙刀+8,20,"最小攻擊力+327
最大攻擊力+354
物理最小傷害+9%
目標物理防禦力減少10%
體力 +227"
80602910,華爾基莉雙刀+9,20,"最小攻擊力+346
最大攻擊力+375
物理最小傷害+12%
目標物理防禦力減少12%
體力 +240"
80602911,華爾基莉雙刀+10,20,"最小攻擊力+366
最大攻擊力+398
物理最小傷害+15%
目標物理防禦力減少15%
體力 +255"
80602912,華爾基莉雙刀+11,20,"最小攻擊力+408
最大攻擊力+442
物理最小傷害+20%
目標物理防禦力減少20%
體力 +285"
80302901,華爾基莉單手劍,17,"最小攻擊力+216
最大攻擊力+263
物理最大傷害+1%
體力 +188"
80302902,華爾基莉單手劍+1,17,"最小攻擊力+218
最大攻擊力+266
物理最大傷害+2%
體力 +189"
80302903,華爾基莉單手劍+2,17,"最小攻擊力+221
最大攻擊力+269
物理最大傷害+3%
體力 +192"
80302904,華爾基莉單手劍+3,17,"最小攻擊力+224
最大攻擊力+274
物理最大傷害+4%
體力 +195"
80302905,華爾基莉單手劍+4,17,"最小攻擊力+227
最大攻擊力+278
物理最大傷害+5%
物理爆擊傷害+2%
體力 +198"
80302906,華爾基莉單手劍+5,17,"最小攻擊力+231
最大攻擊力+281
物理最大傷害+6%
物理爆擊傷害+4%
體力 +201"
80302907,華爾基莉單手劍+6,17,"最小攻擊力+237
最大攻擊力+290
物理最大傷害+7%
物理爆擊傷害+6%
體力 +207"
80302908,華爾基莉單手劍+7,17,"最小攻擊力+245
最大攻擊力+299
物理最大傷害+8%
物理爆擊傷害+8%
體力 +215"
80302909,華爾基莉單手劍+8,17,"最小攻擊力+258
最大攻擊力+315
物理最大傷害+9%
物理爆擊傷害+10%
體力 +227"
80302910,華爾基莉單手劍+9,17,"最小攻擊力+273
最大攻擊力+333
物理最大傷害+11%
物理爆擊傷害+12%
體力 +240"
80302911,華爾基莉單手劍+10,17,"最小攻擊力+288
最大攻擊力+353
物理最大傷害+13%
物理爆擊傷害+14%
體力 +255"
80302912,華爾基莉單手劍+11,17,"最小攻擊力+321
最大攻擊力+393
物理最大傷害+15%
物理爆擊傷害+16%
體力 +285"
80702901,華爾基莉戰錘,21,"最小攻擊力+192
最大攻擊力+287
物理最大傷害+1%
體力 +188"
80702902,華爾基莉戰錘+1,21,"最小攻擊力+194
最大攻擊力+290
物理最大傷害+2%
體力 +189"
80702903,華爾基莉戰錘+2,21,"最小攻擊力+196
最大攻擊力+294
物理最大傷害+3%
體力 +192"
80702904,華爾基莉戰錘+3,21,"最小攻擊力+200
最大攻擊力+298
物理最大傷害+4%
體力 +195"
80702905,華爾基莉戰錘+4,21,"最小攻擊力+202
最大攻擊力+303
物理最大傷害+5%
物理爆擊傷害+2%
體力 +198"
80702906,華爾基莉戰錘+5,21,"最小攻擊力+204
最大攻擊力+308
物理最大傷害+6%
物理爆擊傷害+4%
體力 +201"
80702907,華爾基莉戰錘+6,21,"最小攻擊力+210
最大攻擊力+316
物理最大傷害+7%
物理爆擊傷害+6%
體力 +207"
80702908,華爾基莉戰錘+7,21,"最小攻擊力+218
最大攻擊力+327
物理最大傷害+8%
物理爆擊傷害+8%
體力 +215"
80702909,華爾基莉戰錘+8,21,"最小攻擊力+230
最大攻擊力+344
物理最大傷害+9%
物理爆擊傷害+10%
體力 +227"
80702910,華爾基莉戰錘+9,21,"最小攻擊力+243
最大攻擊力+363
物理最大傷害+11%
物理爆擊傷害+12%
體力 +240"
80702911,華爾基莉戰錘+10,21,"最小攻擊力+257
最大攻擊力+384
物理最大傷害+13%
物理爆擊傷害+14%
體力 +255"
80702912,華爾基莉戰錘+11,21,"最小攻擊力+286
最大攻擊力+428
物理最大傷害+15%
物理爆擊傷害+16%
體力 +285"
80102901,華爾基莉刺手,15,"最小攻擊力+208
最大攻擊力+230
物理最大傷害+1%
體力 +188"
80102902,華爾基莉刺手+1,15,"最小攻擊力+209
最大攻擊力+231
物理最大傷害+2%
體力 +189"
80102903,華爾基莉刺手+2,15,"最小攻擊力+213
最大攻擊力+234
物理最大傷害+3%
體力 +192"
80102904,華爾基莉刺手+3,15,"最小攻擊力+215
最大攻擊力+238
物理最大傷害+4%
體力 +195"
80102905,華爾基莉刺手+4,15,"最小攻擊力+219
最大攻擊力+242
物理最大傷害+5%
物理爆擊傷害+2%
體力 +198"
80102906,華爾基莉刺手+5,15,"最小攻擊力+222
最大攻擊力+245
物理最大傷害+6%
物理爆擊傷害+4%
體力 +201"
80102907,華爾基莉刺手+6,15,"最小攻擊力+228
最大攻擊力+252
物理最大傷害+7%
物理爆擊傷害+6%
體力 +207"
80102908,華爾基莉刺手+7,15,"最小攻擊力+236
最大攻擊力+261
物理最大傷害+8%
物理爆擊傷害+8%
體力 +215"
80102909,華爾基莉刺手+8,15,"最小攻擊力+249
最大攻擊力+275
物理最大傷害+9%
物理爆擊傷害+10%
體力 +227"
80102910,華爾基莉刺手+9,15,"最小攻擊力+263
最大攻擊力+291
物理最大傷害+11%
物理爆擊傷害+12%
體力 +240"
80102911,華爾基莉刺手+10,15,"最小攻擊力+279
最大攻擊力+308
物理最大傷害+13%
物理爆擊傷害+14%
體力 +255"
80102912,華爾基莉刺手+11,15,"最小攻擊力+310
最大攻擊力+342
物理最大傷害+15%
物理爆擊傷害+16%
體力 +285"
81202901,華爾基莉杖,19,"最小攻擊力+231
最大攻擊力+281
屬性力+15
體力 +188"
81202902,華爾基莉杖+1,19,"最小攻擊力+232
最大攻擊力+284
屬性力+20
體力 +189"
81202903,華爾基莉杖+2,19,"最小攻擊力+236
最大攻擊力+288
屬性力+25
體力 +192"
81202904,華爾基莉杖+3,19,"最小攻擊力+239
最大攻擊力+292
屬性力+30
體力 +195"
81202905,華爾基莉杖+4,19,"最小攻擊力+243
最大攻擊力+297
屬性力+35
魔法最小傷害+2%
體力 +198"
81202906,華爾基莉杖+5,19,"最小攻擊力+246
最大攻擊力+302
屬性力+40
魔法最小傷害+4%
體力 +201"
81202907,華爾基莉杖+6,19,"最小攻擊力+254
最大攻擊力+310
屬性力+45
魔法最小傷害+6%
體力 +207"
81202908,華爾基莉杖+7,19,"最小攻擊力+262
最大攻擊力+321
屬性力+50
魔法最小傷害+8%
體力 +215"
81202909,華爾基莉杖+8,19,"最小攻擊力+276
最大攻擊力+338
屬性力+55
魔法最小傷害+10%
體力 +227"
81202910,華爾基莉杖+9,19,"最小攻擊力+292
最大攻擊力+357
屬性力+60
魔法最小傷害+12%
體力 +240"
81202911,華爾基莉杖+10,19,"最小攻擊力+310
最大攻擊力+378
屬性力+70
魔法最小傷害+15%
體力 +255"
81202912,華爾基莉杖+11,19,"最小攻擊力+345
最大攻擊力+422
屬性力+100
魔法最小傷害+20%
體力 +285"
80502901,華爾基莉魔法球,26,"最小攻擊力+188
最大攻擊力+207
屬性力+15
體力 +188"
80502902,華爾基莉魔法球+1,26,"最小攻擊力+189
最大攻擊力+209
屬性力+20
體力 +189"
80502903,華爾基莉魔法球+2,26,"最小攻擊力+192
最大攻擊力+212
屬性力+25
體力 +192"
80502904,華爾基莉魔法球+3,26,"最小攻擊力+195
最大攻擊力+215
屬性力+30
體力 +195"
80502905,華爾基莉魔法球+4,26,"最小攻擊力+197
最大攻擊力+219
屬性力+35
魔法最小傷害+2%
體力 +198"
80502906,華爾基莉魔法球+5,26,"最小攻擊力+201
最大攻擊力+221
屬性力+40
魔法最小傷害+4%
體力 +201"
80502907,華爾基莉魔法球+6,26,"最小攻擊力+206
最大攻擊力+228
屬性力+45
魔法最小傷害+6%
體力 +207"
80502908,華爾基莉魔法球+7,26,"最小攻擊力+213
最大攻擊力+236
屬性力+50
魔法最小傷害+8%
體力 +215"
80502909,華爾基莉魔法球+8,26,"最小攻擊力+225
最大攻擊力+249
屬性力+55
魔法最小傷害+10%
體力 +227"
80502910,華爾基莉魔法球+9,26,"最小攻擊力+238
最大攻擊力+262
屬性力+60
魔法最小傷害+12%
體力 +240"
80502911,華爾基莉魔法球+10,26,"最小攻擊力+251
最大攻擊力+279
屬性力+70
魔法最小傷害+15%
體力 +255"
80502912,華爾基莉魔法球+11,26,"最小攻擊力+280
最大攻擊力+310
屬性力+100
魔法最小傷害+20%
體力 +285"
81302901,華爾基莉吉他,28,"最小攻擊力+231
最大攻擊力+281
屬性力+15
體力 +188"
81302902,華爾基莉吉他+1,28,"最小攻擊力+232
最大攻擊力+284
屬性力+20
體力 +189"
81302903,華爾基莉吉他+2,28,"最小攻擊力+236
最大攻擊力+288
屬性力+25
體力 +192"
81302904,華爾基莉吉他+3,28,"最小攻擊力+239
最大攻擊力+292
屬性力+30
體力 +195"
81302905,華爾基莉吉他+4,28,"最小攻擊力+243
最大攻擊力+297
屬性力+35
魔法最小傷害+2%
體力 +198"
81302906,華爾基莉吉他+5,28,"最小攻擊力+246
最大攻擊力+302
屬性力+40
魔法最小傷害+4%
體力 +201"
81302907,華爾基莉吉他+6,28,"最小攻擊力+254
最大攻擊力+310
屬性力+45
魔法最小傷害+6%
體力 +207"
81302908,華爾基莉吉他+7,28,"最小攻擊力+262
最大攻擊力+321
屬性力+50
魔法最小傷害+8%
體力 +215"
81302909,華爾基莉吉他+8,28,"最小攻擊力+276
最大攻擊力+338
屬性力+55
魔法最小傷害+10%
體力 +227"
81302910,華爾基莉吉他+9,28,"最小攻擊力+292
最大攻擊力+357
屬性力+60
魔法最小傷害+12%
體力 +240"
81302911,華爾基莉吉他+10,28,"最小攻擊力+310
最大攻擊力+378
屬性力+70
魔法最小傷害+15%
體力 +255"
81302912,華爾基莉吉他+11,28,"最小攻擊力+345
最大攻擊力+422
屬性力+100
魔法最小傷害+20%
體力 +285"
80902901,華爾基莉弓,23,"最小攻擊力+188
最大攻擊力+207
物理命中率+1%
體力 +188"
80902902,華爾基莉弓+1,23,"最小攻擊力+189
最大攻擊力+209
物理命中率+2%
體力 +189"
80902903,華爾基莉弓+2,23,"最小攻擊力+192
最大攻擊力+212
物理命中率+3%
體力 +192"
80902904,華爾基莉弓+3,23,"最小攻擊力+195
最大攻擊力+215
物理命中率+4%
體力 +195"
80902905,華爾基莉弓+4,23,"最小攻擊力+197
最大攻擊力+219
物理命中率+5%
物理最大傷害+1%
體力 +198"
80902906,華爾基莉弓+5,23,"最小攻擊力+201
最大攻擊力+221
物理命中率+6%
物理最大傷害+2%
體力 +201"
80902907,華爾基莉弓+6,23,"最小攻擊力+206
最大攻擊力+228
物理命中率+7%
物理最大傷害+4%
體力 +207"
80902908,華爾基莉弓+7,23,"最小攻擊力+213
最大攻擊力+236
物理命中率+8%
物理最大傷害+6%
體力 +215"
80902909,華爾基莉弓+8,23,"最小攻擊力+225
最大攻擊力+249
物理命中率+9%
物理最大傷害+8%
體力 +227"
80902910,華爾基莉弓+9,23,"最小攻擊力+238
最大攻擊力+262
物理命中率+10%
物理最大傷害+10%
體力 +240"
80902911,華爾基莉弓+10,23,"最小攻擊力+251
最大攻擊力+279
物理命中率+11%
物理最大傷害+12%
體力 +255"
80902912,華爾基莉弓+11,23,"最小攻擊力+280
最大攻擊力+310
物理命中率+12%
物理最大傷害+15%
體力 +285"
81002901,華爾基莉狂弩,24,"最小攻擊力+263
最大攻擊力+356
物理命中率+1%
體力 +188"
81002902,華爾基莉狂弩+1,24,"最小攻擊力+264
最大攻擊力+358
物理命中率+2%
體力 +189"
81002903,華爾基莉狂弩+2,24,"最小攻擊力+269
最大攻擊力+363
物理命中率+3%
體力 +192"
81002904,華爾基莉狂弩+3,24,"最小攻擊力+273
最大攻擊力+369
物理命中率+4%
體力 +195"
81002905,華爾基莉狂弩+4,24,"最小攻擊力+276
最大攻擊力+374
物理命中率+5%
物理最大傷害+1%
體力 +198"
81002906,華爾基莉狂弩+5,24,"最小攻擊力+280
最大攻擊力+380
物理命中率+6%
物理最大傷害+2%
體力 +201"
81002907,華爾基莉狂弩+6,24,"最小攻擊力+288
最大攻擊力+390
物理命中率+7%
物理最大傷害+4%
體力 +207"
81002908,華爾基莉狂弩+7,24,"最小攻擊力+298
最大攻擊力+404
物理命中率+8%
物理最大傷害+6%
體力 +215"
81002909,華爾基莉狂弩+8,24,"最小攻擊力+314
最大攻擊力+425
物理命中率+9%
物理最大傷害+8%
體力 +227"
81002910,華爾基莉狂弩+9,24,"最小攻擊力+332
最大攻擊力+449
物理命中率+10%
物理最大傷害+10%
體力 +240"
81002911,華爾基莉狂弩+10,24,"最小攻擊力+352
最大攻擊力+476
物理命中率+11%
物理最大傷害+12%
體力 +255"
81002912,華爾基莉狂弩+11,24,"最小攻擊力+392
最大攻擊力+530
物理命中率+12%
物理最大傷害+15%
體力 +285"
80202901,華爾基莉匕首,16,"最小攻擊力+201
最大攻擊力+246
物理命中率+1%
體力 +188"
80202902,華爾基莉匕首+1,16,"最小攻擊力+203
最大攻擊力+248
物理命中率+2%
體力 +189"
80202903,華爾基莉匕首+2,16,"最小攻擊力+206
最大攻擊力+251
物理命中率+3%
體力 +192"
80202904,華爾基莉匕首+3,16,"最小攻擊力+209
最大攻擊力+255
物理命中率+4%
體力 +195"
80202905,華爾基莉匕首+4,16,"最小攻擊力+212
最大攻擊力+258
物理命中率+5%
物理最大傷害+1%
體力 +198"
80202906,華爾基莉匕首+5,16,"最小攻擊力+215
最大攻擊力+262
物理命中率+6%
物理最大傷害+2%
體力 +201"
80202907,華爾基莉匕首+6,16,"最小攻擊力+221
最大攻擊力+270
物理命中率+7%
物理最大傷害+4%
體力 +207"
80202908,華爾基莉匕首+7,16,"最小攻擊力+228
最大攻擊力+279
物理命中率+8%
物理最大傷害+6%
體力 +215"
80202909,華爾基莉匕首+8,16,"最小攻擊力+240
最大攻擊力+294
物理命中率+9%
物理最大傷害+8%
體力 +227"
80202910,華爾基莉匕首+9,16,"最小攻擊力+255
最大攻擊力+311
物理命中率+10%
物理最大傷害+10%
體力 +240"
80202911,華爾基莉匕首+10,16,"最小攻擊力+269
最大攻擊力+329
物理命中率+11%
物理最大傷害+12%
體力 +255"
80202912,華爾基莉匕首+11,16,"最小攻擊力+299
最大攻擊力+366
物理命中率+12%
物理最大傷害+15%
體力 +285"
81402901,華爾基莉雙槍,29,"最小攻擊力+214
最大攻擊力+261
物理最小傷害+1%
體力 +188"
81402902,華爾基莉雙槍+1,29,"最小攻擊力+215
最大攻擊力+263
物理最小傷害+2%
體力 +189"
81402903,華爾基莉雙槍+2,29,"最小攻擊力+219
最大攻擊力+267
物理最小傷害+3%
體力 +192"
81402904,華爾基莉雙槍+3,29,"最小攻擊力+222
最大攻擊力+272
物理最小傷害+4%
體力 +195"
81402905,華爾基莉雙槍+4,29,"最小攻擊力+225
最大攻擊力+275
物理最小傷害+5%
目標物理防禦力減少2%
體力 +198"
81402906,華爾基莉雙槍+5,29,"最小攻擊力+228
最大攻擊力+279
物理最小傷害+6%
目標物理防禦力減少4%
體力 +201"
