ID,怪物名稱,_Target_Type,等級,命中率要求,最大HP,最大SP,力量,體力,魔法,幸運,減傷率(%),物理最小傷害,物理最大傷害,魔法最小傷害,魔法最大傷害,移動速度,跳躍力,屬性力,物理固定傷害,物理傷害減少,物理貫穿力,魔法貫穿力,跳躍攻擊力,最小攻擊力,最大攻擊力,物理暴擊傷害,魔法暴擊 傷害,治愈效果,治愈暴擊率,最大HP係數,最大MP係數,HP恢復倍率,SP恢復倍率,物理命中率,魔法命中率,物理回避率,魔法回避率,物理背後攻擊傷害,魔法背後攻擊傷害,_BASE_ATK_ADD_FACTOR,_BASE_ATK_RATIO_FACTOR,_BASE_ELE_ADD_FACTOR,_BASE_ELE_RATIO_FACTOR,防禦力,_BASE_HEAL_HP_ADD,_BASE_HEAL_SP_ADD,_BASE_HEAL_HP_FACTOR,_BASE_HEAL_SP_FACTOR,魔法固定傷害,魔法傷害減少,屬性最小傷害,屬性最大傷害,抵抗力,屬性傷害,物理免疫,魔法免疫,屬性免疫,暴擊抗性,眩晕抵抗率,睡眠抵抗率,混乱抵抗率,冰冻抵抗率,下落速度,最大下落速度,_EffectID1,_EffectID2,_EffectID3,_EffectID4,_RecallID,_Drop_place,_Active_mob,_LifeTime,_LifeTime2,_Mob_Type,_HP_reset,_HIT_Revision,_SealSkill_Probability,_SealSkill_ID,怪物傷害類型,是否為BOSS,_Difficulty_Check
810000111,늑대,3,7,0,128.0,18,25,25,25,56,0,95,105,95,105,132,-800,16,0,1,0,0,6,14,17,50,50,50,50,325,150,2,3,4,4,0,0,20,20,21,200,21,200,135,0,0,100,100,0,0,0,0,135,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000112,청랑,3,9,0,197.0,21,30,30,30,72,0,95,105,95,105,132,-800,19,0,3,0,0,7,17,21,50,50,50,50,325,150,2,3,5,5,0,0,20,20,22,200,22,200,165,0,0,100,100,0,1,0,0,165,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000113,보글,3,12,0,329.0,25,39,39,39,96,0,95,105,95,105,132,-800,25,0,5,0,0,8,22,28,50,50,50,50,325,150,2,3,6,6,0,0,20,20,22,200,22,200,210,0,0,100,100,0,4,0,0,210,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000114,보로클,3,20,0,840.0,36,62,62,62,162,0,95,105,95,105,132,-800,41,0,11,0,0,12,36,45,50,50,50,50,325,150,2,3,10,10,0,0,20,20,24,200,24,200,330,0,0,100,100,0,12,0,0,330,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000115,보글리,3,11,0,281.0,23,36,36,36,88,0,95,105,95,105,132,-800,23,0,4,0,0,8,20,25,50,50,50,50,325,150,2,3,6,6,0,0,20,20,22,200,22,200,195,0,0,100,100,0,3,0,0,195,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000116,프리바링,3,33,0,2166.0,54,102,102,102,275,0,95,105,95,105,132,-800,70,0,21,0,0,19,61,78,50,50,50,50,325,150,2,3,17,17,0,0,20,20,26,200,26,200,525,0,0,100,100,0,25,0,0,525,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000117,좀비 프리바링,3,124,0,37282.0,182,455,455,455,1280,0,95,105,95,105,132,-800,466,0,89,0,0,64,413,518,50,50,50,50,325,150,2,3,62,62,0,0,20,20,54,200,54,200,1890,0,0,100,100,0,116,0,0,1890,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000118,젤라틴 큐브,3,14,0,435.0,28,44,44,44,112,0,95,105,95,105,132,-800,29,0,7,0,0,9,25,32,50,50,50,50,325,150,2,3,7,7,0,0,20,20,22,200,22,200,240,0,0,100,100,0,6,0,0,240,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000119,블러디 큐브,3,53,0,5409.0,82,168,168,168,464,0,95,105,95,105,132,-800,124,0,36,0,0,29,110,138,50,50,50,50,325,150,2,3,27,27,0,0,20,20,31,200,31,200,825,0,0,100,100,0,45,0,0,825,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000120,고블린,3,16,0,555.0,30,50,50,50,128,0,95,105,95,105,132,-800,33,0,8,0,0,10,29,36,50,50,50,50,325,150,2,3,8,8,0,0,20,20,23,200,23,200,270,0,0,100,100,0,8,0,0,270,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000121,대왕 고블린,3,16,0,5550.0,30,50,50,50,128,0,95,105,95,105,132,-800,33,0,8,0,0,10,29,36,50,50,50,50,325,150,2,3,8,8,0,0,20,20,23,200,23,200,270,0,0,100,100,0,8,0,0,270,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,2,1,1
810000122,마왕 고블린,3,125,0,379950.0,183,459,459,459,1293,0,95,105,95,105,132,-800,472,0,90,0,0,65,418,526,50,50,50,50,325,150,2,3,63,63,0,0,20,20,55,200,55,200,1905,0,0,100,100,0,117,0,0,1905,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,2,1,1
810000123,갈색 곰,3,23,0,1091.0,40,71,71,71,187,0,95,105,95,105,132,-800,47,0,13,0,0,14,41,52,50,50,50,50,325,150,2,3,12,12,0,0,20,20,24,200,24,200,375,0,0,100,100,0,15,0,0,375,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000124,코볼트,3,22,0,1004.0,39,68,68,68,179,0,95,105,95,105,132,-800,45,0,13,0,0,13,39,50,50,50,50,50,325,150,2,3,11,11,0,0,20,20,24,200,24,200,360,0,0,100,100,0,14,0,0,360,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000125,호랑이,3,28,0,1583.0,47,86,86,86,230,0,95,105,95,105,132,-800,58,0,17,0,0,16,51,65,50,50,50,50,325,150,2,3,14,14,0,0,20,20,25,200,25,200,450,0,0,100,100,0,20,0,0,450,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000126,백호,3,37,0,2698.0,60,114,114,114,311,0,95,105,95,105,132,-800,79,0,24,0,0,21,70,88,50,50,50,50,325,150,2,3,19,19,0,0,20,20,27,200,27,200,585,0,0,100,100,0,29,0,0,585,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000127,흑호,3,36,0,2560.0,58,111,111,111,302,0,95,105,95,105,132,-800,77,0,23,0,0,20,68,86,50,50,50,50,325,150,2,3,18,18,0,0,20,20,27,200,27,200,570,0,0,100,100,0,28,0,0,570,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000128,구미호,3,25,0,1277.0,43,77,77,77,204,0,95,105,95,105,132,-800,51,0,15,0,0,15,45,57,50,50,50,50,325,150,2,3,13,13,0,0,20,20,25,200,25,200,405,0,0,100,100,0,17,0,0,405,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000129,흰꼬리 구미호,3,32,0,2042.0,53,99,99,99,266,0,95,105,95,105,132,-800,68,0,20,0,0,18,60,75,50,50,50,50,325,150,2,3,16,16,0,0,20,20,26,200,26,200,510,0,0,100,100,0,24,0,0,510,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000130,프로그G,3,31,0,1922.0,51,95,95,95,257,0,95,105,95,105,132,-800,65,0,19,0,0,18,57,72,50,50,50,50,325,150,2,3,16,16,0,0,20,20,26,200,26,200,495,0,0,100,100,0,23,0,0,495,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000131,마우스 피치,3,35,0,2425.0,57,108,108,108,293,0,95,105,95,105,132,-800,74,0,22,0,0,20,65,82,50,50,50,50,325,150,2,3,18,18,0,0,20,20,27,200,27,200,555,0,0,100,100,0,27,0,0,555,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000132,흑색 곰,3,24,0,1182.0,42,74,74,74,196,0,95,105,95,105,132,-800,49,0,14,0,0,14,43,54,50,50,50,50,325,150,2,3,12,12,0,0,20,20,24,200,24,200,390,0,0,100,100,0,16,0,0,390,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000133,사냥개,3,38,0,2840.0,61,118,118,118,320,0,95,105,95,105,132,-800,82,0,25,0,0,21,72,91,50,50,50,50,325,150,2,3,19,19,0,0,20,20,27,200,27,200,600,0,0,100,100,0,30,0,0,600,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000134,갑파,3,39,0,2986.0,63,121,121,121,330,0,95,105,95,105,132,-800,84,0,25,0,0,22,74,94,50,50,50,50,325,150,2,3,20,20,0,0,20,20,27,200,27,200,615,0,0,100,100,0,31,0,0,615,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000135,벚나무 사령,3,41,0,3289.0,65,128,128,128,348,0,95,105,95,105,132,-800,90,0,27,0,0,23,79,100,50,50,50,50,325,150,2,3,21,21,0,0,20,20,28,200,28,200,645,0,0,100,100,0,33,0,0,645,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000136,하얀 벚나무 사령,3,42,0,3445.0,67,131,131,131,358,0,95,105,95,105,132,-800,93,0,28,0,0,23,82,103,50,50,50,50,325,150,2,3,21,21,0,0,20,20,28,200,28,200,660,0,0,100,100,0,34,0,0,660,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000137,무사 코볼트,3,40,0,3136.0,64,124,124,124,339,0,95,105,95,105,132,-800,87,0,26,0,0,22,77,97,50,50,50,50,325,150,2,3,20,20,0,0,20,20,28,200,28,200,630,0,0,100,100,0,32,0,0,630,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000138,견신,3,49,0,4644.0,77,154,154,154,424,0,95,105,95,105,132,-800,112,0,33,0,0,27,99,125,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,765,0,0,100,100,0,41,0,0,765,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000139,그림자 닌자 청,3,43,0,3605.0,68,134,134,134,367,0,95,105,95,105,132,-800,95,0,28,0,0,24,84,106,50,50,50,50,325,150,2,3,22,22,0,0,20,20,28,200,28,200,675,0,0,100,100,0,35,0,0,675,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000140,그림자 닌자 적,3,44,0,3769.0,70,137,137,137,376,0,95,105,95,105,132,-800,99,0,29,0,0,24,87,110,50,50,50,50,325,150,2,3,22,22,0,0,20,20,29,200,29,200,690,0,0,100,100,0,36,0,0,690,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000141,그림자 닌자 자,3,45,0,3937.0,71,141,141,141,386,0,95,105,95,105,132,-800,101,0,30,0,0,25,89,112,50,50,50,50,325,150,2,3,23,23,0,0,20,20,29,200,29,200,705,0,0,100,100,0,37,0,0,705,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000142,그림자 닌자 흑,3,46,0,4108.0,72,144,144,144,396,0,95,105,95,105,132,-800,104,0,31,0,0,25,92,116,50,50,50,50,325,150,2,3,23,23,0,0,20,20,29,200,29,200,720,0,0,100,100,0,38,0,0,720,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000143,그림자 닌자 백,3,47,0,4283.0,74,148,148,148,405,0,95,105,95,105,132,-800,107,0,31,0,0,26,94,119,50,50,50,50,325,150,2,3,24,24,0,0,20,20,29,200,29,200,735,0,0,100,100,0,39,0,0,735,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000144,귀신무사,3,50,0,48300.0,78,158,158,158,434,0,95,105,95,105,132,-800,116,0,34,0,0,27,102,129,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,780,0,0,100,100,0,42,0,0,780,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,2,1,1
810000145,버서커 샌드맨,3,55,0,5813.0,85,175,175,175,484,0,95,105,95,105,132,-800,131,0,37,0,0,30,115,146,50,50,50,50,325,150,2,3,28,28,0,0,20,20,31,200,31,200,855,0,0,100,100,0,47,0,0,855,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000146,액스 비크,3,51,0,5019.0,79,161,161,161,444,0,95,105,95,105,132,-800,118,0,34,0,0,28,104,132,50,50,50,50,325,150,2,3,26,26,0,0,20,20,30,200,30,200,795,0,0,100,100,0,43,0,0,795,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000147,박쥐,3,21,0,920.0,37,65,65,65,170,0,95,105,95,105,132,-165,42,0,12,0,0,13,37,47,50,50,50,50,325,150,2,3,11,11,0,0,20,20,24,200,24,200,345,0,0,100,100,0,13,0,0,345,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000148,지하박쥐,3,125,0,37995.0,183,459,459,459,1293,0,95,105,95,105,132,-165,472,0,90,0,0,65,418,526,50,50,50,50,325,150,2,3,63,63,0,0,20,20,55,200,55,200,1905,0,0,100,100,0,117,0,0,1905,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000149,프리스프링,3,50,0,4830.0,78,158,158,158,434,0,95,105,95,105,132,-800,116,0,34,0,0,27,102,129,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,780,0,0,100,100,0,42,0,0,780,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000150,리키드 큐브,3,52,0,5212.0,81,165,165,165,454,0,95,105,95,105,132,-800,121,0,35,0,0,28,107,135,50,50,50,50,325,150,2,3,26,26,0,0,20,20,30,200,30,200,810,0,0,100,100,0,44,0,0,810,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000151,산체스,3,54,0,5609.0,84,172,172,172,474,0,95,105,95,105,132,-800,128,0,37,0,0,29,113,142,50,50,50,50,325,150,2,3,27,27,0,0,20,20,31,200,31,200,840,0,0,100,100,0,46,0,0,840,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000152,좀비,3,58,0,6447.0,89,186,186,186,514,0,95,105,95,105,132,-800,141,0,40,0,0,31,125,157,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,900,0,0,100,100,0,50,0,0,900,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000153,미이라 좀비,3,59,0,6665.0,91,189,189,189,524,0,95,105,95,105,132,-800,144,0,40,0,0,32,127,160,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,915,0,0,100,100,0,51,0,0,915,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000154,스켈톤,3,60,0,6888.0,92,193,193,193,534,0,95,105,95,105,132,-800,147,0,41,0,0,32,130,164,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,930,0,0,100,100,0,52,0,0,930,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000155,라미아,3,63,0,7576.0,96,204,204,204,565,0,95,105,95,105,132,-800,158,0,43,0,0,34,139,176,50,50,50,50,325,150,2,3,32,32,0,0,20,20,33,200,33,200,975,0,0,100,100,0,55,0,0,975,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000156,밴더스내치,3,62,0,7343.0,95,200,200,200,555,0,95,105,95,105,132,-800,155,0,43,0,0,33,137,172,50,50,50,50,325,150,2,3,31,31,0,0,20,20,33,200,33,200,960,0,0,100,100,0,54,0,0,960,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000157,미이라 프리링,3,57,0,6232.0,88,182,182,182,504,0,95,105,95,105,132,-800,138,0,39,0,0,31,122,153,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,885,0,0,100,100,0,49,0,0,885,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000158,빅 머슬,3,95,0,118575.0,118575,570,570,570,570,30,95,105,95,105,180,-800,219,0,67,0,0,250,350,409,50,50,50,0,1625,750,2,3,71,71,0,0,20,20,56,200,56,200,1455,0,0,100,100,0,87,0,0,1425,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000159,그림자 닌자 왕,3,49,0,46440.0,77,154,154,154,424,0,95,105,95,105,132,-800,112,0,33,0,0,27,99,125,50,50,50,50,325,150,2,3,25,25,0,0,20,20,30,200,30,200,765,0,0,100,100,0,41,0,0,765,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,2,1,1
810000160,설녀,3,101,0,21934.0,149,353,353,353,990,0,95,105,95,105,132,-800,324,0,72,0,0,53,287,361,50,50,50,50,325,150,2,3,51,51,0,0,20,20,45,200,45,200,1545,0,0,100,100,0,93,0,0,1545,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000161,털보숭이,3,100,0,18760.0,148,349,349,349,978,0,95,105,95,105,132,-800,320,0,71,0,0,52,283,356,50,50,50,50,325,150,2,3,50,50,0,0,20,20,45,200,45,200,1530,0,0,100,100,0,92,0,0,1530,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000162,버섯군,9,1,0,42.0,42,13,13,13,13,0,95,105,95,105,156,-800,3,0,0,0,0,6,6,8,50,50,50,0,650,300,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,1,0,0,0,0,30,0,0,1,0,1
810000163,머슬양,0,1,0,42.0,42,13,13,13,13,0,95,105,95,105,156,-800,3,0,0,0,0,6,6,8,50,50,50,0,650,300,2,3,0,0,0,0,20,20,30,200,30,200,45,0,0,100,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,1,0,0,0,0,30,0,0,1,0,1
810000164,아라크네,3,56,0,6021.0,86,179,179,179,494,0,95,105,95,105,132,-800,134,0,38,0,0,30,118,150,50,50,50,50,325,150,2,3,28,28,0,0,20,20,31,200,31,200,870,0,0,100,100,0,48,0,0,870,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000165,가고일,3,58,0,6447.0,89,186,186,186,514,0,95,105,95,105,132,-195,141,0,40,0,0,31,125,157,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,900,0,0,100,100,0,50,0,0,900,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000166,빅터,3,59,0,6665.0,91,189,189,189,524,0,95,105,95,105,132,-800,144,0,40,0,0,32,127,160,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,915,0,0,100,100,0,51,0,0,915,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000167,밤파넬라,3,60,0,6888.0,92,193,193,193,534,0,95,105,95,105,132,-800,147,0,41,0,0,32,130,164,50,50,50,50,325,150,2,3,30,30,0,0,20,20,32,200,32,200,930,0,0,100,100,0,52,0,0,930,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000168,스펙터,3,61,0,7113.0,93,196,196,196,544,0,95,105,95,105,132,-195,151,0,42,0,0,33,133,168,50,50,50,50,325,150,2,3,31,31,0,0,20,20,33,200,33,200,945,0,0,100,100,0,53,0,0,945,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,1
810000169,워킹플라워,3,57,0,6232.0,88,182,182,182,504,0,95,105,95,105,132,-800,138,0,39,0,0,31,122,153,50,50,50,50,325,150,2,3,29,29,0,0,20,20,32,200,32,200,885,0,0,100,100,0,49,0,0,885,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000170,실크웜,3,17,0,621.0,32,53,53,53,137,0,95,105,95,105,132,-800,34,0,9,0,0,11,30,38,50,50,50,50,325,150,2,3,9,9,0,0,20,20,23,200,23,200,285,0,0,100,100,0,9,0,0,285,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
810000171,프쉬케,3,18,0,690.0,33,56,56,56,145,0,95,105,95,105,132,-800,36,0,10,0,0,11,32,40,50,50,50,50,325,150,2,3,9,9,0,0,20,20,23,200,23,200,300,0,0,100,100,0,10,0,0,300,0,0,0,0,0,0,0,0,0,1600,30,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,1,1
