ID,箱子名稱,獎勵名稱,效果名稱
379,耶比妹妹的蛋糕片,中型葡萄酒 X20,
380,耶比妹妹的蛋糕片,Lv.2 爆擊率增幅劑 X1,
381,耶比妹妹的蛋糕片,植物種子材料箱子 X2,
382,耶比妹妹的蛋糕片,復活精髓 X2,
383,耶比妹妹的蛋糕片,無線通訊器IR X1,
384,耶比妹妹的蛋糕片,頻道麥克風 X2,
385,耶比妹妹的蛋糕片,Lv.2 爆擊率增幅劑 X1,
386,耶比妹妹的蛋糕片,中型櫻桃酒 X20,
387,耶比妹妹的蛋糕片,中型蘇打酒 X20,
388,布朗妮領養券,布朗妮 X1,
389,(舊)初級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X1,
390,(舊)初級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X2,
391,(舊)初級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X3,
392,(舊)中級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X1,
393,(舊)中級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X2,
394,(舊)中級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X3,
395,(舊)中級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X4,
396,(舊)中級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X5,
397,(舊)高級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X1,
398,(舊)高級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X2,
399,(舊)高級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X3,
400,(舊)高級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X4,
401,(舊)高級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X5,
402,(舊)高級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X6,
403,(舊)高級黃玉硬幣箱子,(舊)羅馬競技場黃玉硬幣 X7,
404,(舊)藍寶石硬幣箱子,(舊)羅馬競技場藍寶石硬幣 X1,
405,(舊)藍寶石硬幣箱子,(舊)羅馬競技場藍寶石硬幣 X2,
406,(舊)藍寶石硬幣箱子,(舊)羅馬競技場藍寶石硬幣 X3,
407,(舊)藍寶石硬幣箱子,(舊)羅馬競技場藍寶石硬幣 X4,
408,(舊)藍寶石硬幣箱子,(舊)羅馬競技場藍寶石硬幣 X5,
409,穆亞的石頭(7日)兌換券,穆亞的石頭(7日) X1,
410,喬艾的石頭(7日)兌換券,喬艾的石頭(7日) X1,
411,條紋棒棒糖,舞扇忍者領養券 X1,
412,條紋棒棒糖,胖熊貓領養券 X1,
413,條紋棒棒糖,黑月公主的石頭兌換券 X1,
414,條紋棒棒糖,經驗值秘藥500% X1,
415,條紋棒棒糖,小圍棋的帽子 X1,
416,條紋棒棒糖,特殊雪狸貓溫泉門票 X1,
417,條紋棒棒糖,歐洲女僕裝 X1,
418,條紋棒棒糖,歐洲女僕帽 X1,
419,條紋棒棒糖,巫女祭祀道具 X1,
420,條紋棒棒糖,小圍棋的服裝 X1,
421,條紋棒棒糖,噗通噗通學習書 X1,
422,條紋棒棒糖,月球漫步學習書 X1,
423,條紋棒棒糖,小圍棋的鞋子 X1,
424,條紋棒棒糖,歐洲女僕皮鞋 X1,
425,條紋棒棒糖,小圍棋的手套 X1,
426,條紋棒棒糖,(舊)藍寶石硬幣箱子 X1,
427,條紋棒棒糖,(舊)中級黃玉硬幣箱子 X1,
428,條紋棒棒糖,一般恢復藥水 X3,
429,條紋棒棒糖,一般恢復藥水 X2,
430,條紋棒棒糖,一般恢復藥水 X1,
431,條紋棒棒糖,鑲嵌妙藥 X1,
432,條紋棒棒糖,屬性重置妙藥 X2,
433,條紋棒棒糖,紅心伺服器麥克風 X1,
434,條紋棒棒糖,骷髏頻道麥克風 X1,
435,條紋棒棒糖,四葉幸運草頻道麥克風 X1,
436,條紋棒棒糖,植物種子材料箱子 X2,
437,條紋棒棒糖,不屈的精神 X2,
438,條紋棒棒糖,衝鋒陷陣達人學習書 X5,
439,條紋棒棒糖,衝鋒陷陣高手學習書 X5,
440,執事寵物箱子,執事 X1,
441,女僕寵物箱子,女僕 X1,
442,黑月公主的石頭兌換券,黑月公主的石頭 X1,
443,白虎領養券,白虎 X1,
444,灰鼠領養券,灰鼠 X1,
445,黃金豬領養券,黃金豬 X1,
446,黃色緞帶福笊籬,白虎領養券 X1,
447,黃色緞帶福笊籬,布朗妮領養券 X1,
448,黃色緞帶福笊籬,經驗值秘藥500% X1,
449,黃色緞帶福笊籬,愛麗絲的石頭兌換券 X1,
450,黃色緞帶福笊籬,白虎手套 X1,
451,黃色緞帶福笊籬,白虎鞋子 X1,
452,黃色緞帶福笊籬,小羊帽子 X1,
453,黃色緞帶福笊籬,小羊服裝 X1,
454,黃色緞帶福笊籬,愛麗絲眉心貼 X1,
455,黃色緞帶福笊籬,菊花武器 X1,
456,黃色緞帶福笊籬,高階超級鑲嵌拼圖 X1,
457,黃色緞帶福笊籬,高階超級鑲嵌拼圖 X1,
458,黃色緞帶福笊籬,亂舞學習書 X1,
459,黃色緞帶福笊籬,鑲嵌妙藥 X1,
460,黃色緞帶福笊籬,屬性重置妙藥 X1,
461,黃色緞帶福笊籬,巴斯巴斯的妙藥 X2,
462,黃色緞帶福笊籬,紅心伺服器麥克風 X1,
463,黃色緞帶福笊籬,那勒斯的妙藥 X2,
464,黃色緞帶福笊籬,炫富(二)學習書 X2,
465,黃色緞帶福笊籬,炫富(一)學習書 X2,
466,黃色緞帶福笊籬,Lv.2 爆擊率增幅劑 X1,
