ID,强化前,强化后,强化描述,强化材料,成功率(%),是否吃镶嵌加成,手續費
40100902,弓箭筒 +1,弓箭筒 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
弓箭筒 X1",100,是,2950
40100903,弓箭筒 +2,弓箭筒 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
弓箭筒 X1",100,是,3600
40100904,弓箭筒 +3,弓箭筒 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
弓箭筒 X1",100,是,3600
40101201,土精靈,土精靈 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
土精靈 X1",100,是,2950
40101202,土精靈 +1,土精靈 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
土精靈 X1",100,是,2950
40101203,土精靈 +2,土精靈 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
土精靈 X1",100,是,3600
40101204,土精靈 +3,土精靈 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
土精靈 X1",100,是,3600
40101301,水精靈,水精靈 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
水精靈 X1",100,是,2950
40101302,水精靈 +1,水精靈 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
水精靈 X1",100,是,2950
40101303,水精靈 +2,水精靈 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
水精靈 X1",100,是,3600
40101304,水精靈 +3,水精靈 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
水精靈 X1",100,是,3600
40101501,風精靈,風精靈 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
風精靈 X1",100,是,2950
40101502,風精靈 +1,風精靈 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
風精靈 X1",100,是,2950
40101503,風精靈 +2,風精靈 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
風精靈 X1",100,是,3600
40101504,風精靈 +3,風精靈 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
風精靈 X1",100,是,3600
40101401,火精靈,火精靈 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
火精靈 X1",100,是,2950
40101402,火精靈 +1,火精靈 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
火精靈 X1",100,是,2950
40101403,火精靈 +2,火精靈 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
火精靈 X1",100,是,3600
40101404,火精靈 +3,火精靈 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
火精靈 X1",100,是,3600
40101601,雙刀披風,雙刀披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
雙刀披風 X1",100,是,2950
40101602,雙刀披風 +1,雙刀披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
雙刀披風 X1",100,是,2950
40101603,雙刀披風 +2,雙刀披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
雙刀披風 X1",100,是,3600
40101604,雙刀披風 +3,雙刀披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
雙刀披風 X1",100,是,3600
40101701,手槍披風,手槍披風 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
手槍披風 X1",100,是,2950
40101702,手槍披風 +1,手槍披風 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
手槍披風 X1",100,是,2950
40101703,手槍披風 +2,手槍披風 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
手槍披風 X1",100,是,3600
40101704,手槍披風 +3,手槍披風 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
手槍披風 X1",100,是,3600
80802901,華爾基莉長槍,華爾基莉長槍 +1,強化後材料會消失,黃金錘 X1,100,是,0
80802902,華爾基莉長槍 +1,華爾基莉長槍 +2,強化後材料會消失,黃金錘 X1,100,是,0
80802903,華爾基莉長槍 +2,華爾基莉長槍 +3,強化後材料會消失,黃金錘 X1,100,是,0
80802904,華爾基莉長槍 +3,華爾基莉長槍 +4,強化後材料會消失,黃金錘 X1,100,是,0
80802905,華爾基莉長槍 +4,華爾基莉長槍 +5,強化後材料會消失,黃金錘 X1,100,是,0
80802906,華爾基莉長槍 +5,華爾基莉長槍 +6,強化後材料會消失,黃金錘 X1,100,是,0
80802907,華爾基莉長槍 +6,華爾基莉長槍 +7,強化後材料會消失,黃金錘 X1,100,是,0
80802908,華爾基莉長槍 +7,華爾基莉長槍 +8,強化後材料會消失,黃金錘 X1,100,是,0
80802909,華爾基莉長槍 +8,華爾基莉長槍 +9,強化後材料會消失,黃金錘 X1,100,是,0
80802910,華爾基莉長槍 +9,華爾基莉長槍 +10,強化後材料會消失,黃金錘 X1,100,是,0
80802911,華爾基莉長槍 +10,華爾基莉長槍 +11,強化後材料會消失,黃金錘 X1,100,是,0
80402901,華爾基莉雙手劍,華爾基莉雙手劍 +1,強化後材料會消失,黃金錘 X1,100,是,0
80402902,華爾基莉雙手劍 +1,華爾基莉雙手劍 +2,強化後材料會消失,黃金錘 X1,100,是,0
80402903,華爾基莉雙手劍 +2,華爾基莉雙手劍 +3,強化後材料會消失,黃金錘 X1,100,是,0
80402904,華爾基莉雙手劍 +3,華爾基莉雙手劍 +4,強化後材料會消失,黃金錘 X1,100,是,0
80402905,華爾基莉雙手劍 +4,華爾基莉雙手劍 +5,強化後材料會消失,黃金錘 X1,100,是,0
80402906,華爾基莉雙手劍 +5,華爾基莉雙手劍 +6,強化後材料會消失,黃金錘 X1,100,是,0
80402907,華爾基莉雙手劍 +6,華爾基莉雙手劍 +7,強化後材料會消失,黃金錘 X1,100,是,0
80402908,華爾基莉雙手劍 +7,華爾基莉雙手劍 +8,強化後材料會消失,黃金錘 X1,100,是,0
80402909,華爾基莉雙手劍 +8,華爾基莉雙手劍 +9,強化後材料會消失,黃金錘 X1,100,是,0
80402910,華爾基莉雙手劍 +9,華爾基莉雙手劍 +10,強化後材料會消失,黃金錘 X1,100,是,0
80402911,華爾基莉雙手劍 +10,華爾基莉雙手劍 +11,強化後材料會消失,黃金錘 X1,100,是,0
80602901,華爾基莉雙劍,華爾基莉雙劍 +1,強化後材料會消失,黃金錘 X1,100,是,0
80602902,華爾基莉雙劍 +1,華爾基莉雙劍 +2,強化後材料會消失,黃金錘 X1,100,是,0
80602903,華爾基莉雙劍 +2,華爾基莉雙劍 +3,強化後材料會消失,黃金錘 X1,100,是,0
80602904,華爾基莉雙劍 +3,華爾基莉雙劍 +4,強化後材料會消失,黃金錘 X1,100,是,0
80602905,華爾基莉雙劍 +4,華爾基莉雙劍 +5,強化後材料會消失,黃金錘 X1,100,是,0
80602906,華爾基莉雙劍 +5,華爾基莉雙劍 +6,強化後材料會消失,黃金錘 X1,100,是,0
80602907,華爾基莉雙劍 +6,華爾基莉雙劍 +7,強化後材料會消失,黃金錘 X1,100,是,0
80602908,華爾基莉雙劍 +7,華爾基莉雙劍 +8,強化後材料會消失,黃金錘 X1,100,是,0
80602909,華爾基莉雙劍 +8,華爾基莉雙劍 +9,強化後材料會消失,黃金錘 X1,100,是,0
80602910,華爾基莉雙劍 +9,華爾基莉雙劍 +10,強化後材料會消失,黃金錘 X1,100,是,0
80602911,華爾基莉雙劍 +10,華爾基莉雙劍 +11,強化後材料會消失,黃金錘 X1,100,是,0
80302901,華爾基莉單手劍,華爾基莉單手劍 +1,強化後材料會消失,黃金錘 X1,100,是,0
80302902,華爾基莉單手劍 +1,華爾基莉單手劍 +2,強化後材料會消失,黃金錘 X1,100,是,0
80302903,華爾基莉單手劍 +2,華爾基莉單手劍 +3,強化後材料會消失,黃金錘 X1,100,是,0
80302904,華爾基莉單手劍 +3,華爾基莉單手劍 +4,強化後材料會消失,黃金錘 X1,100,是,0
80302905,華爾基莉單手劍 +4,華爾基莉單手劍 +5,強化後材料會消失,黃金錘 X1,100,是,0
80302906,華爾基莉單手劍 +5,華爾基莉單手劍 +6,強化後材料會消失,黃金錘 X1,100,是,0
80302907,華爾基莉單手劍 +6,華爾基莉單手劍 +7,強化後材料會消失,黃金錘 X1,100,是,0
80302908,華爾基莉單手劍 +7,華爾基莉單手劍 +8,強化後材料會消失,黃金錘 X1,100,是,0
80302909,華爾基莉單手劍 +8,華爾基莉單手劍 +9,強化後材料會消失,黃金錘 X1,100,是,0
80302910,華爾基莉單手劍 +9,華爾基莉單手劍 +10,強化後材料會消失,黃金錘 X1,100,是,0
80302911,華爾基莉單手劍 +10,華爾基莉單手劍 +11,強化後材料會消失,黃金錘 X1,100,是,0
80702901,華爾基莉戰錘,華爾基莉戰錘 +1,強化後材料會消失,黃金錘 X1,100,是,0
80702902,華爾基莉戰錘 +1,華爾基莉戰錘 +2,強化後材料會消失,黃金錘 X1,100,是,0
80702903,華爾基莉戰錘 +2,華爾基莉戰錘 +3,強化後材料會消失,黃金錘 X1,100,是,0
80702904,華爾基莉戰錘 +3,華爾基莉戰錘 +4,強化後材料會消失,黃金錘 X1,100,是,0
80702905,華爾基莉戰錘 +4,華爾基莉戰錘 +5,強化後材料會消失,黃金錘 X1,100,是,0
80702906,華爾基莉戰錘 +5,華爾基莉戰錘 +6,強化後材料會消失,黃金錘 X1,100,是,0
80702907,華爾基莉戰錘 +6,華爾基莉戰錘 +7,強化後材料會消失,黃金錘 X1,100,是,0
80702908,華爾基莉戰錘 +7,華爾基莉戰錘 +8,強化後材料會消失,黃金錘 X1,100,是,0
80702909,華爾基莉戰錘 +8,華爾基莉戰錘 +9,強化後材料會消失,黃金錘 X1,100,是,0
80702910,華爾基莉戰錘 +9,華爾基莉戰錘 +10,強化後材料會消失,黃金錘 X1,100,是,0
80702911,華爾基莉戰錘 +10,華爾基莉戰錘 +11,強化後材料會消失,黃金錘 X1,100,是,0
80102901,華爾基莉刺手,華爾基莉刺手 +1,強化後材料會消失,黃金錘 X1,100,是,0
80102902,華爾基莉刺手 +1,華爾基莉刺手 +2,強化後材料會消失,黃金錘 X1,100,是,0
80102903,華爾基莉刺手 +2,華爾基莉刺手 +3,強化後材料會消失,黃金錘 X1,100,是,0
80102904,華爾基莉刺手 +3,華爾基莉刺手 +4,強化後材料會消失,黃金錘 X1,100,是,0
80102905,華爾基莉刺手 +4,華爾基莉刺手 +5,強化後材料會消失,黃金錘 X1,100,是,0
80102906,華爾基莉刺手 +5,華爾基莉刺手 +6,強化後材料會消失,黃金錘 X1,100,是,0
80102907,華爾基莉刺手 +6,華爾基莉刺手 +7,強化後材料會消失,黃金錘 X1,100,是,0
80102908,華爾基莉刺手 +7,華爾基莉刺手 +8,強化後材料會消失,黃金錘 X1,100,是,0
80102909,華爾基莉刺手 +8,華爾基莉刺手 +9,強化後材料會消失,黃金錘 X1,100,是,0
80102910,華爾基莉刺手 +9,華爾基莉刺手 +10,強化後材料會消失,黃金錘 X1,100,是,0
80102911,華爾基莉刺手 +10,華爾基莉刺手 +11,強化後材料會消失,黃金錘 X1,100,是,0
81202901,華爾基莉魔杖,華爾基莉魔杖 +1,強化後材料會消失,黃金錘 X1,100,是,0
81202902,華爾基莉魔杖 +1,華爾基莉魔杖 +2,強化後材料會消失,黃金錘 X1,100,是,0
81202903,華爾基莉魔杖 +2,華爾基莉魔杖 +3,強化後材料會消失,黃金錘 X1,100,是,0
81202904,華爾基莉魔杖 +3,華爾基莉魔杖 +4,強化後材料會消失,黃金錘 X1,100,是,0
81202905,華爾基莉魔杖 +4,華爾基莉魔杖 +5,強化後材料會消失,黃金錘 X1,100,是,0
81202906,華爾基莉魔杖 +5,華爾基莉魔杖 +6,強化後材料會消失,黃金錘 X1,100,是,0
81202907,華爾基莉魔杖 +6,華爾基莉魔杖 +7,強化後材料會消失,黃金錘 X1,100,是,0
81202908,華爾基莉魔杖 +7,華爾基莉魔杖 +8,強化後材料會消失,黃金錘 X1,100,是,0
81202909,華爾基莉魔杖 +8,華爾基莉魔杖 +9,強化後材料會消失,黃金錘 X1,100,是,0
81202910,華爾基莉魔杖 +9,華爾基莉魔杖 +10,強化後材料會消失,黃金錘 X1,100,是,0
81202911,華爾基莉魔杖 +10,華爾基莉魔杖 +11,強化後材料會消失,黃金錘 X1,100,是,0
80502901,華爾基莉魔法球,華爾基莉魔法球 +1,強化後材料會消失,黃金錘 X1,100,是,0
80502902,華爾基莉魔法球 +1,華爾基莉魔法球 +2,強化後材料會消失,黃金錘 X1,100,是,0
80502903,華爾基莉魔法球 +2,華爾基莉魔法球 +3,強化後材料會消失,黃金錘 X1,100,是,0
80502904,華爾基莉魔法球 +3,華爾基莉魔法球 +4,強化後材料會消失,黃金錘 X1,100,是,0
80502905,華爾基莉魔法球 +4,華爾基莉魔法球 +5,強化後材料會消失,黃金錘 X1,100,是,0
80502906,華爾基莉魔法球 +5,華爾基莉魔法球 +6,強化後材料會消失,黃金錘 X1,100,是,0
80502907,華爾基莉魔法球 +6,華爾基莉魔法球 +7,強化後材料會消失,黃金錘 X1,100,是,0
80502908,華爾基莉魔法球 +7,華爾基莉魔法球 +8,強化後材料會消失,黃金錘 X1,100,是,0
80502909,華爾基莉魔法球 +8,華爾基莉魔法球 +9,強化後材料會消失,黃金錘 X1,100,是,0
80502910,華爾基莉魔法球 +9,華爾基莉魔法球 +10,強化後材料會消失,黃金錘 X1,100,是,0
80502911,華爾基莉魔法球 +10,華爾基莉魔法球 +11,強化後材料會消失,黃金錘 X1,100,是,0
81302901,華爾基莉吉他,華爾基莉吉他 +1,強化後材料會消失,黃金錘 X1,100,是,0
81302902,華爾基莉吉他 +1,華爾基莉吉他 +2,強化後材料會消失,黃金錘 X1,100,是,0
81302903,華爾基莉吉他 +2,華爾基莉吉他 +3,強化後材料會消失,黃金錘 X1,100,是,0
81302904,華爾基莉吉他 +3,華爾基莉吉他 +4,強化後材料會消失,黃金錘 X1,100,是,0
81302905,華爾基莉吉他 +4,華爾基莉吉他 +5,強化後材料會消失,黃金錘 X1,100,是,0
81302906,華爾基莉吉他 +5,華爾基莉吉他 +6,強化後材料會消失,黃金錘 X1,100,是,0
81302907,華爾基莉吉他 +6,華爾基莉吉他 +7,強化後材料會消失,黃金錘 X1,100,是,0
81302908,華爾基莉吉他 +7,華爾基莉吉他 +8,強化後材料會消失,黃金錘 X1,100,是,0
81302909,華爾基莉吉他 +8,華爾基莉吉他 +9,強化後材料會消失,黃金錘 X1,100,是,0
81302910,華爾基莉吉他 +9,華爾基莉吉他 +10,強化後材料會消失,黃金錘 X1,100,是,0
81302911,華爾基莉吉他 +10,華爾基莉吉他 +11,強化後材料會消失,黃金錘 X1,100,是,0
80902901,華爾基莉弓,華爾基莉弓 +1,強化後材料會消失,黃金錘 X1,100,是,0
80902902,華爾基莉弓 +1,華爾基莉弓 +2,強化後材料會消失,黃金錘 X1,100,是,0
80902903,華爾基莉弓 +2,華爾基莉弓 +3,強化後材料會消失,黃金錘 X1,100,是,0
80902904,華爾基莉弓 +3,華爾基莉弓 +4,強化後材料會消失,黃金錘 X1,100,是,0
80902905,華爾基莉弓 +4,華爾基莉弓 +5,強化後材料會消失,黃金錘 X1,100,是,0
80902906,華爾基莉弓 +5,華爾基莉弓 +6,強化後材料會消失,黃金錘 X1,100,是,0
80902907,華爾基莉弓 +6,華爾基莉弓 +7,強化後材料會消失,黃金錘 X1,100,是,0
80902908,華爾基莉弓 +7,華爾基莉弓 +8,強化後材料會消失,黃金錘 X1,100,是,0
80902909,華爾基莉弓 +8,華爾基莉弓 +9,強化後材料會消失,黃金錘 X1,100,是,0
80902910,華爾基莉弓 +9,華爾基莉弓 +10,強化後材料會消失,黃金錘 X1,100,是,0
80902911,華爾基莉弓 +10,華爾基莉弓 +11,強化後材料會消失,黃金錘 X1,100,是,0
81002901,華爾基莉十字弓,華爾基莉十字弓 +1,強化後材料會消失,黃金錘 X1,100,是,0
81002902,華爾基莉十字弓 +1,華爾基莉十字弓 +2,強化後材料會消失,黃金錘 X1,100,是,0
81002903,華爾基莉十字弓 +2,華爾基莉十字弓 +3,強化後材料會消失,黃金錘 X1,100,是,0
81002904,華爾基莉十字弓 +3,華爾基莉十字弓 +4,強化後材料會消失,黃金錘 X1,100,是,0
81002905,華爾基莉十字弓 +4,華爾基莉十字弓 +5,強化後材料會消失,黃金錘 X1,100,是,0
81002906,華爾基莉十字弓 +5,華爾基莉十字弓 +6,強化後材料會消失,黃金錘 X1,100,是,0
81002907,華爾基莉十字弓 +6,華爾基莉十字弓 +7,強化後材料會消失,黃金錘 X1,100,是,0
81002908,華爾基莉十字弓 +7,華爾基莉十字弓 +8,強化後材料會消失,黃金錘 X1,100,是,0
81002909,華爾基莉十字弓 +8,華爾基莉十字弓 +9,強化後材料會消失,黃金錘 X1,100,是,0
81002910,華爾基莉十字弓 +9,華爾基莉十字弓 +10,強化後材料會消失,黃金錘 X1,100,是,0
81002911,華爾基莉十字弓 +10,華爾基莉十字弓 +11,強化後材料會消失,黃金錘 X1,100,是,0
80202901,華爾基莉匕首,華爾基莉匕首 +1,強化後材料會消失,黃金錘 X1,100,是,0
80202902,華爾基莉匕首 +1,華爾基莉匕首 +2,強化後材料會消失,黃金錘 X1,100,是,0
80202903,華爾基莉匕首 +2,華爾基莉匕首 +3,強化後材料會消失,黃金錘 X1,100,是,0
80202904,華爾基莉匕首 +3,華爾基莉匕首 +4,強化後材料會消失,黃金錘 X1,100,是,0
80202905,華爾基莉匕首 +4,華爾基莉匕首 +5,強化後材料會消失,黃金錘 X1,100,是,0
80202906,華爾基莉匕首 +5,華爾基莉匕首 +6,強化後材料會消失,黃金錘 X1,100,是,0
80202907,華爾基莉匕首 +6,華爾基莉匕首 +7,強化後材料會消失,黃金錘 X1,100,是,0
80202908,華爾基莉匕首 +7,華爾基莉匕首 +8,強化後材料會消失,黃金錘 X1,100,是,0
80202909,華爾基莉匕首 +8,華爾基莉匕首 +9,強化後材料會消失,黃金錘 X1,100,是,0
80202910,華爾基莉匕首 +9,華爾基莉匕首 +10,強化後材料會消失,黃金錘 X1,100,是,0
80202911,華爾基莉匕首 +10,華爾基莉匕首 +11,強化後材料會消失,黃金錘 X1,100,是,0
81402901,華爾基莉麥格農手槍,華爾基莉麥格農手槍 +1,強化後材料會消失,黃金錘 X1,100,是,0
81402902,華爾基莉麥格農手槍 +1,華爾基莉麥格農手槍 +2,強化後材料會消失,黃金錘 X1,100,是,0
81402903,華爾基莉麥格農手槍 +2,華爾基莉麥格農手槍 +3,強化後材料會消失,黃金錘 X1,100,是,0
81402904,華爾基莉麥格農手槍 +3,華爾基莉麥格農手槍 +4,強化後材料會消失,黃金錘 X1,100,是,0
81402905,華爾基莉麥格農手槍 +4,華爾基莉麥格農手槍 +5,強化後材料會消失,黃金錘 X1,100,是,0
81402906,華爾基莉麥格農手槍 +5,華爾基莉麥格農手槍 +6,強化後材料會消失,黃金錘 X1,100,是,0
81402907,華爾基莉麥格農手槍 +6,華爾基莉麥格農手槍 +7,強化後材料會消失,黃金錘 X1,100,是,0
81402908,華爾基莉麥格農手槍 +7,華爾基莉麥格農手槍 +8,強化後材料會消失,黃金錘 X1,100,是,0
81402909,華爾基莉麥格農手槍 +8,華爾基莉麥格農手槍 +9,強化後材料會消失,黃金錘 X1,100,是,0
81402910,華爾基莉麥格農手槍 +9,華爾基莉麥格農手槍 +10,強化後材料會消失,黃金錘 X1,100,是,0
81402911,華爾基莉麥格農手槍 +10,華爾基莉麥格農手槍 +11,強化後材料會消失,黃金錘 X1,100,是,0
40100105,拳套披風 +4,拳套披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
40100205,短劍披風 +4,短劍披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
40100305,單手劍披風 +4,單手劍披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
40100405,雙手劍披風 +4,雙手劍披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
40100705,鈍器披風 +4,鈍器披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
40100805,槍披風 +4,槍披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
40100905,弓箭筒 +4,弓箭筒 +5,強化後材料會消失,黃金錘 X1,100,是,0
40101005,彈匣 +4,彈匣 +5,強化後材料會消失,黃金錘 X1,100,是,0
40101205,土精靈 +4,土精靈 +5,強化後材料會消失,黃金錘 X1,100,是,0
40101305,水精靈 +4,水精靈 +5,強化後材料會消失,黃金錘 X1,100,是,0
40101405,火精靈 +4,火精靈 +5,強化後材料會消失,黃金錘 X1,100,是,0
40101505,風精靈 +4,風精靈 +5,強化後材料會消失,黃金錘 X1,100,是,0
40101605,雙刀披風 +4,雙刀披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
40101705,手槍披風 +4,手槍披風 +5,強化後材料會消失,黃金錘 X1,100,是,0
81602901,華爾基莉MG,華爾基莉MG +1,強化後材料會消失,黃金錘 X1,100,是,0
81602902,華爾基莉MG +1,華爾基莉MG +2,強化後材料會消失,黃金錘 X1,100,是,0
81602903,華爾基莉MG +2,華爾基莉MG +3,強化後材料會消失,黃金錘 X1,100,是,0
81602904,華爾基莉MG +3,華爾基莉MG +4,強化後材料會消失,黃金錘 X1,100,是,0
81602905,華爾基莉MG +4,華爾基莉MG +5,強化後材料會消失,黃金錘 X1,100,是,0
81602906,華爾基莉MG +5,華爾基莉MG +6,強化後材料會消失,黃金錘 X1,100,是,0
81602907,華爾基莉MG +6,華爾基莉MG +7,強化後材料會消失,黃金錘 X1,100,是,0
81602908,華爾基莉MG +7,華爾基莉MG +8,強化後材料會消失,黃金錘 X1,100,是,0
81602909,華爾基莉MG +8,華爾基莉MG +9,強化後材料會消失,黃金錘 X1,100,是,0
81602910,華爾基莉MG +9,華爾基莉MG +10,強化後材料會消失,黃金錘 X1,100,是,0
81602911,華爾基莉MG +10,華爾基莉MG +11,強化後材料會消失,黃金錘 X1,100,是,0
40102301,(舊)雙肩工具包,(舊)雙肩工具包 +1,強化後材料會消失,"初級破片 X3
最高級破片 X3
(舊)雙肩工具包 X1",100,是,2950
40102302,(舊)雙肩工具包 +1,(舊)雙肩工具包 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
(舊)雙肩工具包 X1",100,是,2950
40102303,(舊)雙肩工具包 +2,(舊)雙肩工具包 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
(舊)雙肩工具包 X1",100,是,3600
40102304,(舊)雙肩工具包 +3,(舊)雙肩工具包 +4,強化後材料會消失,"中級破片 X3
最高級破片 X3
(舊)雙肩工具包 X1",100,是,3600
40102305,(舊)雙肩工具包 +4,(舊)雙肩工具包 +5,強化後材料會消失,黃金錘 X1,100,是,0
40102401,小型機器人,小型機器人 +1,強化後材料會消失,"高級破片 X3
最高級破片 X3
小型機器人 X1",100,是,4100
40102402,小型機器人 +1,小型機器人 +2,強化後材料會消失,"高級破片 X3
最高級破片 X3
小型機器人 X1",100,是,4100
40102403,小型機器人 +2,小型機器人 +3,強化後材料會消失,"高級破片 X3
最高級破片 X3
小型機器人 X1",100,是,4100
40102404,小型機器人 +3,小型機器人 +4,強化後材料會消失,"高級破片 X3
最高級破片 X3
小型機器人 X1",100,是,4100
40102405,小型機器人 +4,小型機器人 +5,強化後材料會消失,黃金錘 X1,100,是,0
160202101,,,強化後材料會消失,None X1,60,是,0
160202102,,,強化後材料會消失,None X1,60,是,0
160202103,,,強化後材料會消失,None X1,60,是,0
160202104,,,強化後材料會消失,None X1,60,是,0
160202105,,,強化後材料會消失,None X1,60,是,0
160202106,,,強化後材料會消失,None X1,60,是,0
160202107,,,強化後材料會消失,None X1,60,是,0
160202108,,,強化後材料會消失,None X1,60,是,0
160202109,,,強化後材料會消失,None X1,60,是,0
160202201,,,強化後材料會消失,None X1,60,是,0
160202202,,,強化後材料會消失,None X1,60,是,0
160202203,,,強化後材料會消失,None X1,60,是,0
160202204,,,強化後材料會消失,None X1,60,是,0
160202205,,,強化後材料會消失,None X1,60,是,0
160202206,,,強化後材料會消失,None X1,60,是,0
160202207,,,強化後材料會消失,None X1,60,是,0
160202208,,,強化後材料會消失,None X1,60,是,0
160202209,,,強化後材料會消失,None X1,60,是,0
160202301,,,強化後材料會消失,None X1,60,是,0
160202302,,,強化後材料會消失,None X1,60,是,0
