ID,稱號名稱,稱號説明,稱號屬性,稱號效果,效果説明
751,今日我最美,[我是 OOO 稱號系列]\n 我的長相最優!,"獲得經驗值+5%
獲得錢+15%
物理/魔法爆擊率 +2%",15003877,物理爆擊效果: 物理爆擊傷害增加20%
752,偉大的導師,光是我的弟子們就可以排成2列縱隊繞運動場12圈 !,,0,
753,釣魚高手,釣魚世界裡被稱為高手的人!,釣魚附加獲得機率 +5%,0,
754,釣魚之王,在釣魚世界裡被稱為王的人!,釣魚附加獲得機率 +8%,0,
755,釣魚達人,在釣魚世界裡被稱為達人的人!,釣魚附加獲得機率 +13%,0,
756,釣魚之神,在釣魚世界裡被稱為神的人!,釣魚附加獲得機率 +20%,0,
757,慶祝彩虹島5週年,最棒的??? RPG 彩虹島!\n,,0,
758,出席之神,"在我的字典裡, 沒有遲到跟早退",,0,
759,星星守護者的後裔,賦予守護利利樂的英雄的稱號。,"物理/魔法爆擊率 +1%
物理/魔法爆擊傷害 +10%",15003881,物理爆擊效果: 物理爆擊傷害增加200%
760,準備冒險的人,準備好在彩虹島探險的人。,,0,
761,準備突變的勇士,做好準備要適應巨大變化的人。,,0,
762,享受變化的人,昇華享受變化的人。,,0,
763,我是最棒的,"[我是 OOO 稱號系列]\n 因為我是最棒的, 所以不需要任何效果!",,0,
764,我是好勝者,[我是 OOO 稱號系列]\n 我是好勝者!衝啊!,"最大HP +500
移動速度+20%",0,
765,我是幸運兒,[我是 OOO 稱號系列]\n 幸運來我這裡吧!,幸運+50,15003891,效果: 在攻擊時有較低的機率可在1分內增加幸運100
766,我是拳王,[我是 OOO 稱號系列]\n 戰鬥的化身!!,"目標物理防禦力減少4%
力量+44",15003895,效果: 爆擊發生時以較低的機率追加 4444傷害 (格鬥場為1111傷害)
767,我是猛男,[我是 OOO 稱號系列]\n 我華麗的六塊肌!,"目標物理防禦力減少5%
幸運+100
最大HP +300",15003897,效果: 爆擊時以較低的機率追加1111傷害
768,引起暴風的人,來引起彩虹島暴風吧 Go Go Go~~,,0,
769,跳入暴風中的人,向彩虹島暴風中 Go Go Go~~,,0,
770,從暴風中歸來的人,從彩虹島暴風中回來了!!,,0,
771,與暴風同在的人,與彩虹島暴風一起 Go Go Go~~,,0,
780,有吸引力的,"具有\n""被某些人事物""\n吸引的意思，\n用來稱呼有吸引力的彩虹島物語家族成員。",,0,
781,男1號,我是男1號，請多多指教。,,0,
782,男2號,我是男2號，請多多指教。,,0,
783,男3號,我是男3號，請多多指教。,,0,
784,男4號,我是男4號，請多多指教。,,0,
785,女1號,我是女1號，請多多指教。,,0,
786,女2號,我是女2號，請多多指教。,,0,
787,女3號,我是女3號，請多多指教。,,0,
788,女4號,我是女4號，請多多指教。,,0,
789,小小樹苗,在植樹節種樹吧!\n稱號效果適用至4月18日維護前,,0,
790,神秘小矮人寶石獵人,\n稱為神秘小矮人的寶物獵人吧!!\n稱號效果適用至5月30日維護前,,0,
791,開心兒童節,紀念5月兒童節的稱號全數獲得後，可向兔女郎npc領取5月的LATALE稱號。\n[5月活動結束後稱號效果維持],最大HP +50,0,
792,感恩母親節,紀念5月兒童節的稱號全數獲得後，可向兔女郎npc領取5月的LATALE稱號。\n[5月活動結束後稱號效果維持],物理/魔法爆擊率 +1%,0,
793,尊敬教師節,紀念5月兒教師節的稱號全數獲得後，可向兔女郎npc領取5月的LATALE稱號。\n[5月活動結束後稱號效果維持],物理/魔法貫穿力 +3%,0,
794,是大人囉成人禮,紀念5月成年禮的稱號全數獲得後，可向兔女郎npc領取5月的LATALE稱號。\n[5月活動結束後稱號效果維持],物理/魔法最大傷害 +3%,0,
795,家庭月萬能超人,專為完成5月所有活動的玩家而設的稱號。\n[6月13日維護後刪除稱號效果],,0,
796,彩虹島物語家族,收集到全部的家族稱號，我們是一家人!!,"物理/魔法貫穿力 +5%
所有能力值 +25",0,
797,彩虹島物語家族2,收集到全部的家族稱號，我們是一家人!!,"物理/魔法最大傷害 +50%
所有能力值 +10%",0,
798,★現在是彩虹島物語的時代★,和6周年紀念稱號彩虹島物語的時代一起歡度吧!!,,0,
799,?我是良師益友?,我是受到推薦的彩虹島物語良師益友!!,,0,
800,愛的訊息,情人節快樂呀~,,0,
801,丘比特的傳令,白色情人節快樂~,,0,
810,(男)，抒情王子,歌唱大賽活動,休息恢復HP+30%,0,
811,(女)，人氣公主,歌唱大賽活動,休息恢復HP+30%,0,
812,剪刀石頭布大王,猜拳活動,獲得錢+20%,0,
813,彩虹島智多星,彩虹島智多星活動,最大HP+5%,0,
814,彩虹島幸運星,彩虹島智多星活動,幸運+5%,0,
815,牛郎星,7.7七夕活動,休息恢復SP+30%,0,
816,織女星,7.7七夕活動,休息恢復SP+30%,0,
901,衝鋒陷陣大王,塞翁失馬焉知非福~,"物理爆擊率+3%
魔法爆擊率+3%
物理命中率+3%",0,
902,衝鋒陷陣之神,1/10000的幸運兒。,"物理爆擊率+4%
魔法爆擊率+4%
物理命中率+4%",15003001,物理爆擊效果: 爆擊傷害增加 15%
903,匠人的手藝,"魔法, 這不算什麼。",鑲嵌成功率+2%,0,
904,製作大師,在製作的國度裡擁有最強實力的匠人。,製作成功率 +2%,0,
905,金女士玩彩虹島~,為了讓金女士玩彩虹島的稱號~,"魔法爆擊率+2%
物理爆擊率+2%
移動速度+5%",0,
906,我最厲害~!,瞧你們一副沒出息的樣子!果然還是我最棒了!!! 呼~,"物理爆擊傷害+20%
魔法爆擊傷害+20%
移動速度+10%",0,
907,只是運氣好學到的,突破1/1000的機率而獲得此稱號的您，是真正的幸運兒啊! 嗚哈哈!,"物理爆擊率+3%
魔法爆擊率+3%
物理最大傷害+3%",0,
908,我就愛衝鋒陷陣,這是專為你這種衝鋒陷陣的人創造出的稱號喔! (1/10000機率),"物理爆擊率+4%
魔法爆擊率+4%
物理最大傷害+6%",0,
909,衝鋒陷陣高手,賦予為了得到好的稱號而戰勝無數挑戰的人的稱號。,"物理爆擊率+3%
魔法爆擊率+3%
獲得錢+10%",0,
910,衝鋒陷陣達人,賦予為了得到好的稱號，而戰勝無數挑戰與逆境的人的稱號。,"物理爆擊率+4%
魔法爆擊率+4%
獲得錢+20%",0,
911,衝鋒陷陣的祝福,給衝鋒陷陣的你的稱號。,"物理/魔法爆擊率 +4%
物理/魔法命中率 +4%
獲得錢+20%",15003001,物理爆擊效果: 爆擊傷害增加 15%
912,衝鋒陷陣的祝福,給衝鋒陷陣的你的稱號。,"魔法爆擊率+4%
魔法命中率+4%
獲得錢+20%",15003021,魔法爆擊效果: 魔法爆擊增加15%
913,夏日彩虹島,和彩虹島一起愉快地飛越夏日的炎熱吧,"物理爆擊率+5%
魔法爆擊率+5%
物理命中率+5%",0,
914,初級兔子,剛要開始旅行的兔子。,"物理爆擊率+1%
魔法爆擊率+1%
物理爆擊傷害+2%",0,
915,中級兔子,現在已經熟練旅行的兔子。,"物理爆擊率+2%
魔法爆擊率+2%
物理爆擊傷害+4%",0,
916,高級兔子,現在對旅行感到很有趣的兔子。,"物理爆擊率+3%
魔法爆擊率+3%
物理爆擊傷害+6%",0,
917,超高級兔子,現在對旅行感到厭倦的兔子。,"物理爆擊率+4%
魔法爆擊率+4%
物理爆擊傷害+8%",0,
918,頂級兔子,對其他兔子而言非常高高在上的兔子。,"物理/魔法爆擊率 +4%
物理/魔法爆擊傷害 +10%
最大HP +400",0,
919,頂級兔子,對其他兔子而言非常高高在上的兔子。,"魔法爆擊率+4%
魔法爆擊傷害+10%
最大HP +400",0,
920,頌歌達人,每首聖誕歌都會唱的達人!,"物理/魔法貫穿力 +5%
所有能力值 +25",0,
921,雪橇達人,雪橇、滑雪板、衝浪板，樣樣全都OK!,"物理/魔法貫穿力 +10%
所有能力值 +50",0,
922,仁慈的小氣鬼,沒有想像中苛薄的小氣鬼。,"物理/魔法貫穿力 +15%
所有能力值 +75",0,
923,閒閒的聖誕老人,因為有很多小孩都不乖，所以變得很悠閒的聖誕老人。,"物理/魔法貫穿力 +20%
所有能力值 +100",0,
924,哇哩記者團,我最紅哇哩記者團!\n可使用至2012年3月21日(三)維護前,,0,
925,媽媽,我們是彩虹島物語家族!永遠愛你唷!媽媽!!,"道具掉落率+5%
所有能力值 +50",0,
926,爸爸,我們是彩虹島物語家族!永遠愛你唷!爸爸!!,"獲得錢+5%
所有能力值 +50",0,
927,女兒,我們是彩虹島物語家族!愛你唷!可愛的女兒!!,"道具掉落率+3%
所有能力值 +25
物理/魔法爆擊率 +4%",0,
928,兒子,我們是彩虹島物語家族!愛你唷!帥氣的兒子!!!,"獲得錢+3%
所有能力值 +25
物理/魔法爆擊率 +4%",0,
930,心地善良,在守備模式下無法產生效果。\n啟動恢復效果時產生愛心FX。\n\n有愛心的人最美!\n稱號效果適用至2012年12月31日。,,0,
931,圖書館管理員,獻給在圖書館努力工作的你!\n稱號效果適用至10月17日維護前,,0,
932,太陽月亮,中秋節就在彩虹島物語裡大團圓吧!!!\n稱號效果適用至10月17日維護前,,0,
933,陰森村莊陰間使者,來去陰森村莊探險吧~~!\n稱號效果適用至10月31日維護前,,0,
934,萬聖節小惡魔,不給糖就搗蛋的小惡魔!\n稱號效果適用至11月28日維護前,,0,
935,劍刃舞者,將劍舞到極致的人!悟道後便能自由揮灑劍術的劍刃舞者。,移動速度+10%,0,
936,天之王者,彩虹島物語的勇者職業稱號「天之王者」」!,,0,
937,幻武劍豪,彩虹島物語的勇者職業稱號「幻武劍豪」!,,0,
938,創世主,彩虹島物語的勇者職業稱號「創世主」!,,0,
939,諸神使者,彩虹島物語的勇者職業稱號「諸神使者」!,,0,
940,大毀滅者,彩虹島物語的勇者職業稱號「大毀滅者」!,,0,
941,流行天王,彩虹島物語的勇者職業稱號「流行天王」!,,0,
942,風之潛行者,彩虹島物語的勇者職業稱號「風之潛行者」!,,0,
943,裁決射手,彩虹島物語的勇者職業稱號「裁決射手」!,,0,
944,究極兵甲,彩虹島物語的勇者職業稱號「究極兵甲」!,,0,
945,弒魂者,彩虹島物語的勇者職業稱號「弒魂者」!,,0,
946,★ 王者遠征隊 ★,一起加入王者遠征隊吧!!\n稱號效果適用至2013年10月29日維護前為止,,0,
947,王者小助手,我是王者小助手!!\n稱號效果適用至2013年10月29日維護前為止,,0,
948,我是風,[我是OOO稱號學習書系列]\n我可以劈風!,移動速度+15%,15004401,接受物理傷害時，低幾率增加物理回避+50%
949,我是王牌,[我是OOO稱號學習書系列]\n我是彩虹島物語的王牌!!!,"最小攻擊力+40
最大攻擊力+40
水，火，地，風，黑暗屬性 +40",0,
950,我是寬宏大量的人,[我是OOO稱號學習書系列]\n因為我宰相肚子能撐船所以大家都很擁戴我!,"防禦力+1000
體力 +50",15004403,接受物理傷害時，低幾率增加防禦力+50%
951,我是完美主義者,[我是OOO稱號學習書系列]\n我是完美主義者，我超完美!!,"物理/魔法命中率 +10%
物理/魔法貫穿力 +10%",0,
952,我是上帝的傑作,[我是OOO稱號學習書系列]\n我集所有優點於一身，簡直就是上帝的傑作!,"最小攻擊力+40
最大攻擊力+40
水，火，地，風，黑暗屬性 +40",15004405,接受物理傷害時，低幾率增加防禦力+50%
953,我是傳說,[我是OOO稱號學習書系列]\n我是無所不知的傳說!!,"獲得經驗值+10%
最大HP +1500
物理/魔法爆擊率 +5%",15004407,爆擊時發動 : 增加爆擊傷害+30%
954,時間支配者,支配彩虹島物語時間的家族!(效用適用至2013年7月3日維護前為止),,0,
955,姐姐,彩虹島物語家族一家親!姐姐我愛你!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
956,哥哥,彩虹島物語家族一家親!哥哥我愛你!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
957,大哥,彩虹島物語家族一家親!大哥我愛你!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
958,大姐,彩虹島物語家族一家親!大姐我愛你!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
959,星星樹木園藝家,擅長裝點閃閃發亮星星樹木的星星樹木園藝家!!,"獲得經驗值+15%
所有能力值 +30",13012242,效果：受到物理攻擊時 5%機率恢復 HP 20%
960,師傅的恩惠,老師的恩澤如天高~~(效用適用至2013年6月26日維護前為止),,0,
961,進擊的爸爸,我的家庭真可愛!我是爸爸!,"獲得錢+5%
所有能力值 +50",0,
962,進擊的媽媽,我的家庭真可愛!我是媽媽!,"道具掉落率+5%
所有能力值 +50",0,
963,進擊的兒子,我的家庭真可愛!我是兒子!,"獲得錢+3%
所有能力值 +25
物理/魔法爆擊率 +4%",0,
964,進擊的女兒,我的家庭真可愛!我是女兒!,"道具掉落率+3%
所有能力值 +25
物理/魔法爆擊率 +4%",0,
965,進擊的哥哥,我的家庭真可愛!我是哥哥!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
966,進擊的姊姊,我的家庭真可愛!我是姐姐!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
967,進擊的大哥,我的家庭真可愛!我是大哥!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
968,進擊的大姊,我的家庭真可愛!我是大姐!,"所有能力值 +20
物理/魔法爆擊率 +4%
移動速度+10%",0,
969,LEVEL,\n彩虹島砰砰！快速升級！等級上升~,"物理/魔法爆擊率 +5%
物理/魔法爆擊傷害 +10%
獲得錢+50%",0,
970,無可自拔,我對彩虹島物語的愛無可自拔!,"物理/魔法爆擊率 +1%
移動速度+5%
所有能力值 +25",0,
971,彩虹島物語冒險家,我是在彩虹島物語中四處冒險的冒險家!!,"物理傷害+50
魔法傷害+50
移動速度+5%",0,
972,777,彩虹島物語7周年生日快樂!!!(效果適用至2013年8月28日維護前),,0,
973,仲夏之夜彩虹,\n7?? ??? ??? ??? ???? ?? ???!!(2013? 9? 11? ???? ???? ?? ??),,0,
974,定期維護,彩虹島物語的維護已順利結束。,"物理爆擊率+3%
魔法爆擊率+3%
物理命中率+3%",0,
975,緊急維護,彩虹島物語的緊急維護已順利結束。,"物理爆擊率+3%
魔法爆擊率+3%
獲得錢+10%",0,
976,臨時維護,彩虹島物語的臨時維護已順利結束。,"物理爆擊率+4%
魔法爆擊率+4%
物理命中率+4%",0,
977,延長維護,彩虹島物語的延長維護已順利結束。,"物理爆擊率+4%
魔法爆擊率+4%
獲得錢+20%",0,
978,製作神人,我可是彩虹島物語的製作神人唷!!,製作成功率 +5%,0,
979,★愛麗絲好友★,彩虹島物語的玩家全都是愛麗絲的好朋友喔~★,"物理/魔法爆擊率 +4%
物理/魔法最大傷害 +6%",0,
980,★雷比好友★,彩虹島物語的玩家全都是雷比的好朋友喔~★,"物理/魔法爆擊率 +3%
物理/魔法最大傷害 +3%",0,
981,HAPPY HALLOWEEN,\n快樂彩虹島！萬聖節快樂！！無論何時都幸福滿滿！！\n(30日期間制稱號),"物理/魔法爆擊率 +5%
物理/魔法爆擊傷害 +10%
獲得錢+50%",0,
982,HAPPY HALLOWIN,\n快樂彩虹島!! 快樂萬聖節!! (永久),,0,
983,超級幸運滿分,\n??? ?????!,"幸運+100
物理/魔法爆擊率 +5%
道具掉落率+5%",0,
984,Merry Christmas,\n彩虹島聖誕節快樂！！！與彩虹島一起度過幸福的聖誕節~\n(30日期間制稱號),"物理/魔法爆擊率 +5%
物理/魔法爆擊傷害 +10%
獲得錢+50%",0,
985,Merry Christmas,\n彩虹島物語聖誕節快樂!!! 幸福的聖誕節就和彩虹島物語一起度過~\n 獲得100% Merry Christmas 永久稱號!,"物理/魔法爆擊率 +4%
物理/魔法最大傷害 +6%
道具掉落率+2%",0,
986,2014 奔跑!,\n彩虹島物語奔跑吧~! 2014 奔跑!!,"獲得經驗值+5%
物理/魔法爆擊率 +2%
物理/魔法最大傷害 +5%",0,
987,華納海姆守護者,\n請守護華納海姆!!,"物理/魔法爆擊率 +3%
物理/魔法最大傷害 +3%",0,
988,世界樹守護者,\n請守護世界樹!!,"物理/魔法爆擊率 +3%
物理/魔法最大傷害 +3%",0,
989,LATALE ★ 5YEARS,\n一起來慶祝彩虹島物語5年吧! 滿滿的愛!!?,"物理/魔法爆擊率 +1%
物理/魔法爆擊傷害 +3%
最大HP +100",0,
990,2017 HAPPY NEW YEAR!,\n祝玩家們度過幸福、充滿好事的2017年！！！\n(30日期間制稱號),"物理/魔法爆擊率 +5%
物理/魔法爆擊傷害 +10%
獲得錢+50%",0,
991,HAPPY NEW YEAR!,\n充滿著幸福美好的彩虹島物語祝大家HAPPY 2014年!!! 永久稱號,"物理/魔法爆擊率 +4%
物理/魔法最大傷害 +6%
道具掉落率+2%",0,
992,甜蜜蜜GM餅乾的你,\nGM餅乾一起分享的甜蜜蜜稱號,,0,
993,甜蜜蜜GM傑諾的你,\nGM傑諾一起分享的甜蜜蜜稱號,,0,
994,甜蜜蜜GM大伊的你,\nGM大伊3世一起分享的甜蜜蜜稱號,,0,
995,甜蜜蜜GM莫迪的你,\nGM莫迪一起分享的甜蜜蜜稱號,,0,
996,甜蜜蜜GM阿福勒督的你,\nGM阿福勒督一起分享的甜蜜蜜稱號,,0,
997,甜蜜蜜GM哲修的你,\nGM哲修一起分享的甜蜜蜜稱號,,0,
998,甜蜜蜜GM包子的你,\nGM包子一起分享的甜蜜蜜稱號,,0,
999,[GM],我是GM~,"移動速度+20%
防禦力+100%",0,
1000,Welcome歡樂世界,歡迎來到歡樂世界!!!!,,0,
1001,NAVER,\nNAVER彩虹島物語邀請您!!(期間制),"最大HP +1000
物理/魔法爆擊率 +3%
物理/魔法爆擊傷害 +20%",0,
1002,NAVER FX,\nNAVER彩虹島物語邀請您!!(永久),,0,
1003,PRIMIUM,\n您是真正的彩虹島物語PRIMIUM!,"物理/魔法最小傷害 +10%
物理/魔法最大傷害 +10%
物理/魔法傷害 +400",0,
1004,LATALE ★ 5YEARS,\n一起來慶祝彩虹島物語5年吧! 滿滿的愛!!?,"物理/魔法爆擊率 +1%
物理/魔法爆擊傷害 +3%
最大HP +100",0,
1005,隱藏記憶的探索者,\n我已經完成所有吉恩蒂亞公園調查員的功課了!,,0,
1006,卡片大師,\n我感受到卡片大師靈氣…!,,0,
1007,★ LATALE CUP ★,\n中華民國萬歲!!!加油~,"物理/魔法爆擊率 +5%
物理/魔法爆擊傷害 +10%
體力 +50",81001113,移動速度 15% 增加
1008,歡慶8週年!,\n彩虹島8週年了呢!!真棒~!(30日期間制),"物理/魔法爆擊率 +2%
所有能力值 +20
獲得經驗值+20%",0,
1009,CARD MASTER(永久),\n這麼不得了的成長速度…你是真正的卡片大師!,,0,
1010,CARD MASTER(期間制),\n驚人的成長…你是真正的CARD MASTER！,"物理/魔法爆擊率 +5%
物理/魔法爆擊傷害 +10%
獲得錢+50%",0,
1011,武器英雄,\n武器稱雄!我武器英雄!\n套用效果至10月16日為止,"物理/魔法爆擊率 +1%
所有能力值 +10
獲得經驗值+10%",0,
1012,戒指英雄,\n戒指稱雄!我是戒指英雄!\n套用效果至10月16日為止,"物理/魔法爆擊率 +1%
所有能力值 +10
獲得經驗值+10%",0,
1013,耳環英雄,\n耳環稱雄!我是耳環英雄!\n套用效果至10月16日為止,"物理/魔法爆擊率 +1%
所有能力值 +10
獲得經驗值+10%",0,
1014,披風英雄,\n披風稱雄!我是披風英雄!\n套用效果至10月16日為止,"物理/魔法爆擊率 +1%
所有能力值 +10
獲得經驗值+10%",0,
