任務ID,任務名稱,EXP獎勵,ELY獎勵,道具獎勵
172000201,見識一下實力?,7338000000.0,2500000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
172000202,幫我一下。,7338000000.0,2500000,"[活動] 復活精髓 X1
暢快可樂 X1"
172000203,這場戰爭快點結束吧。,3669000000.0,1000000,
172000204,凱因族長的事由,12230000000.0,5000000,"樹人的果實 X20
降靈術師的咒術繩 X20
降靈術的秘藥 X20
超級萬能木錘 X2
[活動] 刻有月亮的刻印石 X4"
172000205,確切的情報,3669000000.0,1000000,
172000206,敵軍的首長就是….,12230000000.0,7000000,"太陽的手套 X1
沙漠的手套 X1
[活動] 經驗值秘藥200% X2
[活動] 經驗值秘藥888% X1
[活動] 刻有月亮的刻印石 X4"
172000207,愉快的消息 1,3669000000.0,1000000,
172000208,愉快的消息 2,3669000000.0,1000000,
172000209,走吧，前往魯曼。,24460000000.0,10000000,"增幅劑箱子II X10
高級鑲嵌神藥 X1
高級鑲嵌妙藥 X1
公會金幣箱子 X20"
174000000,魯曼,7542000000.0,1500000,
174000001,洛克斯2軍團的進攻,15084000000.0,2500000,
174000002,副司令官伊登,7542000000.0,1500000,
174000003,劍后的戰場,15084000000.0,2500000,
174000004,橫掃,15084000000.0,3000000,
174000005,收復瀑布樹森林,25140000000.0,6000000,"特莉妮婭的狸貓圖騰 X1
[活動] 寵物用靈芝草(30日) X1
[活動] 屬性重置妙藥 X3
超級萬能木錘 X2"
174000006,劍神的關門弟子,7542000000.0,1500000,
174000007,閉嘴，突擊!,25140000000.0,10000000,"魔族教本 X1
[活動] 道具掉落率100%靈藥 X2
姜太公的祝福 X3
超級萬能木錘 X2"
174000008,收復寶石樹森林,7542000000.0,1500000,
174000009,終結,50280000000.0,10000000,"[活動] 經驗值秘藥1000% X1
[活動] 經驗值秘藥200% X1
[活動] 綜合背包 X1"
182000001,終於進城,15592500000.0,3000000,
182000002,著急的心,15592500000.0,3000000,
182000003,愛麗絲的下落,15592500000.0,3000000,
182000004,進入修練森林,31185000000.0,5000000,"[活動] 王者攻擊力秘藥 X1
[活動] 王者防禦秘藥 X1
[活動] 王者攻擊力秘藥2 X1
[活動] 暴風藥水(30分鐘) X1"
182000005,沒有例外,31185000000.0,5000000,"[活動] 經驗值秘藥1000% X1
經驗值秘藥300% X1
[活動] 任務獎勵UP！技能學習書(7日) X1"
182000006,浮游島的管理者，比柏萊特,51975000000.0,8000000,"[活動] 暴風藥水 X30
暢快可樂 X100
[活動] 活動背包 X1
高級鑲嵌妙藥 X1"
182000007,那穆亞,51975000000.0,10000000,[活動] 記憶碎片 X4
182000008,暴走,103950000000.0,13000000,"黃金錘 X10
[活動] 復活精髓 X10
[活動] 寵物用靈芝草(30日) X1
公會金幣(第2季) X300"
184000001,愛麗絲的下落,16741500000.0,3000000,
184000002,愛麗絲的內心世界,16741500000.0,3000000,
184000003,滅亡的世界精靈,16741500000.0,3000000,
184000004,阻擋絕望,33483000000.0,5000000,
184000005,邪惡侍從們,33483000000.0,5000000,
184000006,另一個世界,16741500000.0,5000000,
184000007,第一個邪惡種子,55805000000.0,8000000,
184000008,反覆滅亡的存在,55805000000.0,10000000,"[活動] 消耗背包 X1
[活動] 其他背包 X1
[活動] 裝備背包 X1"
184000009,內心世界的安定,16741500000.0,3000000,
184000010,完整的神格,111610000000.0,15000000,"[活動] 經驗值秘藥1000% X2
[活動] 寵物用靈芝草(30日) X1
[活動] 復活精髓 X20"
191000001,柔藍的呼喚,15592500000.0,1500000,
191000002,亞瑪倫沙漠的沙暴,31185000000.0,2500000,
191000003,沙漠王國的公主,15592500000.0,1500000,
191000004,第一次沙漠調查,31185000000.0,3000000,
191000005,第二次沙漠調查,31185000000.0,3000000,
191000006,傳達情況,15592500000.0,1500000,
191000007,異世界的蟲怪,51975000000.0,7000000,"初級萬能木錘 X10
超級萬能木錘 X1
[活動] 刻有星星的刻印石 X150
最高級萬能木錘 X1"
191000008,與亡者之神締約的王,51975000000.0,7000000,"高級萬能木錘 X10
超級萬能木錘 X1
[活動] 刻有月亮的刻印石 X4
最高級萬能木錘 X1"
191000009,能夠回去的方法,15592500000.0,5000000,[活動] 記憶碎片 X4
191000010,掌握情況,103950000000.0,15000000,"姜太公的祝福 X1
[活動] 經驗值秘藥1000% X1
黃金錘 X20"
192000001,另一個危險,17134500000.0,3000000,
192000002,精靈的忠言 (1),17134500000.0,3000000,
192000003,精靈的忠言 (2),17134500000.0,3000000,
192000004,走吧，前往塔爾達洛斯,17134500000.0,3000000,
192000005,無趣的事,17134500000.0,3000000,
192000006,工地的妨礙者們,34269000000.0,5000000,
192000007,一片狼藉的工地,34269000000.0,5000000,
192000008,都市混亂的理由,17134500000.0,3000000,
192000009,擁有不法之力之人,57115000000.0,8000000,"神秘爆擊傷害增幅劑 X5
暢快可樂 X30
[活動] 王者攻擊力秘藥 X2
符文字卷軸 X1"
192000010,需要許可,17134500000.0,3000000,
192000011,塔爾達洛斯的盡頭，地獄,57115000000.0,11000000,"黃金錘 X10
[活動] 復活精髓 X10
[活動] 道具掉落率100%靈藥 X2
符文字卷軸 X1"
192000012,暫時結束,114230000000.0,16000000,"最高級萬能木錘 X5
姜太公的祝福 X1
[活動] 暴風藥水 X15
塔爾達洛斯的黑暗學習書 X1"
193000001,修古的呼喚,16383000000.0,1650000,
193000002,米勒坎蒂亞的異常現象,16383000000.0,1650000,
193000003,前往怪物樹山林,16383000000.0,1650000,
193000004,繁蕪的山腳,32766000000.0,3300000,
193000005,精靈的信任,16383000000.0,1650000,
193000006,以信任為基礎,16383000000.0,1650000,
193000007,需要整理,54610000000.0,8000000,"暢快可樂 X50
[活動] 道具封印鎖 X5
[活動] 道具掉落率100%靈藥 X2"
193000008,傭兵團的煩惱,16383000000.0,1650000,
193000009,尋找解決方法(1),16383000000.0,1650000,
193000010,尋找解決方法(2),16383000000.0,1650000,
193000011,死亡中歸來的王,54610000000.0,9000000,"姜太公的祝福 X1
[活動] 暴風藥水 X20
神秘爆擊傷害增幅劑 X10
[活動] 經驗值秘藥1000% X1
經驗值秘藥300% X1"
193000012,米勒坎蒂亞的正常化,109220000000.0,16500000,"符文字卷軸 X1
超級萬能木錘 X1
[活動] 寵物用靈芝草(30日) X1"
194000001,煞尼克的呼喚,17334000000.0,3000000,
194000002,前往幻影大地…,17334000000.0,3000000,
194000003,迷路的少女,34668000000.0,5000000,
194000004,造訪恪爾立 (1),17334000000.0,3000000,
194000005,造訪恪爾立 (2),17334000000.0,3000000,
194000006,造訪恪爾立 (3),17334000000.0,3000000,
194000007,失憶的少女,34668000000.0,5000000,
194000008,壟罩峽谷的影子,57780000000.0,8000000,"神秘爆擊傷害增幅劑 X5
神秘傷害增幅劑 X5
[活動] 暴風藥水 X10
[活動] 超人任務重置卷軸 X1"
194000009,少女的秘密,17334000000.0,3000000,
194000010,女神的處所,57780000000.0,12000000,"[活動] 復活精髓 X5
超級萬能木錘 X2
[活動] 道具掉落率100%靈藥 X2
[活動] 超人任務重置卷軸 X1"
194000011,遇見黑暗後,17334000000.0,3000000,
194000012,光與影,173340000000.0,17000000,"[活動] 王者攻擊力秘藥2 X3
姜太公的祝福 X1
符文字卷軸 X1
與蓋亞的約定稱號學習書 X1"
201000001,由愛因斯特…,17419500000.0,3264000,
201000002,學院祭邀請函,17419500000.0,3264000,
201000003,前往傑芮尼斯山丘之路,17419500000.0,3264000,
201000004,中斷的學院祭(1),34839000000.0,6528000,
201000005,中斷的學院祭(2),34839000000.0,6528000,
201000006,陷入詛咒的學校,58065000000.0,10880000,"神秘傷害增幅劑 X5
[活動] 經驗值秘藥500% X1
[活動] 暴風藥水 X10"
201000007,尋找解決方法,17419500000.0,3264000,
201000008,重要的工具,17419500000.0,3264000,
201000009,學院祭的最後,58065000000.0,10880000,
201000010,回去的路,17419500000.0,3264000,"[活動] 暴風藥水(30分鐘) X1
[活動] 復活精髓 X5
[活動] 道具掉落率100%靈藥 X2
每週挑戰重置卷軸 X1"
201000011,女帝的傳言?,116130000000.0,21760000,"[活動] 經驗值秘藥1000% X1
姜太公的祝福 X1
[活動] 王者攻擊力秘藥2 X3
又一個線索學習書 X1"
202000001,就是今天,17497500000.0,328800,
202000002,被遮蔽的都市,17497500000.0,328800,
202000003,理所當然的疑心,34995000000.0,657600,
202000004,另一面,17497500000.0,328800,
202000005,新命運的場所 (1),34995000000.0,657600,
202000006,新命運的場所 (2),34995000000.0,657600,
202000007,艾特瓦勒聯軍,17497500000.0,328800,
202000008,夢境貪欲,58325000000.0,1096000,"神秘爆擊傷害增幅劑 X5
神秘傷害增幅劑 X5
[活動] 暴風藥水 X10"
202000009,預定的事,17497500000.0,328800,
202000010,必須在森林裡做的事,58325000000.0,1096000,"[活動] 暴風藥水(30分鐘) X1
姜太公的祝福 X1
[活動] 王者攻擊力秘藥2 X4"
202000011,某個王國的最後,116650000000.0,2192000,"姜太公的祝福 X1
[活動] 經驗值秘藥1000% X1
符文字卷軸 X1
破滅大地的救援者稱號學習書 X1"
203000001,泰奧多勒的呼喚,17569500000.0,3312000,
203000002,吉斯克領地的繼承者,17569500000.0,3312000,
203000003,與吉斯卡德見面,17569500000.0,3312000,
203000004,真實火花,35139000000.0,6624000,
203000005,幽靈西娜,35139000000.0,6624000,
203000006,西娜的禮物,35139000000.0,6624000,
203000007,也許遺物…,17569500000.0,3312000,
203000008,令人起疑之處,17569500000.0,3312000,
203000009,蛇影,58565000000.0,11040000,"[活動] 王者經驗值秘藥 X2
[活動] 王者攻擊力秘藥 X2
[活動] 任務獎勵UP！靈藥 X2
虛無的胸針 X1"
203000010,尋找線索,17569500000.0,3312000,
203000011,忘卻與真實 (1),58565000000.0,11040000,"姜太公的祝福 X2
神秘爆擊傷害增幅劑 X5
[活動] 暴風藥水 X10"
203000012,忘卻與真實 (2),117130000000.0,22080000,"[活動] 暴風藥水(30分鐘) X1
[活動] 經驗值秘藥1000% X3
神秘爆擊傷害增幅劑 X10
劍神的信賴稱號學習書 X1"
204000001,風的引渡,17635500000.0,3336000,
204000002,某些記憶,17635500000.0,3336000,
204000003,前往福波斯之路,17635500000.0,3336000,
204000004,確認實力,35271000000.0,6672000,
204000005,赤地的問題終結者,35271000000.0,6672000,
204000006,瑪爾斯城 (1),17635500000.0,3336000,
204000007,瑪爾斯城 (2),17635500000.0,3336000,
204000008,下落不明的市長,17635500000.0,3336000,
204000009,籠罩福波斯的影子,17635500000.0,3336000,
204000010,師傅的搖籃,58785000000.0,11120000,"戰鬥靈藥 X5
實用的靈藥 X5
[活動] 王者攻擊力秘藥 X4"
204000011,市長的下落,17635500000.0,3336000,
204000012,魅惑的玫瑰,58785000000.0,11120000,"[活動] 經驗值秘藥1000% X1
姜太公的祝福 X4
[活動] 道具掉落率100%靈藥 X3"
204000013,玩偶的存在,17635500000.0,3336000,
204000014,阿德奇納的決心,117570000000.0,22240000,"符文字卷軸 X1
[活動] 暴風藥水(30分鐘) X1
神秘爆擊傷害增幅劑 X4
阿德奇納的決心稱號學習書 X1"
211000001,約定的時間,18055500000.0,3456000,
211000002,聖域的另一面,18055500000.0,3456000,
211000003,蓋亞在哪裡…,18055500000.0,3456000,
211000004,另一面的警戒,18055500000.0,3456000,
211000005,前往聖域之路,18055500000.0,3456000,
211000006,掌握情況 (1),36111000000.0,6912000,
211000007,掌握情況 (2),36111000000.0,6912000,
211000008,進門的天使,60185000000.0,11520000,"神秘傷害增幅劑 X5
[活動] 經驗值秘藥500% X1
[活動] 暴風藥水 X10"
211000009,見到天使後,18055500000.0,3456000,
211000010,前往誓約的聖地…,18055500000.0,3456000,
211000011,某種硬幣,60185000000.0,11520000,
211000012,未結束的事情,18055500000.0,3456000,"[活動] 暴風藥水(30分鐘) X1
姜太公的祝福 X1
[活動] 王者攻擊力秘藥2 X3"
211000013,另一個未來,120370000000.0,23040000,"[活動] 經驗值秘藥1000% X1
神秘爆擊傷害增幅劑 X5
[活動] 任務獎勵UP！靈藥 X5
獲得大地祝福的稱號學習書 X1"
102702000,跟著普拉蒂娜回到普雷伊奧斯,2484000.0,120000,
219009101,神祕小矮人的委託,14430000.0,0,
119202000,星座峭壁,14430000.0,0,
119206000,在搖籃做夢的……,14430000.0,0,
10210586,不祥徵兆,42000000.0,100000,靈藥兌換券 X2
219009002,凌亂的艾爾亞諾勒,42000000.0,180000,
219009003,帝國和聯合公會的委託,42000000.0,180000,
219009004,再一次委託,42000000.0,180000,
219009005,前往被遺忘的平原,42000000.0,180000,
219009006,可疑的花園 (1),42000000.0,180000,
219009007,可疑的花園 (2),42000000.0,180000,
219009008,關於委託的報告,42000000.0,180000,
149010001,望著天空的神祕建築,1213050000.0,500000,
161000000,愛因斯特的信,1379400000.0,545600,
161000001,前往歐若拉森林！,1379400000.0,545600,[活動] 綜合背包 X1
161000028,做錯就要挨訓!,4598000000.0,2000000,"歐若拉的貓貼紙 X1
[活動] 綜合背包 X1"
163000000,沸沸揚揚的傳聞,2575800000.0,500000,
163000001,被稱為惡魔之山的地方,2575800000.0,500000,
163000002,倒塌的殿堂,2575800000.0,500000,
163000003,進入神秘的殿堂,2575800000.0,1500000,"[活動] 經驗值秘藥500% X1
[活動] 經驗值秘藥200% X1"
163000004,討伐完畢。可是…。,5001000000.0,2000000,"[活動] 經驗值秘藥888% X1
超級萬能木錘 X2"
163000005,流傳的故事,5001000000.0,2000000,
171001000,另一面的世界樹,5838000000.0,1500000,
171001001,魔氣之因,5838000000.0,1500000,
171001002,淨化作業開始,9730000000.0,5000000,"突變藍寶怪的腰帶 X1
[活動] 道具掉落率100%靈藥 X2
[活動] 經驗值秘藥888% X1"
171000000,馬勒泰利的信,3084000000.0,1200000,
171000001,小矮人們的王國,3084000000.0,1200000,
171000002,前往亞奇城之路,6168000000.0,1200000,"[活動] 經驗值秘藥500% X1
[活動] 經驗值秘藥200% X1"
171000003,勇敢的多倫,6168000000.0,1200000,"戰鬥靈藥 X3
實用的靈藥 X3
[活動] 任務獎勵UP！靈藥 X1"
171000004,小矮人們的王,10280000000.0,3000000,"亞奇戰龍的獅子貼紙 X1
[活動] 復活精髓 X5
[活動] 道具掉落率100%靈藥 X2"
171000005,被關在獄中的王子,3084000000.0,2000000,[活動] 寵物用靈芝草(30日) X1
171000006,確保退路,3084000000.0,1100000,
171000007,再次前往立佩拉,3084000000.0,1100000,
171000008,致新市長,20560000000.0,5000000,"高級機甲虎林綴飾 X1
靈藥兌換券 X20"
173000000,正義的考古學家,4533000000.0,2500000,
173000001,代替上天 (1),9066000000.0,3500000,
173000002,代替上天 (2),9066000000.0,5000000,
173000003,代替上天 (3),15110000000.0,7500000,"符文字卷軸 X1
[活動] 致命香油 X5
增幅劑箱子II X15
暢快可樂 X100"
173001000,日落森林,3262500000.0,1600000,
173001001,不尋常的徵兆,6525000000.0,1600000,[活動] 暴風藥水 X10
173001002,進行汙染 (1),6525000000.0,1600000,[活動] 暴風藥水 X10
173001003,進行汙染 (2),10875000000.0,5500000,"[活動] 經驗值秘藥888% X1
[活動] 經驗值秘藥200% X2
[活動] 活動覺醒劑 X30
[活動] 暴風藥水 X30"
181000001,彩諾恩的轉介,10095000000.0,1000000,
181000002,玩偶小徑大掃除！,20190000000.0,2000000,
181000003,紀念館的不法之徒 1,20190000000.0,2500000,
181000004,紀念館的不法之徒 2,20190000000.0,2500000,
181000005,紀念館的不法之徒 3,33650000000.0,5000000,"奉春植的猴子貼紙 X1
[活動] 經驗值秘藥500% X2
[活動] 經驗值秘藥200% X2
公會金幣(第2季) X150"
181000006,冰淇淋庭園大掃除1,20190000000.0,3500000,
181000007,冰淇淋庭園大掃除2,20190000000.0,3500000,
181000008,冰淇淋庭園大掃除3,33650000000.0,8000000,"草莓餅乾棒 X30
薄荷糖 X30
蝴蝶餅 X30
[活動] 刻有月亮的刻印石 X8"
181000009,影子之書大掃除1,20190000000.0,3000000,
181000010,影子之書大掃除2,20190000000.0,3000000,
181000011,影子之書大掃除3,33650000000.0,10000000,"蝴蝶之影綴飾 X1
[活動] 經驗值秘藥888% X2
[活動] 經驗值秘藥200% X2
公會金幣(第2季) X150"
183000000,不完整的覺醒餘波,15592500000.0,1500000,
183000001,學者艾琳娜,15592500000.0,2000000,
183000002,滅亡的古代王國,31185000000.0,3000000,
183000003,報告,15592500000.0,2500000,
183000004,決定討伐,15592500000.0,2500000,
183000005,關於珊瑚之城,31185000000.0,3500000,[活動] 記憶碎片 X4
183000006,戰爭就是和時間賽跑!,31185000000.0,4000000,[活動] 記憶碎片 X4
183000007,神獸巨靈,51975000000.0,6000000,"符文字卷軸 X1
[活動] 活動背包 X1
每週挑戰重置卷軸 X1"
183000008,亡者之王,51975000000.0,9000000,"神秘爆擊傷害增幅劑 X3
神秘爆擊率增幅劑 X3
神秘傷害增幅劑 X3"
183000009,任務完成,103950000000.0,11000000,"[活動] 經驗值秘藥1000% X1
姜太公的祝福 X2
[活動] 寵物用靈芝草(30日) X1"
192005102,猶忒王國重建支援 (1),11423000000.0,1000000,
192005103,猶忒王國重建支援 (2),11423000000.0,1000000,
192005104,猶忒王國重建支援 (3),11423000000.0,1000000,
192005105,猶忒王國重建支援 (4),19419100000.0,3000000,[活動] 刻有星星的刻印石 X300
192006102,恪爾立族交流支援 (1),11423000000.0,1000000,
192006103,恪爾立族交流支援 (2),11423000000.0,1000000,
