ID,怪物名稱,怪物類型(?),怪物名稱顯示,HP血條顯示,影子顯示,BOSS血條數
810070009,墜落移動傳送門1,1,0,0,0,1
810070010,墜落移動傳送門2,1,0,0,0,1
810070011,墜落移動傳送門3,1,0,0,0,1
810070012,墜落移動傳送門4,1,0,0,0,1
810070013,墜落移動傳送門5,1,0,0,0,1
810070014,墜落移動傳送門6,1,0,0,0,1
810070015,隨機移動,1,0,0,0,1
810070016,猜謎房閃電O,1,0,0,0,1
810070017,猜謎房閃電X,1,0,0,0,1
810070018,墜落傳送門,1,0,0,0,1
810070019,BOSS房突刺,1,0,0,0,1
810070020,下水道口,1,0,0,0,1
810070021,下水道口,1,0,0,0,1
810070022,庫加波,1,0,0,0,1
810070023,BOSS房閃電陷阱,1,0,0,0,1
810070024,-,1,0,0,0,1
810070025,BOSS房時間限制陷阱,1,0,0,0,1
810070026,突刺2,1,0,0,0,1
810070027,突刺2,1,0,0,0,1
810070028,突刺2,1,0,0,0,1
810070029,突刺2,1,0,0,0,1
810070030,突刺2,1,0,0,0,1
810070031,突刺2,1,0,0,0,1
810070032,突刺2,1,0,0,0,1
810070033,突刺2,1,0,0,0,1
810070034,突刺2,1,0,0,0,1
810070035,BOSS房閃電陷阱,1,0,0,0,1
810070036,X-Mas房時間限制陷阱,1,0,0,0,1
810070037,移動到聖誕房間,1,0,0,0,1
810070038,超級瑪琍3捕捉炮彈的陷阱,1,0,0,0,1
810070039,貝希摩斯喉嚨,1,0,0,0,1
810070040,隨機移動,1,0,0,1,1
810070041,水晶礦場計時器,1,0,0,0,1
810070042,冰柱,1,0,0,0,1
810070043,冰柱1,1,0,0,0,1
810070044,冰刺,1,0,0,0,1
810070045,冰刺1,1,0,0,0,1
810070046,冰刺左,1,0,0,0,1
810070047,冰刺左1,1,0,0,0,1
810070048,冰刺右,1,0,0,0,1
810070049,冰刺右1,1,0,0,0,1
810070050,上下鐵錘陷阱,1,0,0,0,1
810070051,毒氣柱,1,0,0,0,1
810070052,火焰柱上,1,0,0,0,1
810070054,-,1,0,0,0,1
810070055,-,1,0,0,0,1
810070056,-,1,0,0,0,1
810070057,持續傷害,1,0,0,0,1
810070058,移動速度3,1,0,0,0,1
810070059,移動速度7,1,0,0,0,1
810070060,移動速度1,1,0,0,0,1
810070061,火焰柱下,1,0,0,0,1
810070062,攻擊力,1,0,0,0,1
810070063,冰槍,1,0,0,0,1
810070064,下水道口,1,0,0,0,1
810070065,會咬人的耶比妹妹,1,0,0,0,1
810080001,寶箱,1,0,0,1,1
810080002,上鎖的箱子,1,0,0,1,1
810080003,上鎖的箱子,1,0,0,1,1
810080004,上鎖的箱子,1,0,0,1,1
810080005,上鎖的箱子,1,0,0,1,1
810080006,礦石結晶1,1,0,0,1,1
810080007,礦石結晶2,1,0,0,1,1
810080008,礦石結晶3,1,0,0,1,1
810080009,缸小型,1,0,1,1,1
810080010,缸中型,1,0,1,1,1
810080011,缸大型,1,0,1,1,1
810080012,符咒缸1,1,0,1,1,1
810080013,符咒缸2,1,0,1,1,1
810080014,符咒缸3,1,0,1,1,1
810080015,木箱子小型,1,0,1,1,1
810080016,木箱子中型,1,0,1,1,1
810080017,木箱子大型,1,0,1,1,1
810080018,符咒箱子1,1,0,1,1,1
810080019,符咒箱子2,1,0,1,1,1
810080020,符咒箱子3,1,0,1,1,1
810080021,土塊1,1,0,0,0,1
810080022,土塊2,1,0,0,0,1
810080023,土塊3,1,0,0,0,1
810080024,物件4,1,0,0,0,1
810080025,物件5,1,0,0,0,1
810080026,物件6,1,0,0,0,1
810080027,物件7,1,0,0,0,1
810080028,物件8,1,0,0,0,1
810080029,物件9,1,0,0,0,1
810080030,物件1,1,0,0,0,1
810080031,任務道具,1,0,0,0,1
810080032,任務道具,1,0,0,0,1
810080033,任務道具,1,0,0,0,1
810080034,上鎖的箱子,1,0,0,1,1
810080035,上鎖的箱子,1,0,0,1,1
810080036,上鎖的箱子,1,0,0,1,1
810080037,上鎖的箱子,1,0,0,1,1
810080038,上鎖的箱子,1,0,0,1,1
810080039,上鎖的箱子,1,0,0,1,1
810080040,高級礦物,1,0,0,1,1
810080041,高級礦物,1,0,0,1,1
810080042,高級礦物,1,0,0,1,1
810080043,高級礦物,1,0,0,1,1
810080044,高級礦物,1,0,0,1,1
810080045,寶箱,1,0,0,1,1
810080046,傳送用箱子,1,0,1,1,1
810080047,礦石結晶4,1,0,0,1,1
810080048,礦石結晶5,1,0,0,1,1
810080049,礦石結晶6,1,0,0,1,1
810080050,道具,1,0,0,1,1
810080051,道具,1,0,0,1,1
810080052,道具,1,0,0,1,1
810080053,道具,1,0,0,1,1
810080054,道具,1,0,0,1,1
810080055,道具,1,0,0,1,1
810080056,道具,1,0,0,1,1
810080057,道具,1,0,0,1,1
810080058,道具,1,0,0,1,1
810080059,道具,1,0,0,1,1
810090001,-,1,0,0,0,1
810090002,-,1,0,0,0,1
810090003,-,1,0,0,0,1
810090004,-,1,0,0,0,1
810090005,-,1,0,0,0,1
810090006,-,1,0,0,0,1
810090007,搗蛋鬼松鼠,1,1,0,0,1
810090008,-,1,0,0,0,1
810090009,-,6,0,0,0,1
810090010,-,1,0,0,0,1
810090011,發笑,6,0,0,0,1
810090012,生氣,6,0,0,0,1
810090013,哭泣,6,0,0,0,1
810090014,板臉,6,0,0,0,1
810090015,指向前方,6,0,0,0,1
810090016,指向上方,6,0,0,0,1
810090017,指向本人,6,0,0,0,1
810090018,打招呼,6,0,0,0,1
810090019,給予肯定,6,0,0,0,1
810090020,給予否定,6,0,0,0,1
810090021,開懷大笑,6,0,0,0,1
810090022,哭泣,6,0,0,0,1
810090023,害羞,6,0,0,0,1
810090024,驚嚇,6,0,0,0,1
810090025,荒唐,6,0,0,0,1
810090026,好奇,6,0,0,0,1
810090027,佯裝,6,0,0,0,1
810090028,眨眼,6,0,0,0,1
810090029,做鬼臉,6,0,0,0,1
810090030,陷入愛河,6,0,0,0,1
810090031,打瞌睡,6,0,0,0,1
810090032,親親,6,0,0,0,1
810090033,跳舞,6,0,0,0,1
810090034,暈倒,6,0,0,0,1
810090035,傲慢,6,0,0,0,1
810090036,傻笑,6,0,0,0,1
810090037,祈禱,6,0,0,0,1
810090038,鼓掌,6,0,0,0,1
810090039,撒嬌,6,0,0,0,1
810090040,-,1,0,0,0,1
810090041,-,1,0,0,0,1
810090042,-,1,0,0,0,1
810090043,大炮1,1,0,0,1,1
810090044,大炮炮彈,1,1,0,0,1
810090045,吸引大炮炮彈陷阱,1,0,0,0,1
810090046,雪球,1,0,0,0,1
810090047,木突刺,1,0,0,0,1
810090048,-,1,0,0,0,1
810090049,-,1,0,0,0,1
810090050,-,1,0,0,0,1
810090051,-,1,0,0,0,1
810090052,-,1,0,0,0,1
810090053,-,1,0,0,0,1
810090054,寶箱,1,0,0,1,1
810090055,寶箱,1,0,0,1,1
810090056,寶箱,1,0,0,1,1
810090057,寶箱,1,0,0,1,1
810090058,寶箱,1,0,0,1,1
810090059,兔女郎,2,1,0,1,1
810090060,聖誕耶比妹妹,1,0,0,0,1
810090061,聖誕耶比妹妹,1,0,0,0,1
810090062,聖誕耶比妹妹,1,0,0,0,1
810090063,聖誕耶比妹妹,1,0,0,0,1
810090064,聖誕耶比妹妹,1,0,0,0,1
810090065,聖誕耶比妹妹,1,0,0,0,1
810090066,道具,1,0,0,1,1
810090067,道具,1,0,0,1,1
810090068,道具,1,0,0,1,1
810090069,道具,1,0,0,1,1
810090070,道具,1,0,0,1,1
810090071,道具,1,0,0,1,1
810090072,道具,1,0,0,1,1
810090073,道具,1,0,0,1,1
810090074,道具,1,0,0,1,1
810090075,道具,1,0,0,1,1
810090076,道具,1,0,0,1,1
810090077,餌雷,1,0,0,0,1
810090078,活動箱子,1,1,0,1,1
810090079,-,6,1,1,1,1
810090080,冬將軍,6,1,1,1,1
810090081,冬將軍,6,1,1,1,1
810090082,冬將軍,6,1,1,1,1
810090083,-,6,0,0,0,1
810090084,禮貌汽球,6,0,0,0,1
810090085,禮貌汽球,6,0,0,0,1
810090086,禮貌汽球,6,0,0,0,1
810090087,禮貌汽球,6,0,0,0,1
810090088,禮貌汽球,6,0,0,0,1
810090089,禮貌汽球,6,0,0,0,1
810090090,禮貌汽球,6,0,0,0,1
810090091,禮貌汽球,6,0,0,0,1
810090092,禮貌汽球,6,0,0,0,1
810002451,禮貌汽球,6,0,0,0,1
810090093,啵啵,6,1,1,1,1
810090094,哥布哥布,1,1,1,1,1
810090095,GM卡吉招牌,6,0,0,0,1
810090096,道具,1,0,0,1,1
810090097,道具,1,0,0,1,1
810090098,道具,1,0,0,1,1
810090099,道具,1,0,0,1,1
810090100,污染物,1,0,0,0,1
810090101,餌雷,1,0,0,0,1
810090102,[活動] 怪物,1,0,0,0,1
810090103,把花種子撒在土塊上,1,0,0,0,1
811000000,大魔王,1,1,1,1,1
812000101,伊克納特,2,1,0,1,1
812000102,亞瑟絲,2,1,0,1,1
812000103,洛汗,2,1,0,1,1
812000104,美琳,2,1,0,1,1
812000105,凱貝爾,2,1,0,1,1
812000106,巴特,2,1,0,1,1
812000107,愛思泰,2,1,0,1,1
812000108,亞蓮,2,1,0,1,1
812000109,沃爾丁,2,1,0,1,1
812000110,愛琳,2,1,0,1,1
812000111,愛伊琳,2,1,0,1,1
812000201,尚恩,2,1,0,1,1
812000202,瑞米,2,1,0,1,1
812000203,朵莉亞,2,1,0,1,1
812000204,亞輝,2,1,0,1,1
812000205,希斯,2,1,0,1,1
812000206,貝倫,2,1,0,1,1
812000207,瑪妮,2,1,0,1,1
812000208,亞拉,2,1,0,1,1
812000209,夏奴伊,2,1,0,1,1
812000210,莫亞,2,1,0,1,1
812000211,拉姆亞,2,1,0,1,1
812000212,雷米,2,1,0,1,1
812000213,葛莉思,2,1,0,1,1
812000214,娜娜,2,1,0,1,1
812000215,寧,2,1,0,1,1
812000216,海洋,2,1,0,1,1
812000217,嵐,2,1,0,1,1
812000218,春花,2,1,0,1,1
812000219,迎花,2,1,0,1,1
812000220,金花,2,1,0,1,1
812000221,蓮花,2,1,0,1,1
812000222,蘭花,2,1,0,1,1
812000223,東軍,2,1,0,1,1
812000224,西軍,2,1,0,1,1
812000225,南軍,2,1,0,1,1
812000226,海樂妮,2,1,0,1,1
812000227,惠宗,2,1,0,1,1
812000301,喬治夫,2,1,0,1,1
812000302,偉恩,2,1,0,1,1
812000303,拉瓦爾,2,1,0,1,1
812000304,宜靜,2,1,0,1,1
812000305,蘭蒂安,2,1,0,1,1
812000306,亞菲,2,1,0,1,1
812000307,瓊基恩,2,1,0,1,1
812000308,蕭羽,2,1,0,1,1
812000309,柳香帥,2,1,0,1,1
812000310,琳寧,2,1,0,1,1
812000401,艾咪,2,1,0,1,1
812000402,秦,2,1,0,1,1
812000403,卡莉林,2,1,0,1,1
812000404,蘿拉,2,1,0,1,1
812000405,凱伊,2,1,0,1,1
812000406,辛卓,2,1,0,1,1
812000407,亞美,2,1,0,1,1
812000408,塔莫里,2,1,0,1,1
812000501,伊恩波特,2,1,0,1,1
812000502,泰特,2,1,0,1,1
812000503,悠納斯,2,1,0,1,1
812000504,莉婕,2,1,0,1,1
812000505,拉希特,2,1,0,1,1
812000506,希羅,2,1,0,1,1
812000507,琪拉,2,1,0,1,1
812000508,托特,2,1,0,1,1
812000509,亞伊薩,2,1,0,1,1
812000510,卡地佛,2,1,0,1,1
812000601,布馬,2,1,0,1,1
812000602,特裡莎,2,1,0,1,1
812000603,奴安,2,1,0,1,1
812000604,沙堤,2,1,0,1,1
812000605,貝拉,2,1,0,1,1
812000606,露比亞,2,1,0,1,1
812000607,西斯藍,2,1,0,1,1
812000608,加納思,2,1,0,1,1
812000609,宣聖,2,1,0,1,1
812000610,拉塔特,2,1,0,1,1
812009801,沙拉,2,1,0,1,1
812009802,路伊,2,1,0,1,1
812009803,朗妮,2,1,0,1,1
812009804,安樂,2,1,0,1,1
812009805,穆拉,2,1,0,1,1
812009806,蘇比,2,1,0,1,1
812009807,納伊,2,1,0,1,1
812009901,海伊凱爾,2,1,0,1,1
812009902,托勒妮亞,2,1,0,1,1
812009903,龍克斯,2,1,0,1,1
812009904,海伊凱爾,2,1,0,1,1
812009905,托勒妮亞,2,1,0,1,1
812009906,龍克斯,2,1,0,1,1
812009907,海伊凱爾,2,1,0,1,1
812009908,托勒妮亞,2,1,0,1,1
812009909,龍克斯,2,1,0,1,1
812009910,海伊凱爾,2,1,0,1,1
812009911,托勒妮亞,2,1,0,1,1
812009912,龍克斯,2,1,0,1,1
812009913,海伊凱爾,2,1,0,1,1
812009914,托勒妮亞,2,1,0,1,1
812009915,龍克斯,2,1,0,1,1
812009916,修普勒,2,1,0,1,1
812009917,修普勒,2,1,0,1,1
812009918,修普勒,2,1,0,1,1
812010000,郵差,2,1,0,1,1
812010002,紅色暢快戰士,2,1,0,1,1
812010003,藍色暢快戰士,2,1,0,1,1
812010004,黑色暢快戰士,2,1,0,1,1
812010005,黃色暢快戰士,2,1,0,1,1
812010006,粉色暢快戰士,2,1,0,1,1
812010007,比昂卡,2,1,0,1,1
812010008,卡達麗娜,2,1,0,1,1
812010009,強尼船長,2,1,0,1,1
812010010,賽蘿,2,1,0,1,1
812010011,兔女郎,2,1,0,1,1
812010021,穆亞和喬艾,2,1,0,1,1
812010022,穆亞和喬艾,2,1,0,1,1
812010023,穆亞和喬艾,2,1,0,1,1
812010031,蕭羽,2,1,0,1,1
812010032,蕭羽,2,1,0,1,1
812010041,卡茲諾,2,1,0,1,1
812010042,卡茲諾,2,1,0,1,1
812010051,黑月公主,2,1,0,1,1
812010061,範繼宇,2,1,0,1,1
812010062,範繼宇,2,1,0,1,1
812010071,雷比,2,1,0,1,1
812010072,雷比,2,1,0,1,1
812010081,卡蒂亞．舒,2,1,0,1,1
812010082,卡蒂亞．舒,2,1,0,1,1
812010083,比昂卡,2,1,0,1,1
812010084,麥考伊,2,1,0,1,1
812010085,魯道夫,2,1,0,1,1
812010086,艾瑪,2,1,0,1,1
812010087,可兒,2,1,0,1,1
812010088,歐瑟,2,1,0,1,1
812010089,賽巴斯汀,2,1,0,1,1
812010090,情人,2,1,0,1,1
812010091,索妮爾,2,1,0,1,1
812010092,瑪利,2,1,0,1,1
812010093,拉裡薩,2,1,0,1,1
812010094,安娜史塔莎,2,1,0,1,1
812010095,德雷歐,2,1,0,1,1
812010096,德尼歐,2,1,0,1,1
812010097,德尼歐,2,1,0,1,1
812010098,卡塔琳娜,2,1,0,1,1
812010099,卡塔琳娜,2,1,0,1,1
812010100,冰女,2,1,0,1,1
812010101,影子忍者王,2,1,0,1,1
812010102,女王蜂,2,1,0,1,1
812010103,吟遊詩人珍,2,1,0,1,1
812010104,奉春植,2,1,0,1,1
812010105,大臣,2,1,0,1,1
812010106,夏洛,2,1,0,1,1
812090000,中立植物,2,0,0,0,1
812090001,中立植物,2,0,0,0,1
812090002,中立植物,2,0,0,0,1
812090003,中立植物,2,0,0,0,1
812090100,秩序植物,2,0,0,0,1
812090101,秩序植物,2,0,0,0,1
812090102,秩序植物,2,0,0,0,1
812090103,秩序植物,2,0,0,0,1
812090200,混沌植物,2,0,0,0,1
812090201,混沌植物,2,0,0,0,1
812090202,混沌植物,2,0,0,0,1
812090203,混沌植物,2,0,0,0,1
