ID,名稱,類別,屬性
85,圓錐帽,時裝裝備,力量+3
86,木鞋,時裝裝備,體力 +3
87,木乃伊服裝(男),時裝裝備,魔力+3
88,木乃伊服裝(女),時裝裝備,幸運+3
89,木乃伊鞋子,時裝裝備,力量+3
90,木乃伊帽子,時裝裝備,體力 +3
91,木乃伊手套,時裝裝備,魔力+3
92,木乃伊絲襪,時裝裝備,幸運+3
93,腰衣(男),時裝裝備,力量+3
94,腰衣(女),時裝裝備,體力 +3
95,儀仗用鬍鬚,時裝裝備,魔力+3
96,黃金蛇,時裝裝備,幸運+3
97,蛇手環,時裝裝備,力量+3
98,皮製涼鞋,時裝裝備,體力 +3
99,法老頭冠,時裝裝備,魔力+3
100,紅暈,時裝裝備,物理/魔法最大傷害 +1%
101,毒抗力精油,消耗,水抵抗力+10
102,火抗力精油,消耗,水抵抗力+10
103,鋼化塑膠鞋子(S),戰鬥裝備,水抵抗力+10
104,風抗力精油,消耗,水抵抗力+10
105,啵的妙藥,消耗,最大HP +20
106,寶卡卡的妙藥,消耗,最大SP+20
107,班斯的妙藥,消耗,魔法減少傷害+3
108,啾的妙藥,消耗,物理減少傷害+3
109,甜米釀,消耗,力量+1
110,起司蛋糕,消耗,幸運+1
111,核桃派,消耗,魔力+1
112,藍莓餅乾,消耗,體力 +1
113,排骨湯,消耗,幸運+1
114,烤饅魚,消耗,魔力+2
115,拌飯,消耗,力量+2
116,參雞湯,消耗,魔力+2
117,聲望芒果優酪乳,消耗,力量+2
118,聲望草莓奶昔,消耗,物理爆擊傷害+1%
119,聲望鮑魚海鮮麵,消耗,魔力+2
120,聲望燉牛小排,消耗,幸運+3
121,一般恢復藥水,消耗,力量+3
122,中級恢復藥水,消耗,防禦力+3
123,高級恢復藥水,消耗,魔法減少傷害+2
124,特殊副本恢復藥水,消耗,幸運+3
125,初級破片,其他,體力 +1
126,中級破片,其他,力量+1
127,高級破片,其他,魔力+1
128,最高級破片,其他,幸運+1
129,特殊破片,其他,體力 +2
130,黃銅色鞋子(S),戰鬥裝備,力量+2
131,鋼化塑膠手套(S),戰鬥裝備,魔力+2
132,高級修拉鞋子(S),戰鬥裝備,幸運+3
133,鈦合金褲裙(S),戰鬥裝備,體力 +3
134,藍色水晶帽子(S),戰鬥裝備,力量+3
135,粉紅黃金褲裙(S),戰鬥裝備,物理最小傷害+1%
136,銀色秘銀手套(S),戰鬥裝備,魔力+1
137,惡魔艾德加印靴子(S),戰鬥裝備,幸運+1
138,惡魔艾德加印帽子(S),戰鬥裝備,體力 +2
139,深紅亞德曼褲(S),戰鬥裝備,力量+2
140,深紅亞德曼靴子(S),戰鬥裝備,魔力+3
141,阿拉戈騎士褲(S),戰鬥裝備,幸運+3
142,阿拉戈騎士靴子(S),戰鬥裝備,魔法最小傷害+1%
143,生氣學習書,消耗,幸運+2
144,悲傷學習書,消耗,體力 +2
145,耍脾氣學習書,消耗,力量+2
146,指前方學習書,消耗,魔力+2
147,指上方學習書,消耗,幸運+2
148,指自己學習書,消耗,體力 +2
149,打招呼學習書,消耗,力量+2
150,肯定學習書,消耗,魔力+2
151,否定學習書,消耗,幸運+2
152,柔軟的尾巴,其他收藏,體力 +1
153,粗糙的虎尾,其他收藏,力量+1
154,九尾狐破舊毛,其他收藏,魔力+1
155,白色虎尾,其他收藏,幸運+1
156,高級柔軟的尾巴,其他收藏,體力 +1
157,紫色耶比妹妹尾巴,其他收藏,力量+1
158,毛絨球尾巴,其他收藏,魔力+1
159,耶比爸爸尾巴,其他收藏,幸運+1
160,強盜狼尾巴,其他收藏,體力 +1
161,猴子尾巴,其他收藏,力量+1
162,小紫龍的斷尾,其他收藏,魔力+1
163,面具貓咪的尾巴,其他收藏,幸運+1
164,帝國小狗的尾巴,其他收藏,體力 +1
165,大王哥布林頭髮,其他收藏,力量+2
166,魔王哥布林頭髮,其他收藏,魔力+2
167,人面獅身的羽毛,其他收藏,幸運+2
168,螞蟻士兵頭髮,其他收藏,體力 +2
169,水之羽毛,其他收藏,力量+2
170,土之羽毛,其他收藏,魔力+2
171,風之羽毛,其他收藏,幸運+2
172,火之羽毛,其他收藏,體力 +2
173,火花尾巴奧比亞的尾巴毛,其他收藏,力量+2
174,企鵝紳士頭髮,其他收藏,魔力+2
175,蓬鬆的貂毛,其他收藏,魔力+2
176,面具貓咪的毛,其他收藏,幸運+2
177,破舊的羽毛,其他收藏,體力 +2
178,獅鷲頭髮,其他收藏,力量+2
179,乾燥的獨角獸毛,其他收藏,魔力+2
180,蓬鬆的飛馬毛,其他收藏,幸運+2
181,沒有光澤的兔兔毛,其他收藏,體力 +2
182,諾爾的斷毛,其他收藏,力量+2
183,枯瘠的諾爾毛,其他收藏,魔力+2
184,粗糙的毛,其他收藏,幸運+2
185,流氓貓尾巴毛,其他收藏,體力 +2
186,獅鷲的尾巴毛,其他收藏,力量+2
187,黃甲衛兵玩偶,其他收藏,魔力+4
188,青色紙人偶,其他收藏,幸運+4
189,紅色紙人偶,其他收藏,體力 +4
190,紫色紙人偶,其他收藏,力量+4
191,黑色紙人偶,其他收藏,魔力+4
192,白色紙人偶,其他收藏,幸運+4
193,橙凍凍玩偶,其他收藏,體力 +4
194,狐狸巡邏兵武士玩偶,其他收藏,力量+4
195,紫色耶比妹妹玩偶,其他收藏,魔力+4
196,玫瑰凍凍玩偶,其他收藏,幸運+4
197,奶嘴蠶寶寶玩偶,其他收藏,體力 +4
198,大嘴食人花玩偶,其他收藏,力量+4
199,靈魂收割者玩偶,其他收藏,魔力+4
200,毛絨球玩偶,其他收藏,幸運+4
201,海之星玩偶,其他收藏,體力 +4
202,森林金剛玩偶,其他收藏,力量+4
203,蜂鳥玩偶,其他收藏,魔力+4
204,挖地工頭玩偶,其他收藏,幸運+4
205,挖地弟弟玩偶,其他收藏,體力 +4
206,小綠龍玩偶,其他收藏,力量+4
207,小丑玩偶,其他收藏,魔力+4
208,圓桌騎士玩偶,其他收藏,幸運+4
209,小紫龍玩偶,其他收藏,體力 +4
210,麥當當叔叔的玩偶,其他收藏,力量+4
211,河豚玩偶,其他收藏,魔力+4
212,藍烏龜玩偶,其他收藏,幸運+4
213,人魚公主玩偶,其他收藏,體力 +4
214,閃電玩偶,其他收藏,力量+4
215,法師玩偶,其他收藏,魔力+4
216,吉婕兒玩偶,其他收藏,幸運+4
217,魅影的玩偶,其他收藏,體力 +4
218,妖娘娘玩偶,其他收藏,力量+4
219,卡特玩偶,其他收藏,魔力+4
220,貝特玩偶,其他收藏,幸運+4
221,羅基玩偶,其他收藏,體力 +4
222,倉鼠果凍玩偶,其他收藏,力量+4
223,海螺殼小章魚玩偶,其他收藏,魔力+4
224,蒙面小章魚玩偶,其他收藏,幸運+4
225,海賊貓玩偶,其他收藏,體力 +4
226,奧比亞玩偶,其他收藏,力量+4
227,飛飛耶比玩偶,其他收藏,魔力+4
228,鑽石耶比玩偶,其他收藏,幸運+4
229,粉粉耶比玩偶,其他收藏,體力 +4
230,兔兔玩偶,其他收藏,力量+4
231,諾爾玩偶,其他收藏,魔力+4
232,蒼狼變種靈魂(S),戰鬥裝備,移動速度+2%
233,赤銅工具箱(S),戰鬥裝備,防禦力+100
234,碎片短弓(S),戰鬥裝備,休息恢復HP+5
235,多屬性青銅色結晶(S),戰鬥裝備,魔法回擊傷害+1%
236,粉紅塑膠工具箱(S),戰鬥裝備,物理回擊傷害+1%
237,狐狸巡邏兵靈魂(S),戰鬥裝備,最小攻擊力+5
238,黃銅色襯衫(S),戰鬥裝備,梯子移動速度+5%
239,鋼化塑膠褲(S),戰鬥裝備,物理回避率+1%
240,重藤弓(S),戰鬥裝備,魔法回避率+1%
241,神秘弓(S),戰鬥裝備,魔法命中率+1%
242,粉紅修拉工具箱(S),戰鬥裝備,屬性力+5
243,刺花美眉靈魂(S),戰鬥裝備,目標物理防禦力減少1%
244,陶瓷長弓(S),戰鬥裝備,屬性力+5
245,執事魔力卡片(S),戰鬥裝備,休息恢復SP+5
246,綠色水晶魔法球(S),戰鬥裝備,物理命中率+1%
247,暗黑古書(S),戰鬥裝備,最大攻擊力+5
248,銀色無畏吉他(S),戰鬥裝備,物理最大傷害+1%
249,翡翠雙魔刀(S),戰鬥裝備,屬性發生機率+100%
250,藍色魯格手槍(S),戰鬥裝備,目標魔法抵抗力減少+1%
251,黑色水晶魔法球(S),戰鬥裝備,屬性力+5
252,威力塔里本彎刀(S),戰鬥裝備,屬性力+5
253,藍色獵頭劍(S),戰鬥裝備,魔法最大傷害+1%
254,粉柱石迪林格手槍(S),戰鬥裝備,最大HP +600
255,華爾基莉長槍 +3,戰鬥裝備,物理傷害+5
256,華爾基莉雙手劍 +3,戰鬥裝備,魔法傷害+5
257,華爾基莉雙劍 +3,戰鬥裝備,物理傷害+5
258,華爾基莉單手劍 +3,戰鬥裝備,魔法傷害+5
259,華爾基莉戰錘 +3,戰鬥裝備,物理傷害+5
260,華爾基莉刺手 +3,戰鬥裝備,魔法傷害+5
261,華爾基莉魔杖 +3,戰鬥裝備,物理傷害+5
262,華爾基莉魔法球 +3,戰鬥裝備,魔法傷害+5
263,華爾基莉吉他 +3,戰鬥裝備,物理傷害+5
264,華爾基莉弓 +3,戰鬥裝備,魔法傷害+5
265,華爾基莉十字弓 +3,戰鬥裝備,物理傷害+5
266,華爾基莉匕首 +3,戰鬥裝備,魔法傷害+5
267,華爾基莉麥格農手槍 +3,戰鬥裝備,物理回避率+1%
268,巧克力盾牌,時裝裝備,獲得錢+5%
269,糖果短劍,時裝裝備,道具掉落率+1%
270,百年水草,其他,物理/魔法爆擊傷害 +3%
271,山寨海星,其他,物理/魔法最大傷害 +2%
272,金色大肚魚,其他,力量+5
273,大肚子河豚,其他,幸運+5
274,龍蝦,其他,魔力+5
275,會說話的鯽魚,其他,體力 +5
276,牛奶色澤鯉魚,其他,最大HP +50
277,掉牙的鯊魚,其他,最大SP+50
278,斑紋鯨魚,其他,物理/魔法最小傷害 +1%
279,新鮮的金槍魚帽子,時裝裝備,獲得經驗值+2%
280,精力十足的鰻魚濃縮液,消耗,物理命中率+1%
281,濃稠的鯉魚濃縮液,消耗,魔法命中率+1%
282,甜甜的鯽魚飲料,消耗,物理回避率+1%
283,爽口辣湯,消耗,魔法回避率+1%
284,傳說的漁船魚餌,消耗,物理回擊傷害+1%
285,啪嗒啪嗒超大魚餌,消耗,魔法回擊傷害+1%
286,好用的魚餌,消耗,防禦力+50
287,釣魚高手稱號學習書,消耗,力量+7
288,釣魚之王稱號學習書,消耗,幸運+7
289,釣魚達人稱號學習書,消耗,魔力+7
290,釣魚之神稱號學習書,消耗,體力 +7
291,130層秘密上冊,其他,"力量+10
魔力+10"
292,140層秘密上冊,其他,"體力 +10
幸運+10"
293,150層秘密上冊,其他,"最大HP +100
最大SP+100"
294,160層秘密上冊,其他,物理/魔法命中率 +2%
295,170層秘密上冊,其他,物理回避率+2%
296,180層秘密上冊,其他,道具掉落率+2%
297,190層秘密上冊,其他,獲得錢+7%
298,130層秘密下冊,其他,所有能力值 +10
299,140層秘密下冊,其他,所有能力值 +15
300,150層秘密下冊,其他,移動速度+4%
301,160層秘密下冊,其他,物理/魔法最小傷害 +2%
302,170層秘密下冊,其他,物理/魔法最大傷害 +2%
303,180層秘密下冊,其他,物理/魔法貫穿力 +2%
304,190層秘密下冊,其他,物理/魔法爆擊傷害 +4%
305,兵蟻王的角,其他,物理/魔法爆擊率 +1%
306,華爾基莉MG +3,戰鬥裝備,魔法回避率+1%
307,剪斷的兔兔毛,其他收藏,體力 +2
308,窮奇玩偶,其他收藏,體力 +4
309,銀甜椒,其他,物理/魔法貫穿力 +1%
310,黃金甜椒,其他,物理/魔法爆擊傷害 +2%
311,彩虹甜椒,其他,物理/魔法爆擊率 +1%
312,神秘小矮人清潔工玩偶,其他收藏,最大HP +10
313,神秘小矮人收集家玩偶,其他收藏,水抵抗力+5
314,神秘小矮人學者玩偶,其他收藏,獲得錢+1%
315,華爾基莉靈魂 +3,戰鬥裝備,魔法傷害+5
316,海豚姑娘玩偶,其他收藏,體力 +4
317,華爾基莉人偶,其他收藏,力量+4
318,鋼化塑膠帽子(S),戰鬥裝備,幸運+4
319,機甲戰士的熊玩偶,其他收藏,魔力+4
320,魔爪的油,其他,體力 +4
321,暗黑物質,其他,所有能力值 +1
322,崩壞的靈魂玩偶,其他收藏,所有能力值 +5
323,憤怒的綠之核,活動,所有能力值 +5
324,破壞的藍之核,活動,物理/魔法貫穿力 +1%
325,絕處逢生的紅之核,活動,所有能力值 +40
326,露菲寶寶玩偶,其他收藏,力量+4
327,飢餓諾爾玩偶,其他收藏,體力 +4
328,強悍諾爾玩偶,其他收藏,幸運+4
329,沒有主人的騎士玩偶,其他收藏,魔力+4
330,代理人安迪玩偶,其他收藏,體力 +10
331,代理人喬伊玩偶,其他收藏,力量+10
332,代理人尼歐玩偶,其他收藏,幸運+10
333,代理人吉爾玩偶,其他收藏,魔力+10
334,艾溫玩偶,其他收藏,所有能力值 +5
335,艾爾梅玩偶,其他收藏,物理/魔法爆擊傷害 +2%
336,深夜餐廳黃色票券,活動,"力量+100
體力 +10
幸運+10"
337,深夜餐廳藍色票券,活動,"體力 +100
力量+10
幸運+10"
338,深夜餐廳紅色票券,活動,"幸運+100
力量+10
體力 +10"
339,深夜餐廳綠色票券,活動,"魔力+100
力量+10
體力 +10"
340,MD的空酒瓶,其他,所有能力值 +50
341,繡有星座的藍色手帕,其他,"體力 +2
魔力+2"
342,藍色寶珠裝飾,其他,"力量+2
魔力+2"
343,琥珀色寶珠裝飾,其他,"幸運+2
魔力+2"
344,可以感受到些微力量的金屬碎片,其他,"體力 +2
力量+2"
345,可以感受到一些力量的金屬碎片,其他,"幸運+2
力量+2"
346,可以感受到細膩力量的金屬碎片,其他,"幸運+2
體力 +2"
347,透出混沌氣息的紅色龍鱗片,其他,水抵抗力+10
348,泰勒的執念,其他,移動速度+3%
349,老舊脈衝槍,其他,物理/魔法爆擊傷害 +3%
350,深黑色封面的聖經,其他,最大SP+100
351,線斷掉的翠綠色項鍊,其他,所有能力值 +20
352,索爾的黑色鎧甲碎片,其他,最大HP +50
353,巴里伍德的珍藏品,其他,"物理回擊傷害+3%
魔法回擊傷害+3%"
354,久遠的樹葉化石,其他,體力 +1
355,久遠的原始錢幣,其他,力量+1
356,久遠的動物的牙齒碎片,其他,魔力+1
357,新鮮的葉子,其他,體力 +1
358,藍玫瑰,其他,力量+1
359,種子證書,其他,魔力+1
360,老舊的相簿,其他,"體力 +2
幸運+2"
361,百合,其他,"力量+2
幸運+2"
362,小蒼蘭,其他,"魔力+2
幸運+2"
363,刻著紋路的大理石碎片,其他,"體力 +2
幸運+2"
364,純白的樹葉化石,其他,"力量+2
幸運+2"
365,蘭鈴,其他,"魔力+2
幸運+2"
366,探險家的放大鏡,其他,力量+4
367,老舊的頭盔,其他,體力 +4
368,星星碎片,其他,魔力+4
369,碎掉的紅寶石,其他,幸運+4
370,有考古價值的雕像,其他,體力 +40
371,華爾基莉魔力卡片 +3,戰鬥裝備,魔法傷害+5
372,樹根,其他,"所有能力值 +1
力量+1
魔力+1"
373,蘊含大自然力量的糖果,其他,最大HP +15
374,昆蟲採集桶,其他,"力量+3
幸運+2"
375,波魯的角,其他,
376,爆彈花花中央處理裝置(CPU),其他,"體力 +3
幸運+2"
377,濃稠的蔬菜汁,其他,"體力 +2
力量+2
魔力+2"
378,西爾戈斯的紅色隱形眼鏡,其他,體力 +20
379,藍色洗髮精,其他,力量+4
380,黑色附魔玩具碎片,其他,體力 +4
381,紅色機器人設計圖,其他,魔力+4
382,白色沒有處理的垃圾,其他,幸運+4
383,黃色蟲蟲翅膀,其他,力量+4
384,白色故事書,其他,體力 +4
385,白色絨毛尾巴,其他,魔力+4
386,紫色睡眠襪,其他,幸運+4
387,哈瓦的玩具,其他,"移動速度+3%
物理回擊傷害+3%
魔法回擊傷害+3%"
388,紅色種子證書,其他,"魔力+3
力量+3"
389,布迪德古氏的隱形眼鏡,其他,體力 +40
390,月華院主青銅明鏡,其他,所有能力值 +40
391,泰姆的寶物,其他,所有能力值 +50
392,奇毅的珍藏品,其他,"力量+10
幸運+10"
393,華爾基莉黑狼玉 +3,戰鬥裝備,物理傷害+5
394,UFO左邊發射器,其他,移動速度+5%
395,UFO藍色指示燈,其他,梯子移動速度+10%
396,UFO引擎,其他,繩索移動速度+10%
397,Lv.10 未知之星徽章,戰鬥裝備,最大HP +300
398,Lv.20 未知之星徽章,戰鬥裝備,"體力 +30
幸運+30"
399,Lv.30 未知之星徽章,戰鬥裝備,"力量+30
魔力+30"
400,Lv.40 未知之星徽章,戰鬥裝備,所有能力值 +20
401,Lv.50 未知之星徽章,戰鬥裝備,物理/魔法爆擊傷害 +3%
402,滲入魔力的頭髮,其他,所有能力值 +40
403,火焰之核破片,其他,道具掉落率+1%
404,智能之核破片,其他,獲得錢+2%
405,凱米努茲的血液,其他,所有能力值 +50
406,名品禮服裝飾,其他,最大HP +300
407,歐若拉的情書,其他,所有能力值 +50
408,歐若拉的貓貼紙碎片1,其他,"最小/最大攻擊力 +5
屬性力+5"
409,歐若拉的貓貼紙碎片2,其他,物理/魔法傷害 +50
410,歐若拉的貓貼紙碎片3,其他,所有能力值 +30
411,突變靈魂收割者折斷的鐮刀,其他,"防禦力+1%
水抵抗力+1%"
412,突變靈魂收割者撕破的衣領,其他,"獲得經驗值+2%
獲得錢+2%
道具掉落率+2%"
413,突變靈魂收割者靈魂體,其他,物理減少傷害+10
414,蘊含可疑魔力的戒指,其他,所有能力值 +40
415,蘊含可疑魔力的手環,其他,最大HP +300
416,封印魔力的手術手套,其他,"物理回擊傷害+3%
魔法回擊傷害+3%"
417,新手旅行者指南,其他,所有能力值 +60
418,不會啟動的水魔石,其他,物理/魔法貫穿力 +2%
419,封印魔力的皮製眼罩,其他,物理/魔法爆擊傷害 +2%
420,軍團的象徵,其他,所有能力值 +40
421,凱魯斯之角,其他,最大HP +300
422,凱魯斯之瞳,其他,"最小/最大攻擊力 +5
屬性力+5"
423,增幅的魔石,其他,所有能力值 +40
424,吸收的魔石,其他,最大HP +300
425,精靈契約信物,其他,物理/魔法最大傷害 +3%
426,劈裂的雷電高階精靈石,其他,物理/魔法爆擊傷害 +2%
427,蘊含凱魯斯的魔力髮夾,其他,所有能力值 +40
428,燃燒的皮膚碎片,其他,最大HP +400
429,地獄火之瞳,其他,所有能力值 +60
430,幻炎魔眼,其他,所有能力值 +30
431,蕩漾的尾羽,其他,"體力 +150
幸運+150"
432,乾澀的餅乾碎片,其他,"最大HP +200
防禦力+100
水抵抗力+100"
433,苦澀的巧克力片,其他,物理/魔法爆擊率 +1%
434,邪異氣息的魔法項鍊,活動,所有能力值 +30
435,邪異氣息的魔石,活動,"最小/最大攻擊力 +2
屬性力+2"
436,突變藍寶怪的翅膀,活動,"最大HP +200
防禦力+100
水抵抗力+100"
437,控制頭盔,活動,"最小/最大攻擊力 +2
屬性力+2"
438,亞奇反應器標誌1,活動,"最大HP +200
物理/魔法最大傷害 +1%"
439,衝擊吸收裝置,活動,所有能力值 +30
440,人工智慧控制裝置,活動,所有能力值 +30
441,亞奇反應器標誌2,活動,"最小/最大攻擊力 +2
屬性力+2"
442,能量接收裝置,活動,"最大HP +200
物理/魔法最大傷害 +1%"
443,樹人的果實,活動,"最小/最大攻擊力 +3
屬性力+3"
444,降靈術師的咒術繩,活動,物理/魔法爆擊傷害 +2%
445,降靈術的秘藥,活動,物理/魔法傷害 +10
446,破裂的咒術精華,活動,物理/魔法傷害 +15
447,獨眼巨人靈魂石,活動,物理/魔法傷害 +15
448,獨眼巨人靈魂粉末,活動,物理/魔法傷害 +15
449,靈鳥的羽毛,活動,"最小/最大攻擊力 +3
屬性力+3"
450,兒子的禮物,活動,所有能力值 +40
451,火神的魔力魔器,活動,"最大HP +300
物理/魔法最大傷害 +2%"
452,突變的葉子,活動,所有能力值 +30
453,突變花蛇鱗片,活動,BOSS怪物追加傷害 +30
454,突變花蛇項鍊,活動,BOSS怪物追加傷害 +30
455,亞克能量膠囊,活動,所有能力值 +30
456,噴射引擎追加附件,活動,一般怪物追加傷害 +25
457,未完成能量膠囊,活動,一般怪物追加傷害 +25
458,墮落的鳥人族羽毛,活動,所有能力值 +30
459,信任的信物,活動,一般怪物追加傷害 +25
460,蒼空的祝福,活動,一般怪物追加傷害 +25
461,北海的憤怒,活動,所有能力值 +30
462,大海的心臟,活動,BOSS怪物追加傷害 +30
463,彼姆的魔石,活動,BOSS怪物追加傷害 +30
464,白獅女王的盔甲上衣,活動,"最小/最大攻擊力 +5
屬性力+5"
465,白獅女王的頭盔,活動,所有能力值 +40
466,白獅女王的槍,活動,"最大HP +200
物理/魔法最大傷害 +3%"
467,Lv.51 未知之星徽章,戰鬥裝備,"暈眩抗力 +50.0%
混亂抗力 +50.0%
道具掉落率+5%"
468,Lv.52 未知之星徽章,戰鬥裝備,"獲得經驗值+20%
最大HP +500"
469,Lv.53 未知之星徽章,戰鬥裝備,"所有能力值 +200
最大HP +500"
470,Lv.54 未知之星徽章,戰鬥裝備,"最小/最大攻擊力 +30
屬性力+30
最大HP +500"
471,Lv.55 未知之星徽章,戰鬥裝備,"物理/魔法最小傷害 +20%
最大HP +500"
472,草莓餅乾棒,活動,"最小/最大攻擊力 +4
屬性力+4"
473,薄荷糖,活動,一般怪物追加傷害 +25
474,蝴蝶餅,活動,所有能力值 +30
475,黑焱龍的金色翅膀,活動,"最大HP +300
物理/魔法最大傷害 +2%"
476,黑焱龍的黃金觸角,活動,"最小/最大攻擊力 +4
屬性力+4"
477,神秘的深夜雲海,活動,物理/魔法傷害 +15
478,奉的豬仔帽,活動,"最小/最大攻擊力 +4
屬性力+4"
479,春的兔子帽,活動,物理/魔法傷害 +15
480,植的蒼鷹帽,活動,"最大HP +200
防禦力+100
水抵抗力+100"
481,噩夢項鍊,活動,"最小/最大攻擊力 +5
屬性力+5"
482,噩夢骨頭盔,活動,所有能力值 +30
483,噩夢礦石碎片,活動,"最大HP +150
物理/魔法最大傷害 +2%"
484,暗黑鬥氣的痕跡,活動,物理/魔法爆擊傷害 +3%
485,魔王的角,活動,"最小/最大攻擊力 +10
屬性力+10"
486,魔王的翅膀,活動,"所有能力值 +30
最小/最大攻擊力 +3
屬性力+3"
487,比柏萊特的死亡筆記本,活動,"最小/最大攻擊力 +5
屬性力+5"
488,比柏萊特的帽子,活動,"最大HP +100
一般怪物追加傷害 +30"
489,比柏萊特的裝飾品碎片,活動,物理/魔法傷害 +20
