ID,鑲嵌類型ID,鑲嵌屬性名稱,自然最小數值,自然最大數值,鑲嵌最小數值,鑲嵌最大數值,鑲嵌材料,最小耐久度消耗,最大耐久度消耗,概率補正,成功率(%),手續費
68,1,Lv8 體力 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
69,1,Lv9 體力 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
70,1,Lv10 體力 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
71,1,Lv11 體力 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
72,1,Lv12 體力 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
73,1,Lv13 體力 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
74,1,Lv14 體力 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
75,1,Lv15 體力 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
76,1,Lv16 體力 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
77,1,Lv17 體力 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
78,1,Lv18 體力 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
79,1,Lv19 體力 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
80,1,Lv20 體力 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
81,1,Lv1 屬性發生率 %+d％,5,10,5,14,鑲嵌拼圖 X1,5,15,10,95,1000
82,1,Lv2 屬性發生率 %+d％,11,20,6,15,鑲嵌拼圖 X1,5,15,10,95,2500
83,1,Lv3 屬性發生率 %+d％,17,32,6,17,鑲嵌拼圖 X1,5,15,10,95,5000
84,1,Lv4 屬性發生率 %+d％,24,45,7,19,鑲嵌拼圖 X1,5,15,10,95,8000
85,1,Lv5 屬性發生率 %+d％,32,59,8,21,鑲嵌拼圖 X1,5,15,10,95,12000
86,1,Lv6 屬性發生率 %+d％,41,75,9,23,鑲嵌拼圖 X1,5,15,10,95,18000
87,1,Lv7 屬性發生率 %+d％,50,92,9,25,鑲嵌拼圖 X1,5,15,10,95,27000
88,1,Lv8 屬性發生率 %+d％,60,111,10,27,鑲嵌拼圖 X1,5,15,10,95,55000
89,1,Lv9 屬性發生率 %+d％,71,131,11,30,鑲嵌拼圖 X1,5,15,10,95,68500
90,1,Lv10 屬性發生率 %+d％,83,154,12,33,鑲嵌拼圖 X1,5,15,10,95,89000
91,1,Lv11 屬性發生率 %+d％,97,173,14,41,鑲嵌拼圖 X1,5,15,-70,70,300000
92,1,Lv12 屬性發生率 %+d％,114,207,17,52,鑲嵌拼圖 X1,5,15,-70,60,500000
93,1,Lv13 屬性發生率 %+d％,130,258,21,64,特殊鑲嵌拼圖 X1,5,15,-70,50,0
94,1,Lv14 屬性發生率 %+d％,154,338,30,100,特殊鑲嵌拼圖 X1,5,15,-70,40,0
95,1,Lv15 屬性發生率 %+d％,182,418,35,100,特殊鑲嵌拼圖 X1,5,15,-70,30,0
96,1,Lv16 屬性發生率 %+d％,214,498,40,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
97,1,Lv17 屬性發生率 %+d％,250,578,45,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
98,1,Lv18 屬性發生率 %+d％,290,658,50,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
99,1,Lv19 屬性發生率 %+d％,334,738,55,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
100,1,Lv20 屬性發生率 %+d％,382,818,60,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
101,1,Lv1 防禦力 %+d,3,6,4,7,鑲嵌拼圖 X1,5,15,10,95,1000
102,1,Lv2 防禦力 %+d,5,12,4,8,鑲嵌拼圖 X1,5,15,10,95,2500
103,1,Lv3 防禦力 %+d,8,18,5,8,鑲嵌拼圖 X1,5,15,10,95,5000
104,1,Lv4 防禦力 %+d,11,25,5,9,鑲嵌拼圖 X1,5,15,10,95,8000
105,1,Lv5 防禦力 %+d,15,33,6,10,鑲嵌拼圖 X1,5,15,10,95,12000
106,1,Lv6 防禦力 %+d,18,42,6,11,鑲嵌拼圖 X1,5,15,10,95,18000
107,1,Lv7 防禦力 %+d,23,51,7,12,鑲嵌拼圖 X1,5,15,10,95,27000
108,1,Lv8 防禦力 %+d,27,62,8,14,鑲嵌拼圖 X1,5,15,10,95,55000
109,1,Lv9 防禦力 %+d,32,74,8,15,鑲嵌拼圖 X1,5,15,10,95,68500
110,1,Lv10 防禦力 %+d,38,87,9,17,鑲嵌拼圖 X1,5,15,10,95,89000
111,1,Lv11 防禦力 %+d,73,86,11,21,鑲嵌拼圖 X1,5,15,-70,70,300000
112,1,Lv12 防禦力 %+d,86,104,13,27,鑲嵌拼圖 X1,5,15,-70,60,500000
113,1,Lv13 防禦力 %+d,98,130,16,33,特殊鑲嵌拼圖 X1,5,15,-70,50,0
114,1,Lv14 防禦力 %+d,118,178,25,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
115,1,Lv15 防禦力 %+d,140,226,28,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
116,1,Lv16 防禦力 %+d,164,274,31,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
117,1,Lv17 防禦力 %+d,191,322,34,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
118,1,Lv18 防禦力 %+d,220,370,37,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
119,1,Lv19 防禦力 %+d,252,418,40,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
120,1,Lv20 防禦力 %+d,286,466,43,60,特殊鑲嵌拼圖 X1,5,15,-70,50,0
121,3,Lv1 力量 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
122,3,Lv2 力量 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
123,3,Lv3 力量 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
124,3,Lv4 力量 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
125,3,Lv5 力量 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
126,3,Lv6 力量 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
127,3,Lv7 力量 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
128,3,Lv8 力量 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
129,3,Lv9 力量 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
130,3,Lv10 力量 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
131,3,Lv11 力量 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
132,3,Lv12 力量 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
133,3,Lv13 力量 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
134,3,Lv14 力量 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
135,3,Lv15 力量 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
136,3,Lv16 力量 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
137,3,Lv17 力量 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
138,3,Lv18 力量 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
139,3,Lv19 力量 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
140,3,Lv20 力量 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
141,3,Lv1 幸運 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
142,3,Lv2 幸運 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
143,3,Lv3 幸運 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
144,3,Lv4 幸運 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
145,3,Lv5 幸運 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
146,3,Lv6 幸運 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
147,3,Lv7 幸運 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
148,3,Lv8 幸運 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
149,3,Lv9 幸運 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
150,3,Lv10 幸運 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
151,3,Lv11 幸運 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
152,3,Lv12 幸運 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
153,3,Lv13 幸運 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
154,3,Lv14 幸運 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
155,3,Lv15 幸運 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
156,3,Lv16 幸運 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
157,3,Lv17 幸運 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
158,3,Lv18 幸運 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
159,3,Lv19 幸運 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
160,3,Lv20 幸運 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
161,3,Lv1 魔力 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
162,3,Lv2 魔力 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
163,3,Lv3 魔力 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
164,3,Lv4 魔力 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
165,3,Lv5 魔力 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
166,3,Lv6 魔力 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
167,3,Lv7 魔力 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
168,3,Lv8 魔力 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
169,3,Lv9 魔力 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
170,3,Lv10 魔力 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
171,3,Lv11 魔力 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
172,3,Lv12 魔力 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
173,3,Lv13 魔力 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
174,3,Lv14 魔力 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,40,0
175,3,Lv15 魔力 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,30,0
176,3,Lv16 魔力 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
177,3,Lv17 魔力 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
178,3,Lv18 魔力 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
179,3,Lv19 魔力 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
180,3,Lv20 魔力 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
181,3,Lv1 體力 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
182,3,Lv2 體力 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
183,3,Lv3 體力 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
184,3,Lv4 體力 %+d,4,10,2,4,鑲嵌拼圖 X1,5,15,10,95,8000
185,3,Lv5 體力 %+d,5,13,2,4,鑲嵌拼圖 X1,5,15,10,95,12000
186,3,Lv6 體力 %+d,6,16,2,5,鑲嵌拼圖 X1,5,15,10,95,18000
187,3,Lv7 體力 %+d,8,20,2,5,鑲嵌拼圖 X1,5,15,10,95,27000
188,3,Lv8 體力 %+d,9,24,3,5,鑲嵌拼圖 X1,5,15,10,95,55000
189,3,Lv9 體力 %+d,11,28,3,6,鑲嵌拼圖 X1,5,15,10,95,68500
190,3,Lv10 體力 %+d,13,33,3,7,鑲嵌拼圖 X1,5,15,10,95,89000
191,3,Lv11 體力 %+d,25,36,3,8,鑲嵌拼圖 X1,5,15,-70,70,300000
192,3,Lv12 體力 %+d,29,43,4,10,鑲嵌拼圖 X1,5,15,-70,60,500000
193,3,Lv13 體力 %+d,34,55,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
194,3,Lv14 體力 %+d,46,87,15,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
195,3,Lv15 體力 %+d,59,119,17,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
196,3,Lv16 體力 %+d,74,151,19,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
197,3,Lv17 體力 %+d,90,183,21,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
198,3,Lv18 體力 %+d,108,215,23,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
199,3,Lv19 體力 %+d,128,247,25,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
200,3,Lv20 體力 %+d,149,279,27,40,特殊鑲嵌拼圖 X1,5,15,-70,50,0
201,3,Lv1 最大 HP %+d,6,13,9,16,鑲嵌拼圖 X1,5,15,10,95,1000
202,3,Lv2 最大 HP %+d,12,26,10,17,鑲嵌拼圖 X1,5,15,10,95,2500
203,3,Lv3 最大 HP %+d,18,41,11,19,鑲嵌拼圖 X1,5,15,10,95,5000
204,3,Lv4 最大 HP %+d,26,58,12,21,鑲嵌拼圖 X1,5,15,10,95,8000
205,3,Lv5 最大 HP %+d,33,76,13,23,鑲嵌拼圖 X1,5,15,10,95,12000
206,3,Lv6 最大 HP %+d,42,96,14,26,鑲嵌拼圖 X1,5,15,10,95,18000
207,3,Lv7 最大 HP %+d,51,118,16,28,鑲嵌拼圖 X1,5,15,10,95,27000
208,3,Lv8 最大 HP %+d,62,142,17,31,鑲嵌拼圖 X1,5,15,10,95,55000
209,3,Lv9 最大 HP %+d,73,168,19,34,鑲嵌拼圖 X1,5,15,10,95,68500
210,3,Lv10 最大 HP %+d,86,197,21,37,鑲嵌拼圖 X1,5,15,10,95,89000
211,3,Lv11 最大 HP %+d,167,194,25,46,鑲嵌拼圖 X1,5,15,-70,70,300000
212,3,Lv12 最大 HP %+d,197,232,30,58,鑲嵌拼圖 X1,5,15,-70,60,500000
213,3,Lv13 最大 HP %+d,233,312,45,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
214,3,Lv14 最大 HP %+d,313,488,100,220,特殊鑲嵌拼圖 X1,5,15,-70,50,0
215,3,Lv15 最大 HP %+d,401,664,110,220,特殊鑲嵌拼圖 X1,5,15,-70,50,0
216,3,Lv16 最大 HP %+d,497,840,120,220,特殊鑲嵌拼圖 X1,5,15,-70,50,0
217,3,Lv17 最大 HP %+d,601,1016,130,220,特殊鑲嵌拼圖 X1,5,15,-70,50,0
218,3,Lv18 最大 HP %+d,713,1192,140,220,特殊鑲嵌拼圖 X1,5,15,-70,50,0
219,3,Lv19 最大 HP %+d,833,1368,150,220,特殊鑲嵌拼圖 X1,5,15,-70,50,0
220,3,Lv20 最大 HP %+d,961,1544,160,220,特殊鑲嵌拼圖 X1,5,15,-70,50,0
221,3,Lv1 彩虹幣獲得 %+d％,3,5,3,6,鑲嵌拼圖 X1,5,15,10,95,1000
222,3,Lv2 彩虹幣獲得 %+d％,6,9,3,6,鑲嵌拼圖 X1,5,15,10,95,2500
223,3,Lv3 彩虹幣獲得 %+d％,9,14,3,7,鑲嵌拼圖 X1,5,15,10,95,5000
224,3,Lv4 彩虹幣獲得 %+d％,13,20,4,7,鑲嵌拼圖 X1,5,15,10,95,8000
225,3,Lv5 彩虹幣獲得 %+d％,17,26,4,8,鑲嵌拼圖 X1,5,15,10,95,12000
226,3,Lv6 彩虹幣獲得 %+d％,21,32,4,9,鑲嵌拼圖 X1,5,15,10,95,18000
227,3,Lv7 彩虹幣獲得 %+d％,26,40,5,10,鑲嵌拼圖 X1,5,15,10,95,27000
228,3,Lv8 彩虹幣獲得 %+d％,31,48,5,11,鑲嵌拼圖 X1,5,15,10,95,55000
229,3,Lv9 彩虹幣獲得 %+d％,37,57,6,12,鑲嵌拼圖 X1,5,15,10,95,68500
230,3,Lv10 彩虹幣獲得 %+d％,43,66,6,13,鑲嵌拼圖 X1,5,15,10,95,89000
231,3,Lv11 彩虹幣獲得 %+d％,50,69,6,13,鑲嵌拼圖 X1,5,15,-70,70,300000
232,3,Lv12 彩虹幣獲得 %+d％,59,82,6,13,鑲嵌拼圖 X1,5,15,-70,60,500000
233,3,Lv13 彩虹幣獲得 %+d％,64,94,7,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
234,3,Lv14 彩虹幣獲得 %+d％,70,106,8,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
235,3,Lv15 彩虹幣獲得 %+d％,77,118,9,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
236,3,Lv16 彩虹幣獲得 %+d％,85,130,10,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
237,3,Lv17 彩虹幣獲得 %+d％,93,142,11,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
238,3,Lv18 彩虹幣獲得 %+d％,102,154,12,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
239,3,Lv19 彩虹幣獲得 %+d％,96,145,13,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
240,3,Lv20 彩虹幣獲得 %+d％,112,166,14,15,特殊鑲嵌拼圖 X1,5,15,-70,50,0
241,3,Lv1 屬性發生率 %+d％,5,10,5,14,鑲嵌拼圖 X1,5,15,10,95,1000
242,3,Lv2 屬性發生率 %+d％,11,20,6,15,鑲嵌拼圖 X1,5,15,10,95,2500
243,3,Lv3 屬性發生率 %+d％,17,32,6,17,鑲嵌拼圖 X1,5,15,10,95,5000
244,3,Lv4 屬性發生率 %+d％,24,45,7,19,鑲嵌拼圖 X1,5,15,10,95,8000
245,3,Lv5 屬性發生率 %+d％,32,59,8,21,鑲嵌拼圖 X1,5,15,10,95,12000
246,3,Lv6 屬性發生率 %+d％,41,75,9,23,鑲嵌拼圖 X1,5,15,10,95,18000
247,3,Lv7 屬性發生率 %+d％,50,92,9,25,鑲嵌拼圖 X1,5,15,10,95,27000
248,3,Lv8 屬性發生率 %+d％,60,111,10,27,鑲嵌拼圖 X1,5,15,10,95,55000
249,3,Lv9 屬性發生率 %+d％,71,131,11,30,鑲嵌拼圖 X1,5,15,10,95,68500
250,3,Lv10 屬性發生率 %+d％,83,154,12,33,鑲嵌拼圖 X1,5,15,10,95,89000
251,3,Lv11 屬性發生率 %+d％,97,173,14,41,鑲嵌拼圖 X1,5,15,-70,70,300000
252,3,Lv12 屬性發生率 %+d％,114,207,17,52,鑲嵌拼圖 X1,5,15,-70,60,500000
253,3,Lv13 屬性發生率 %+d％,130,258,21,64,特殊鑲嵌拼圖 X1,5,15,-70,50,0
254,3,Lv14 屬性發生率 %+d％,154,338,30,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
255,3,Lv15 屬性發生率 %+d％,182,418,35,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
256,3,Lv16 屬性發生率 %+d％,214,498,40,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
257,3,Lv17 屬性發生率 %+d％,250,578,45,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
258,3,Lv18 屬性發生率 %+d％,290,658,50,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
259,3,Lv19 屬性發生率 %+d％,334,738,55,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
260,3,Lv20 屬性發生率 %+d％,382,818,60,100,特殊鑲嵌拼圖 X1,5,15,-70,50,0
261,4,Lv1 力量 %+d,1,2,1,3,鑲嵌拼圖 X1,5,15,10,95,1000
262,4,Lv2 力量 %+d,2,4,1,3,鑲嵌拼圖 X1,5,15,10,95,2500
263,4,Lv3 力量 %+d,3,7,2,3,鑲嵌拼圖 X1,5,15,10,95,5000
