ID,_StageID,_SpaceNo,_EventType,_EventValue1,_EventValue2,_Space_Image,_Space_Index,_Space_Description,_Stop,_Space_RewardPoint,_Finish_RewardPoint
53,2,8,0,0,0,,0,,0,159,530
54,2,9,0,0,0,,0,,0,162,540
55,2,19,0,0,0,BALLOON01_01.PNG,12,,0,165,550
56,2,29,1,0,0,BALLOON01_01.PNG,2,,0,168,560
57,2,39,0,0,0,,0,,0,171,570
58,2,49,0,0,0,,0,,0,174,580
59,2,59,1,0,0,BALLOON01_01.PNG,2,,0,177,590
60,2,60,0,0,0,,0,,0,180,600
61,2,50,8,1,0,BALLOON01_01.PNG,43,,0,183,610
62,2,40,1,0,0,BALLOON01_01.PNG,2,,0,186,620
63,2,30,0,0,0,,0,,0,189,630
64,2,20,0,0,0,BALLOON01_01.PNG,8,,0,192,640
65,2,10,0,0,0,,0,,0,195,650
66,3,51,0,0,0,,0,,0,198,660
67,3,52,5,23,0,BALLOON01_01.PNG,11,,0,201,670
68,3,53,0,0,0,,0,,0,204,680
69,3,54,1,0,0,BALLOON01_01.PNG,2,,0,207,690
70,3,55,5,12,0,,0,,0,210,700
71,3,56,0,0,0,,0,,0,213,710
72,3,57,1,0,0,BALLOON01_01.PNG,2,,0,216,720
73,3,58,0,0,0,,0,,0,219,730
74,3,59,5,24,0,BALLOON01_01.PNG,15,,0,222,740
75,3,60,0,0,0,,0,,0,225,750
76,3,50,1,0,0,BALLOON01_01.PNG,2,,0,228,760
77,3,40,0,0,0,,0,,0,231,770
78,3,39,0,0,0,,0,,0,234,780
79,3,38,7,40001,0,BALLOON01_01.PNG,6,,0,237,790
80,3,37,0,0,0,,0,,0,240,800
81,3,36,5,13,0,,0,,0,243,810
82,3,35,0,0,0,,0,,0,246,820
83,3,34,0,0,0,,0,,0,249,830
84,3,33,8,5,0,BALLOON01_01.PNG,47,,0,252,840
85,3,32,0,0,0,,0,,0,255,850
86,3,31,0,0,0,,0,,0,258,860
87,3,21,1,0,0,BALLOON01_01.PNG,2,,0,261,870
88,3,11,0,0,0,,0,,0,264,880
89,3,12,0,0,0,,0,,0,267,890
90,3,13,0,0,0,BALLOON01_01.PNG,12,,0,270,900
91,3,14,7,40001,0,BALLOON01_01.PNG,6,,0,273,910
92,3,15,0,0,0,,0,,0,276,920
93,3,5,1,0,0,BALLOON01_01.PNG,2,,0,279,930
94,3,6,0,0,0,,0,,0,282,940
95,3,7,8,1,0,BALLOON01_01.PNG,43,,0,285,950
96,3,8,1,0,0,BALLOON01_01.PNG,2,,0,288,960
97,3,9,0,0,0,,0,,0,291,970
98,3,10,0,0,0,BALLOON01_01.PNG,16,,0,294,980
99,3,20,1,0,0,BALLOON01_01.PNG,2,,0,297,990
100,3,30,0,0,0,,0,,0,300,1000
101,4,51,0,0,0,,0,,0,303,1010
102,4,52,0,0,0,,0,,0,306,1020
103,4,53,1,0,0,BALLOON01_01.PNG,2,,0,309,1030
104,4,54,0,0,0,,0,,0,312,1040
105,4,55,5,12,0,,0,,0,315,1050
106,4,56,0,0,0,,0,,0,318,1060
107,4,57,1,0,0,BALLOON01_01.PNG,2,,0,321,1070
108,4,58,0,0,0,,0,,0,324,1080
109,4,59,5,17,0,BALLOON01_01.PNG,7,,0,327,1090
110,4,60,0,0,0,,0,,0,330,1100
111,4,50,7,40001,0,BALLOON01_01.PNG,6,,0,333,1110
112,4,40,1,0,0,BALLOON01_01.PNG,2,,0,336,1120
113,4,39,0,0,0,,0,,0,339,1130
114,4,38,0,0,0,,0,,0,342,1140
115,4,37,1,0,0,BALLOON01_01.PNG,2,,0,345,1150
116,4,36,5,14,0,,0,,0,348,1160
117,4,35,0,0,0,,0,,0,351,1170
118,4,34,4,1,1,BALLOON01_01.PNG,1,,0,354,1180
119,4,24,0,0,0,,0,,0,357,1190
120,4,23,0,0,0,,0,,0,360,1200
121,4,22,5,13,0,BALLOON01_01.PNG,13,,0,363,1210
122,4,21,0,0,0,,0,,0,366,1220
123,4,11,0,0,0,,0,,0,369,1230
124,4,12,1,0,0,BALLOON01_01.PNG,2,,0,372,1240
125,4,13,0,0,0,,0,,0,375,1250
126,4,3,0,0,0,BALLOON01_01.PNG,8,,0,378,1260
127,4,4,0,0,0,,0,,0,381,1270
128,4,5,0,0,0,,0,,0,384,1280
129,4,6,1,0,0,BALLOON01_01.PNG,2,,0,387,1290
130,4,16,0,0,0,,0,,0,390,1300
131,4,17,0,0,0,,0,,0,393,1310
132,4,27,0,0,0,,0,,0,396,1320
133,4,28,0,0,0,,0,,0,399,1330
134,4,29,7,40001,0,BALLOON01_01.PNG,53,,0,402,1340
135,4,30,1,0,0,BALLOON01_01.PNG,2,,0,405,1350
136,4,20,2,10001,0,BALLOON01_01.PNG,41,,1,408,1360
137,4,10,0,0,0,,0,,0,411,1370
138,5,51,0,0,0,,0,,0,414,1380
139,5,52,0,0,0,,0,,0,417,1390
140,5,53,5,19,0,BALLOON01_01.PNG,15,,0,420,1400
141,5,54,7,40001,0,BALLOON01_01.PNG,6,,0,423,1410
142,5,55,5,10,0,BALLOON01_01.PNG,11,,0,426,1420
143,5,56,1,0,0,BALLOON01_01.PNG,2,,0,429,1430
144,5,57,7,40001,0,BALLOON01_01.PNG,6,,0,432,1440
145,5,58,0,0,0,,0,,0,435,1450
146,5,59,8,6,0,BALLOON01_01.PNG,48,,0,438,1460
147,5,49,5,7,0,BALLOON01_01.PNG,17,,0,441,1470
148,5,39,0,0,0,,0,,0,444,1480
149,5,38,1,0,0,BALLOON01_01.PNG,2,,0,447,1490
150,5,37,0,0,0,,0,,0,450,1500
151,5,36,5,15,0,BALLOON01_01.PNG,7,,0,453,1510
152,5,35,0,0,0,BALLOON01_01.PNG,12,,0,456,1520
153,5,34,0,0,0,,0,,0,459,1530
154,5,33,1,0,0,BALLOON01_01.PNG,55,,0,462,1540
155,5,32,0,0,0,,0,,0,465,1550
156,5,22,7,40001,0,BALLOON01_01.PNG,6,,0,468,1560
157,5,23,0,0,0,,0,,0,471,1570
158,5,24,0,0,0,,0,,0,474,1580
159,5,14,1,0,0,BALLOON01_01.PNG,54,,0,477,1590
160,5,4,0,0,0,,0,,0,480,1600
161,5,5,8,1,0,BALLOON01_01.PNG,43,,0,483,1610
162,5,6,0,0,0,,0,,0,486,1620
163,5,7,0,0,0,,0,,0,489,1630
164,5,17,7,40001,0,BALLOON01_01.PNG,6,,0,492,1640
165,5,27,0,0,0,,0,,0,495,1650
166,5,28,4,1,1,BALLOON01_01.PNG,50,,0,498,1660
167,5,29,0,0,0,,0,,0,501,1670
168,6,51,0,0,0,,0,,0,504,1680
169,6,52,0,0,0,,0,,0,507,1690
170,6,53,5,12,0,BALLOON01_01.PNG,7,,0,510,1700
171,6,54,0,0,0,,0,,0,513,1710
172,6,55,1,0,0,BALLOON01_01.PNG,2,,0,516,1720
173,6,56,0,0,0,,0,,0,519,1730
174,6,46,7,40001,0,BALLOON01_01.PNG,6,,0,522,1740
175,6,45,0,0,0,,0,,0,525,1750
176,6,44,0,0,0,,0,,0,528,1760
177,6,43,1,0,0,BALLOON01_01.PNG,2,,0,531,1770
178,6,42,0,0,0,,0,,0,534,1780
179,6,32,5,19,0,,0,,0,537,1790
180,6,33,0,0,0,,0,,0,540,1800
181,6,34,0,0,0,,0,,0,543,1810
182,6,35,0,0,0,BALLOON01_01.PNG,8,,0,546,1820
183,6,36,1,0,0,BALLOON01_01.PNG,2,,0,549,1830
184,6,37,0,0,0,,0,,0,552,1840
185,6,38,8,2,0,BALLOON01_01.PNG,4,,0,555,1850
186,6,39,0,0,0,,0,,0,558,1860
187,6,40,5,7,0,BALLOON01_01.PNG,11,,0,561,1870
188,6,30,0,0,0,,0,,0,564,1880
189,6,29,8,6,0,BALLOON01_01.PNG,48,,0,567,1890
190,6,28,0,0,0,,0,,0,570,1900
191,6,18,1,0,0,BALLOON01_01.PNG,2,,0,573,1910
192,6,8,0,0,0,,0,,0,576,1920
193,6,7,0,0,0,,0,,0,579,1930
194,6,6,7,40001,0,BALLOON01_01.PNG,52,,0,582,1940
195,6,5,0,0,0,,0,,0,585,1950
196,6,4,1,0,0,BALLOON01_01.PNG,2,,0,588,1960
197,6,3,8,1,0,BALLOON01_01.PNG,43,,0,591,1970
198,6,2,0,0,0,,0,,0,594,1980
199,6,1,0,0,0,,0,,0,597,1990
200,7,51,0,0,0,,0,,0,600,2000
201,7,52,0,0,0,,0,,0,603,2010
202,7,53,5,8,0,BALLOON01_01.PNG,15,,0,606,2020
203,7,43,0,0,0,,0,,0,609,2030
204,7,44,1,0,0,BALLOON01_01.PNG,2,,0,612,2040
205,7,45,0,0,0,,0,,0,615,2050
206,7,35,5,10,0,,0,,0,618,2060
207,7,36,0,0,0,,0,,0,621,2070
208,7,37,7,40001,0,BALLOON01_01.PNG,6,,0,624,2080
209,7,27,0,0,0,,0,,0,627,2090
210,7,28,1,0,0,BALLOON01_01.PNG,54,,0,630,2100
211,7,29,8,5,0,BALLOON01_01.PNG,47,,0,633,2110
212,7,19,0,0,0,,0,,0,636,2120
213,7,18,5,15,0,,0,,0,639,2130
214,7,17,0,0,0,,0,,0,642,2140
215,7,16,7,40001,0,BALLOON01_01.PNG,6,,0,645,2150
216,7,15,0,0,0,,0,,0,648,2160
217,7,14,1,0,0,BALLOON01_01.PNG,2,,0,651,2170
218,7,13,0,0,0,,0,,0,654,2180
219,7,12,5,7,0,BALLOON01_01.PNG,11,,0,657,2190
220,7,11,0,0,0,,0,,0,660,2200
221,7,1,1,0,0,BALLOON01_01.PNG,2,,0,663,2210
222,7,2,0,0,0,,0,,0,666,2220
223,7,3,7,40001,0,BALLOON01_01.PNG,6,,0,669,2230
224,7,4,0,0,0,,0,,0,672,2240
225,7,5,0,0,0,,0,,0,675,2250
226,7,6,0,0,0,BALLOON01_01.PNG,12,,0,678,2260
227,7,7,0,0,0,,0,,0,681,2270
228,7,8,0,0,0,,0,,0,684,2280
229,7,9,1,0,0,BALLOON01_01.PNG,2,,0,687,2290
230,7,10,0,0,0,,0,,0,690,2300
231,8,51,0,0,0,,0,,0,693,2310
232,8,52,0,0,0,,0,,0,696,2320
233,8,53,1,0,0,BALLOON01_01.PNG,2,,0,699,2330
234,8,54,0,0,0,,0,,0,702,2340
235,8,55,0,0,0,,0,,0,705,2350
236,8,56,5,10,0,BALLOON01_01.PNG,9,,0,708,2360
237,8,46,0,0,0,,0,,0,711,2370
238,8,45,1,0,0,BALLOON01_01.PNG,2,,0,714,2380
239,8,44,0,0,0,,0,,0,717,2390
240,8,43,5,15,0,BALLOON01_01.PNG,7,,0,720,2400
241,8,42,0,0,0,,0,,0,723,2410
242,8,32,5,19,0,,0,,0,726,2420
243,8,33,0,0,0,,0,,0,729,2430
244,8,34,0,0,0,,0,,0,732,2440
245,8,35,1,0,0,BALLOON01_01.PNG,2,,0,735,2450
246,8,36,0,0,0,BALLOON01_01.PNG,10,,0,738,2460
247,8,37,7,40001,0,BALLOON01_01.PNG,6,,0,741,2470
248,8,38,0,0,0,,0,,0,744,2480
249,8,39,5,9,0,BALLOON01_01.PNG,15,,0,747,2490
250,8,40,8,1,0,BALLOON01_01.PNG,43,,0,750,2500
251,8,30,0,0,0,,0,,0,753,2510
252,8,29,4,1,1,BALLOON01_01.PNG,1,,0,756,2520
253,8,28,1,0,0,BALLOON01_01.PNG,2,,0,759,2530
254,8,18,0,0,0,,0,,0,762,2540
255,8,8,0,0,0,BALLOON01_01.PNG,8,,0,765,2550
256,8,7,0,0,0,,0,,0,768,2560
257,8,6,0,0,0,,0,,0,771,2570
258,8,5,1,0,0,BALLOON01_01.PNG,54,,0,774,2580
259,8,4,0,0,0,,0,,0,777,2590
260,8,3,7,40001,0,BALLOON01_01.PNG,6,,0,780,2600
261,8,2,0,0,0,,0,,0,783,2610
262,8,1,0,0,0,,0,,0,786,2620
263,9,51,0,0,0,,0,,0,789,2630
264,9,52,0,0,0,,0,,0,792,2640
265,9,53,5,8,0,BALLOON01_01.PNG,15,,0,795,2650
266,9,54,0,0,0,,0,,0,798,2660
267,9,55,5,10,0,BALLOON01_01.PNG,17,,0,801,2670
268,9,56,7,40001,0,BALLOON01_01.PNG,6,,0,804,2680
269,9,57,1,0,0,BALLOON01_01.PNG,2,,0,807,2690
270,9,58,0,0,0,,0,,0,810,2700
271,9,59,5,10,0,BALLOON01_01.PNG,7,,0,813,2710
272,9,49,0,0,0,,0,,0,816,2720
273,9,39,1,0,0,BALLOON01_01.PNG,54,,0,819,2730
274,9,38,0,0,0,,0,,0,822,2740
275,9,37,8,6,0,BALLOON01_01.PNG,48,,0,825,2750
276,9,36,0,0,0,,0,,0,828,2760
277,9,35,1,0,0,BALLOON01_01.PNG,55,,0,831,2770
278,9,34,0,0,0,,0,,0,834,2780
279,9,33,0,0,0,,0,,0,837,2790
280,9,32,7,40001,0,BALLOON01_01.PNG,6,,0,840,2800
281,9,22,0,0,0,BALLOON01_01.PNG,8,,0,843,2810
282,9,23,0,0,0,,0,,0,846,2820
283,9,24,0,0,0,,0,,0,849,2830
284,9,14,5,7,0,BALLOON01_01.PNG,11,,0,852,2840
285,9,4,1,0,0,BALLOON01_01.PNG,2,,0,855,2850
286,9,5,0,0,0,,0,,0,858,2860
287,9,6,7,40001,0,BALLOON01_01.PNG,6,,0,861,2870
288,9,7,0,0,0,,0,,0,864,2880
289,9,17,1,0,0,BALLOON01_01.PNG,2,,0,867,2890
290,9,27,0,0,0,,0,,0,870,2900
291,9,28,7,40001,0,BALLOON01_01.PNG,52,,0,873,2910
292,9,29,0,0,0,,0,,0,876,2920
293,10,51,0,0,0,,0,,0,879,2930
294,10,52,0,0,0,,0,,0,882,2940
295,10,53,0,0,0,,0,,0,885,2950
296,10,54,5,7,0,BALLOON01_01.PNG,7,,0,888,2960
297,10,55,0,0,0,,0,,0,891,2970
298,10,56,0,0,0,,0,,0,894,2980
299,10,57,1,0,0,BALLOON01_01.PNG,2,,0,897,2990
300,10,58,0,0,0,,0,,0,900,3000
301,10,59,7,40001,0,BALLOON01_01.PNG,6,,0,903,3010
302,10,60,0,0,0,,0,,0,906,3020
303,10,50,0,0,0,BALLOON01_01.PNG,8,,0,909,3030
304,10,40,1,0,0,BALLOON01_01.PNG,2,,0,912,3040
305,10,39,5,19,0,,0,,0,915,3050
306,10,38,0,0,0,,0,,0,918,3060
307,10,37,1,0,0,BALLOON01_01.PNG,2,,0,921,3070
308,10,36,0,0,0,,0,,0,924,3080
309,10,35,5,10,0,BALLOON01_01.PNG,15,,0,927,3090
310,10,34,0,0,0,,0,,0,930,3100
311,10,33,1,0,0,BALLOON01_01.PNG,2,,0,933,3110
312,10,32,0,0,0,,0,,0,936,3120
313,10,31,8,1,0,BALLOON01_01.PNG,43,,0,939,3130
314,10,21,5,12,0,BALLOON01_01.PNG,11,,0,942,3140
315,10,11,0,0,0,,0,,0,945,3150
316,10,12,0,0,0,,0,,0,948,3160
317,10,13,0,0,0,,0,,0,951,3170
318,10,14,0,0,0,,0,,0,954,3180
319,10,15,1,0,0,BALLOON01_01.PNG,54,,0,957,3190
320,10,5,7,40001,0,BALLOON01_01.PNG,6,,0,960,3200
321,10,6,0,0,0,,0,,0,963,3210
322,10,7,0,0,0,,0,,0,966,3220
323,10,8,1,0,0,BALLOON01_01.PNG,2,,0,969,3230
324,10,9,0,0,0,,0,,0,972,3240
325,10,10,0,0,0,,0,,0,975,3250
326,10,20,7,40001,0,BALLOON01_01.PNG,52,,0,978,3260
327,10,30,0,0,0,,0,,0,981,3270
328,11,51,0,0,0,,0,,0,984,3280
329,11,52,5,7,0,BALLOON01_01.PNG,7,,0,987,3290
330,11,42,0,0,0,,0,,0,990,3300
331,11,32,0,0,0,,0,,0,993,3310
332,11,22,1,0,0,BALLOON01_01.PNG,2,,0,996,3320
333,11,12,0,0,0,,0,,0,999,3330
334,11,2,0,0,0,,0,,0,1002,3340
335,11,3,7,40001,0,BALLOON01_01.PNG,6,,0,1005,3350
336,11,4,0,0,0,BALLOON01_01.PNG,8,,0,1008,3360
337,11,14,0,0,0,,0,,0,1011,3370
338,11,24,0,0,0,,0,,0,1014,3380
339,11,34,5,6,0,,0,,0,1017,3390
340,11,44,0,0,0,,0,,0,1020,3400
341,11,54,1,0,0,BALLOON01_01.PNG,2,,0,1023,3410
342,11,55,4,1,1,BALLOON01_01.PNG,1,,0,1026,3420
343,11,56,0,0,0,,0,,0,1029,3430
344,11,46,0,0,0,,0,,0,1032,3440
345,11,36,0,0,0,,0,,0,1035,3450
346,11,26,1,0,0,BALLOON01_01.PNG,2,,0,1038,3460
347,11,16,0,0,0,,0,,0,1041,3470
348,11,6,5,8,0,BALLOON01_01.PNG,15,,0,1044,3480
349,11,7,7,40001,0,BALLOON01_01.PNG,6,,0,1047,3490
350,11,8,0,0,0,,0,,0,1050,3500
351,11,18,5,10,0,,0,,0,1053,3510
352,11,28,0,0,0,,0,,0,1056,3520
353,11,38,0,0,0,,0,,0,1059,3530
354,11,48,0,0,0,,0,,0,1062,3540
355,11,58,0,0,0,,0,,0,1065,3550
356,11,59,1,0,0,BALLOON01_01.PNG,54,,0,1068,3560
357,11,60,8,6,0,BALLOON01_01.PNG,48,,0,1071,3570
358,11,50,0,0,0,,0,,0,1074,3580
359,11,40,7,40001,0,BALLOON01_01.PNG,6,,0,1077,3590
360,11,30,2,10002,0,BALLOON01_01.PNG,41,,1,1080,3600
361,11,20,0,0,0,,0,,0,1083,3610
362,11,10,0,0,0,,0,,0,1086,3620
363,12,51,0,0,0,,0,,0,1089,3630
364,12,52,0,0,0,,0,,0,1092,3640
365,12,53,7,40001,0,BALLOON01_01.PNG,6,,0,1095,3650
366,12,54,1,0,0,BALLOON01_01.PNG,2,,0,1098,3660
367,12,55,5,12,0,,0,,0,1101,3670
368,12,56,0,0,0,,0,,0,1104,3680
369,12,57,0,0,0,,0,,0,1107,3690
370,12,58,5,28,0,BALLOON01_01.PNG,7,,0,1110,3700
371,12,59,0,0,0,,0,,0,1113,3710
372,12,60,0,0,0,,0,,0,1116,3720
373,12,50,5,12,0,BALLOON01_01.PNG,13,,0,1119,3730
374,12,40,0,0,0,,0,,0,1122,3740
375,12,39,0,0,0,,0,,0,1125,3750
376,12,38,0,0,0,,0,,0,1128,3760
377,12,37,0,0,0,,0,,0,1131,3770
378,12,36,1,0,0,BALLOON01_01.PNG,2,,0,1134,3780
379,12,35,0,0,0,,0,,0,1137,3790
380,12,34,0,0,0,,0,,0,1140,3800
381,12,24,0,0,0,,0,,0,1143,3810
382,12,23,5,7,0,BALLOON01_01.PNG,11,,0,1146,3820
383,12,22,0,0,0,,0,,0,1149,3830
384,12,21,8,1,0,BALLOON01_01.PNG,43,,0,1152,3840
385,12,11,0,0,0,BALLOON01_01.PNG,14,,0,1155,3850
386,12,12,0,0,0,,0,,0,1158,3860
387,12,13,1,0,0,BALLOON01_01.PNG,2,,0,1161,3870
388,12,3,0,0,0,,0,,0,1164,3880
389,12,4,7,40001,0,BALLOON01_01.PNG,52,,0,1167,3890
390,12,5,0,0,0,,0,,0,1170,3900
391,12,6,0,0,0,,0,,0,1173,3910
392,12,16,6,14,0,,0,,0,1176,3920
393,12,17,0,0,0,,0,,0,1179,3930
394,12,27,7,40001,0,BALLOON01_01.PNG,6,,0,1182,3940
395,12,28,1,0,0,BALLOON01_01.PNG,2,,0,1185,3950
396,12,29,0,0,0,,0,,0,1188,3960
397,12,30,0,0,0,,0,,0,1191,3970
398,12,20,0,0,0,BALLOON01_01.PNG,8,,0,1194,3980
399,12,10,0,0,0,,0,,0,1197,3990
400,13,51,0,0,0,,0,,0,1200,4000
401,13,52,1,0,0,BALLOON01_01.PNG,2,,0,1203,4010
402,13,53,0,0,0,,0,,0,1206,4020
403,13,54,0,0,0,,0,,0,1209,4030
404,13,55,5,10,0,BALLOON01_01.PNG,15,,0,1212,4040
405,13,56,8,5,0,BALLOON01_01.PNG,47,,0,1215,4050
406,13,57,0,0,0,,0,,0,1218,4060
407,13,58,7,40001,0,BALLOON01_01.PNG,6,,0,1221,4070
408,13,59,0,0,0,,0,,0,1224,4080
409,13,49,5,12,0,BALLOON01_01.PNG,7,,0,1227,4090
410,13,39,0,0,0,,0,,0,1230,4100
411,13,38,0,0,0,,0,,0,1233,4110
412,13,37,7,40001,0,BALLOON01_01.PNG,6,,0,1236,4120
413,13,36,0,0,0,,0,,0,1239,4130
414,13,35,1,0,0,BALLOON01_01.PNG,54,,0,1242,4140
415,13,34,0,0,0,,0,,0,1245,4150
416,13,33,0,0,0,,0,,0,1248,4160
417,13,32,5,9,0,BALLOON01_01.PNG,13,,0,1251,4170
418,13,22,7,40001,0,BALLOON01_01.PNG,6,,0,1254,4180
419,13,23,0,0,0,,0,,0,1257,4190
420,13,24,0,0,0,,0,,0,1260,4200
421,13,14,0,0,0,BALLOON01_01.PNG,8,,0,1263,4210
422,13,4,0,0,0,,0,,0,1266,4220
423,13,5,1,0,0,BALLOON01_01.PNG,2,,0,1269,4230
424,13,6,7,40001,0,BALLOON01_01.PNG,6,,0,1272,4240
425,13,7,0,0,0,,0,,0,1275,4250
426,13,17,0,0,0,BALLOON01_01.PNG,14,,0,1278,4260
427,13,27,1,0,0,BALLOON01_01.PNG,2,,0,1281,4270
428,13,28,0,0,0,,0,,0,1284,4280
429,13,29,0,0,0,,0,,0,1287,4290
430,14,51,0,0,0,,0,,0,1290,4300
431,14,52,0,0,0,,0,,0,1293,4310
432,14,53,0,0,0,,0,,0,1296,4320
433,14,54,1,0,0,BALLOON01_01.PNG,2,,0,1299,4330
434,14,55,0,0,0,,0,,0,1302,4340
435,14,56,7,40001,0,BALLOON01_01.PNG,6,,0,1305,4350
436,14,46,5,13,0,BALLOON01_01.PNG,11,,0,1308,4360
437,14,45,0,0,0,,0,,0,1311,4370
438,14,44,0,0,0,,0,,0,1314,4380
439,14,43,1,0,0,BALLOON01_01.PNG,2,,0,1317,4390
440,14,42,0,0,0,,0,,0,1320,4400
441,14,32,5,19,0,,0,,0,1323,4410
442,14,33,0,0,0,,0,,0,1326,4420
443,14,34,5,12,0,BALLOON01_01.PNG,7,,0,1329,4430
444,14,35,0,0,0,,0,,0,1332,4440
445,14,36,8,2,0,BALLOON01_01.PNG,4,,0,1335,4450
446,14,37,0,0,0,,0,,0,1338,4460
447,14,38,8,1,0,BALLOON01_01.PNG,43,,0,1341,4470
448,14,39,0,0,0,,0,,0,1344,4480
449,14,40,7,40001,0,BALLOON01_01.PNG,52,,0,1347,4490
450,14,30,0,0,0,,0,,0,1350,4500
451,14,29,0,0,0,,0,,0,1353,4510
452,14,28,1,0,0,BALLOON01_01.PNG,2,,0,1356,4520
453,14,18,0,0,0,,0,,0,1359,4530
454,14,8,0,0,0,,0,,0,1362,4540
455,14,7,0,0,0,BALLOON01_01.PNG,8,,0,1365,4550
456,14,6,7,40001,0,BALLOON01_01.PNG,6,,0,1368,4560
457,14,5,0,0,0,,0,,0,1371,4570
458,14,4,1,0,0,BALLOON01_01.PNG,2,,0,1374,4580
459,14,3,2,10003,0,BALLOON01_01.PNG,41,,1,1377,4590
460,14,2,0,0,0,,0,,0,1380,4600
461,14,1,0,0,0,,0,,0,1383,4610
462,15,51,0,0,0,,0,,0,1386,4620
463,15,52,0,0,0,,0,,0,1389,4630
464,15,53,1,0,0,BALLOON01_01.PNG,2,,0,1392,4640
465,15,54,0,0,0,,0,,0,1395,4650
466,15,55,5,12,0,,0,,0,1398,4660
467,15,56,0,0,0,,0,,0,1401,4670
468,15,57,7,40001,0,BALLOON01_01.PNG,6,,0,1404,4680
469,15,58,0,0,0,,0,,0,1407,4690
470,15,59,0,0,0,,0,,0,1410,4700
471,15,60,0,0,0,,0,,0,1413,4710
472,15,50,1,0,0,BALLOON01_01.PNG,2,,0,1416,4720
473,15,40,0,0,0,,0,,0,1419,4730
474,15,39,5,21,0,,0,,0,1422,4740
475,15,38,0,0,0,,0,,0,1425,4750
476,15,37,0,0,0,,0,,0,1428,4760
477,15,36,7,40001,0,BALLOON01_01.PNG,6,,0,1431,4770
478,15,35,0,0,0,,0,,0,1434,4780
479,15,34,0,0,0,,0,,0,1437,4790
480,15,24,8,6,0,BALLOON01_01.PNG,48,,0,1440,4800
481,15,23,7,40001,0,BALLOON01_01.PNG,6,,0,1443,4810
482,15,22,5,10,0,BALLOON01_01.PNG,11,,0,1446,4820
483,15,21,0,0,0,,0,,0,1449,4830
484,15,11,0,0,0,,0,,0,1452,4840
485,15,12,1,0,0,BALLOON01_01.PNG,2,,0,1455,4850
486,15,13,0,0,0,,0,,0,1458,4860
487,15,3,7,40001,0,BALLOON01_01.PNG,6,,0,1461,4870
