ID,_Training_Type,_Training_Name,_Description,_Training_Time,_Training_Reward1,_Training_Reward_Stack1,_Training_Reward2,_Training_Reward_Stack2,_Training_Reward3,_Training_Reward_Stack3,_Training_P_Reward1,_Training_P_Reward_Stack1,_Training_Probability1,_Training_P_Reward2,_Training_P_Reward_Stack2,_Training_Probability2,_Training_P_Reward3,_Training_P_Reward_Stack3,_Training_Probability3
16,0,休息,一邊休息一邊補充體力。,420,190145623,7,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,休息,一邊休息一邊補充體力。,480,190145623,8,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,休息,一邊休息一邊補充體力。,480,190145623,8,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,休息,一邊休息一邊補充體力。,540,190145623,9,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,休息,一邊休息一邊補充體力。,540,190145623,9,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,休息,一邊休息一邊補充體力。,600,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,休息,一邊休息一邊補充體力。,600,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,休息,一邊休息一邊補充體力。,1200,190145623,15,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,休息,一邊休息一邊補充體力。,1200,190145623,15,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,休息,一邊休息一邊補充體力。,2400,190145623,20,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,休息,一邊休息一邊補充體力。,2400,190145623,20,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,休息,一邊休息一邊補充體力。,120,190145623,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,休息,一邊休息一邊補充體力。,180,190145623,3,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,休息,一邊休息一邊補充體力。,240,190145623,4,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,休息,一邊休息一邊補充體力。,300,190145623,5,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,休息,一邊休息一邊補充體力。,300,190145623,5,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,休息,一邊休息一邊補充體力。,360,190145623,6,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,休息,一邊休息一邊補充體力。,360,190145623,6,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,休息,一邊休息一邊補充體力。,420,190145623,7,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,休息,一邊休息一邊補充體力。,420,190145623,7,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,休息,一邊休息一邊補充體力。,480,190145623,8,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,休息,一邊休息一邊補充體力。,480,190145623,8,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,休息,一邊休息一邊補充體力。,540,190145623,9,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,休息,一邊休息一邊補充體力。,540,190145623,9,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,休息,一邊休息一邊補充體力。,600,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,休息,一邊休息一邊補充體力。,600,190145623,10,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,休息,一邊休息一邊補充體力。,1200,190145623,15,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,休息,一邊休息一邊補充體力。,1200,190145623,15,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,休息,一邊休息一邊補充體力。,2400,190145623,20,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,休息,一邊休息一邊補充體力。,2400,190145623,20,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,委託,解決彩虹島大陸的各種委託。,60,190145623,1,190146394,1,0,0,0,0,0,190145632,1,30,0,0,0
49,0,委託,解決彩虹島大陸的各種委託。,120,190145623,1,190146393,1,0,0,0,0,0,190145632,1,40,0,0,0
50,0,委託,解決彩虹島大陸的各種委託。,180,190145623,1,190146394,2,0,0,0,0,0,190145632,1,50,0,0,0
51,0,委託,解決彩虹島大陸的各種委託。,240,190145623,1,190146393,2,0,0,0,0,0,190145632,1,60,0,0,0
52,0,委託,解決彩虹島大陸的各種委託。,300,190145623,2,190146394,2,0,0,190146393,2,40,190145632,1,70,0,0,0
53,0,委託,解決彩虹島大陸的各種委託。,300,190145623,2,190146393,2,0,0,190146394,2,40,190145632,1,75,0,0,0
54,0,委託,解決彩虹島大陸的各種委託。,360,190145623,2,190146394,2,0,0,190146393,2,45,190145632,1,80,0,0,0
55,0,委託,解決彩虹島大陸的各種委託。,360,190145623,2,190146393,2,0,0,190146394,2,45,190145632,1,85,0,0,0
56,0,委託,解決彩虹島大陸的各種委託。,420,190145623,2,190146394,2,0,0,190146393,2,50,190145632,2,50,0,0,0
57,0,委託,解決彩虹島大陸的各種委託。,420,190145623,2,190146393,2,0,0,190146394,2,50,190145632,2,55,0,0,0
58,0,委託,解決彩虹島大陸的各種委託。,480,190145623,2,190146394,2,0,0,190146393,2,55,190145632,2,60,0,0,0
59,0,委託,解決彩虹島大陸的各種委託。,480,190145623,2,190146393,2,0,0,190146394,2,55,190145632,2,65,0,0,0
60,0,委託,解決彩虹島大陸的各種委託。,540,190145623,2,190146394,2,0,0,190146393,2,60,190145633,1,40,0,0,0
61,0,委託,解決彩虹島大陸的各種委託。,540,190145623,2,190146393,2,0,0,190146394,2,60,190145633,1,45,0,0,0
62,0,委託,解決彩虹島大陸的各種委託。,600,190145623,3,190146394,3,0,0,190146393,3,50,190145633,1,50,0,0,0
63,0,委託,解決彩虹島大陸的各種委託。,600,190145623,3,190146393,3,0,0,190146394,3,50,190145633,1,55,0,0,0
64,0,委託,解決彩虹島大陸的各種委託。,1200,190145623,3,190146394,3,0,0,190146393,3,55,190145633,2,50,0,0,0
65,0,委託,解決彩虹島大陸的各種委託。,1200,190145623,3,190146393,3,0,0,190146394,3,55,190145633,2,55,0,0,0
66,0,委託,解決彩虹島大陸的各種委託。,2400,190145623,4,190146394,4,0,0,190146393,4,60,190145633,3,50,0,0,0
67,0,委託,解決彩虹島大陸的各種委託。,2400,190145623,4,190146393,4,0,0,190146394,4,60,190145633,3,55,0,0,0
68,0,委託,解決彩虹島大陸的各種委託。,60,190145623,1,190146394,1,0,0,0,0,0,190145632,1,30,0,0,0
69,0,委託,解決彩虹島大陸的各種委託。,120,190145623,1,190146393,1,0,0,0,0,0,190145632,1,40,0,0,0
70,0,委託,解決彩虹島大陸的各種委託。,180,190145623,1,190146394,2,0,0,0,0,0,190145632,1,50,0,0,0
71,0,委託,解決彩虹島大陸的各種委託。,240,190145623,1,190146393,2,0,0,0,0,0,190145632,1,60,0,0,0
72,0,委託,解決彩虹島大陸的各種委託。,300,190145623,2,190146394,2,0,0,190146393,2,40,190145632,1,70,0,0,0
73,0,委託,解決彩虹島大陸的各種委託。,300,190145623,2,190146393,2,0,0,190146394,2,40,190145632,1,75,0,0,0
74,0,委託,解決彩虹島大陸的各種委託。,360,190145623,2,190146394,2,0,0,190146393,2,45,190145632,1,80,0,0,0
75,0,委託,解決彩虹島大陸的各種委託。,360,190145623,2,190146393,2,0,0,190146394,2,45,190145632,1,85,0,0,0
76,0,委託,解決彩虹島大陸的各種委託。,420,190145623,2,190146394,2,0,0,190146393,2,50,190145632,2,50,0,0,0
77,0,委託,解決彩虹島大陸的各種委託。,420,190145623,2,190146393,2,0,0,190146394,2,50,190145632,2,55,0,0,0
78,0,委託,解決彩虹島大陸的各種委託。,480,190145623,2,190146394,2,0,0,190146393,2,55,190145632,2,60,0,0,0
79,0,委託,解決彩虹島大陸的各種委託。,480,190145623,2,190146393,2,0,0,190146394,2,55,190145632,2,65,0,0,0
80,0,委託,解決彩虹島大陸的各種委託。,540,190145623,2,190146394,2,0,0,190146393,2,60,190145633,1,40,0,0,0
81,0,委託,解決彩虹島大陸的各種委託。,540,190145623,2,190146393,2,0,0,190146394,2,60,190145633,1,45,0,0,0
82,0,委託,解決彩虹島大陸的各種委託。,600,190145623,3,190146394,3,0,0,190146393,3,50,190145633,1,50,0,0,0
83,0,委託,解決彩虹島大陸的各種委託。,600,190145623,3,190146393,3,0,0,190146394,3,50,190145633,1,55,0,0,0
84,0,委託,解決彩虹島大陸的各種委託。,1200,190145623,3,190146394,3,0,0,190146393,3,55,190145633,2,50,0,0,0
85,0,委託,解決彩虹島大陸的各種委託。,1200,190145623,3,190146393,3,0,0,190146394,3,55,190145633,2,55,0,0,0
86,0,委託,解決彩虹島大陸的各種委託。,2400,190145623,4,190146394,4,0,0,190146393,4,60,190145633,3,50,0,0,0
87,0,委託,解決彩虹島大陸的各種委託。,2400,190145623,4,190146393,4,0,0,190146394,4,60,190145633,3,55,0,0,0
88,0,探索,巡查貝羅斯周圍。,300,0,0,0,0,0,0,190145624,1,50,190145632,1,70,0,0,0
89,0,探索,巡查艾利亞斯周圍。,300,0,0,0,0,0,0,190145624,1,50,190145632,1,70,0,0,0
90,0,探索,巡查龍京。,300,0,0,0,0,0,0,190145624,1,50,190145632,1,75,0,0,0
91,0,探索,巡查奧亦奇周圍。,360,0,0,0,0,0,0,190145624,1,60,190145632,1,80,0,0,0
92,0,探索,巡查阿法周圍。,360,0,0,0,0,0,0,190145624,1,60,190145632,1,80,0,0,0
93,0,探索,巡查貝斯周圍。,360,0,0,0,0,0,0,190145624,1,60,190145632,1,85,0,0,0
94,0,探索,巡查亞特蘭提斯周圍。,420,0,0,0,0,0,0,190145624,1,70,190145632,2,50,0,0,0
95,0,探索,巡查米德卡勒特周圍。,420,0,0,0,0,0,0,190145624,1,70,190145632,2,50,0,0,0
96,0,探索,探索大蘋果之城周圍。,420,0,0,0,0,0,0,190145624,1,70,190145632,2,55,0,0,0
97,0,探索,探索神秘森林周圍。,480,190148182,1,0,0,0,0,190145624,1,30,190145632,2,60,0,0,0
98,0,探索,探索天空海周圍。,480,190148182,1,0,0,0,0,190145624,1,30,190145632,2,60,0,0,0
99,0,探索,探索鋼鐵都市周圍。,480,190148182,1,0,0,0,0,190145624,1,30,190145632,2,65,0,0,0
100,0,探索,探索收復軍臨時駐地周圍。,540,190148182,1,0,0,0,0,190145624,1,40,190145633,1,40,0,0,0
101,0,探索,探索奧斯古拉斯周圍。,540,190148182,1,0,0,0,0,190145624,1,40,190145633,1,40,0,0,0
102,0,探索,探索貝爾法圖書館周圍。,540,190148182,1,0,0,0,0,190145624,1,40,190145633,1,45,0,0,0
103,0,探索,探索自由都市立佩拉周圍。,600,190148182,1,0,0,0,0,190145624,1,50,190145633,1,50,0,0,0
104,0,探索,探索漂流都市周圍。,600,190148182,1,0,0,0,0,190145624,1,50,190145633,1,50,0,0,0
105,0,探索,探索特洛里周圍。,600,190148182,1,0,0,0,0,190145624,1,50,190145633,1,55,0,0,0
106,0,探索,探索猶忒王國首都周圍。,1200,190148182,2,0,0,0,0,190145624,1,50,190145633,2,50,0,0,0
107,0,探索,探索白煤峽谷周圍。,1200,190148182,2,0,0,0,0,190145624,1,50,190145633,2,50,0,0,0
108,0,探索,探索修練森林周圍。,1200,190148182,2,0,0,0,0,190145624,1,50,190145633,2,55,0,0,0
109,0,探索,探索混沌峽谷副本。,1200,190148182,2,0,0,0,0,190145623,2,95,190145633,2,55,0,0,0
110,0,探索,探索冰封的世界副本。,1200,190148182,2,0,0,0,0,190145623,4,55,190145633,2,50,0,0,0
111,0,探索,探索記憶的貝羅斯周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,50,0,0,0
112,0,探索,探索燃燒的都市周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,50,0,0,0
113,0,探索,探索亞瑪倫沙漠周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,55,0,0,0
114,0,探索,探索地下都市工地周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,55,0,0,0
115,0,探索,巡查貝羅斯周圍。,300,0,0,0,0,0,0,190145624,1,50,190145632,1,70,0,0,0
116,0,探索,巡查艾利亞斯周圍。,300,0,0,0,0,0,0,190145624,1,50,190145632,1,70,0,0,0
117,0,探索,巡查龍京。,300,0,0,0,0,0,0,190145624,1,50,190145632,1,75,0,0,0
118,0,探索,巡查奧亦奇周圍。,360,0,0,0,0,0,0,190145624,1,60,190145632,1,80,0,0,0
119,0,探索,巡查阿法周圍。,360,0,0,0,0,0,0,190145624,1,60,190145632,1,80,0,0,0
120,0,探索,巡查貝斯周圍。,360,0,0,0,0,0,0,190145624,1,60,190145632,1,85,0,0,0
121,0,探索,巡查亞特蘭提斯周圍。,420,0,0,0,0,0,0,190145624,1,70,190145632,2,50,0,0,0
122,0,探索,巡查米德卡勒特周圍。,420,0,0,0,0,0,0,190145624,1,70,190145632,2,50,0,0,0
123,0,探索,探索大蘋果之城周圍。,420,0,0,0,0,0,0,190145624,1,70,190145632,2,55,0,0,0
124,0,探索,探索神秘森林周圍。,480,190148182,1,0,0,0,0,190145624,1,30,190145632,2,60,0,0,0
125,0,探索,探索天空海周圍。,480,190148182,1,0,0,0,0,190145624,1,30,190145632,2,60,0,0,0
126,0,探索,探索鋼鐵都市周圍。,480,190148182,1,0,0,0,0,190145624,1,30,190145632,2,65,0,0,0
127,0,探索,探索收復軍臨時駐地周圍。,540,190148182,1,0,0,0,0,190145624,1,40,190145633,1,40,0,0,0
128,0,探索,探索奧斯古拉斯周圍。,540,190148182,1,0,0,0,0,190145624,1,40,190145633,1,40,0,0,0
129,0,探索,探索貝爾法圖書館周圍。,540,190148182,1,0,0,0,0,190145624,1,40,190145633,1,45,0,0,0
130,0,探索,探索自由都市立佩拉周圍。,600,190148182,1,0,0,0,0,190145624,1,50,190145633,1,50,0,0,0
131,0,探索,探索漂流都市周圍。,600,190148182,1,0,0,0,0,190145624,1,50,190145633,1,50,0,0,0
132,0,探索,探索特洛里周圍。,600,190148182,1,0,0,0,0,190145624,1,50,190145633,1,55,0,0,0
133,0,探索,探索猶忒王國首都周圍。,1200,190148182,2,0,0,0,0,190145624,1,50,190145633,2,50,0,0,0
134,0,探索,探索白煤峽谷周圍。,1200,190148182,2,0,0,0,0,190145624,1,50,190145633,2,50,0,0,0
135,0,探索,探索修練森林周圍。,1200,190148182,2,0,0,0,0,190145624,1,50,190145633,2,55,0,0,0
136,0,探索,探索混沌峽谷副本。,1200,190148182,2,0,0,0,0,190145623,2,95,190145633,2,55,0,0,0
137,0,探索,探索冰封的世界副本。,1200,190148182,2,0,0,0,0,190145623,4,55,190145633,2,50,0,0,0
138,0,探索,探索記憶的貝羅斯周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,50,0,0,0
139,0,探索,探索燃燒的都市周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,50,0,0,0
140,0,探索,探索亞瑪倫沙漠周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,55,0,0,0
141,0,探索,探索地下都市工地周圍。,2400,190148182,2,0,0,0,0,190145624,2,50,190145633,3,55,0,0,0
142,0,特別訓練,接受伊克納特的特別訓練。,360,190145625,2,0,0,0,0,190145633,5,95,0,0,0,0,0,0
143,0,特別訓練,接受亞瑟絲的特別訓練。,180,190145625,1,0,0,0,0,190145633,5,95,0,0,0,0,0,0
144,0,特別訓練,答應賽蘿的請求並獲得禮物。,180,190145623,4,190145625,1,0,0,190145633,5,95,0,0,0,0,0,0
145,0,特別訓練,答應洛汗的請求並獲得禮物。,180,190145624,1,190145625,1,0,0,190145633,5,95,0,0,0,0,0,0
146,0,特別訓練,答應莫亞的請求並獲得禮物。,360,190145623,4,190145624,1,0,0,190145633,5,95,0,0,0,0,0,0
147,0,特別訓練,答應薇奧菈的請求並獲得禮物。,180,190146394,10,0,0,0,0,190146393,1,60,0,0,0,0,0,0
148,0,特別訓練,答應凱伊絲的請求並獲得禮物。,180,190146394,10,0,0,0,0,190146393,2,60,0,0,0,0,0,0
149,0,特別訓練,答應伊登的請求並獲得禮物。,360,190146394,5,170195929,5,0,0,190146393,1,60,0,0,0,0,0,0
150,0,特別訓練,答應諾艾爾的請求並獲得禮物。,360,190146394,5,170195930,5,0,0,190146393,1,60,0,0,0,0,0,0
151,1,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,休息,一邊休息一邊補充體力。,120,190145623,2,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1,休息,一邊休息一邊補充體力。,180,190145623,3,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1,休息,一邊休息一邊補充體力。,240,190145623,4,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1,休息,一邊休息一邊補充體力。,300,190145623,6,0,0,0,0,190148360,1,50,0,0,0,0,0,0
157,1,休息,一邊休息一邊補充體力。,300,190145623,6,0,0,0,0,190147983,1,50,0,0,0,0,0,0
158,1,休息,一邊休息一邊補充體力。,360,190145623,7,0,0,0,0,190144674,1,50,0,0,0,0,0,0
159,1,休息,一邊休息一邊補充體力。,360,190145623,7,0,0,0,0,190147983,1,50,0,0,0,0,0,0
160,1,休息,一邊休息一邊補充體力。,420,190145623,8,0,0,0,0,170198115,1,50,0,0,0,0,0,0
161,1,休息,一邊休息一邊補充體力。,420,190145623,8,0,0,0,0,190147983,2,50,0,0,0,0,0,0
162,1,休息,一邊休息一邊補充體力。,480,190145623,10,0,0,0,0,190147013,1,50,0,0,0,0,0,0
163,1,休息,一邊休息一邊補充體力。,480,190145623,10,0,0,0,0,190147983,2,50,190148360,1,50,0,0,0
164,1,休息,一邊休息一邊補充體力。,540,190145623,11,170171241,1,0,0,190147013,1,50,0,0,0,0,0,0
165,1,休息,一邊休息一邊補充體力。,540,190145623,11,0,0,0,0,190147983,3,50,190148360,1,60,0,0,0
166,1,休息,一邊休息一邊補充體力。,600,190145623,12,170171241,1,0,0,190147013,1,50,0,0,0,0,0,0
167,1,休息,一邊休息一邊補充體力。,600,190145623,12,0,0,0,0,190147983,3,50,190148360,1,70,0,0,0
168,1,休息,一邊休息一邊補充體力。,1200,190145623,18,170171241,2,0,0,190147013,1,50,0,0,0,0,0,0
169,1,休息,一邊休息一邊補充體力。,1200,190145623,18,0,0,0,0,190147983,4,50,190148360,2,55,0,0,0
170,1,委託,解決彩虹島大陸的各種委託。,60,190145623,1,190146394,1,0,0,0,0,0,190145632,1,30,0,0,0
171,1,委託,解決彩虹島大陸的各種委託。,120,190145623,1,190146393,1,0,0,0,0,0,190145632,1,40,0,0,0
172,1,委託,解決彩虹島大陸的各種委託。,180,190145623,1,190146394,2,0,0,0,0,0,190145632,1,50,0,0,0
173,1,委託,解決彩虹島大陸的各種委託。,240,190145623,1,190146393,2,0,0,0,0,0,190145632,1,60,0,0,0
174,1,委託,解決彩虹島大陸的各種委託。,300,190145623,2,190146394,2,0,0,190146393,2,40,190145632,1,70,0,0,0
175,1,委託,解決彩虹島大陸的各種委託。,300,190145623,2,190146393,2,0,0,190146394,2,40,190147013,1,50,0,0,0
176,1,委託,解決彩虹島大陸的各種委託。,360,190145623,2,190146394,2,0,0,190146393,2,45,190145632,1,80,0,0,0
177,1,委託,解決彩虹島大陸的各種委託。,360,190145623,2,190146393,2,0,0,190146394,2,45,190147013,1,50,0,0,0
178,1,委託,解決彩虹島大陸的各種委託。,420,190145623,2,190146394,2,0,0,190146393,2,50,190145632,2,50,0,0,0
179,1,委託,解決彩虹島大陸的各種委託。,420,190145623,2,190146393,2,0,0,190146394,2,50,190147013,1,50,0,0,0
180,1,委託,解決彩虹島大陸的各種委託。,480,190145623,2,190146394,3,0,0,190146393,2,55,190145632,2,60,0,0,0
181,1,委託,解決彩虹島大陸的各種委託。,480,190145623,2,190146393,3,0,0,190146394,2,55,190147013,1,50,0,0,0
182,1,委託,解決彩虹島大陸的各種委託。,540,190145623,2,190146394,3,0,0,190146393,2,60,190145633,1,50,0,0,0
183,1,委託,解決彩虹島大陸的各種委託。,540,190145623,2,190146393,3,0,0,190146394,2,60,190148360,2,50,0,0,0
184,1,委託,解決彩虹島大陸的各種委託。,600,190145623,3,190146394,4,0,0,190146393,4,50,190145633,2,50,0,0,0
185,1,委託,解決彩虹島大陸的各種委託。,600,190145623,3,190146393,4,0,0,190146394,4,50,170198115,1,50,0,0,0
186,1,委託,解決彩虹島大陸的各種委託。,1200,190145623,4,190146394,5,0,0,190146393,5,55,190145633,3,50,0,0,0
187,1,委託,解決彩虹島大陸的各種委託。,1200,190145623,4,190146393,5,0,0,190146394,5,55,190144674,3,50,0,0,0
188,1,探索,巡查貝羅斯周圍。,300,190148182,1,0,0,0,0,190145624,1,10,190145632,1,70,0,0,0
189,1,探索,巡查艾利亞斯周圍。,300,0,0,0,0,0,0,190145624,1,75,0,0,0,0,0,0
190,1,探索,巡查奧亦奇周圍。,360,190148182,1,0,0,0,0,190145624,1,20,190145632,1,80,0,0,0
191,1,探索,巡查阿法周圍。,360,0,0,0,0,0,0,190145624,1,85,0,0,0,0,0,0
192,1,探索,巡查亞特蘭提斯周圍。,420,190148182,1,0,0,0,0,190145624,1,30,190145632,2,50,0,0,0
193,1,探索,巡查米德卡勒特周圍。,420,0,0,0,0,0,0,190145624,1,95,0,0,0,0,0,0
194,1,探索,探索神秘森林周圍。,480,190145624,1,0,0,0,0,190148182,1,75,190145632,2,60,0,0,0
195,1,探索,探索天空海周圍。,480,190145624,1,0,0,0,0,190148182,2,10,0,0,0,0,0,0
196,1,探索,探索收復軍臨時駐地周圍。,540,190145624,1,0,0,0,0,190148182,1,85,190145633,1,50,0,0,0
197,1,探索,探索奧斯古拉斯周圍。,540,190145624,1,0,0,0,0,190148182,2,15,0,0,0,0,0,0
198,1,探索,探索自由都市立佩拉周圍。,600,190145624,1,0,0,0,0,190148182,1,95,190145633,1,50,0,0,0
199,1,探索,探索漂流都市周圍。,600,190145624,1,0,0,0,0,190148182,2,20,0,0,0,0,0,0
200,1,探索,探索猶忒王國首都周圍。,1200,190145624,2,0,0,0,0,190148182,1,50,190145633,2,50,0,0,0
201,1,探索,探索白煤峽谷周圍。,1200,190145624,2,0,0,0,0,190148182,2,10,0,0,0,0,0,0
202,1,探索,探索修練森林周圍。,1200,190145624,2,0,0,0,0,190145624,1,50,0,0,0,0,0,0
203,1,探索,探索混沌峽谷副本。,1200,190145624,2,0,0,0,0,190145624,1,10,0,0,0,0,0,0
204,1,探索,探索冰封的世界副本。,1200,190145624,2,0,0,0,0,190145623,2,85,190145633,2,50,0,0,0
205,1,探索,探索燃燒的都市周圍。,1200,190145624,2,0,0,0,0,190145623,4,55,190145633,2,50,0,0,0
206,1,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1,休息,一邊休息一邊補充體力。,60,190145623,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,休息,一邊休息一邊補充體力。,120,190145623,2,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,休息,一邊休息一邊補充體力。,180,190145623,3,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1,休息,一邊休息一邊補充體力。,240,190145623,4,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1,休息,一邊休息一邊補充體力。,300,190145623,6,0,0,0,0,190144674,2,50,0,0,0,0,0,0
212,1,休息,一邊休息一邊補充體力。,300,190145623,6,0,0,0,0,190147983,1,50,0,0,0,0,0,0
213,1,休息,一邊休息一邊補充體力。,360,190145623,7,0,0,0,0,190147013,1,50,0,0,0,0,0,0
214,1,休息,一邊休息一邊補充體力。,360,190145623,7,0,0,0,0,190147983,1,50,0,0,0,0,0,0
215,1,休息,一邊休息一邊補充體力。,420,190145623,8,0,0,0,0,190147013,1,50,0,0,0,0,0,0
216,1,休息,一邊休息一邊補充體力。,420,190145623,8,0,0,0,0,190147983,2,50,0,0,0,0,0,0
217,1,休息,一邊休息一邊補充體力。,480,190145623,10,0,0,0,0,190147013,1,50,0,0,0,0,0,0
218,1,休息,一邊休息一邊補充體力。,480,190145623,10,0,0,0,0,190147983,2,50,190148360,1,50,0,0,0
219,1,休息,一邊休息一邊補充體力。,540,190145623,11,170171241,1,0,0,190147013,1,50,0,0,0,0,0,0
220,1,休息,一邊休息一邊補充體力。,540,190145623,11,0,0,0,0,190147983,3,50,190148360,1,60,0,0,0
221,1,休息,一邊休息一邊補充體力。,600,190145623,12,170171241,1,0,0,190148360,3,50,0,0,0,0,0,0
222,1,休息,一邊休息一邊補充體力。,600,190145623,12,0,0,0,0,190147983,3,50,190148360,1,70,0,0,0
223,1,休息,一邊休息一邊補充體力。,1200,190145623,18,170171241,2,0,0,170198115,1,50,0,0,0,0,0,0
224,1,休息,一邊休息一邊補充體力。,1200,190145623,18,0,0,0,0,190147983,4,50,190148360,2,55,0,0,0
225,1,委託,解決彩虹島大陸的各種委託。,60,190145623,1,190146394,1,0,0,0,0,0,190145632,1,30,0,0,0
226,1,委託,解決彩虹島大陸的各種委託。,120,190145623,1,190146393,1,0,0,0,0,0,190145632,1,40,0,0,0
227,1,委託,解決彩虹島大陸的各種委託。,180,190145623,1,190146394,2,0,0,0,0,0,190145632,1,50,0,0,0
228,1,委託,解決彩虹島大陸的各種委託。,240,190145623,1,190146393,2,0,0,0,0,0,190145632,1,60,0,0,0
229,1,委託,解決彩虹島大陸的各種委託。,300,190145623,2,190146394,2,0,0,190146393,2,40,190145632,1,70,0,0,0
