ID,_Description,_Result,_Main_Item,_Material,_Type
75,황금돼지(Lv.16),190194915,700100516,190195001,1
76,황금돼지(Lv.17),190194916,700100517,190195001,1
77,황금돼지(Lv.18),190194917,700100518,190195001,1
78,황금돼지(Lv.19),190194918,700100519,190195001,1
79,황금돼지(Lv.20),190194919,700100520,190195001,1
80,꼬마 황금돼지,190194919,700100521,190195001,1
81,삽살이 알(Lv.2),190194901,700100602,190195001,1
82,삽살이 알(Lv.3),190194902,700100603,190195001,1
83,삽살이 알(Lv.4),190194903,700100604,190195001,1
84,아기 삽살이(Lv.5),190194904,700100605,190195001,1
85,아기 삽살이(Lv.6),190194905,700100606,190195001,1
86,아기 삽살이(Lv.7),190194906,700100607,190195001,1
87,아기 삽살이(Lv.8),190194907,700100608,190195001,1
88,아기 삽살이(Lv.9),190194908,700100609,190195001,1
89,삽살이(Lv.10),190194909,700100610,190195001,1
90,삽살이(Lv.11),190194910,700100611,190195001,1
91,삽살이(Lv.12),190194911,700100612,190195001,1
92,삽살이(Lv.13),190194912,700100613,190195001,1
93,삽살이(Lv.14),190194913,700100614,190195001,1
94,삽살이(Lv.15),190194914,700100615,190195001,1
95,삽살이(Lv.16),190194915,700100616,190195001,1
96,삽살이(Lv.17),190194916,700100617,190195001,1
97,삽살이(Lv.18),190194917,700100618,190195001,1
98,삽살이(Lv.19),190194918,700100619,190195001,1
99,삽살이(Lv.20),190194919,700100620,190195001,1
100,꼬마 삽살이,190194919,700100621,190195001,1
101,냥이 알(Lv.2),190194901,700100702,190195001,1
102,냥이 알(Lv.3),190194902,700100703,190195001,1
103,냥이 알(Lv.4),190194903,700100704,190195001,1
104,아기 냥이(Lv.5),190194904,700100705,190195001,1
105,아기 냥이(Lv.6),190194905,700100706,190195001,1
106,아기 냥이(Lv.7),190194906,700100707,190195001,1
107,아기 냥이(Lv.8),190194907,700100708,190195001,1
108,아기 냥이(Lv.9),190194908,700100709,190195001,1
109,냥이(Lv.10),190194909,700100710,190195001,1
110,냥이(Lv.11),190194910,700100711,190195001,1
111,냥이(Lv.12),190194911,700100712,190195001,1
112,냥이(Lv.13),190194912,700100713,190195001,1
113,냥이(Lv.14),190194913,700100714,190195001,1
114,냥이(Lv.15),190194914,700100715,190195001,1
115,냥이(Lv.16),190194915,700100716,190195001,1
116,냥이(Lv.17),190194916,700100717,190195001,1
117,냥이(Lv.18),190194917,700100718,190195001,1
118,냥이(Lv.19),190194918,700100719,190195001,1
119,냥이(Lv.20),190194919,700100720,190195001,1
120,꼬마 냥이,190194919,700100721,190195001,1
121,앵앵이 알(Lv.2),190194901,700100802,190195001,1
122,앵앵이 알(Lv.3),190194902,700100803,190195001,1
123,앵앵이 알(Lv.4),190194903,700100804,190195001,1
124,아기 앵앵이(Lv.5),190194904,700100805,190195001,1
125,아기 앵앵이(Lv.6),190194905,700100806,190195001,1
126,아기 앵앵이(Lv.7),190194906,700100807,190195001,1
127,아기 앵앵이(Lv.8),190194907,700100808,190195001,1
128,아기 앵앵이(Lv.9),190194908,700100809,190195001,1
129,앵앵이(Lv.10),190194909,700100810,190195001,1
130,앵앵이(Lv.11),190194910,700100811,190195001,1
131,앵앵이(Lv.12),190194911,700100812,190195001,1
132,앵앵이(Lv.13),190194912,700100813,190195001,1
133,앵앵이(Lv.14),190194913,700100814,190195001,1
134,앵앵이(Lv.15),190194914,700100815,190195001,1
135,앵앵이(Lv.16),190194915,700100816,190195001,1
136,앵앵이(Lv.17),190194916,700100817,190195001,1
137,앵앵이(Lv.18),190194917,700100818,190195001,1
138,앵앵이(Lv.19),190194918,700100819,190195001,1
139,앵앵이(Lv.20),190194919,700100820,190195001,1
140,꼬마 앵앵이,190194919,700100821,190195001,1
141,펠리컨 알(Lv.2),190194901,700100902,190195001,1
142,펠리컨 알(Lv.3),190194902,700100903,190195001,1
143,펠리컨 알(Lv.4),190194903,700100904,190195001,1
144,아기 펠리컨(Lv.5),190194904,700100905,190195001,1
145,아기 펠리컨(Lv.6),190194905,700100906,190195001,1
146,아기 펠리컨(Lv.7),190194906,700100907,190195001,1
147,아기 펠리컨(Lv.8),190194907,700100908,190195001,1
148,아기 펠리컨(Lv.9),190194908,700100909,190195001,1
149,펠리컨(Lv.10),190194909,700100910,190195001,1
150,펠리컨(Lv.11),190194910,700100911,190195001,1
151,펠리컨(Lv.12),190194911,700100912,190195001,1
152,펠리컨(Lv.13),190194912,700100913,190195001,1
153,펠리컨(Lv.14),190194913,700100914,190195001,1
154,펠리컨(Lv.15),190194914,700100915,190195001,1
155,펠리컨(Lv.16),190194915,700100916,190195001,1
156,펠리컨(Lv.17),190194916,700100917,190195001,1
157,펠리컨(Lv.18),190194917,700100918,190195001,1
158,펠리컨(Lv.19),190194918,700100919,190195001,1
159,펠리컨(Lv.20),190194919,700100920,190195001,1
160,꼬마 펠리컨,190194919,700100921,190195001,1
161,팬더 알(Lv.2),190194901,700101102,190195001,1
162,팬더 알(Lv.3),190194902,700101103,190195001,1
163,팬더 알(Lv.4),190194903,700101104,190195001,1
164,아기 팬더(Lv.5),190194904,700101105,190195001,1
165,아기 팬더(Lv.6),190194905,700101106,190195001,1
166,아기 팬더(Lv.7),190194906,700101107,190195001,1
167,아기 팬더(Lv.8),190194907,700101108,190195001,1
168,아기 팬더(Lv.9),190194908,700101109,190195001,1
169,팬더(Lv.10),190194909,700101110,190195001,1
170,팬더(Lv.11),190194910,700101111,190195001,1
171,팬더(Lv.12),190194911,700101112,190195001,1
172,팬더(Lv.13),190194912,700101113,190195001,1
173,팬더(Lv.14),190194913,700101114,190195001,1
174,팬더(Lv.15),190194914,700101115,190195001,1
175,팬더(Lv.16),190194915,700101116,190195001,1
176,팬더(Lv.17),190194916,700101117,190195001,1
177,팬더(Lv.18),190194917,700101118,190195001,1
178,팬더(Lv.19),190194918,700101119,190195001,1
179,팬더(Lv.20),190194919,700101120,190195001,1
180,꼬마 팬더,190194919,700101121,190195001,1
181,펭귄 알(Lv.2),190194901,700101002,190195001,1
182,펭귄 알(Lv.3),190194902,700101003,190195001,1
183,펭귄 알(Lv.4),190194903,700101004,190195001,1
184,아기 펭귄(Lv.5),190194904,700101005,190195001,1
185,아기 펭귄(Lv.6),190194905,700101006,190195001,1
186,아기 펭귄(Lv.7),190194906,700101007,190195001,1
187,아기 펭귄(Lv.8),190194907,700101008,190195001,1
188,아기 펭귄(Lv.9),190194908,700101009,190195001,1
189,펭귄(Lv.10),190194909,700101010,190195001,1
190,펭귄(Lv.11),190194910,700101011,190195001,1
191,펭귄(Lv.12),190194911,700101012,190195001,1
192,펭귄(Lv.13),190194912,700101013,190195001,1
193,펭귄(Lv.14),190194913,700101014,190195001,1
194,펭귄(Lv.15),190194914,700101015,190195001,1
195,펭귄(Lv.16),190194915,700101016,190195001,1
196,펭귄(Lv.17),190194916,700101017,190195001,1
197,펭귄(Lv.18),190194917,700101018,190195001,1
198,펭귄(Lv.19),190194918,700101019,190195001,1
199,펭귄(Lv.20),190194919,700101020,190195001,1
200,꼬마 펭귄,190194919,700101021,190195001,1
201,러블리토비 알(Lv.2),190194901,700101202,190195001,1
202,러블리토비 알(Lv.3),190194902,700101203,190195001,1
203,러블리토비 알(Lv.4),190194903,700101204,190195001,1
204,아기 러블리토비(Lv.5),190194904,700101205,190195001,1
205,아기 러블리토비(Lv.6),190194905,700101206,190195001,1
206,아기 러블리토비(Lv.7),190194906,700101207,190195001,1
207,아기 러블리토비(Lv.8),190194907,700101208,190195001,1
208,아기 러블리토비(Lv.9),190194908,700101209,190195001,1
209,러블리토비(Lv.10),190194909,700101210,190195001,1
210,러블리토비(Lv.11),190194910,700101211,190195001,1
211,러블리토비(Lv.12),190194911,700101212,190195001,1
212,러블리토비(Lv.13),190194912,700101213,190195001,1
213,러블리토비(Lv.14),190194913,700101214,190195001,1
214,러블리토비(Lv.15),190194914,700101215,190195001,1
215,러블리토비(Lv.16),190194915,700101216,190195001,1
216,러블리토비(Lv.17),190194916,700101217,190195001,1
217,러블리토비(Lv.18),190194917,700101218,190195001,1
218,러블리토비(Lv.19),190194918,700101219,190195001,1
219,러블리토비(Lv.20),190194919,700101220,190195001,1
220,꼬마 러블리토비,190194919,700101221,190195001,1
221,워터리 알(Lv.2),190194901,700101302,190195001,1
222,워터리 알(Lv.3),190194902,700101303,190195001,1
223,워터리 알(Lv.4),190194903,700101304,190195001,1
224,아기 워터리(Lv.5),190194904,700101305,190195001,1
225,아기 워터리(Lv.6),190194905,700101306,190195001,1
226,아기 워터리(Lv.7),190194906,700101307,190195001,1
227,아기 워터리(Lv.8),190194907,700101308,190195001,1
228,아기 워터리(Lv.9),190194908,700101309,190195001,1
229,워터리(Lv.10),190194909,700101310,190195001,1
230,워터리(Lv.11),190194910,700101311,190195001,1
231,워터리(Lv.12),190194911,700101312,190195001,1
232,워터리(Lv.13),190194912,700101313,190195001,1
233,워터리(Lv.14),190194913,700101314,190195001,1
234,워터리(Lv.15),190194914,700101315,190195001,1
235,워터리(Lv.16),190194915,700101316,190195001,1
236,워터리(Lv.17),190194916,700101317,190195001,1
237,워터리(Lv.18),190194917,700101318,190195001,1
238,워터리(Lv.19),190194918,700101319,190195001,1
239,워터리(Lv.20),190194919,700101320,190195001,1
240,꼬마 워터리,190194919,700101321,190195001,1
241,포레스티 알(Lv.2),190194901,700101402,190195001,1
242,포레스티 알(Lv.3),190194902,700101403,190195001,1
243,포레스티 알(Lv.4),190194903,700101404,190195001,1
244,아기 포레스티(Lv.5),190194904,700101405,190195001,1
245,아기 포레스티(Lv.6),190194905,700101406,190195001,1
246,아기 포레스티(Lv.7),190194906,700101407,190195001,1
247,아기 포레스티(Lv.8),190194907,700101408,190195001,1
248,아기 포레스티(Lv.9),190194908,700101409,190195001,1
249,포레스티(Lv.10),190194909,700101410,190195001,1
250,포레스티(Lv.11),190194910,700101411,190195001,1
251,포레스티(Lv.12),190194911,700101412,190195001,1
252,포레스티(Lv.13),190194912,700101413,190195001,1
253,포레스티(Lv.14),190194913,700101414,190195001,1
254,포레스티(Lv.15),190194914,700101415,190195001,1
255,포레스티(Lv.16),190194915,700101416,190195001,1
256,포레스티(Lv.17),190194916,700101417,190195001,1
257,포레스티(Lv.18),190194917,700101418,190195001,1
258,포레스티(Lv.19),190194918,700101419,190195001,1
259,포레스티(Lv.20),190194919,700101420,190195001,1
260,꼬마 포레스티,190194919,700101421,190195001,1
261,코코 알(Lv.2),190194901,700101502,190195001,1
262,코코 알(Lv.3),190194902,700101503,190195001,1
263,코코 알(Lv.4),190194903,700101504,190195001,1
264,아기 코코(Lv.5),190194904,700101505,190195001,1
265,아기 코코(Lv.6),190194905,700101506,190195001,1
266,아기 코코(Lv.7),190194906,700101507,190195001,1
267,아기 코코(Lv.8),190194907,700101508,190195001,1
268,아기 코코(Lv.9),190194908,700101509,190195001,1
269,코코(Lv.10),190194909,700101510,190195001,1
270,코코(Lv.11),190194910,700101511,190195001,1
271,코코(Lv.12),190194911,700101512,190195001,1
272,코코(Lv.13),190194912,700101513,190195001,1
273,코코(Lv.14),190194913,700101514,190195001,1
274,코코(Lv.15),190194914,700101515,190195001,1
275,코코(Lv.16),190194915,700101516,190195001,1
276,코코(Lv.17),190194916,700101517,190195001,1
277,코코(Lv.18),190194917,700101518,190195001,1
278,코코(Lv.19),190194918,700101519,190195001,1
279,코코(Lv.20),190194919,700101520,190195001,1
280,꼬마 코코,190194919,700101521,190195001,1
281,채광로봇 알(Lv.2),190194901,700101602,190195001,1
282,채광로봇 알(Lv.3),190194902,700101603,190195001,1
283,채광로봇 알(Lv.4),190194903,700101604,190195001,1
284,채광로봇 1호(Lv.5),190194904,700101605,190195001,1
285,쥐돌이 알(Lv.2),190194901,700101702,190195001,1
286,쥐돌이 알(Lv.3),190194902,700101703,190195001,1
287,쥐돌이 알(Lv.4),190194903,700101704,190195001,1
288,아기 쥐돌이(Lv.5),190194904,700101705,190195001,1
289,아기 쥐돌이(Lv.6),190194905,700101706,190195001,1
290,아기 쥐돌이(Lv.7),190194906,700101707,190195001,1
291,아기 쥐돌이(Lv.8),190194907,700101708,190195001,1
292,아기 쥐돌이(Lv.9),190194908,700101709,190195001,1
293,쥐돌이(Lv.10),190194909,700101710,190195001,1
294,쥐돌이(Lv.11),190194910,700101711,190195001,1
295,쥐돌이(Lv.12),190194911,700101712,190195001,1
296,쥐돌이(Lv.13),190194912,700101713,190195001,1
297,쥐돌이(Lv.14),190194913,700101714,190195001,1
298,쥐돌이(Lv.15),190194914,700101715,190195001,1
299,쥐돌이(Lv.16),190194915,700101716,190195001,1
300,쥐돌이(Lv.17),190194916,700101717,190195001,1
301,쥐돌이(Lv.18),190194917,700101718,190195001,1
302,쥐돌이(Lv.19),190194918,700101719,190195001,1
303,쥐돌이(Lv.20),190194919,700101720,190195001,1
304,꼬마 쥐돌이,190194919,700101721,190195001,1
305,초키 알(Lv.2),190194901,700101802,190195001,1
306,초키 알(Lv.3),190194902,700101803,190195001,1
307,초키 알(Lv.4),190194903,700101804,190195001,1
308,아기 초키(Lv.5),190194904,700101805,190195001,1
309,아기 초키(Lv.6),190194905,700101806,190195001,1
310,아기 초키(Lv.7),190194906,700101807,190195001,1
311,아기 초키(Lv.8),190194907,700101808,190195001,1
312,아기 초키(Lv.9),190194908,700101809,190195001,1
313,초키(Lv.10),190194909,700101810,190195001,1
314,초키(Lv.11),190194910,700101811,190195001,1
315,초키(Lv.12),190194911,700101812,190195001,1
316,초키(Lv.13),190194912,700101813,190195001,1
317,초키(Lv.14),190194913,700101814,190195001,1
318,초키(Lv.15),190194914,700101815,190195001,1
319,초키(Lv.16),190194915,700101816,190195001,1
320,초키(Lv.17),190194916,700101817,190195001,1
321,초키(Lv.18),190194917,700101818,190195001,1
322,초키(Lv.19),190194918,700101819,190195001,1
323,초키(Lv.20),190194919,700101820,190195001,1
324,꼬마 초키,190194919,700101821,190195001,1
325,프리링 알(Lv.2),190194901,700101902,190195001,1
326,프리링 알(Lv.3),190194902,700101903,190195001,1
327,프리링 알(Lv.4),190194903,700101904,190195001,1
328,아기 프리링(Lv.5),190194904,700101905,190195001,1
329,아기 프리링(Lv.6),190194905,700101906,190195001,1
330,아기 프리링(Lv.7),190194906,700101907,190195001,1
331,아기 프리링(Lv.8),190194907,700101908,190195001,1
332,아기 프리링(Lv.9),190194908,700101909,190195001,1
333,프리링(Lv.10),190194909,700101910,190195001,1
334,프리링(Lv.11),190194910,700101911,190195001,1
335,프리링(Lv.12),190194911,700101912,190195001,1
336,프리링(Lv.13),190194912,700101913,190195001,1
337,프리링(Lv.14),190194913,700101914,190195001,1
338,프리링(Lv.15),190194914,700101915,190195001,1
339,프리링(Lv.16),190194915,700101916,190195001,1
340,프리링(Lv.17),190194916,700101917,190195001,1
341,프리링(Lv.18),190194917,700101918,190195001,1
342,프리링(Lv.19),190194918,700101919,190195001,1
343,프리링(Lv.20),190194919,700101920,190195001,1
344,꼬마 프리링,190194919,700101921,190195001,1
345,이벤트 냥이 알(Lv.2),190194901,700102002,190195001,1
346,이벤트 냥이 알(Lv.3),190194902,700102003,190195001,1
347,이벤트 냥이 알(Lv.4),190194903,700102004,190195001,1
348,이벤트 아기 냥이(Lv.5),190194904,700102005,190195001,1
349,이벤트 아기 냥이(Lv.6),190194905,700102006,190195001,1
350,이벤트 아기 냥이(Lv.7),190194906,700102007,190195001,1
351,이벤트 아기 냥이(Lv.8),190194907,700102008,190195001,1
352,이벤트 아기 냥이(Lv.9),190194908,700102009,190195001,1
353,이벤트 냥이(Lv.10),190194909,700102010,190195001,1
354,이벤트 냥이(Lv.11),190194910,700102011,190195001,1
355,이벤트 냥이(Lv.12),190194911,700102012,190195001,1
356,이벤트 냥이(Lv.13),190194912,700102013,190195001,1
357,이벤트 냥이(Lv.14),190194913,700102014,190195001,1
358,이벤트 냥이(Lv.15),190194914,700102015,190195001,1
359,이벤트 냥이(Lv.16),190194915,700102016,190195001,1
360,이벤트 냥이(Lv.17),190194916,700102017,190195001,1
361,이벤트 냥이(Lv.18),190194917,700102018,190195001,1
362,이벤트 냥이(Lv.19),190194918,700102019,190195001,1
363,이벤트 냥이(Lv.20),190194919,700102020,190195001,1
364,이벤트 꼬마 냥이,190194919,700102021,190195001,1
365,스윗엔젤 알(Lv.2),190194901,700102102,190195001,1
366,스윗엔젤 알(Lv.3),190194902,700102103,190195001,1
367,스윗엔젤 알(Lv.4),190194903,700102104,190195001,1
368,아기 스윗엔젤(Lv.5),190194904,700102105,190195001,1
369,아기 스윗엔젤(Lv.6),190194905,700102106,190195001,1
370,아기 스윗엔젤(Lv.7),190194906,700102107,190195001,1
371,아기 스윗엔젤(Lv.8),190194907,700102108,190195001,1
372,아기 스윗엔젤(Lv.9),190194908,700102109,190195001,1
373,스윗엔젤(Lv.10),190194909,700102110,190195001,1
374,스윗엔젤(Lv.11),190194910,700102111,190195001,1
375,스윗엔젤(Lv.12),190194911,700102112,190195001,1
376,스윗엔젤(Lv.13),190194912,700102113,190195001,1
377,스윗엔젤(Lv.14),190194913,700102114,190195001,1
378,스윗엔젤(Lv.15),190194914,700102115,190195001,1
379,스윗엔젤(Lv.16),190194915,700102116,190195001,1
380,스윗엔젤(Lv.17),190194916,700102117,190195001,1
381,스윗엔젤(Lv.18),190194917,700102118,190195001,1
382,스윗엔젤(Lv.19),190194918,700102119,190195001,1
383,스윗엔젤(Lv.20),190194919,700102120,190195001,1
384,꼬마 스윗엔젤,190194919,700102121,190195001,1
385,다크데빌 알(Lv.2),190194901,700102202,190195001,1
386,다크데빌 알(Lv.3),190194902,700102203,190195001,1
387,다크데빌 알(Lv.4),190194903,700102204,190195001,1
388,아기 다크데빌(Lv.5),190194904,700102205,190195001,1
389,아기 다크데빌(Lv.6),190194905,700102206,190195001,1
390,아기 다크데빌(Lv.7),190194906,700102207,190195001,1
391,아기 다크데빌(Lv.8),190194907,700102208,190195001,1
392,아기 다크데빌(Lv.9),190194908,700102209,190195001,1
393,다크데빌(Lv.10),190194909,700102210,190195001,1
394,다크데빌(Lv.11),190194910,700102211,190195001,1
395,다크데빌(Lv.12),190194911,700102212,190195001,1
396,다크데빌(Lv.13),190194912,700102213,190195001,1
397,다크데빌(Lv.14),190194913,700102214,190195001,1
398,다크데빌(Lv.15),190194914,700102215,190195001,1
399,다크데빌(Lv.16),190194915,700102216,190195001,1
400,다크데빌(Lv.17),190194916,700102217,190195001,1
401,다크데빌(Lv.18),190194917,700102218,190195001,1
402,다크데빌(Lv.19),190194918,700102219,190195001,1
403,다크데빌(Lv.20),190194919,700102220,190195001,1
404,꼬마 다크데빌,190194919,700102221,190195001,1
405,뚱보팬더 알(Lv.2),190194901,700102302,190195001,1
406,뚱보팬더 알(Lv.3),190194902,700102303,190195001,1
407,뚱보팬더 알(Lv.4),190194903,700102304,190195001,1
408,아기 뚱보팬더(Lv.5),190194904,700102305,190195001,1
409,아기 뚱보팬더(Lv.6),190194905,700102306,190195001,1
410,아기 뚱보팬더(Lv.7),190194906,700102307,190195001,1
411,아기 뚱보팬더(Lv.8),190194907,700102308,190195001,1
412,아기 뚱보팬더(Lv.9),190194908,700102309,190195001,1
413,뚱보팬더(Lv.10),190194909,700102310,190195001,1
414,뚱보팬더(Lv.11),190194910,700102311,190195001,1
415,뚱보팬더(Lv.12),190194911,700102312,190195001,1
416,뚱보팬더(Lv.13),190194912,700102313,190195001,1
417,뚱보팬더(Lv.14),190194913,700102314,190195001,1
418,뚱보팬더(Lv.15),190194914,700102315,190195001,1
419,뚱보팬더(Lv.16),190194915,700102316,190195001,1
420,뚱보팬더(Lv.17),190194916,700102317,190195001,1
421,뚱보팬더(Lv.18),190194917,700102318,190195001,1
422,뚱보팬더(Lv.19),190194918,700102319,190195001,1
423,뚱보팬더(Lv.20),190194919,700102320,190195001,1
424,꼬마 뚱보팬더,190194919,700102321,190195001,1
425,구미호 알(Lv.2),190194901,700102402,190195001,1
426,구미호 알(Lv.3),190194902,700102403,190195001,1
427,구미호 알(Lv.4),190194903,700102404,190195001,1
428,아기 구미호(Lv.5),190194904,700102405,190195001,1
429,아기 구미호(Lv.6),190194905,700102406,190195001,1
430,아기 구미호(Lv.7),190194906,700102407,190195001,1
431,아기 구미호(Lv.8),190194907,700102408,190195001,1
432,아기 구미호(Lv.9),190194908,700102409,190195001,1
433,구미호(Lv.10),190194909,700102410,190195001,1
434,구미호(Lv.11),190194910,700102411,190195001,1
435,구미호(Lv.12),190194911,700102412,190195001,1
436,구미호(Lv.13),190194912,700102413,190195001,1
437,구미호(Lv.14),190194913,700102414,190195001,1
438,구미호(Lv.15),190194914,700102415,190195001,1
439,구미호(Lv.16),190194915,700102416,190195001,1
440,구미호(Lv.17),190194916,700102417,190195001,1
441,구미호(Lv.18),190194917,700102418,190195001,1
442,구미호(Lv.19),190194918,700102419,190195001,1
443,구미호(Lv.20),190194919,700102420,190195001,1
444,꼬마 구미호,190194919,700102421,190195001,1
445,텐구 알(Lv.2),190194901,700102502,190195001,1
446,텐구 알(Lv.3),190194902,700102503,190195001,1
447,텐구 알(Lv.4),190194903,700102504,190195001,1
448,아기 텐구(Lv.5),190194904,700102505,190195001,1
449,아기 텐구(Lv.6),190194905,700102506,190195001,1
450,아기 텐구(Lv.7),190194906,700102507,190195001,1
451,아기 텐구(Lv.8),190194907,700102508,190195001,1
452,아기 텐구(Lv.9),190194908,700102509,190195001,1
453,텐구(Lv.10),190194909,700102510,190195001,1
454,텐구(Lv.11),190194910,700102511,190195001,1
455,텐구(Lv.12),190194911,700102512,190195001,1
456,텐구(Lv.13),190194912,700102513,190195001,1
457,텐구(Lv.14),190194913,700102514,190195001,1
458,텐구(Lv.15),190194914,700102515,190195001,1
459,텐구(Lv.16),190194915,700102516,190195001,1
460,텐구(Lv.17),190194916,700102517,190195001,1
461,텐구(Lv.18),190194917,700102518,190195001,1
462,텐구(Lv.19),190194918,700102519,190195001,1
463,텐구(Lv.20),190194919,700102520,190195001,1
464,꼬마 텐구,190194919,700102521,190195001,1
465,너티디노 알(Lv.2),700100202,700100201,190194901,2
466,너티디노 알(Lv.3),700100203,700100201,190194902,2
467,너티디노 알(Lv.4),700100204,700100201,190194903,2
468,아기 너티디노(Lv.5),700100205,700100201,190194904,2
469,아기 너티디노(Lv.6),700100206,700100201,190194905,2
470,아기 너티디노(Lv.7),700100207,700100201,190194906,2
471,아기 너티디노(Lv.8),700100208,700100201,190194907,2
472,아기 너티디노(Lv.9),700100209,700100201,190194908,2
473,너티디노(Lv.10),700100210,700100201,190194909,2
474,너티디노(Lv.11),700100211,700100201,190194910,2
475,너티디노(Lv.12),700100212,700100201,190194911,2
476,너티디노(Lv.13),700100213,700100201,190194912,2
477,너티디노(Lv.14),700100214,700100201,190194913,2
478,너티디노(Lv.15),700100215,700100201,190194914,2
479,너티디노(Lv.16),700100216,700100201,190194915,2
480,너티디노(Lv.17),700100217,700100201,190194916,2
481,너티디노(Lv.18),700100218,700100201,190194917,2
482,너티디노(Lv.19),700100219,700100201,190194918,2
483,너티디노(Lv.20),700100220,700100201,190194919,2
484,페어리디노 알(Lv.2),700100302,700100301,190194901,2
485,페어리디노 알(Lv.3),700100303,700100301,190194902,2
486,페어리디노 알(Lv.4),700100304,700100301,190194903,2
487,아기 페어리디노(Lv.5),700100305,700100301,190194904,2
488,아기 페어리디노(Lv.6),700100306,700100301,190194905,2
489,아기 페어리디노(Lv.7),700100307,700100301,190194906,2
