ID,_Subject,_Question,_Ex_1,_Ex_2,_Ex_3,_Ex_4,_Ex_5
78,1,與彩虹島物語：艾耶改版一同登場的職業是？,命運守護者,守門員,喚雨淨使,環刃投擲手,保全
79,1,貝羅斯村莊教官的名字是？,亞瑟絲,耶比妹妹,愛思泰,穆亞,伊克納特
80,1,艾利亞斯皇室騎士團長的名字是？,雷比,內比,東宮,西君,南宮
81,1,艾利亞斯皇室騎士團長雷比的姓是？,亞倫斯,金,王,君士坦丁,勞倫斯
82,1,艾利亞斯王國公主的名字是？,海樂妮,白雪公主,人魚公主,蘭花,菲奧娜
83,1,山林地帶沒有的怪物是？,野狼Px,耶比,兵蟻G,野狼,蒼狼
84,1,延長寵物期限時需要的物品是？,寵物用靈芝草,大人輔助劑,兒童輔助劑,特別覺醒劑,寵物傷害拼圖
85,1,怪物塔位於哪個地區？,大蘋果之城,大香蕉之城,大木瓜之城,大冬瓜之城,大西瓜之城
86,1,位於奧亦奇，黑月公主和舞扇忍者居住的城是？,黑月城,萬里長城,甘水城,玻璃城,暴力城
87,1,怪物塔最頂層是幾層？,200層,140層,100層,300層,沒人去過
88,1,櫻樹湖畔愛麗絲石塔旁的NPC是？,琳寧,凱伊,艾咪,辛卓,櫻花鬼女
89,1,在各個村莊經營寵物商店的NPC是？,賽蘿,格羅,角羅,彌羅,西羅
90,1,在阿法經營戰鬥用品店的伊恩波特的妻子叫什麼名字？,泰特,泰利,瑪利,阿特,凱特
91,1,位於艾耶島2石塔的NPC是？,海登,妍喜,梅麗維爾,貝儂,巴吉爾領主
92,1,位於地下都市工地2石塔的NPC是？,盧因,娜琳,蕾蕾,煞尼克,麥爾比克
93,1,艾利亞斯的NPC尚恩在武器店工作了幾年？,3年,2年,1年,4年,5年
94,1,鋼鐵都市武器店的貝勒柯特拿在手上的是？,扳手,鋼鐵,三角燒瓶,葡萄酒,工具箱
95,1,鋼鐵都市的M.D.拿在手上的是？,葡萄酒,扳手,鋼鐵,三角燒瓶,工具箱
96,1,彭哥列列車裡沒有的區域是？,列車貴賓室,列車客房,列車餐廳車廂,列車煤炭車廂,列車機房
97,1,彭哥列列車本來是開往「這裡」的列車，但是遭到怪物襲擊只好中途停車。請問「這裡」是什麼地方？,義大利餃鎮,米德卡勒特,彭哥列,阿法,比弗羅斯特
98,1,水上庭園採集不到的東西是？,吉納蒂亞大蘿蔔,吉納蒂亞地瓜,吉納蒂亞馬鈴薯,莎裡絲麗雪茶,仙雷斯亞米瑞
99,1,照顧吉納蒂亞水上庭園裡的幼龍的NPC是？,波利斯,公主,王子,佛雷亞,耶比
100,1,爬呀爬大樹的種子是？,妖術果實,魔術種子,傑克的豌豆,魔法果實,魔法花種
101,1,爬呀爬大樹頂部的NPC叫什麼名字？,出差中的柯鬥,休假的沃參,工作的柯鬥,兼職的柯鬥,辦公的柯鬥
102,1,爬呀爬大樹上沒有的怪物是？,劍蜂怪,蜂怪戰士,女王蜂候選,蜂怪弓箭手,螳螂怪
103,1,銀光住宅入口的平原巡邏隊——月精靈NPC「巴勒夏」的全名是？,巴勒夏勒馬樂巴樂拉樂禮樂米勒畢勒席柏爾斯,巴勒夏·蘇比亞斯,月精靈-巴勒夏爾特,巴勒夏勒米勒拉勒貝勒那勒貝勒貝勒希巴那斯,巴賽隆納·普利梅拉立格
104,1,發誓守護星星的故鄉「利利樂」的利利樂族唯一戰士階級「星星騎士」的名字是？,達比,艾比,米比,古比,多比
105,1,銀光住宅內部一共有幾名星星矮人？,5名,4名,6名,7名,3名
106,1,沒有寵物NPC賽蘿的地區是？,米德卡勒特,亞特蘭提斯,貝斯,貝羅斯,龍京
107,1,黑月公主想從哥德房屋營救誰呢？,雷比,莫恩,愛麗絲,葩娜,卡茲諾
108,1,不住在銀光住宅裡面的NPC的名字是？,賢比,卡比,娜比,拉比,達比
109,1,不在星光平原出現的怪物是？,改造大師,星之守護者,月精靈森林看守者,月精靈原野看守者,神祕小矮人法師
110,1,請問佩爾法圖書館大廳有幾張沙發？,2張,1張,0張,10張,3張
111,1,普雷伊奧斯的佩爾法圖書館可以通過哪個地區到達？,天空海,虛無海,升級海,疲倦海,七武海
112,1,聯合公會的NPC「屋簷上的少女」的眼珠是什麼形狀？,星星,心形,月亮,隱形,無形
113,1,艾利亞斯的餐廳唯一一把掃帚在哪個位置？,廚房內,餐桌旁,門口,窗邊,掛在牆上
114,1,彩虹島物語交易所系統的負責NPC是？,莫亞,木亞,媽呀,瑪雅,繆亞
115,1,龍京城的屋頂上有幾名NPC？,2名,0名,1名,3名,4名
116,1,龍京城的首飾店NPC柳香帥討厭的人叫什麼名字？,偉恩,琳寧,亞菲,拉瓦爾,約瑟
117,1,龍京城的防具店NPC偉恩討厭的人叫什麼名字？,亞菲,宜靜,柳香帥,蘭蒂安,瓊基恩
118,1,奧亦奇城裡有一位性格奇特，手上拿著土偶的物品商人。請問這位少女是？,卡莉林,遠阪凜,愛琳,鏡音鈴,夏目凜
119,1,阿法的戰鬥用品店裡有伊恩波特和泰特。請問這倆人是什麼關係？,夫妻,戀人,朋友,兄妹,網友
120,1,失手把物品誤賣給商店時，可以通過物品回購再次購買物品。請問這個回購清單最多顯示幾件物品？,10個,8個,6個,12個,14個
121,1,口吃很厲害的貝斯城物品商人是？,奴安,奧恩,莫恩,歐恩,盧恩
122,1,一天可以做幾個每日任務？,20個,5個,15個,10個,30個
123,1,從奧爾卡海邊進入的亞特蘭提斯城需要乘坐什麼交通工具？,潛水艇,飛艇,納伊的氣球,彭哥列列車,幽靈海盜船
124,1,不屬於癩蛤蟆島副本的地區是？,癩蛤蟆村落,癩蛤蟆樹林,癩蛤蟆山,癩蛤蟆洞窟,癩蛤蟆山谷
125,1,這裡是連接吉恩蒂亞的米德卡勒特和普雷伊奧斯的天空海的通道。請問這裡是？,神秘森林,被遺忘的平原,黑暗森林,新手地區,利利樂
126,1,陰森住宅的怪物「電鋸狂人」使用的武器是？,電鋸,按摩器,鐳射劍,斧頭,膠手套
127,1,對大炮使用時可以獲得奇效的技能是？,點火,縱火,造火,篝火,燒毀
128,1,哥德房屋的美麗、古典卻又實力驚人的BOSS是？,潘朵拉,潘朵拉A夢,德庫拉,亡靈巫師,龐帕內拉
129,1,艾利亞斯的餐廳裡有幾張餐桌？,6張,5張,2張,8張,沒有
130,1,坐在阿法的NPC托特肩上的動物是什麼？,鳥,蜥蜴,蛇,猴子,魚
131,1,據說通過亞特蘭提斯可以去往仙人們居住的地方。請問這個地方的名稱是？,天門,亞特蘭提斯,艾亞諾勒,艾利亞斯,阿特拉斯
132,1,出沒于奧亦奇黑月城，從嘴裡射出雷射光束的可愛的(?)怪物是？,機器耶比,機器貞子,機器恐龍,機器忍者,機器變色龍
133,1,體格強壯，幫忙收發郵件的的郵差是什麼顏色？,紅色,黃色,紫色,藍色,綠色
134,1,奧亦奇武器店屋頂上立著手執長槍的可愛動物銅像。請問這是什麼動物？,貓,老虎,狐狸,烏龜,狗
135,1,奧亦奇首飾店出售的□□面具是按照哪種動物的形象製作的呢？,狐狸,小貓,老虎,烏龜,小狗
136,1,奧亦奇首飾店出售的奧亦奇人喜歡穿的傳統鞋是？,木屐,木靴,野拖,膠鞋,草鞋
137,1,聯合公會下屬銀光盾牌酒店的夏拉亞賽蘿端著的盤子上有幾塊蛋糕？,2塊,1塊,3塊,4塊,沒有
138,1,這是一座櫻花盛開，擁有黑月城和貓頭鷹城的城市。這座城市是？,奧亦奇,奧亦櫻,奧亦基,奧亦郎,奧亦梅
139,1,這座城市與神秘森林相通，而且是來自其他星星的旅行者們停留的夢幻之城。這座城市是？,米德卡勒特,亞斯卡勒特,米德卡勒瑪,阿龐卡勒特,米國蓋德
140,1,吉恩蒂亞大陸有一頭名叫貝希摩斯的巨型怪物。在哪個地區可以通過挖掘的方式進入貝希摩斯肚子？,奧爾卡海邊,薩勒斯原野,蟻穴,地下洞穴,原野地帶
141,1,龍京的NPC中，位於屋頂上的是？,琳寧,郵差,肖維爾,拉瓦爾,柳香帥
142,1,在銀光住宅裡出售武器的NPC是？,拉比,卡比,娜比,多比,瑪比
143,1,使人聯想起童話《格列佛遊記》中的小人國，可以通過亞特蘭提斯到達的地區是？,奧利佛,巨人國,徐仁國,棒棒糖,小人國
144,1,爬呀爬大樹是直沖雲霄的樹木所在的地區。請問爬呀爬大樹地區共有幾棵直沖雲霄的大樹？,3棵,5棵,2棵,1棵,沒有
145,1,完成每週挑戰任務可以累積點數。哪些商品不屬於兌換內容？,靈魂石,挑戰強化石,挑戰征服者鍊墜,每週挑戰重置卷軸,[活動] 重置結晶
146,1,艾利亞斯美妝店裡幫忙變更角色性別的NPC是？,科洛安,漢克洛,克洛曼杜,麥克羅,葛羅曼
147,1,兌換阿斯瑪的和諧手帕需要多少彩虹幣？,200000000,100000000,250000000,999999999,150000000
148,1,可以讓同一個伺服器裡的所有玩家看到自己資訊的物品是？,伺服器麥克風,麥克風,角笛,頻道麥克風,伺服器聊天話筒
149,1,死後原地復活，可以用點數購買的物品是？,復活精髓,復活之書,死者甦醒,復活星星,無情復活
150,1,增加一個角色欄位，可以用金幣購買的物品是？,角色欄位卡片,角色無情增加,角色召喚卡片,遊戲王卡片,欄位擴充卡片
151,1,金字塔的BOSS怪物，傳說它會吃掉猜不中謎語的人。這個怪物的名字是？,獅身人面像,撒古斯,法老,厄運,鷹身人面像
152,1,香格里拉的BOSS怪物，東西南北中主司北方，由龜和蛇的形象組合而成的是？,玄武,烈焰O鳳,青龍,朱雀,青眼O龍
153,1,哥德房屋的BOSS怪物，希臘神話中的第一個人類女性，名字寓意「擁有一切天賦的女人」的女人是？,潘朵拉,潘多利,胖達利,潘多啦A夢,潘金蓮
154,1,可以從奧爾卡海邊移動到這個怪獸的肚子裡，名字在希伯來語裡面表示野獸，體形異常驚人的水陸兩棲怪獸是？,貝希摩斯,歐貝利斯克,藍鯨,鱷魚,哥斯拉
155,1,出沒于山嶽地帶，長了九個尾巴，擅長勾引男性的妖怪是？,九尾狐,妲己,楊貴妃,老虎,艾咪高
156,1,經過紅高粱地可以來到這裡，被稱為「理想鄉」、「世外桃源」。請問「這裡」是什麼地方？,阿爾卡笛亞,阿克迪恩,奧亦奇,阿基米德,埃爾拜特
157,1,可以通過雨林地帶前往，而且長著不少參天大樹。請問這是什麼地區？,爬呀爬大樹,下呀下大樹,下上大樹,上下大樹,傑克與碗豆
158,1,通過阿法港可以到達這個黑漆漆的森林，花蛇、蜘蛛精等怪物出沒於其中。請問這是什麼地方？,黑暗森林,烏黑森林,暗黑森林,漆黑森林,幽暗森林
159,1,可以通過雨林地帶到達古代巨型恐龍們棲息的地區。這個地區的名稱是？,薩勒斯原野,侏羅紀公園,骷髏島,薩勒斯公園,自然歷史博物館
160,1,來征服宇宙的小章魚們為躲避海鮮愛好者的魔爪而逃進去的要塞是？,小章魚神殿,墨斗魚神殿,魷魚神殿,巴台農神殿,小章魚仙殿
161,1,讓超級瑪琍的怪物在一定時間內不攻擊，而且可以用金幣購買的物品是？,抓住吧！超級瑪琍,抓了！超級瑪琍,抓住吧！馬力歐,無敵的超級瑪琍,砸碎！超級瑪琍
162,1,該物品可以延長到期寵物的使用時間，可以用金幣購買。該物品的名稱是？,寵物用靈芝草,寵物用憤怒草,寵物冒泡不老草,寵物用的期限延長卷軸,寵物用的死者甦醒
163,1,使用時鑲嵌成功幾率增加2%，可以用金幣購買的面具是？,鑲嵌面具,鐵面具,鑲嵌拉麵,動作面具,半月面具
164,1,設有隨機公告欄的村莊是？,艾利亞斯,貝羅斯,奧亦奇,龍京,阿法
165,1,副職業武器和職業連接錯誤的是？,盜賊短劍 - 審判者,音樂權杖 - 音樂大師,飛燕劍 - 劍刃舞者,禦守珠 - 改造大師,戰擊拐杖 - 幻術師
166,1,爬呀爬大樹的頂端連接哪個地方？,爬呀爬花瓣,爬呀爬更上,亞斯卡勒特,天門,爬呀爬花朵
167,1,不屬於吉恩蒂亞大陸城市名的是？,聯合公會,貝羅斯,艾利亞斯,奧亦奇,米德卡勒特
168,1,下面的怪物中不屬於飛行怪物的是？,作夢的拉歐貓,蝙蝠,埃利克西爾荷姆,蜂怪戰士,未知的奧利佛空軍
169,1,艾利亞斯王宮的海樂妮公主是幾歲？,19,9,8,15,14
170,1,艾利亞斯王宮的國王是？,惠宗,世宗,大宗,阿宗,綠野仙宗
171,1,可以登錄物品圖鑑的NPC是？,伊克納特,亞瑟斯,南宮,夏努伊,煞尼克
172,1,亞特蘭提斯城裡最怕羞的NPC是？,可兒,雷米納斯,佩麗絲,莉莉絲,賽伊拉
173,1,水族館第一美女怪物的名字是？,人魚公主,人魚怪,西莉亞,賽麗亞,西施
174,1,鋼鐵都市NPC米哥安的老師是？,貝勒柯特,M.D.,科洛安,柯賽兒,普拉烏
175,1,貝羅斯酒店的愛琳與愛伊琳是姐妹。愛伊琳是早出生幾秒的姐姐呢？！,3秒,5秒,4秒,2秒,1秒
176,1,不在亞特蘭提斯的NPC是？,德尼歐,納伊,夏洛,拉里薩,賽巴斯汀
177,1,位於亞特蘭提斯的NPC是？,可兒,寶妮,瓊基恩,伊克納特,柳香帥
178,1,貝斯城NPC西斯藍心中所謂的強大是？,運氣,力量,敏捷,智力,魅力
179,1,不在山林地帶出現的怪物是？,璞咻呼咻,兵蟻G,野狗,蒼狼,耶比妹妹
180,1,奧斯古拉斯臨時營區「沒有」通往哪裡的傳送門？,怪物樹山林,青空城,暴風監視者廢墟,彼翠樹林,神秘森林
181,1,不在黑月城出現的忍者是？,綠影忍者,紫影忍者,赤影忍者,白影忍者,青影忍者
182,1,黑月城的領主叫什麼名字？,黑月城主,黑月領主,黑月公主,黑月王,黑月君
183,1,阿法城的「沙漠種族」族長兼大戰士是？,卡地佛,佛地魔,伊恩波特,悠納斯,希羅
184,1,2次轉職的等級要求是？,170,140,100,50,234
185,1,不在吉納蒂亞水上庭園出現的怪物是？,火神龍寶寶,土神龍寶寶,風神龍寶寶,水神龍寶寶,石灰神龍寶寶
186,1,不在吉納蒂亞地上庭園出現的怪物是？,墮落的十字軍騎士,水之冥王修女,風之冥王神官,石灰神龍,水之普魯頓神女
187,1,在吉納蒂亞地上庭園神殿地帶出現的怪物是？,墮落的神殿騎士,土神龍寶寶,風之冥王神官,堅定的修女,土之普魯頓神官
188,1,不在吉納蒂亞地上庭園中央地帶出現的怪物是？,神智不清的普魯頓神女,徬徨的修女,墮落的神殿騎士,貞德的悲傷,神智不清的破碎機
189,1,在吉納蒂亞地上庭園廢墟出現的怪物是？,徬徨的報喪女妖,墮落的聖殿騎士,精銳奇諾比奧,神智不清的破碎機,風神龍寶寶
190,1,哥德房屋的BOSS怪物「潘朵拉」對某個男生產生了好感！請問這個男生是？,雷比,卡茲諾,莫恩,黑月城主,薩伊安
191,1,曾經與愛麗絲並肩對抗魔王，但是後來站到愛麗絲的對立面並對愛麗絲懷有敵意的人是？,黑月公主,穆亞,喬艾,波拉蒂娜,洛汗
192,1,愛麗絲使用的武器是？,弓箭,十字弓,單手劍,短劍,匕首
193,1,雷比亞倫斯使用的武器是？,長矛,雙手劍,單手劍,螺旋劍,短劍
194,1,卡茲諾納斯使用的武器是？,匕首,手槍,雙手劍,拳套,飛燕劍
195,1,史德拉擅長的是？,料理,游泳,鋼琴,足球,化妝
196,1,無限迴廊NPC中，長著天鵝臉和人身的NPC叫什麼名字？,白鶴王子,魔法師,傑伊特,莉塔妮婭,貝麗泰
197,1,天門的美女NPC是？,藍采和,西施,牡丹燈籠,楊貴妃,正陽子
198,1,星星搖籃的英雄王BOSS叫什麼名字？,提修斯,宙斯,黑帝斯,盧茲曼,核心守衛
199,1,潘朵拉寧願犧牲自己也要為雷比找回的東西是什麼？,感情,壽命,力量,自由,武器
200,1,下列哪個村莊可以通往兔女郎所在的GM活動地圖？,貝羅斯,貝斯,龍京,亞特蘭提斯,米德卡勒特
201,1,貝羅斯酒館是幾層建築？,2層,3層,5層,7層,1層
202,1,貝羅斯噴水池魚的雕像有幾座？,2座,1座,3座,4座,10座
203,1,貝羅斯鐘樓上有一個物品，請問是什麼？,望遠鏡,月亮,萬花筒,布告欄,酒杯
204,1,貝羅斯酒館有幾張沙發？,5張,1張,6張,3張,4張
205,1,貝羅斯酒館有幾張木椅？,14張,10張,8張,12張,0張
206,1,艾利亞斯美妝店裡有幾張椅子？,4張,13張,10張,15張,17張
207,1,公會管理NPC叫什麼名字？,修普勒,科洛安,寶妮,伊克納特,德尼歐
208,1,位於比弗羅斯特的NPC名字是？,科基莉亞,卡基里亞,米哥安,煞尼克,柯賽兒
209,1,黑月城內部的黑月公主所在的副本是？,十六的月,十七的月,一六的月,一七的月,十二的月
210,1,通過1次轉職的職業配對錯誤的是？,騎士 -> 劍鬥士,戰士 -> 督軍,魔法師 -> 吟遊詩人,遊俠 -> 寶藏獵人,時間旅人 -> 空間殺手
211,1,不屬於副職業的是？,命運守護者,御風引者,魂之勇者,審判者,忍者大師
212,1,艾利亞斯空港的嚮導NPC是？,傑尼斯,傑尼龜,拉妮斯,阿妮斯,巴妮斯
213,1,大蘋果之城裡掛著「MONSTER HOUSE」牌子的建築是？,怪物塔,怪物□力公司,大蘋果豪宅,怪物公司,彩諾恩事務所
214,1,不屬於彩虹島物語的職業是？,陰陽師,鬥神,幻術師,終結者,吟游詩人
215,1,貝斯一共有幾座大象雕像？,2座,3座,1座,4座,8座
216,1,不屬於BOSS怪物的是？,兵蟻G,藍色芙尼克斯,冰魔卡妙,帕西淮,玄武
217,1,螞蟻洞窟裡不存在的怪物是？,螞蟻戰士,螞蟻士兵,兵蟻,螞蟻女王,沒有正確答案
218,1,去往被稱為水晶之路的米德卡勒特時需要經過的地方是？,水族館,天門,地下水路,雨林地帶,春值通道
219,1,1次轉職的轉職聖所位於哪個地方？,吉納蒂亞,雪原,天空海,天門,爬呀爬大樹
220,1,從哪座城市可以去神秘森林？,米德卡勒特,貝羅斯,艾利亞斯,亞特蘭提斯,阿法
221,1,吉恩蒂亞大陸有溫泉的地方是？,史波萊諾雪原,雷弗利治雪原,貝斯雪原,亞特蘭提斯,艾利亞斯
222,1,米德卡勒特有幾個風車？,4個,3個,5個,6個,7個
223,1,小人國奧利佛的城堡名稱是？,唉唷唉唷城,豆粒豆粒城,迷你迷你城,小粒小粒城,甜甜蜜蜜城
224,1,接收來自宇宙各地的太空船，並且兼做居住空間的地方是？,機庫,水耕農場,D-拉伯,比弗羅斯特,兵工廠
225,1,冒險家出身的春植君領主統治過的地方是？,春植島,餅乾花園,小章魚神殿,陰森住宅,深淵的遺址
226,1,被稱為沙漠的寶石、珍珠之港的城市是？,阿法,龍京,亞特蘭提斯,貝斯,貝羅斯
227,1,貝羅斯出身的少女遊俠愛麗絲的全名是？,愛麗絲·利比耶樂,愛麗絲·拉維艾拉,愛麗絲·拉斐爾,愛麗絲·雷比艾拉,愛麗絲·洛菲艾拉
228,1,貝羅斯出身，而且是泰勒族後裔的少女遊俠是？,愛麗絲,亞瑟絲,艾斯泰爾,艾琳,莫亞
229,1,使角色擁有殘像的特殊物品是？,鏡子,寶石,眉心貼,眼鏡,手套
230,1,擁有神秘力量的愛麗絲的弓是？,賽蕾斯蒂亞,高音譜號,蛇紋石,卡斯卡拉長劍,水殺手
231,1,艾利亞斯武器商人戴的帽子顏色是？,綠色,紅色,藍色,紫色,黑色
232,1,鑲嵌物品所需的材料是？,拼圖,魔盒,寶石,礦石,凝膠
233,1,奧亦奇的NPC卡莉林拿在手上的東西是？,土偶,塔偶,夏偶,姆偶,巴偶
234,1,奧亦奇物品保管處的蘿拉帶在身邊的是？,小狗,小貓,猴子,馬,狸子
235,1,飾品中，象徵祈福和幸運的是？,眉心貼,腳心貼,創可貼,膠貼,手心貼
236,1,支撐金蘭雲系的山裡面不包括？,圓嶠山,瀛州山,蓬萊山,方壺山,沒有正確答案
237,1,削弱金蘭雲系結界的人物是？,阿修羅王,牡丹燈籠,窮奇,南彩花,肖維爾
238,1,去癩蛤蟆島使用的交通工具是？,納伊將軍的氣球,潛水艇,列車,飛艇,傳送門
239,1,亞特蘭提斯城的市長是誰？,安娜史塔莎,默克爾,特列奧,艾瑪,索妮爾
240,1,亞特蘭提斯的汽車和公車使用什麼燃料？,電氣,汽油,太陽能,煤氣,煤炭
241,1,在鋼鐵都市身手最出色的機甲師是？,貝爾柯特,克洛曼,米哥安,柯賽兒,普拉烏
