ID,_ItemLevel,_EnchantSafe,_EnchantMax,_LevelDownPrice1,_BaseOdds1,_LevelOdds1,_ItemPrice1,_EnchantItemOne1,_EnchantItemTwo1,_LevelDownPrice2,_BaseOdds2,_LevelOdds2,_ItemPrice2,_EnchantItemOne2,_EnchantItemTwo2,_LevelDownPrice3,_BaseOdds3,_LevelOdds3,_ItemPrice3,_EnchantItemOne3,_EnchantItemTwo3
50,50,4294967266,4294967266,1,85,100,125000,1500,10000,2,80,100,300000,1500,10000,3,73,100,500000,1500,10000
51,51,4294967266,4294967266,1,85,100,125000,1500,10000,2,80,100,300000,1500,10000,3,72,100,500000,1500,10000
52,52,4294967266,4294967266,1,85,100,125000,1500,10000,2,79,100,300000,1500,10000,3,72,100,500000,1500,10000
53,53,4294967266,4294967266,1,85,100,125000,1500,10000,2,79,100,300000,1500,10000,3,71,100,500000,1500,10000
54,54,4294967266,4294967266,1,84,100,125000,1500,10000,2,79,100,300000,1500,10000,3,71,100,500000,1500,10000
55,55,4294967266,4294967266,1,84,100,125000,1500,10000,2,78,100,300000,1500,10000,3,70,100,500000,1500,10000
56,56,4294967266,4294967266,1,84,100,125000,1500,10000,2,78,100,300000,1500,10000,3,70,100,500000,1500,10000
57,57,4294967266,4294967266,1,83,100,125000,1500,10000,2,77,100,300000,1500,10000,3,69,100,500000,1500,10000
58,58,4294967266,4294967266,1,83,100,125000,1500,10000,2,77,100,300000,1500,10000,3,69,100,500000,1500,10000
59,59,4294967266,4294967266,1,83,100,125000,1500,10000,2,77,100,300000,1500,10000,3,68,100,500000,1500,10000
60,60,4294967266,4294967266,1,82,100,125000,1500,10000,2,76,100,300000,1500,10000,3,68,100,500000,1500,10000
61,61,4294967266,4294967266,1,82,100,125000,1500,10000,2,76,100,300000,1500,10000,3,67,100,500000,1500,10000
62,62,4294967266,4294967266,1,82,100,125000,1500,10000,2,76,100,300000,1500,10000,3,67,100,500000,1500,10000
63,63,4294967266,4294967266,1,82,100,125000,1500,10000,2,75,100,300000,1500,10000,3,67,100,500000,1500,10000
64,64,4294967266,4294967266,1,81,100,125000,1500,10000,2,75,100,300000,1500,10000,3,66,100,500000,1500,10000
65,65,4294967266,4294967266,1,81,100,125000,1500,10000,2,74,100,300000,1500,10000,3,66,100,500000,1500,10000
66,66,4294967266,4294967266,1,81,100,125000,1500,10000,2,74,100,300000,1500,10000,3,65,100,500000,1500,10000
67,67,4294967266,4294967266,1,80,100,125000,1500,10000,2,74,100,300000,1500,10000,3,65,100,500000,1500,10000
68,68,4294967266,4294967266,1,80,100,125000,1500,10000,2,73,100,300000,1500,10000,3,64,100,500000,1500,10000
69,69,4294967266,4294967266,1,80,100,125000,1500,10000,2,73,100,300000,1500,10000,3,64,100,500000,1500,10000
70,70,4294967266,4294967266,1,80,100,125000,1500,10000,2,73,100,300000,1500,10000,3,63,100,500000,1500,10000
71,71,4294967266,4294967266,1,79,100,125000,1500,10000,2,72,100,300000,1500,10000,3,63,100,500000,1500,10000
72,72,4294967266,4294967266,1,79,100,125000,1500,10000,2,72,100,300000,1500,10000,3,62,100,500000,1500,10000
73,73,4294967266,4294967266,1,79,100,125000,1500,10000,2,72,100,300000,1500,10000,3,62,100,500000,1500,10000
74,74,4294967266,4294967266,1,79,100,125000,1500,10000,2,71,100,300000,1500,10000,3,62,100,500000,1500,10000
75,75,4294967266,4294967266,1,78,100,125000,1500,10000,2,71,100,300000,1500,10000,3,61,100,500000,1500,10000
76,76,4294967266,4294967266,1,78,100,125000,1500,10000,2,71,100,300000,1500,10000,3,61,100,500000,1500,10000
77,77,4294967266,4294967266,1,78,100,125000,1500,10000,2,70,100,300000,1500,10000,3,60,100,500000,1500,10000
78,78,4294967266,4294967266,1,77,100,125000,1500,10000,2,70,100,300000,1500,10000,3,60,100,500000,1500,10000
79,79,4294967266,4294967266,1,77,100,125000,1500,10000,2,70,100,300000,1500,10000,3,59,100,500000,1500,10000
80,80,4294967266,4294967266,1,77,100,125000,1500,10000,2,69,100,300000,1500,10000,3,59,100,500000,1500,10000
81,81,4294967266,4294967266,1,77,100,125000,1500,10000,2,69,100,300000,1500,10000,3,58,100,500000,1500,10000
82,82,4294967266,4294967266,1,76,100,125000,1500,10000,2,69,100,300000,1500,10000,3,58,100,500000,1500,10000
83,83,4294967266,4294967266,1,76,100,125000,1500,10000,2,68,100,300000,1500,10000,3,57,100,500000,1500,10000
84,84,4294967266,4294967266,1,76,100,125000,1500,10000,2,68,100,300000,1500,10000,3,57,100,500000,1500,10000
85,85,4294967266,4294967266,1,76,100,125000,1500,10000,2,68,100,300000,1500,10000,3,57,100,500000,1500,10000
86,86,4294967266,4294967266,1,75,100,125000,1500,10000,2,67,100,300000,1500,10000,3,56,100,500000,1500,10000
87,87,4294967266,4294967266,1,75,100,125000,1500,10000,2,67,100,300000,1500,10000,3,56,100,500000,1500,10000
88,88,4294967266,4294967266,1,75,100,125000,1500,10000,2,67,100,300000,1500,10000,3,56,100,500000,1500,10000
89,89,4294967266,4294967266,1,74,100,125000,1500,10000,2,66,100,300000,1500,10000,3,55,100,500000,1500,10000
90,90,4294967266,4294967266,1,74,100,125000,1500,10000,2,66,100,300000,1500,10000,3,55,100,500000,1500,10000
91,91,4294967266,4294967266,1,74,100,125000,1500,10000,2,66,100,300000,1500,10000,3,55,100,500000,1500,10000
92,92,4294967266,4294967266,1,74,100,125000,1500,10000,2,65,100,300000,1500,10000,3,54,100,500000,1500,10000
93,93,4294967266,4294967266,1,73,100,125000,1500,10000,2,65,100,300000,1500,10000,3,54,100,500000,1500,10000
94,94,4294967266,4294967266,1,73,100,125000,1500,10000,2,65,100,300000,1500,10000,3,54,100,500000,1500,10000
95,95,4294967266,4294967266,1,73,100,125000,1500,10000,2,64,100,300000,1500,10000,3,53,100,500000,1500,10000
96,96,4294967266,4294967266,1,73,100,125000,1500,10000,2,64,100,300000,1500,10000,3,53,100,500000,1500,10000
97,97,4294967266,4294967266,1,72,100,125000,1500,10000,2,64,100,300000,1500,10000,3,52,100,500000,1500,10000
98,98,4294967266,4294967266,1,72,100,125000,1500,10000,2,63,100,300000,1500,10000,3,52,100,500000,1500,10000
99,99,4294967266,4294967266,1,72,100,125000,1500,10000,2,63,100,300000,1500,10000,3,52,100,500000,1500,10000
100,100,4294967266,4294967266,1,72,100,125000,1500,10000,2,63,100,300000,1500,10000,3,51,100,500000,1500,10000
101,101,4294967266,4294967266,1,71,100,125000,1500,10000,2,62,100,300000,1500,10000,3,51,100,500000,1500,10000
102,102,4294967266,4294967266,1,71,100,125000,1500,10000,2,62,100,300000,1500,10000,3,51,100,500000,1500,10000
103,103,4294967266,4294967266,1,71,100,125000,1500,10000,2,62,100,300000,1500,10000,3,50,100,500000,1500,10000
104,104,4294967266,4294967266,1,71,100,125000,1500,10000,2,61,100,300000,1500,10000,3,50,100,500000,1500,10000
105,105,4294967266,4294967266,1,70,100,125000,1500,10000,2,61,100,300000,1500,10000,3,50,100,500000,1500,10000
106,106,4294967266,4294967266,1,70,100,125000,1500,10000,2,61,100,300000,1500,10000,3,49,100,500000,1500,10000
107,107,4294967266,4294967266,1,70,100,125000,1500,10000,2,61,100,300000,1500,10000,3,49,100,500000,1500,10000
108,108,4294967266,4294967266,1,70,100,125000,1500,10000,2,60,100,300000,1500,10000,3,49,100,500000,1500,10000
109,109,4294967266,4294967266,1,69,100,125000,1500,10000,2,60,100,300000,1500,10000,3,48,100,500000,1500,10000
110,110,4294967266,4294967266,1,69,100,125000,1500,10000,2,60,100,300000,1500,10000,3,48,100,500000,1500,10000
111,111,4294967266,4294967266,1,69,100,125000,1500,10000,2,59,100,300000,1500,10000,3,47,100,500000,1500,10000
112,112,4294967266,4294967266,1,69,100,125000,1500,10000,2,59,100,300000,1500,10000,3,47,100,500000,1500,10000
113,113,4294967266,4294967266,1,68,100,125000,1500,10000,2,59,100,300000,1500,10000,3,47,100,500000,1500,10000
114,114,4294967266,4294967266,1,68,100,125000,1500,10000,2,59,100,300000,1500,10000,3,47,100,500000,1500,10000
115,115,4294967266,4294967266,1,68,100,125000,1500,10000,2,58,100,300000,1500,10000,3,46,100,500000,1500,10000
116,116,4294967266,4294967266,1,68,100,125000,1500,10000,2,58,100,300000,1500,10000,3,46,100,500000,1500,10000
117,117,4294967266,4294967266,1,68,100,125000,1500,10000,2,58,100,300000,1500,10000,3,46,100,500000,1500,10000
118,118,4294967266,4294967266,1,67,100,125000,1500,10000,2,57,100,300000,1500,10000,3,45,100,500000,1500,10000
119,119,4294967266,4294967266,1,67,100,125000,1500,10000,2,57,100,300000,1500,10000,3,45,100,500000,1500,10000
120,120,4294967266,4294967266,1,67,100,125000,1500,10000,2,57,100,300000,1500,10000,3,45,100,500000,1500,10000
121,121,4294967266,4294967266,1,67,100,125000,1500,10000,2,57,100,300000,1500,10000,3,44,100,500000,1500,10000
122,122,4294967266,4294967266,1,66,100,125000,1500,10000,2,56,100,300000,1500,10000,3,44,100,500000,1500,10000
123,123,4294967266,4294967266,1,66,100,125000,1500,10000,2,56,100,300000,1500,10000,3,44,100,500000,1500,10000
124,124,4294967266,4294967266,1,66,100,125000,1500,10000,2,56,100,300000,1500,10000,3,43,100,500000,1500,10000
125,125,4294967266,4294967266,1,66,100,125000,1500,10000,2,55,100,300000,1500,10000,3,43,100,500000,1500,10000
126,126,4294967266,4294967266,1,65,100,125000,1500,10000,2,55,100,300000,1500,10000,3,43,100,500000,1500,10000
127,127,4294967266,4294967266,1,65,100,125000,1500,10000,2,55,100,300000,1500,10000,3,42,100,500000,1500,10000
128,128,4294967266,4294967266,1,65,100,125000,1500,10000,2,55,100,300000,1500,10000,3,42,100,500000,1500,10000
129,129,4294967266,4294967266,1,65,100,125000,1500,10000,2,54,100,300000,1500,10000,3,42,100,500000,1500,10000
130,130,4294967266,4294967266,1,65,100,125000,1500,10000,2,54,100,300000,1500,10000,3,42,100,500000,1500,10000
131,131,4294967266,4294967266,1,64,100,125000,1500,10000,2,54,100,300000,1500,10000,3,41,100,500000,1500,10000
132,132,4294967266,4294967266,1,64,100,125000,1500,10000,2,54,100,300000,1500,10000,3,41,100,500000,1500,10000
133,133,4294967266,4294967266,1,64,100,125000,1500,10000,2,53,100,300000,1500,10000,3,41,100,500000,1500,10000
134,134,4294967266,4294967266,1,64,100,125000,1500,10000,2,53,100,300000,1500,10000,3,40,100,500000,1500,10000
135,135,4294967266,4294967266,1,63,100,125000,1500,10000,2,53,100,300000,1500,10000,3,40,100,500000,1500,10000
136,136,4294967266,4294967266,1,63,100,125000,1500,10000,2,53,100,300000,1500,10000,3,40,100,500000,1500,10000
137,137,4294967266,4294967266,1,63,100,125000,1500,10000,2,52,100,300000,1500,10000,3,40,100,500000,1500,10000
138,138,4294967266,4294967266,1,63,100,125000,1500,10000,2,52,100,300000,1500,10000,3,39,100,500000,1500,10000
139,139,4294967266,4294967266,1,63,100,125000,1500,10000,2,52,100,300000,1500,10000,3,39,100,500000,1500,10000
140,140,4294967266,4294967266,1,62,100,125000,1500,10000,2,52,100,300000,1500,10000,3,39,100,500000,1500,10000
141,141,4294967266,4294967266,1,62,100,125000,1500,10000,2,51,100,300000,1500,10000,3,38,100,500000,1500,10000
142,142,4294967266,4294967266,1,62,100,125000,1500,10000,2,51,100,300000,1500,10000,3,38,100,500000,1500,10000
143,143,4294967266,4294967266,1,61,100,125000,1500,10000,2,51,100,300000,1500,10000,3,38,100,500000,1500,10000
144,144,4294967266,4294967266,1,61,100,125000,1500,10000,2,51,100,300000,1500,10000,3,38,100,500000,1500,10000
145,145,4294967266,4294967266,1,61,100,125000,1500,10000,2,50,100,300000,1500,10000,3,37,100,500000,1500,10000
146,146,4294967266,4294967266,1,61,100,125000,1500,10000,2,50,100,300000,1500,10000,3,37,100,500000,1500,10000
147,147,4294967266,4294967266,1,61,100,125000,1500,10000,2,50,100,300000,1500,10000,3,37,100,500000,1500,10000
148,148,4294967266,4294967266,1,61,100,125000,1500,10000,2,50,100,300000,1500,10000,3,37,100,500000,1500,10000
149,149,4294967266,4294967266,1,60,100,125000,1500,10000,2,49,100,300000,1500,10000,3,36,100,500000,1500,10000
150,150,4294967266,4294967266,1,60,100,125000,1500,10000,2,49,100,300000,1500,10000,3,36,100,500000,1500,10000
151,151,4294967266,4294967266,1,60,100,125000,1500,10000,2,49,100,300000,1500,10000,3,36,100,500000,1500,10000
152,152,4294967266,4294967266,1,60,100,125000,1500,10000,2,49,100,300000,1500,10000,3,36,100,500000,1500,10000
153,153,4294967266,4294967266,1,60,100,125000,1500,10000,2,48,100,300000,1500,10000,3,35,100,500000,1500,10000
154,154,4294967266,4294967266,1,59,100,125000,1500,10000,2,48,100,300000,1500,10000,3,35,100,500000,1500,10000
155,155,4294967266,4294967266,1,59,100,125000,1500,10000,2,48,100,300000,1500,10000,3,35,100,500000,1500,10000
156,156,4294967266,4294967266,1,59,100,125000,1500,10000,2,48,100,300000,1500,10000,3,35,100,500000,1500,10000
157,157,4294967266,4294967266,1,59,100,125000,1500,10000,2,47,100,300000,1500,10000,3,34,100,500000,1500,10000
158,158,4294967266,4294967266,1,58,100,125000,1500,10000,2,47,100,300000,1500,10000,3,34,100,500000,1500,10000
159,159,4294967266,4294967266,1,58,100,125000,1500,10000,2,47,100,300000,1500,10000,3,34,100,500000,1500,10000
160,160,4294967266,4294967266,1,58,100,125000,1500,10000,2,47,100,300000,1500,10000,3,34,100,500000,1500,10000
161,161,4294967266,4294967266,1,58,100,125000,1500,10000,2,46,100,300000,1500,10000,3,33,100,500000,1500,10000
162,162,4294967266,4294967266,1,58,100,125000,1500,10000,2,46,100,300000,1500,10000,3,33,100,500000,1500,10000
163,163,4294967266,4294967266,1,57,100,125000,1500,10000,2,46,100,300000,1500,10000,3,33,100,500000,1500,10000
164,164,4294967266,4294967266,1,57,100,125000,1500,10000,2,46,100,300000,1500,10000,3,33,100,500000,1500,10000
165,165,4294967266,4294967266,1,57,100,125000,1500,10000,2,46,100,300000,1500,10000,3,32,100,500000,1500,10000
166,166,4294967266,4294967266,1,57,100,125000,1500,10000,2,45,100,300000,1500,10000,3,32,100,500000,1500,10000
167,167,4294967266,4294967266,1,57,100,125000,1500,10000,2,45,100,300000,1500,10000,3,32,100,500000,1500,10000
168,168,4294967266,4294967266,1,56,100,125000,1500,10000,2,45,100,300000,1500,10000,3,32,100,500000,1500,10000
169,169,4294967266,4294967266,1,56,100,125000,1500,10000,2,45,100,300000,1500,10000,3,32,100,500000,1500,10000
170,170,4294967266,4294967266,1,56,100,125000,1500,10000,2,44,100,300000,1500,10000,3,31,100,500000,1500,10000
171,171,4294967266,4294967266,1,56,100,125000,1500,10000,2,44,100,300000,1500,10000,3,31,100,500000,1500,10000
172,172,4294967266,4294967266,1,56,100,125000,1500,10000,2,44,100,300000,1500,10000,3,31,100,500000,1500,10000
173,173,4294967266,4294967266,1,56,100,125000,1500,10000,2,44,100,300000,1500,10000,3,31,100,500000,1500,10000
174,174,4294967266,4294967266,1,55,100,125000,1500,10000,2,44,100,300000,1500,10000,3,31,100,500000,1500,10000
175,175,4294967266,4294967266,1,55,100,125000,1500,10000,2,43,100,300000,1500,10000,3,30,100,500000,1500,10000
176,176,4294967266,4294967266,1,55,100,125000,1500,10000,2,43,100,300000,1500,10000,3,30,100,500000,1500,10000
177,177,4294967266,4294967266,1,55,100,125000,1500,10000,2,43,100,300000,1500,10000,3,30,100,500000,1500,10000
178,178,4294967266,4294967266,1,55,100,125000,1500,10000,2,43,100,300000,1500,10000,3,30,100,500000,1500,10000
179,179,4294967266,4294967266,1,54,100,125000,1500,10000,2,43,100,300000,1500,10000,3,29,100,500000,1500,10000
180,180,4294967266,4294967266,1,54,100,125000,1500,10000,2,42,100,300000,1500,10000,3,29,100,500000,1500,10000
181,181,4294967266,4294967266,1,54,100,125000,1500,10000,2,42,100,300000,1500,10000,3,29,100,500000,1500,10000
182,182,4294967266,4294967266,1,54,100,125000,1500,10000,2,42,100,300000,1500,10000,3,29,100,500000,1500,10000
183,183,4294967266,4294967266,1,54,100,125000,1500,10000,2,42,100,300000,1500,10000,3,29,100,500000,1500,10000
184,184,4294967266,4294967266,1,53,100,125000,1500,10000,2,42,100,300000,1500,10000,3,28,100,500000,1500,10000
185,185,4294967266,4294967266,1,53,100,125000,1500,10000,2,41,100,300000,1500,10000,3,28,100,500000,1500,10000
186,186,4294967266,4294967266,1,53,100,125000,1500,10000,2,41,100,300000,1500,10000,3,28,100,500000,1500,10000
187,187,4294967266,4294967266,1,53,100,125000,1500,10000,2,41,100,300000,1500,10000,3,28,100,500000,1500,10000
188,188,4294967266,4294967266,1,53,100,125000,1500,10000,2,41,100,300000,1500,10000,3,28,100,500000,1500,10000
189,189,4294967266,4294967266,1,52,100,125000,1500,10000,2,41,100,300000,1500,10000,3,27,100,500000,1500,10000
190,190,4294967266,4294967266,1,52,100,125000,1500,10000,2,40,100,300000,1500,10000,3,27,100,500000,1500,10000
191,191,4294967266,4294967266,1,52,100,125000,1500,10000,2,40,100,300000,1500,10000,3,27,100,500000,1500,10000
192,192,4294967266,4294967266,1,52,100,125000,1500,10000,2,40,100,300000,1500,10000,3,27,100,500000,1500,10000
193,193,4294967266,4294967266,1,52,100,125000,1500,10000,2,40,100,300000,1500,10000,3,27,100,500000,1500,10000
194,194,4294967266,4294967266,1,52,100,125000,1500,10000,2,40,100,300000,1500,10000,3,27,100,500000,1500,10000
195,195,4294967266,4294967266,1,51,100,125000,1500,10000,2,39,100,300000,1500,10000,3,26,100,500000,1500,10000
196,196,4294967266,4294967266,1,51,100,125000,1500,10000,2,39,100,300000,1500,10000,3,26,100,500000,1500,10000
197,197,4294967266,4294967266,1,51,100,125000,1500,10000,2,39,100,300000,1500,10000,3,26,100,500000,1500,10000
198,198,4294967266,4294967266,1,51,100,125000,1500,10000,2,39,100,300000,1500,10000,3,26,100,500000,1500,10000
199,199,4294967266,4294967266,1,51,100,125000,1500,10000,2,39,100,300000,1500,10000,3,26,100,500000,1500,10000
200,200,4294967266,4294967266,1,50,100,125000,1500,10000,2,38,100,300000,1500,10000,3,25,100,500000,1500,10000
201,201,4294967266,4294967266,1,50,100,150000,1500,10000,2,38,100,360000,1500,10000,3,25,100,600000,1500,10000
202,202,4294967266,4294967266,1,50,100,175000,1500,10000,2,38,100,420000,1500,10000,3,25,100,700000,1500,10000
203,203,4294967266,4294967266,1,50,100,200000,1500,10000,2,38,100,480000,1500,10000,3,25,100,800000,1500,10000
204,204,4294967266,4294967266,1,50,100,225000,1500,10000,2,38,100,540000,1500,10000,3,25,100,900000,1500,10000
205,205,4294967266,4294967266,1,50,100,250000,1500,10000,2,38,100,600000,1500,10000,3,25,100,1000000,1500,10000
206,206,4294967266,4294967266,1,50,100,275000,1500,10000,2,38,100,660000,1500,10000,3,25,100,1100000,1500,10000
207,207,4294967266,4294967266,1,50,100,300000,1500,10000,2,38,100,720000,1500,10000,3,25,100,1200000,1500,10000
208,208,4294967266,4294967266,1,50,100,325000,1500,10000,2,38,100,780000,1500,10000,3,25,100,1300000,1500,10000
209,209,4294967266,4294967266,1,50,100,350000,1500,10000,2,38,100,840000,1500,10000,3,25,100,1400000,1500,10000
210,210,4294967266,4294967266,1,50,100,375000,1500,10000,2,38,100,900000,1500,10000,3,25,100,1500000,1500,10000
211,211,4294967266,4294967266,1,50,100,400000,1500,10000,2,38,100,960000,1500,10000,3,25,100,1600000,1500,10000
212,212,4294967266,4294967266,1,50,100,425000,1500,10000,2,38,100,1020000,1500,10000,3,25,100,1700000,1500,10000
213,213,4294967266,4294967266,1,50,100,450000,1500,10000,2,38,100,1080000,1500,10000,3,25,100,1800000,1500,10000
214,214,4294967266,4294967266,1,50,100,475000,1500,10000,2,38,100,1140000,1500,10000,3,25,100,1900000,1500,10000
215,215,4294967266,4294967266,1,50,100,500000,1500,10000,2,38,100,1200000,1500,10000,3,25,100,2000000,1500,10000
216,216,4294967266,4294967266,1,50,100,525000,1500,10000,2,38,100,1260000,1500,10000,3,25,100,2100000,1500,10000
217,217,4294967266,4294967266,1,50,100,550000,1500,10000,2,38,100,1320000,1500,10000,3,25,100,2200000,1500,10000
218,218,4294967266,4294967266,1,50,100,575000,1500,10000,2,38,100,1380000,1500,10000,3,25,100,2300000,1500,10000
219,219,4294967266,4294967266,1,50,100,600000,1500,10000,2,38,100,1440000,1500,10000,3,25,100,2400000,1500,10000
220,220,4294967266,4294967266,1,50,100,625000,1500,10000,2,38,100,1500000,1500,10000,3,25,100,2500000,1500,10000
221,221,4294967266,4294967266,1,50,100,650000,1500,10000,2,38,100,1560000,1500,10000,3,25,100,2600000,1500,10000
222,222,4294967266,4294967266,1,50,100,675000,1500,10000,2,38,100,1620000,1500,10000,3,25,100,2700000,1500,10000
223,223,4294967266,4294967266,1,50,100,700000,1500,10000,2,38,100,1680000,1500,10000,3,25,100,2800000,1500,10000
224,224,4294967266,4294967266,1,50,100,725000,1500,10000,2,38,100,1740000,1500,10000,3,25,100,2900000,1500,10000
225,225,4294967266,4294967266,1,50,100,750000,1500,10000,2,38,100,1800000,1500,10000,3,25,100,3000000,1500,10000
226,226,4294967266,4294967266,1,50,100,775000,1500,10000,2,38,100,1860000,1500,10000,3,25,100,3100000,1500,10000
227,227,4294967266,4294967266,1,50,100,800000,1500,10000,2,38,100,1920000,1500,10000,3,25,100,3200000,1500,10000
228,228,4294967266,4294967266,1,50,100,825000,1500,10000,2,38,100,1980000,1500,10000,3,25,100,3300000,1500,10000
229,229,4294967266,4294967266,1,50,100,850000,1500,10000,2,38,100,2040000,1500,10000,3,25,100,3400000,1500,10000
