ID,_Zodiac_Name,_Zodiac_Type,_Zodiac_Page,_Zodiac_Step,_NeedEly,_Zodiac_Require,_ZodiacStep_Require,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Slot_Description1,_Slot_Name1,_Slot_StatID1,_Slot_Description2,_Slot_Name2,_Slot_StatID2,_Slot1-1_Option,_Slot1-2_Option,_Slot1_NeedPoint,_Slot1_Size,_Slot2-1_Option,_Slot2-2_Option,_Slot2_NeedPoint,_Slot2_Size,_Slot3-1_Option,_Slot3-2_Option,_Slot3_NeedPoint,_Slot3_Size,_Slot4-1_Option,_Slot4-2_Option,_Slot4_NeedPoint,_Slot4_Size,_Slot5-1_Option,_Slot5-2_Option,_Slot5_NeedPoint,_Slot5_Size,_Slot6-1_Option,_Slot6-2_Option,_Slot6_NeedPoint,_Slot6_Size,_Slot7-1_Option,_Slot7-2_Option,_Slot7_NeedPoint,_Slot7_Size,_Slot8-1_Option,_Slot8-2_Option,_Slot8_NeedPoint,_Slot8_Size,_Slot9-1_Option,_Slot9-2_Option,_Slot9_NeedPoint,_Slot9_Size,_Slot10-1_Option,_Slot10-2_Option,_Slot10_NeedPoint,_Slot10_Size,_Slot_Option1_Total,_Slot_Option2_Total
301,成長雙子座,1,3,1,1000000000,2,1,1,578,3000,,0,0,,,0,0,,,武器攻擊力/屬性力 +,武器攻擊力/屬性力 +%d,586,,,0,2,0,3000,101,2,0,3000,101,2,0,3000,101,2,0,3000,101,2,0,3000,101,2,0,3000,101,2,0,3000,101,2,0,3000,101,2,0,3000,101,2,0,3000,101,0,0
302,成長雙子座,1,3,2,1000000000,3,1,1,578,3000,,0,0,,,0,0,,,武器攻擊力/屬性力 +,武器攻擊力/屬性力 +%d,586,,,0,5,0,7000,101,5,0,7000,101,5,0,7000,101,5,0,7000,101,5,0,7000,101,5,0,7000,101,5,0,7000,101,5,0,7000,101,5,0,7000,101,5,0,7000,101,20,0
303,成長雙子座,1,3,3,1000000000,3,2,1,578,3000,,0,0,,,0,0,,,武器攻擊力/屬性力 +,武器攻擊力/屬性力 +%d,586,,,0,8,0,11000,101,8,0,11000,101,8,0,11000,101,8,0,11000,101,8,0,11000,101,8,0,11000,101,8,0,11000,101,8,0,11000,101,8,0,11000,101,8,0,11000,101,50,0
304,成長雙子座,1,3,4,1000000000,3,3,1,578,3000,,0,0,,,0,0,,,武器攻擊力/屬性力 +,武器攻擊力/屬性力 +%d,586,,,0,11,0,15000,101,11,0,15000,101,11,0,15000,101,11,0,15000,101,11,0,15000,101,11,0,15000,101,11,0,15000,101,11,0,15000,101,11,0,15000,101,11,0,15000,101,80,0
305,成長雙子座,1,3,5,1000000000,3,4,1,578,3000,,0,0,,,0,0,,,武器攻擊力/屬性力 +,武器攻擊力/屬性力 +%d,586,,,0,14,0,19000,101,14,0,19000,101,14,0,19000,101,14,0,19000,101,14,0,19000,101,14,0,19000,101,14,0,19000,101,14,0,19000,101,14,0,19000,101,14,0,19000,101,110,0
401,成長巨蟹座,1,4,1,1000000000,3,1,1,578,3500,,0,0,,,0,0,,,力量/魔力 +,力量/魔力 +%d,594,減少物理/魔法傷害,物理/魔法傷害減少 +%d,495,100,40,3500,101,100,40,3500,101,400,160,14000,103,200,80,7000,102,200,80,7000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,成長巨蟹座,1,4,2,1000000000,4,1,1,578,3500,,0,0,,,0,0,,,力量/魔力 +,力量/魔力 +%d,594,減少物理/魔法傷害,物理/魔法傷害減少+%d,495,200,70,7500,101,200,70,7500,101,800,280,30000,103,400,140,15000,102,400,140,15000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,400
403,成長巨蟹座,1,4,3,1000000000,4,2,1,578,3500,,0,0,,,0,0,,,力量/魔力 +,力量/魔力 +%d,594,減少物理/魔法傷害,物理/魔法傷害減少+%d,495,300,100,11500,101,300,100,11500,101,1200,400,46000,103,600,200,23000,102,600,200,23000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,700
404,成長巨蟹座,1,4,4,1000000000,4,3,1,578,3500,,0,0,,,0,0,,,力量/魔力 +,力量/魔力 +%d,594,減少物理/魔法傷害,物理/魔法傷害減少+%d,495,400,130,15500,101,400,130,15500,101,1600,520,62000,103,800,260,31000,102,800,260,31000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,1000
405,成長巨蟹座,1,4,5,1000000000,4,4,1,578,3500,,0,0,,,0,0,,,力量/魔力 +,力量/魔力 +%d,594,減少物理/魔法傷害,物理/魔法傷害減少+%d,495,500,160,19500,101,500,160,19500,101,2000,640,78000,103,1000,320,39000,102,1000,320,39000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1300
501,成長獅子座,1,5,1,1000000000,4,1,1,578,4000,,0,0,,,0,0,,,物理/魔法最大傷害,物理/魔法最大傷害 +%d%%,461,,,0,2,0,4000,101,2,0,4000,101,2,0,4000,101,2,0,4000,101,2,0,4000,101,4,0,8000,102,2,0,4000,101,4,0,8000,102,0,0,0,0,0,0,0,0,0,0
502,成長獅子座,1,5,2,1000000000,5,1,1,578,4000,,0,0,,,0,0,,,物理/魔法最大傷害,物理/魔法最大傷害 +%d%%,461,,,0,3,0,8000,101,3,0,8000,101,3,0,8000,101,3,0,8000,101,3,0,8000,101,6,0,16000,102,3,0,8000,101,6,0,16000,102,0,0,0,0,0,0,0,0,20,0
503,成長獅子座,1,5,3,1000000000,5,2,1,578,4000,,0,0,,,0,0,,,物理/魔法最大傷害,物理/魔法最大傷害 +%d%%,461,,,0,4,0,12000,101,4,0,12000,101,4,0,12000,101,4,0,12000,101,4,0,12000,101,8,0,24000,102,4,0,12000,101,8,0,24000,102,0,0,0,0,0,0,0,0,30,0
504,成長獅子座,1,5,4,1000000000,5,3,1,578,4000,,0,0,,,0,0,,,物理/魔法最大傷害,物理/魔法最大傷害 +%d%%,461,,,0,5,0,16000,101,5,0,16000,101,5,0,16000,101,5,0,16000,101,5,0,16000,101,10,0,32000,102,5,0,16000,101,10,0,32000,102,0,0,0,0,0,0,0,0,40,0
505,成長獅子座,1,5,5,1000000000,5,4,1,578,4000,,0,0,,,0,0,,,物理/魔法最大傷害,物理/魔法最大傷害 +%d%%,461,,,0,6,0,20000,101,6,0,20000,101,6,0,20000,101,6,0,20000,101,6,0,20000,101,12,0,40000,102,6,0,20000,101,12,0,40000,102,0,0,0,0,0,0,0,0,50,0
601,成長處女座,1,6,1,1000000000,5,1,1,578,4500,,0,0,,,0,0,,,物理/魔法爆擊傷害,物理/魔法爆擊傷害 +%d%%,464,,,0,2,0,4500,101,2,0,4500,101,2,0,4500,101,2,0,4500,101,2,0,4500,101,2,0,4500,101,2,0,4500,101,2,0,4500,101,2,0,4500,101,2,0,4500,101,0,0
602,成長處女座,1,6,2,1000000000,6,1,1,578,4500,,0,0,,,0,0,,,物理/魔法爆擊傷害,物理/魔法爆擊傷害 +%d%%,464,,,0,3,0,8500,101,3,0,8500,101,3,0,8500,101,3,0,8500,101,3,0,8500,101,3,0,8500,101,3,0,8500,101,3,0,8500,101,3,0,8500,101,3,0,8500,101,20,0
603,成長處女座,1,6,3,1000000000,6,2,1,578,4500,,0,0,,,0,0,,,物理/魔法爆擊傷害,物理/魔法爆擊傷害 +%d%%,464,,,0,4,0,12500,101,4,0,12500,101,4,0,12500,101,4,0,12500,101,4,0,12500,101,4,0,12500,101,4,0,12500,101,4,0,12500,101,4,0,12500,101,4,0,12500,101,30,0
604,成長處女座,1,6,4,1000000000,6,3,1,578,4500,,0,0,,,0,0,,,物理/魔法爆擊傷害,物理/魔法爆擊傷害 +%d%%,464,,,0,5,0,16500,101,5,0,16500,101,5,0,16500,101,5,0,16500,101,5,0,16500,101,5,0,16500,101,5,0,16500,101,5,0,16500,101,5,0,16500,101,5,0,16500,101,40,0
605,成長處女座,1,6,5,1000000000,6,4,1,578,4500,,0,0,,,0,0,,,物理/魔法爆擊傷害,物理/魔法爆擊傷害 +%d%%,464,,,0,6,0,20500,101,6,0,20500,101,6,0,20500,101,6,0,20500,101,6,0,20500,101,6,0,20500,101,6,0,20500,101,6,0,20500,101,6,0,20500,101,6,0,20500,101,50,0
10101,幸運天秤座,2,107,1,2000000000,6,1,1,578,5000,,0,0,,,0,0,,,物理/魔法固定傷害 +,物理/魔法固定傷害 +%d,496,HP上限 %,HP上限 +%d%%,31,10101,10111,7000,101,10101,10111,7000,101,10101,10111,7000,101,10103,10113,28000,103,10101,10111,7000,101,10101,10111,7000,101,10101,10111,7000,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10201,幸運天蠍座,2,108,1,2000000000,107,1,1,578,5500,,0,0,,,0,0,,,所有能力值 +,所有能力值 +%d,455,所有能力值 %,所有能力值 +%d%%,456,10201,10211,7000,101,10201,10211,7000,101,10201,10211,7000,101,10201,10211,7000,101,10201,10211,7000,101,10201,10211,7000,101,10203,10213,28000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10301,幸運射手座,2,109,1,2000000000,108,1,1,578,6000,,0,0,,,0,0,,,武器攻擊力/屬性力 +,武器攻擊力/屬性力 +%d,586,武器攻擊力/屬性力%,武器攻擊力/屬性力 +%d%%,587,10301,10311,7000,101,10301,10311,7000,101,10301,10311,7000,101,10301,10311,7000,101,10301,10311,7000,101,10301,10311,7000,101,10303,10313,28000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10401,幸運摩羯座,2,110,1,2000000000,109,1,1,578,6500,,0,0,,,0,0,,,力量/魔力 +,力量/魔力 +%d,594,力量/魔力 %,力量/魔力 +%d%%,595,10401,10411,7000,101,10401,10411,7000,101,10402,10412,14000,102,10401,10411,7000,101,10402,10412,14000,102,10401,10411,7000,101,10402,10412,14000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10501,幸運水瓶座,2,111,1,2000000000,110,1,1,578,7000,,0,0,,,0,0,,,BOSS怪物額外傷害 +,BOSS怪物額外傷害 +%d,570,BOSS怪物支配力,BOSS怪物支配力 +%0.1F%%,574,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,10501,10511,7000,101,0,0
10601,幸運雙魚座,2,112,1,2000000000,111,1,1,578,7500,,0,0,,,0,0,,,普通怪物額外傷害 +,普通怪物額外傷害 +%d,566,普通怪物支配力,普通怪物支配力 +%0.1F%%,573,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,10601,10611,7000,101,0,0
