ID,_Descript,_AttendDay,_AccountAttend,_SpecialReward1,_SpecialReward2,_SpecialReward3,_SpecialReward4,_Reward1,_Reward2,_Reward3,_Reward4,_Reward5,_Reward6,_Reward7,_Reward8,_Reward9,_Reward10,_Reward11,_Reward12,_Reward13,_Reward14,_Reward15,_Reward16,_Reward17,_Reward18,_Reward19,_Reward20,_Reward21,_Reward22,_Reward23,_Reward24,_Reward25,_Reward26,_Reward27,_Reward28,_Reward29,_Reward30,_Reward31,_Reward32,_Reward33,_Reward34,_Reward35
23062601,活動期間內，只有上線即可獲得日日不一樣的獎勵！,19,1,23062601,23062604,23062607,23062610,23062601,23062602,23062603,23062604,23062605,23062606,23062607,23062608,23062609,23062610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23071301,活動期間內，只有上線即可獲得日日不一樣的獎勵！,16,1,23071304,23071306,23071308,23071310,23071301,23071302,23071303,23071304,23071305,23071306,23071307,23071308,23071309,23071310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23080901,活動期間內，只有上線即可獲得日日不一樣的獎勵！,15,1,23080901,23080904,23080907,23080910,23080901,23080902,23080903,23080904,23080905,23080906,23080907,23080908,23080909,23080910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23082401,活動期間內，只有上線即可獲得日日不一樣的獎勵！,30,1,23082405,23082410,23082415,23082420,23082401,23082402,23082403,23082404,23082405,23082406,23082407,23082408,23082409,23082410,23082411,23082412,23082413,23082414,23082415,23082416,23082417,23082418,23082419,23082420,23082421,23082422,23082423,23082424,23082425,0,0,0,0,0,0,0,0,0,0
23091901,活動期間內，只有上線即可獲得日日不一樣的獎勵！,11,1,23091904,23091906,23091908,0,23091901,23091902,23091903,23091904,23091905,23091906,23091907,23091908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23100501,活動期間內，只有上線即可獲得日日不一樣的獎勵！,20,1,23100503,23100507,23100511,23100515,23100501,23100502,23100503,23100504,23100505,23100506,23100507,23100508,23100509,23100510,23100511,23100512,23100513,23100514,23100515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23101801,活動期間內，只有上線即可獲得日日不一樣的獎勵！,30,1,23101805,23101810,23101815,23101820,23101801,23101802,23101803,23101804,23101805,23101806,23101807,23101808,23101809,23101810,23101811,23101812,23101813,23101814,23101815,23101816,23101817,23101818,23101819,23101820,23101821,23101822,23101823,23101824,23101825,0,0,0,0,0,0,0,0,0,0
23111701,活動期間內，只有上線即可獲得日日不一樣的獎勵！,31,1,23111705,23111710,23111715,23111720,23111701,23111702,23111703,23111704,23111705,23111706,23111707,23111708,23111709,23111710,23111711,23111712,23111713,23111714,23111715,23111716,23111717,23111718,23111719,23111720,23111721,23111722,23111723,23111724,23111725,0,0,0,0,0,0,0,0,0,0
23121201,活動期間內，只有上線即可獲得日日不一樣的獎勵！,17,1,23121205,23121210,0,0,23121201,23121202,23121203,23121204,23121205,23121206,23121207,23121208,23121209,23121210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24010501,活動期間內，只有上線即可獲得日日不一樣的獎勵！,14,1,24010501,24010504,24010507,24010510,24010501,24010502,24010503,24010504,24010505,24010506,24010507,24010508,24010509,24010510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24012301,活動期間內，只有上線即可獲得日日不一樣的獎勵！,28,1,24012305,24012310,24012315,24012320,24012301,24012302,24012303,24012304,24012305,24012306,24012307,24012308,24012309,24012310,24012311,24012312,24012313,24012314,24012315,24012316,24012317,24012318,24012319,24012320,24012321,24012322,24012323,24012324,24012325,0,0,0,0,0,0,0,0,0,0
24020501,活動期間內，只有上線即可獲得日日不一樣的獎勵！,31,1,24020505,24020510,24020515,24020520,24020501,24020502,24020503,24020504,24020505,24020506,24020507,24020508,24020509,24020510,24020511,24020512,24020513,24020514,24020515,24020516,24020517,24020518,24020519,24020520,24020521,24020522,24020523,24020524,24020525,24020526,0,0,0,0,0,0,0,0,0
24030701,活動期間內，只有上線即可獲得日日不一樣的獎勵！,17,1,24030707,24030714,0,0,24030701,24030702,24030703,24030704,24030705,24030706,24030707,24030708,24030709,24030710,24030711,24030712,24030713,24030714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24032601,活動期間內，只有上線即可獲得日日不一樣的獎勵！,14,1,24032605,24032610,0,0,24032601,24032602,24032603,24032604,24032605,24032606,24032607,24032608,24032609,24032610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24042501,活動期間內，只有上線即可獲得日日不一樣的獎勵！,18,1,24042503,24042506,24042510,0,24042501,24042502,24042503,24042504,24042505,24042506,24042507,24042508,24042509,24042510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24050901,活動期間內，只有上線即可獲得日日不一樣的獎勵！,12,1,24050907,0,0,0,24050901,24050902,24050903,24050904,24050905,24050906,24050907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24052001,活動期間內，只有上線即可獲得日日不一樣的獎勵！,30,1,24052005,24052010,24052015,24052020,24052001,24052002,24052003,24052004,24052005,24052006,24052007,24052008,24052009,24052010,24052011,24052012,24052013,24052014,24052015,24052016,24052017,24052018,24052019,24052020,24052021,24052022,24052023,24052024,24052025,0,0,0,0,0,0,0,0,0,0
24062001,活動期間內，只有上線即可獲得日日不一樣的獎勵！,10,1,24062007,0,0,0,24062001,24062002,24062003,24062004,24062005,24062006,24062007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24070101,活動期間內，只有上線即可獲得日日不一樣的獎勵！,29,1,24070107,24070114,24070121,0,24070101,24070102,24070103,24070104,24070105,24070106,24070107,24070108,24070109,24070110,24070111,24070112,24070113,24070114,24070115,24070116,24070117,24070118,24070119,24070120,24070121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
