ID,_Option_Group,_Option_Probability,_Name,_Option_Type,_Option_ID,_Option_Min,_Option_Max,_Unique_Check,_Probability_Txt,_Option_Txt,_Option_Order
25,10001,15,[4] 力量/魔力 %+d,1,594,150,700,0,1.5%,[4] 力量/魔力 %+d∼%+d,25
26,10001,5,[5] 力量/魔力 %+d,1,594,200,1500,0,0.5%,[5] 力量/魔力 %+d∼%+d,26
27,10001,60,[1] 所有能力值 %+d,1,455,7,70,0,6%,[1] 所有能力值 %+d∼%+d,27
28,10001,50,[2] 所有能力值 %+d,1,455,35,140,0,5%,[2] 所有能力值 %+d∼%+d,28
29,10001,35,[3] 所有能力值 %+d,1,455,70,250,0,3.5%,[3] 所有能力值 %+d∼%+d,29
30,10001,15,[4] 所有能力值 %+d,1,455,105,500,0,1.5%,[4] 所有能力值 %+d∼%+d,30
31,10001,7,[5] 所有能力值 %+d,1,455,140,1000,0,0.7%,[5] 所有能力值 %+d∼%+d,31
32,10002,0,[1] 固定傷害 %+d,1,496,10,150,2,-,[替代] 固定傷害 %+d∼%+d,1
33,10002,60,[1] 固定傷害 %+d,1,496,10,150,0,6%,[1] 固定傷害 %+d∼%+d,2
34,10002,50,[2] 固定傷害 %+d,1,496,50,300,0,5%,[2] 固定傷害 %+d∼%+d,3
35,10002,35,[3] 固定傷害 %+d,1,496,100,600,0,3.5%,[3] 固定傷害 %+d∼%+d,4
36,10002,15,[4] 固定傷害 %+d,1,496,250,1000,0,1.5%,[4] 固定傷害 %+d∼%+d,5
37,10002,7,[5] 固定傷害 %+d,1,496,400,3000,0,0.7%,[5] 固定傷害 %+d∼%+d,6
38,10002,60,[1] 武器攻擊力/屬性力 %+d,1,586,1,4,0,6%,[1] 武器攻擊力/屬性力 %+d∼%+d,7
39,10002,50,[2] 武器攻擊力/屬性力 %+d,1,586,2,7,0,5%,[2] 武器攻擊力/屬性力 %+d∼%+d,8
40,10002,35,[3] 武器攻擊力/屬性力 %+d,1,586,3,11,0,3.5%,[3] 武器攻擊力/屬性力 %+d∼%+d,9
41,10002,15,[4] 武器攻擊力/屬性力 %+d,1,586,4,16,0,1.5%,[4] 武器攻擊力/屬性力 %+d∼%+d,10
42,10002,7,[5] 武器攻擊力/屬性力 %+d,1,586,8,40,0,0.7%,[5] 武器攻擊力/屬性力 %+d∼%+d,11
43,10002,60,[1] 最小傷害 %+d%%,1,462,1,2,0,6%,[1] 最小傷害 %+d%%∼%+d%%,12
44,10002,50,[2] 最小傷害 %+d%%,1,462,1,4,0,5%,[2] 最小傷害 %+d%%∼%+d%%,13
45,10002,35,[3] 最小傷害 %+d%%,1,462,2,5,0,3.5%,[3] 最小傷害 %+d%%∼%+d%%,14
46,10002,15,[4] 最小傷害 %+d%%,1,462,2,8,0,1.5%,[4] 最小傷害 %+d%%∼%+d%%,15
47,10002,7,[5] 最小傷害 %+d%%,1,462,4,15,0,0.7%,[5] 最小傷害 %+d%%∼%+d%%,16
48,10002,60,[1] 最大傷害 %+d%%,1,461,1,2,0,6%,[1] 最大傷害 %+d%%∼%+d%%,17
49,10002,50,[2] 最大傷害 %+d%%,1,461,1,4,0,5%,[2] 最大傷害 %+d%%∼%+d%%,18
50,10002,35,[3] 最大傷害 %+d%%,1,461,2,5,0,3.5%,[3] 最大傷害 %+d%%∼%+d%%,19
51,10002,15,[4] 最大傷害 %+d%%,1,461,2,8,0,1.5%,[4] 最大傷害 %+d%%∼%+d%%,20
52,10002,7,[5] 最大傷害 %+d%%,1,461,4,15,0,0.7%,[5] 最大傷害 %+d%%∼%+d%%,21
53,10002,60,[1] 爆擊傷害 %+d%%,1,464,1,2,0,6%,[1] 爆擊傷害 %+d%%∼%+d%%,22
54,10002,50,[2] 爆擊傷害 %+d%%,1,464,1,4,0,5%,[2] 爆擊傷害 %+d%%∼%+d%%,23
55,10002,35,[3] 爆擊傷害 %+d%%,1,464,2,5,0,3.5%,[3] 爆擊傷害 %+d%%∼%+d%%,24
56,10002,15,[4] 爆擊傷害 %+d%%,1,464,2,8,0,1.5%,[4] 爆擊傷害 %+d%%∼%+d%%,25
57,10002,5,[5] 爆擊傷害 %+d%%,1,464,4,15,0,0.5%,[5] 爆擊傷害 %+d%%∼%+d%%,26
58,10002,60,[1] 背後攻擊傷害 %+d%%,1,494,1,3,0,6%,[1] 背後攻擊傷害 %+d%%∼%+d%%,27
59,10002,50,[2] 背後攻擊傷害 %+d%%,1,494,2,6,0,5%,[2] 背後攻擊傷害 %+d%%∼%+d%%,28
60,10002,35,[3] 背後攻擊傷害 %+d%%,1,494,3,8,0,3.5%,[3] 背後攻擊傷害 %+d%%∼%+d%%,29
61,10002,15,[4] 背後攻擊傷害 %+d%%,1,494,4,12,0,1.5%,[4] 背後攻擊傷害 %+d%%∼%+d%%,30
62,10002,7,[5] 背後攻擊傷害 %+d%%,1,494,7,25,0,0.7%,[5] 背後攻擊傷害 %+d%%∼%+d%%,31
63,10009,0,[1] 移動速度 %+d%%,1,106,1,5,2,-,[替代] 移動速度 %+d%%∼%+d%%,1
644,10010,0,[1] 物理/魔法傷害減少 %+d,1,495,1,30,2,-,[替代] 物理/魔法傷害減少 %+d∼%+d,1
688,10011,0,[1] BOSS怪物額外傷害 %+d,1,570,1,100,2,-,[替代] BOSS怪物額外傷害 %+d∼%+d,1
723,10012,0,[1] 普通怪物額外傷害 %+d,1,566,1,100,2,-,[替代] 普通怪物額外傷害 %+d∼%+d,1
64,10010,5,[S] 昇天擊 %+dLv.,3,1210005,1,5,1,1.28%,[天之王者] 昇天擊 %+dLv.∼%+dLv.,2
65,10009,5,[S] 狂風斬 %+dLv.,3,1212005,1,5,1,1.28%,[天之王者] 狂風斬 %+dLv.∼%+dLv.,3
66,10010,5,[S] 天破俠亂 %+dLv.,3,1211005,1,5,1,1.28%,[天之王者] 天破俠亂 %+dLv.∼%+dLv.,3
67,10010,5,[S] 龍槍(風) %+dLv.,3,1109107,1,5,1,1.28%,[天之王者] 龍槍(風) %+dLv.∼%+dLv.,5
68,10010,5,[S] 威力穿刺 %+dLv.,3,1210007,1,5,1,1.28%,[天之王者] 威力穿刺 %+dLv.∼%+dLv.,6
69,10011,5,[S] 閃電長矛 %+dLv.,3,1212007,1,5,1,1.28%,[天之王者] 閃電長矛 %+dLv.∼%+dLv.,4
70,10009,5,[S] 嗜魂刃 %+dLv.,3,1210021,1,5,1,1.28%,[幻武劍豪] 嗜魂刃 %+dLv.∼%+dLv.,8
71,10010,5,[S] 十字劍 %+dLv.,3,1109021,1,5,1,1.28%,[幻武劍豪] 十字劍 %+dLv.∼%+dLv.,8
72,10011,5,[S] 逃遁 %+dLv.,3,1210104,1,5,1,1.28%,[幻武劍豪] 逃遁 %+dLv.∼%+dLv.,7
73,10011,5,[S] 防禦突刺 %+dLv.,3,1109304,1,5,1,1.28%,[創世主] 防禦突刺 %+dLv.∼%+dLv.,8
74,10011,5,[S] 劍氣波 %+dLv.,3,1210004,1,5,1,1.28%,[創世主] 劍氣波 %+dLv.∼%+dLv.,9
75,10010,5,[S] 十字審判 %+dLv.,3,1211004,1,5,1,1.28%,[創世主] 十字審判 %+dLv.∼%+dLv.,10
76,10009,5,[S] 颱風鎚 %+dLv.,3,1109406,1,5,1,1.28%,[創世主] 颱風鎚 %+dLv.∼%+dLv.,13
77,10010,5,[S] 天降制裁 %+dLv.,3,1211006,1,5,1,1.28%,[創世主] 天降制裁 %+dLv.∼%+dLv.,13
78,10011,5,[S] 威力襲捲 %+dLv.,3,1210006,1,5,1,1.28%,[創世主] 威力襲捲 %+dLv.∼%+dLv.,11
79,10009,5,[S] 天龍腳III %+dLv.,3,1107001,1,5,1,1.28%,[諸神使者] 天龍腳III %+dLv.∼%+dLv.,15
80,10011,5,[S] 旋風腳 %+dLv.,3,1212002,1,5,1,1.28%,[諸神使者] 旋風腳 %+dLv.∼%+dLv.,14
81,10010,5,[S] 真空拳 %+dLv.,3,1109201,1,5,1,1.28%,[諸神使者] 真空拳 %+dLv.∼%+dLv.,16
82,10011,5,[S] 冰矢漫舞 %+dLv.,3,2008006,1,5,1,1.28%,[大毀滅者] 冰矢漫舞 %+dLv.∼%+dLv.,17
83,10010,5,[S] 風庇護 %+dLv,3,2106002,1,5,1,1.28%,[大毀滅者] 風庇護 %+dLv.∼%+dLv.,19
84,10011,5,[S] 天龍牙 %+dLv,3,2106001,1,5,1,1.28%,[大毀滅者] 天龍牙 %+dLv.∼%+dLv.,18
85,10009,5,[S] 火焰地獄 %+dLv,3,2211103,1,5,1,1.28%,[大毀滅者] 火焰地獄 %+dLv.∼%+dLv.,19
86,10010,5,[S] 集體死亡 %+dLv.,3,3001016,1,5,1,1.28%,[流行天王] 集體死亡 %+dLv.∼%+dLv.,23
87,10011,5,[S] 魔音傳腦 %+dLv.,3,1210023,1,5,1,1.28%,[流行天王] 魔音傳腦 %+dLv.∼%+dLv.,21
88,10009,5,[S] 音符地獄 %+dLv.,3,1108001,1,5,1,1.28%,[流行天王] 音符地獄 %+dLv.∼%+dLv.,22
89,10010,5,[S] 短刃狂熱 %+dLv.,3,1107033,1,5,1,1.28%,[風之潛行者] 短刃狂熱 %+dLv.∼%+dLv.,25
90,10009,5,[S] 快影飛刀 %+dLv.,3,1210003,1,5,1,1.28%,[風之潛行者] 快影飛刀 %+dLv.∼%+dLv.,24
91,10011,5,[S] 急襲 %+dLv.,3,1107023,1,5,1,1.28%,[風之潛行者] 急襲 %+dLv.∼%+dLv.,23
92,10009,5,[S] 光亮箭 %+dLv.,3,1108008,1,5,1,1.28%,[風之潛行者] 光亮箭 %+dLv.∼%+dLv.,27
93,10010,5,[S] 多重箭III %+dLv.,3,1104018,1,5,1,1.28%,[風之潛行者] 多重箭III %+dLv.∼%+dLv.,27
94,10011,5,[S] 箭伏 %+dLv.,3,1210008,1,5,1,1.28%,[風之潛行者] 箭伏 %+dLv.∼%+dLv.,25
95,10009,5,[S] 次元砲 %+dLv.,3,1106009,1,5,1,1.28%,[風之潛行者] 次元砲 %+dLv.∼%+dLv.,29
96,10009,5,[S] 爆擊狂嘯 %+dLv.,3,1107019,1,5,1,1.28%,[風之潛行者] 爆擊狂嘯 %+dLv.∼%+dLv.,30
97,10010,5,[S] 浴火鳳凰 %+dLv.,3,1109009,1,5,1,1.28%,[風之潛行者] 浴火鳳凰 %+dLv.∼%+dLv.,30
98,10011,5,[S] 毀滅炸彈 %+dLv.,3,1210020,1,5,1,1.28%,[裁決射手] 毀滅炸彈 %+dLv.∼%+dLv.,30
99,10011,5,[S] 機關掃射 %+dLv.,3,1105020,1,5,1,1.28%,[裁決射手] 機關掃射 %+dLv.∼%+dLv.,31
100,10009,5,[S] 破壞地牢 %+dLv.,3,1108020,1,5,1,1.28%,[裁決射手] 破壞地牢 %+dLv.∼%+dLv.,32
101,10010,5,[S] 火神砲 %+dLv.,3,1109022,1,5,1,1.28%,[究極兵甲] 火神砲 %+dLv.∼%+dLv.,34
102,10011,5,[S] 冷光砲彈 %+dLv.,3,1210022,1,5,1,1.28%,[究極兵甲] 冷光砲彈 %+dLv.∼%+dLv.,32
103,10009,5,[S] 遠距掃射 %+dLv.,3,1212022,1,5,1,1.28%,[究極兵甲] 遠距掃射 %+dLv.∼%+dLv.,35
104,10009,5,[S] 靈魂大師IV %+dLv.,3,1210036,1,5,1,1.28%,[弒魂者] 靈魂大師IV %+dLv.∼%+dLv.,37
105,10010,5,[S] 靈魂大師II %+dLv.,3,1102033,1,5,1,1.28%,[弒魂者] 靈魂大師II %+dLv.∼%+dLv.,36
106,10011,5,[S] 靈魂大師III %+dLv.,3,1103033,1,5,1,1.28%,[弒魂者] 靈魂大師III %+dLv.∼%+dLv.,34
107,10011,5,[S] 底牌 %+dLv.,3,1311049,1,5,1,1.28%,[弧形大師] 底牌 %+dLv.∼%+dLv.,36
108,10009,5,[S] 野蠻卡片 %+dLv.,3,1310049,1,5,1,1.28%,[弧形大師] 野蠻卡片 %+dLv.∼%+dLv.,39
109,10010,5,[S] 毀滅 %+dLv.,3,1311052,1,5,1,1.28%,[弧形大師] 毀滅 %+dLv.∼%+dLv.,38
110,10010,5,[S] [方塊] 粉碎 %+dLv.,3,1311051,1,5,1,1.28%,[暴力大師] [方塊] 粉碎 %+dLv.∼%+dLv.,40
111,10011,5,[S] [黑桃] 特技踢 %+dLv.,3,1313250,1,5,1,1.28%,[暴力大師] [黑桃] 特技踢 %+dLv.∼%+dLv.,38
112,10011,5,[S] [黑桃] 光線雷射 %+dLv.,3,1312546,1,5,1,1.28%,[暴力大師] [黑桃] 光線雷射 %+dLv.∼%+dLv.,39
113,10009,5,[S] 破壞的影子 %+dLv.,3,1410056,1,5,1,1.28%,[闇影武士] 破壞的影子 %+dLv.∼%+dLv.,46
114,10010,5,[S] 憤怒的影子III %+dLv.,3,1412055,1,5,1,1.28%,[闇影武士] 憤怒的影子III %+dLv.∼%+dLv.,45
115,10011,5,[S] 瘋狂之影III %+dLv.,3,1415055,1,5,1,1.28%,[闇影武士] 瘋狂之影III %+dLv.∼%+dLv.,41
116,10009,5,[S] 影子之劍III %+dLv.,3,1416055,1,5,1,1.28%,[闇影武士] 影子之劍III %+dLv.∼%+dLv.,45
117,10010,5,[S] 影子之舞III %+dLv.,3,1417055,1,5,1,1.28%,[闇影武士] 影子之舞III %+dLv.∼%+dLv.,43
118,10011,5,[S] 影子刀刃 %+dLv.,3,1411056,1,5,1,1.28%,[闇影武士] 影子刀刃 %+dLv.∼%+dLv.,40
119,10011,5,[S] 光爆進擊 %+dLv.,3,1760101,1,5,1,1.28%,[混血天神] 光爆進擊 %+dLv.∼%+dLv.,43
120,10011,5,[S] 聖魔錮殺 %+dLv.,3,1760102,1,5,1,1.28%,[混血天神] 聖魔錮殺 %+dLv.∼%+dLv.,44
121,10009,5,[S] 神魔掃殺 %+dLv.,3,1759109,1,5,1,1.28%,[混血天神] 神魔掃殺 %+dLv.∼%+dLv.,48
122,10009,5,[S] 岩漿爆發 %+dLv.,3,1801308,1,5,1,1.28%,[炙焰天] 岩漿爆發 %+dLv.∼%+dLv.,50
123,10011,5,[S] 但丁地獄 %+dLv.,3,1801312,1,5,1,1.28%,[炙焰天] 但丁地獄 %+dLv.∼%+dLv.,46
124,10010,5,[S] 岩漿爆焱 %+dLv.,3,1801309,1,5,1,1.28%,[炙焰天] 岩漿爆焱 %+dLv.∼%+dLv.,49
125,10009,5,[S] 三重連爆 %+dLv.,3,1802312,1,5,1,1.28%,[黑暗追擊者] 三重連爆 %+dLv.∼%+dLv.,53
126,10011,5,[S] 劍氣揚塵 %+dLv.,3,1802315,1,5,1,1.28%,[黑暗追擊者] 劍氣揚塵 %+dLv.∼%+dLv.,49
127,10011,5,[S] 紊亂無章 %+dLv.,3,1802313,1,5,1,1.28%,[黑暗追擊者] 紊亂無章 %+dLv.∼%+dLv.,50
128,10011,5,[S] 螺旋加壓 %+dLv.,3,1002023,1,5,1,1.28%,[魂之勇者] 螺旋加壓 %+dLv.∼%+dLv.,57
129,10011,5,[S] 螺旋爆發 %+dLv.,3,1003023,1,5,1,1.28%,[魂之勇者] 螺旋爆發 %+dLv.∼%+dLv.,58
130,10010,5,[S] 螺旋石 %+dLv.,3,1001023,1,5,1,1.28%,[魂之勇者] 螺旋石 %+dLv.∼%+dLv.,59
131,10011,5,[S] 飛燕破天 %+dLv.,3,1003024,1,5,1,1.28%,[劍刃舞者] 飛燕破天 %+dLv.∼%+dLv.,59
132,10011,5,[S] 飛燕雙擊 %+dLv.,3,1011024,1,5,1,1.28%,[劍刃舞者] 飛燕雙擊 %+dLv.∼%+dLv.,60
133,10010,5,[S] 飛燕滅天功 %+dLv.,3,1005024,1,5,1,1.28%,[劍刃舞者] 飛燕滅天功 %+dLv.∼%+dLv.,60
134,10010,5,[S] 電流潰堤 %+dLv.,3,2402601,1,5,1,1.28%,[恐懼騎士] 電流潰堤 %+dLv.∼%+dLv.,62
135,10011,5,[S] 耗盡元氣 %+dLv.,3,1001025,1,5,1,1.28%,[恐懼騎士] 耗盡元氣 %+dLv.∼%+dLv.,61
136,10011,5,[S] 死亡之手 %+dLv.,3,1003025,1,5,1,1.28%,[恐懼騎士] 死亡之手 %+dLv.∼%+dLv.,62
137,10010,5,[S] [近身短打] 組合拳 %+dLv.,3,1005026,1,5,1,1.28%,[鬥神] [近身短打] 組合拳 %+dLv.∼%+dLv.,64
138,10011,5,[S] [迅風快擊] 氣功 %+dLv.,3,2402705,1,5,1,1.28%,[鬥神] [迅風快擊] 氣功 %+dLv.∼%+dLv.,64
139,10009,5,[S] [迅風快擊] 波擊 %+dLv.,3,1002026,1,5,1,1.28%,[鬥神] [迅風快擊] 波擊 %+dLv.∼%+dLv.,64
140,10010,5,[S] 魔王血統[泣] %+dLv.,3,2402802,1,5,1,1.28%,[幻術師] 魔王血統[泣] %+dLv.∼%+dLv.,65
141,10011,5,[S] 魔王血統[杖擊] %+dLv.,3,1011027,1,5,1,1.28%,[幻術師] 魔王血統[杖擊] %+dLv.∼%+dLv.,65
142,10009,5,[S] 魔王血統[三斬] %+dLv.,3,2402803,1,5,1,1.28%,[幻術師] 魔王血統[三斬] %+dLv.∼%+dLv.,66
143,10011,5,[S] [召喚] 打擊樂 %+dLv.,3,2402903,1,5,1,1.28%,[音樂大師] [召喚] 打擊樂 %+dLv.∼%+dLv.,67
144,10010,5,[S] [召喚] 小號 %+dLv.,3,2402902,1,5,1,1.28%,[音樂大師] [召喚] 小號 %+dLv.∼%+dLv.,67
145,10009,5,[S] [召喚] 氣勢磅礡 %+dLv.,3,1011028,1,5,1,1.28%,[音樂大師] [召喚] 氣勢磅礡 %+dLv.∼%+dLv.,68
146,10009,5,[S] 忍法_誣 %+dLv.,3,1002029,1,5,1,1.28%,[忍者大師] 忍法_誣 %+dLv.∼%+dLv.,70
147,10011,5,[S] 忍法_攪 %+dLv.,3,2403004,1,5,1,1.28%,[忍者大師] 忍法_攪 %+dLv.∼%+dLv.,69
148,10010,5,[S] 忍法_幻 %+dLv.,3,2403003,1,5,1,1.28%,[忍者大師] 忍法_幻 %+dLv.∼%+dLv.,70
149,10009,5,[S] 合體能力 %+dLv.,3,1004030,1,5,1,1.28%,[審判者] 合體能力 %+dLv.∼%+dLv.,72
150,10010,5,[S] 直搗天際 %+dLv.,3,1010030,1,5,1,1.28%,[審判者] 直搗天際 %+dLv.∼%+dLv.,71
151,10009,5,[S] 狙擊 %+dLv.,3,1000030,1,5,1,1.28%,[審判者] 狙擊 %+dLv.∼%+dLv.,73
152,10009,5,[S] DM-DR %+dLv.,3,1005031,1,5,1,1.28%,[改造大師] DM-DR %+dLv.∼%+dLv.,74
153,10010,5,[S] DS-MT %+dLv.,3,2403202,1,5,1,1.28%,[改造大師] DS-MT %+dLv.∼%+dLv.,73
154,10011,5,[S] DS-SL %+dLv.,3,1010031,1,5,1,1.28%,[改造大師] DS-SL %+dLv.∼%+dLv.,73
155,10010,5,[S] 綠寶石[綠] %+dLv.,3,2406904,1,5,1,1.28%,[寶石之星] 綠寶石[綠] %+dLv.∼%+dLv.,74
156,10011,5,[S] 魔法寶石陣[紫] %+dLv.,3,2406905,1,5,1,1.28%,[寶石之星] 魔法寶石陣[紫] %+dLv.∼%+dLv.,75
157,10011,5,[S] 芙尼克斯[彩虹] %+dLv.,3,2406908,1,5,1,1.28%,[寶石之星] 芙尼克斯[彩虹] %+dLv.∼%+dLv.,76
158,10004,0,[1] 經驗值獲得量 %+d%%,1,124,1,10,2,-,[替代] 經驗值獲得量 %+d%%∼%+d%%,1
159,10004,60,[1] 經驗值獲得量 %+d%%,1,124,1,10,0,35.93%,[1] 經驗值獲得量 %+d%%∼%+d%%,2
160,10004,50,[2] 經驗值獲得量 %+d%%,1,124,3,20,0,29.94%,[2] 經驗值獲得量 %+d%%∼%+d%%,3
161,10004,35,[3] 經驗值獲得量 %+d%%,1,124,5,30,0,20.96%,[3] 經驗值獲得量 %+d%%∼%+d%%,4
162,10004,15,[4] 經驗值獲得量 %+d%%,1,124,7,40,0,8.98%,[4] 經驗值獲得量 %+d%%∼%+d%%,5
163,10004,7,[5]經驗值獲得量 %+d%%,1,124,10,50,0,4.19%,[5] 經驗值獲得量 %+d%%∼%+d%%,6
164,20001,0,[1] 幸運 %+d%%,1,19,1,1,2,-,[替代] 幸運 %+d%%∼%+d%%,1
165,20001,100,[1] 防禦力 %+d%%,1,217,1,2,0,10%,[1] 防禦力 %+d%%∼%+d%%,2
166,20001,60,[2] 防禦力 %+d%%,1,217,2,5,0,6%,[2] 防禦力 %+d%%∼%+d%%,3
167,20001,22,[3] 防禦力 %+d%%,1,217,3,9,0,2.2%,[3] 防禦力 %+d%%∼%+d%%,4
168,20001,100,[1] 體力 %+d%%,1,27,1,2,0,10%,[1] 體力 %+d%%∼%+d%%,5
169,20001,50,[2] 體力 %+d%%,1,27,2,4,0,5%,[2] 體力 %+d%%∼%+d%%,6
170,20001,17,[3] 體力 %+d%%,1,27,3,6,0,1.7%,[3] 體力 %+d%%∼%+d%%,7
171,20001,100,[1] 幸運 %+d%%,1,19,1,2,0,10%,[1] 幸運 %+d%%∼%+d%%,8
172,20001,50,[2] 幸運 %+d%%,1,19,2,4,0,5%,[2] 幸運 %+d%%∼%+d%%,9
173,20001,17,[3] 幸運 %+d%%,1,19,3,6,0,1.7%,[3] 幸運 %+d%%∼%+d%%,10
174,20001,100,[1] 抗力 %+d%%,1,71,1,2,0,10%,[1] 抗力 %+d%%∼%+d%%,11
175,20001,50,[2] 抗力 %+d%%,1,71,2,5,0,5%,[2] 抗力 %+d%%∼%+d%%,12
176,20001,17,[3] 抗力 %+d%%,1,71,3,9,0,1.7%,[3] 抗力 %+d%%∼%+d%%,13
177,20001,100,[1] 力量/魔力 %+d%%,1,595,1,2,0,10%,[1] 力量/魔力 %+d%%∼%+d%%,14
178,20001,50,[2] 力量/魔力 %+d%%,1,595,2,4,0,5%,[2] 力量/魔力 %+d%%∼%+d%%,15
179,20001,17,[3] 力量/魔力 %+d%%,1,595,3,6,0,1.7%,[3] 力量/魔力 %+d%%∼%+d%%,16
180,20001,100,[1] 所有能力值 %+d%%,1,456,1,1,0,10%,[1] 所有能力值 %+d%%∼%+d%%,17
181,20001,40,[2] 所有能力值 %+d%%,1,456,1,3,0,4%,[2] 所有能力值 %+d%%∼%+d%%,18
182,20001,10,[3] 所有能力值 %+d%%,1,456,2,5,0,1%,[3] 所有能力值 %+d%%∼%+d%%,19
183,20002,0,[1] 固定傷害 %+d%%,1,588,1,1,2,-,[替代] 固定傷害 %+d%%∼%+d%%,1
184,20002,50,[1] 固定傷害 %+d%%,1,588,1,1,0,5.13%,[1] 固定傷害 %+d%%∼%+d%%,2
185,20002,25,[2] 固定傷害 %+d%%,1,588,2,4,0,2.57%,[2] 固定傷害 %+d%%∼%+d%%,3
186,20002,8,[3] 固定傷害 %+d%%,1,588,3,8,0,0.82%,[3] 固定傷害 %+d%%∼%+d%%,4
187,20002,50,[1] 武器攻擊力/屬性力 %+d%%,1,587,1,1,0,5.13%,[1] 武器攻擊力/屬性力 %+d%%∼%+d%%,5
188,20002,25,[2] 武器攻擊力/屬性力 %+d%%,1,587,1,3,0,2.57%,[2] 武器攻擊力/屬性力 %+d%%∼%+d%%,6
189,20002,8,[3] 武器攻擊力/屬性力 %+d%%,1,587,2,6,0,0.82%,[3] 武器攻擊力/屬性力 %+d%%∼%+d%%,7
190,20002,50,[1] 最終最小傷害 %+d%%,1,590,1,1,0,5.13%,[1] 最終最小傷害 %+d%%∼%+d%%,8
191,20002,25,[2] 最終最小傷害 %+d%%,1,590,1,2,0,2.57%,[2] 最終最小傷害 %+d%%∼%+d%%,9
192,20002,8,[3] 最終最小傷害 %+d%%,1,590,1,3,0,0.82%,[3] 最終最小傷害 %+d%%∼%+d%%,10
193,20002,50,[1] 最終最大傷害 %+d%%,1,591,1,1,0,5.13%,[1] 最終最大傷害 %+d%%∼%+d%%,11
194,20002,25,[2] 最終最大傷害 %+d%%,1,591,1,2,0,2.57%,[2] 最終最大傷害 %+d%%∼%+d%%,12
195,20002,8,[3] 最終最大傷害 %+d%%,1,591,1,3,0,0.82%,[3] 最終最大傷害 %+d%%∼%+d%%,13
196,20002,50,[1] 最終爆擊傷害 %+d%%,1,592,1,1,0,5.13%,[1] 最終爆擊傷害 %+d%%∼%+d%%,14
197,20002,20,[2] 最終爆擊傷害 %+d%%,1,592,1,2,0,2.05%,[2] 最終爆擊傷害 %+d%%∼%+d%%,15
198,20002,6,[3] 最終爆擊傷害 %+d%%,1,592,1,3,0,0.62%,[3] 最終爆擊傷害 %+d%%∼%+d%%,16
199,20002,50,[1] 爆擊率 %+d%%,1,465,1,1,0,5.13%,[1] 爆擊率 %+d%%∼%+d%%,17
200,20002,25,[2] 爆擊率 %+d%%,1,465,1,2,0,2.57%,[2] 爆擊率 %+d%%∼%+d%%,18
201,20002,8,[3] 爆擊率 %+d%%,1,465,1,3,0,0.82%,[3] 爆擊率 %+d%%∼%+d%%,19
202,20002,25,[1] 命中率 %+d%%,1,466,2,10,0,2.57%,[1] 命中率 %+d%%∼%+d%%,20
