ID,_Description,_DelayTime0,_Sound0,_Loop0,_DelayTime1,_Sound1,_Loop1,_DelayTime2,_Sound2,_Loop2,_DelayTime3,_Sound3,_Loop3,_DelayTime4,_Sound4,_Loop4,_DelayTime5,_Sound5,_Loop5,_DelayTime6,_Sound6,_Loop6,_DelayTime7,_Sound7,_Loop7,_DelayTime8,_Sound8,_Loop8,_DelayTime9,_Sound9,_Loop9,_DelayTime10,_Sound10,_Loop10
26,[???] ??? ??,0,[Mon_001_28]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
27,[???] ?? ??,0,[Mon_001_57]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
28,[???] ??? ??,0,[Mon_001_01]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
29,[???] ??? ?? ??,0,[Mon_001_04]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
30,[???] ??G ??,0,[Mon_001_04]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
31,[???] ?? ??,0,[Mon_001_09]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
32,[???] ?? ??,0,[Mon_001_56]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
33,[???] ??? ?? ??,0,[Mon_001_31]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
34,[???] ??? ??,0,[Mon_001_30]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
35,[???] ??? ??,0,[Mon_001_54]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
36,[???] ??? ??,0,[Mon_001_03]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
37,[???] ???? ??,0,[Mon_001_04]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
38,[???] ?? ??,0,[Mon_001_34]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
39,[???] ??? ?? ??,0,[Mon_001_36]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
40,[???] ?? ??,0,[Mon_001_21]_Skill01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
41,[???] ?? ??? ??1,0,[Mon_001_21]_Skill01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
42,[???] ?? ??? ??,0,[Mon_001_58]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
43,[???] ?? ??,0,[Mon_001_58]_Skill01_01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
44,[??] ???,0,[Skill]_skill05.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
45,[??] ???,0,[Skill]_skill07.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
46,[??] ?? ??,0,[Skill]_skill06.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
47,[??] ????,0,[Skill]_skill01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
48,[??] ?? ???,5,[Skill]_skill13.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
49,[??] ?? ???,0,[Skill]_skill17.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
50,[??] ??? ??,5,[Skill]_skill14.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
51,[??] ?? ???,2,[Skill]_skill20.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
52,[??] ??? ?,0,[Skill]_skill23.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
53,"[???] ?, ??? ??? ?? ?? ?? ??",0,[System]_Attention_Window.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
54,[???] ?? ??? ?? // ??? ???? ???,0,[System]_Button_Click.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
55,"[???] ???, ?? ????? ??? ???? ??? ???? ? ??",0,[System]_Icon_Drop.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
56,[???] ?? ??? ?? // ???? ???? ????? ??,0,[System]_Button_MouseON.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
57,[???] ???? ??? ????? ??? ???? ? ???,0,[System]_Money.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
58,[???] ?? ?? ?? // ?? ??? ???,0,[System]_Close_Window.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
59,"[???] ???, ?? ????? ??? ????? ??? ? ?? ?? ??",0,[System]_Icon_MoveFail.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
60,[???] ??? ????? ????? ??? ? ??,0,[System]_ScreenShot.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
61,[??] ???,5,[Skill]_skill10.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
62,[??] ????,2,[Skill]_skill01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
63,[??] ??? ???,0,[Skill]_skill21.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
64,[??] ??? ??,0,[Skill]_support09.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
65,[???] ??? ???,0,[System]_clear_quest.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
66,[???] ?? ??? ???,0,[Chara]_BeAttack02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
67,[???] SP ?? ??? ??,0,[System]_SP_Item_use.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
68,[???] HP ?? ??? ??,0,[System]_HP_Item_use.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
69,[???] ??? ??,0,[System]_Skill_Get.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
70,[??] ???,0,[Skill]_skill25.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
71,[??] ???,0,[Skill]_skill19.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
72,[??] ??? ??,0,[Skill]_skill26.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
73,[??] W.????,0,[Skill]_skill27.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
74,[??] ??? ???,0,[Skill]_skill28.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
75,[??] ??? ???,0,[Skill]_skill29.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
76,[??] ???? ??,5,[Skill]_skill15.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
77,[??] ?? ???,0,[Skill]_skill30.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
78,[??] W.????,0,[Skill]_skill24.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
79,[??] ???,5,[Skill]_skill71.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
80,[??] ???? ??,5,[Skill]_skill31.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
81,[??] ??? ???,0,[Skill]_skill16.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
82,[???] ???? ????,0,[System]_player_invite.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
83,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
84,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
85,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
86,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
87,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
88,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
89,[??] ??(??),0,[Skill]_sapzil.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
90,[??] ??,0,[Skill]_skill32.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
91,[??] ????,0,[Skill]_skill33.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
92,[??] ?????,0,[Skill]_skill34.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
93,[??] ????,0,[Skill]_skill35.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
94,[??] ????,0,[Skill]_skill36.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
95,[??] ??,0,[Skill]_skill37.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
96,[??] ????,0,[Skill]_skill38.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
97,[??] ????,0,[Skill]_skill39.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
98,[????] CBT ????,0,[Emot]_CBT.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
99,[????] ?? ?? ??,0,[Emot]_Mon_Tras.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
100,[???] ??? ???!!!!,10,[OBJ]_Dae_Po.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
101,[??] ???,0,[Skill]_backdash.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
102,[??] ??,0,[Skill]_skill40.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
103,[??] ???,0,[Skill]_skill41.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
104,[??] ???,0,[Skill]_skill42.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
105,[??] ??????,0,[Skill]_skill43.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
106,[??] ????,0,[Skill]_skill44.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
107,[??] ????,0,[Skill]_skill45.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
108,[??] ??????,0,[Skill]_skill46.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
109,[??] ?????,0,[Skill]_skill47.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
110,[??] ??????,0,[Skill]_skill48.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
111,[??] ???????,0,[Skill]_skill49.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
112,[??] ????,0,[Skill]_skill50.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
113,[??] ????,0,[Skill]_skill51.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
114,[??] ??????,0,[Skill]_skill52.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
115,[??] ????,0,[Skill]_skill53.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
116,[??] ????,0,[Skill]_skill54.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
117,[??] ?????,0,[Skill]_skill55.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
118,[??] ??,0,[Skill]_skill56.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
119,[??] ????,0,[Skill]_skill57.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
120,[??] ???????,0,[Skill]_skill58.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
121,[??] ????,0,[Skill]_skill59.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
122,[??] ??????,0,[Skill]_skill60.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
123,[??] ???????,0,[Skill]_skill61.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
124,[??] ?????,0,[Skill]_skill62.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
125,[??] ?????,0,[Skill]_skill63.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
126,[??] ???,0,[Skill]_skill64.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
127,[??] ??????,0,[Skill]_skill65.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
128,[??] ????,0,[Skill]_skill66.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
129,[??] ?????,0,[Skill]_skill67.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
130,[???] ??? ???,0,[OBJ]_Random_Door.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
131,[???] ???? ??,0,[Mon_001_44]_Skill01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
132,[???] ???? ??,0,[Mon_001_44]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
133,[???] ???? ????,0,[Mon_001_44]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
134,[???] ???? ??,0,[Mon_001_03]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
135,[???] ???? ??,0,[Mon_001_03]_Skill01.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
136,[??] ?? ?? ????1,0,[Skill]_buff1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
137,[??] ?? ??? ??,0,[Skill]_buffup1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
138,[??] ?? ??? ??,0,[Skill]_buffdn1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
139,[??] ????,4,[Skill]_fireon.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
140,[??] ??,0,[Skill]_thunder02.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
141,[???] ?? : ??? ???,0,[Chara]_Attack_Staff_melee1.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
142,[???] ?? : ??? ???,0,[Chara]_Attack_Staff_charge.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
143,[???] ?? : ??? 1?? ???,0,[Chara]_Attack_Staff_charge.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
144,[???] ?? : ??? 2?? ???,0,[Chara]_Attack_Staff_charge.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
145,[???] ?? : ??? 3?? ???,0,[Chara]_Attack_Staff_charge.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
146,[???] ?? : ??? 4?? ???,0,[Chara]_Attack_Staff_charge.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
147,[???] ??? ???,0,[Trap]_Spike.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
148,[???] ??? ???,0,[Trap]_Spark.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
149,[??] ??(???),3,[Skill]_mining.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
150,[??] ????,0,[Skill]_skill68.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
151,[??] ?????,0,[Skill]_skill69.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
152,[??] ?????,0,[Skill]_skill70.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
153,[???] ?? ??,0,[Mon_001_52]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
154,[???] ????? ??,0,[Mon_001_52]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
155,[???] ??? ??,0,[Mon_001_54]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
156,[???] ???? ??,0,[Mon_001_46]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
157,[???] ??? ??,0,[Mon_001_51]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
158,[???] ????? ??,0,[Mon_001_56]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
159,[???] ??? ??,0,[Mon_001_55]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
160,[???] ?????? ??,0,[Mon_001_57]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
161,[???] ??? ??,0,[Mon_001_58]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
162,[???] ?????? ??,0,[Mon_001_45]_Dead.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
163,[???] ??? ?? / ???,0,[Mon_001_00]_Public_Jump04.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
164,[???] ??? ??,0,[Mon_001_51]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
165,[???] ??? ??? ??,0,[Mon_001_01]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
166,[???] ??? ??? ??,0,[Mon_001_01]_BeAttack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
167,[???] ??G ??? ??,0,[Mon_001_02]_Attack.wav,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
