ID,_Check,_Des
242,1015,???? ?? ? ?? ?? 4
243,,???? ?? ? ?? ?? 5
248,390000,?? ???? ?? Stat 341 1??
249,390001,?? ???? ?? Stat 342 1??
250,390002,?? ???? ?? Stat 343 1??
251,390003,??? ???? ?? Stat 344 1??
252,,? ???? ?? Stat 346 1??
253,390005,?? ???? ?? Stat 347 1??
254,,????? ?? ?? ??
255,0,
256,0,
257,10,
261,5000000,
262,5000000,
258,30,1? 1?
263,0,??? ??? 2??? ????
264,1110,4? ?? ID ?? ?
265,200,?? ?? ??
266,0,? ?? ? ?? ??
267,190145203,? ?? ? ?? ??? ID
268,1,17? ??
269,1,18? ??
270,1,19? ??
271,0,20? ??
272,1,"1: ??, 0: ?? ??"
273,190145625,
274,0,"1: ??, 0: ?? ??"
275,https://www.latale.com/news/notice/view/1788?category=1&page=10,URL
276,812000102,
278,1,?? ?? ?? ?? ?? ??(????)
279,10,?? ?? ??
280,10,?? ?? ?? ?? ??
281,190146090,?? ?? ?? ??? ?? ?? ???(2?? ??)
282,100000,?? ??? ?? ?? ?(??)
283,3820001,?? ?? ?? ?? ?(?? ID)
284,7,?? UI? ???? ?? ?? ?
285,190146091,?? ?? ?? ??? ?? ?? ???(1?? ??)
286,4,?? ?? ?? ?? ?? ??
287,10000000,?? ?? ?? ?? ??? ??
288,4,?? ?? ?? ?? ??
289,11,?? ?? ?? ?? ??
290,1,?? ?? ?? ??? ?? ??
291,190146190,?? ?? ?? ??? ?? ??? ID(1?? ??)
292,190146191,?? ?? ?? ??? ?? ??? ID(2?? ??)
293,1000000,??? ? ?? ?? ???
294,1000,??? ? 1? ?? ???
295,25,??? ? 1? ??
296,25,??? ? 2? ??
297,25,??? ? 3? ??
298,25,??? ? 4? ??
299,230,??? ? ?? ?? ??
300,1110,??? ?? ? ?? ?? (CLASS_REQ? ITEM ID ? ??)
301,60,"??? ??? ?? ?? ????(1? 1?, min ? 30, max ? 600)"
302,60,"?? ??? ?? ?? ????(1? 1?, min ? 30, max ? 600)"
303,20,"[????] ?? ??? ??? ? ?? ???? (??/?? ?? ?? min ? 20, max ? 29(max ?? ?? ??(301,302)? min ? ?? ????))"
304,6,"[????] ??/??? ?? ??? ??? ? ???? ?? ? ?? ?? ? (min ?4 , max ? 8? ??) ?? ??? ?? ?? ????"
305,15,"[????] ??? ??? ? ?? ?? ???? ?? ????(1? 1?) (min ? 5?, max ? 19(max ?? 303? ?? ? ?? ????))"
306,6,"[????-??] ?? ?? ?? ? ?? ? ???? ??? (min ? 4, max ? 8? ??) ?? ??? ?? ?? ????"
307,0,PVP ??? ?? ?? ? STAT.388 (?? ?? ? ?? ??)
308,0,PVP ?? ?? ?? ? STAT. 593 (?? ?? ? ?? ??)
309,10,"??? ?? ??? (1? 1?, min ? 10, max ? 60?? ??)"
310,3,"?? ??? ?? (?? ? 3, ?? 7. ?? ??? ?? ?? ?? ??)"
311,19000502,PVP ??? ?? ? ?? ??? ????? ?? ??? (
312,100000000,PVP ?? ? ?? HP? ??? ???? ? ???? ???? ??
313,1,"?? ?? UI ?? ?? ?? 0 ??, 1???"
314,25,??? ?? ? FIGHT! ??? ??? ???? ?? (10? 1?)
315,30,??? ?? ? ?? ???? FIGHT! ??? ??? ???? ?? ?? (10? 1?)
316,2,??? ?? ?? ?? ?? ?? ?? (?? 2)
317,4,?? ?? ?? ??
318,11,?? ?? ?? ??
319,10000,?? ?? ??? ?? ??
323,220,?? ???? ?? ?? ?? ?
324,190146494,?? ??? ??? ???(1??)
325,190146493,?? ??? ??? ???(2??)
326,1,?? ??? ??? ? ??
327,3,?? ??? ??? ? ?? ?? ??
328,190147017,?? ??? ??? ?? ???(1??)
329,190147016,?? ??? ??? ?? ???(2??)
330,1,?? ??? ?? ?? ??(??)
321,2307210000,??? ???? ?? ?? YYMMDDHHMM (?? ?? ??)
322,2307232359,??? ???? ?? ?? YYMMDDHHMM (?? ?? ??)
400,1,?? ?? ??? ?? ? ?? ??? ?? ?? ID
401,1,?? ?? ?? ? ?? ??? ?
402,,?? ?? ?? ??? ? ?? ??? - ????1
403,,?? ?? ?? ??? ? ?? ??? - ????2
404,,?? ?? ?? ??? ? ?? ??? - ???? 1
405,,?? ?? ?? ??? ? ?? ??? - ???? 2
406,,?? ?? ?? ??? ? ?? ??
407,4,???? ?? ?? ?? ?? ??
408,11,???? ?? ?? ?? ?? ??
409,36,[???] ?? ??? ??? ?? (?? ?? ??/??/???? ??) - Chat_Coloring.ldt Item ?
410,1,?? ?? ?? ??(?? ??)
411,1,411. ?? 16?? (???) ?? ??
412,1,412. ?? 17?? (???) ?? ??
413,1,413. ?? 18?? (??1) ?? ??
414,1,414. ?? 19?? (??2) ?? ??
415,6,?? ??? ?? ??
416,510,?????? ???? ?? ? ID
417,511,?????? ???? ?? ? ID
418,512,?????? ???? ?? ? ID
419,4,[????] ??? ?? ?? ??
420,190147761,[????] ??? 2 ??? ??? ??? ID
421,190147761,[????] ??? 3 ??? ??? ??? ID
422,190147761,[????] ??? 4 ??? ??? ??? ID
423,190147761,[????] ??? 5 ??? ??? ??? ID
424,0926,??? ??? ???(??? ??)
425,0930,??? ??? ???(??? ??)
426,3,[????] ??? ?? ??? (1? 1?)
427,100,??? ? ??
428,100,??? ? ??
429,65,??? ? ??
430,65,??? ? ??
431,11,??? ??? ?? ?? - pc(0.1? ??)
432,13025287,??? ?? ? EFFECT ??(?? ??)
433,60,??? ??? ?? ??? (dd/1? 1?)
434,60,??? ?? ?? ?? ?? ?? ?? (dd/1? 1?)
439,30,??? ??? ?? ?? - ???(0.1? ??)
440,22207,
441,22208,
442,22209,
443,7849,
435,900000,[????] ???? ??
436,900001,[????] ?? ??
437,900002,[????] ?? - ???? ??
438,20,[????] ?? ?? ???
444,190147983,
445,500,
446,5000,
447,190147988,
448,190147987,
449,30,
450,190147988,
451,190147987,
452,200,
453,2099993500,
454,2000,
455,190148179,
456,190148193,
457,10,
458,5000,
459,2,[??] ? ?? ?? 3? ??
460,190148475,[??] ??? ?? ???
461,600,[??] ???? ??? ?? ??? ??? ?? ??
462,2100000000,[??] ?? ??? ?? ?? ??
463,100,[??] ??? ?? ??? ?? ? ??? ?? ??(?? ??? 1?? 10???? ??? ? ?? 10?? ??)
464,4,[??] ??? ?? ??? ?? ??
465,1,[??] ??? ?? ??? ?? ?? ??
466,190148477,[??] ??? ?? ??? ??? ??? ??(1??)
467,190148476,[??] ??? ?? ??? ??? ??(2??)
468,2700,[??] ?? ??? ?? ?? ?? (?? ?? ?? ? 600)
469,100,[??] ?? ?? ???
470,2,[??] ?? ?? ??
471,400,[??] ?? ?? ??1
472,800,[??] ?? ?? ??2
473,1200,[??] ?? ?? ??3
474,200100,
475,200101,
476,81090001,
477,190146493,
478,190146494,
479,1,"[??] ?? ? ?? ?? 2? (0:?? ??, 1:??, 2:??/??)"
480,2024,4Q ???? ?? ? ??
481,12,4Q ???? ?? ? ??
482,31,4Q ???? ?? ? ??
483,4,4Q ???? ?? ? ??
484,4,4Q ???? ?? ?? ??
485,100,4Q ???? ?? ? ?? ?? ??? ??? ??
486,3,4Q ???? ??? ?? ?? ?? ? ?? ??? ??
487,5,4Q ???? ??? ?? ?? ?? ?? ?? ?
488,18,4Q ???? ??? ?? ?? ?? ?? ? ?? ?? ?? ?
489,1,4Q ???? ??? ?? ?? ?? ?? ? ?? ??? ??
490,190148755,4Q ???? ??? ?? ?? ??? 1??
491,190148754,4Q ???? ??? ?? ?? ??? 2??
492,50000000,4Q ???? ??? ?? ?? ?? ??
493,1500,4Q ???? ??? ?? ?? ????
494,40,4Q ???? ??? ??? ?? ?? ??
495,190146493,4Q ???? ??? ??? ?? ???
496,7,4Q ???? ?? ?? ?? + ?? ?? ?? ?
497,1,4Q ???? ???? ??? ??
