ID,_Group,_Subject,_Subject_Red,_Subject_Green,_Subject_Blue,_Subject_Bold,_Content ,_Section_Lv,_Require_Type1,_Require_ID1,_Require_Value1-1,_Require_Value1-2,_Require_Type2,_Require_ID2,_Require_Value2-1,_Require_Value2-2,_Require_Type3,_Require_ID3,_Require_Value3-1,_Require_Value3-2,_Require_Type4,_Require_ID4,_Require_Value4-1,_Require_Value4-2
5001,3,이모티콘 습득,65,110,200,0,"◆ 몬스터 드랍, 이벤트, 패션샵 구매 등으로 이모티콘 습득서를 획득할 수 있습니다.\n◆ 습득한 이모티콘은 스킬창(K)의 이모티콘 카테고리에서 확인할 수 있습니다.",5,1,3,5,999,0,0,0,0,0,0,0,0,0,0,0,0
5002,2,팡파카빠악~☆,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 5\n◆ 수락NPC: 에린(벨로스 주점)\n◆ 완료NPC: 에린(벨로스 주점)\n\n◆ 미션: ""들개""와 ""늑대""의 아이템 구하기\n\n◆ 보상: 이모티콘 습득서",5,0,0,0,0,1,3,5,0,0,0,0,0,4,2,110301,1
5003,2,늑대 몰이,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 5\n◆ 수락NPC: 미린(벨로스 도시 입구)\n◆ 완료NPC: 미린(벨로스 도시 입구)\n\n◆ 미션: ""늑대"" 사냥하기\n\n◆ 보상: 회복약",5,0,0,0,0,1,3,5,0,0,0,0,0,4,2,104420,1
6001,2,여행자의 휴식처,84,69,44,0,◆ 수행지역: 산림지대\n◆ 레벨: 6\n◆ 수락NPC: 에린(벨로스 주점)\n◆ 완료NPC: 산림지대-도르니에(여행자의 휴식처)\n\n◆ 미션: 산림지대 여행자의 휴식처 [도르니에] 찾아가기\n\n◆ 보상: 회복약,6,0,0,0,0,1,3,6,0,0,0,0,0,4,2,110200,1
6002,2,도망친 비틀G를 찾아줘요!,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 6\n◆ 수락NPC: 산림지대-도르니에(여행자의 휴식처)\n◆ 완료NPC: 산림지대-도르니에(여행자의 휴식처)\n\n◆ 미션: ""수레끌던 비틀G"" 사냥하기\n\n◆ 보상:",6,2,1,180100202,1,1,3,6,0,0,0,0,0,4,2,990210,1
6003,2,삽질의 기본,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 6\n◆ 수락NPC: 아세스(벨로스 마을 출구 방향)\n◆ 완료NPC: 아세스(벨로스 마을 출구 방향)\n\n◆ 미션: ""늑대""와 ""청랑""의 아이템 구하기\n\n◆ 보상: <발굴 습득서>, 회복약",6,0,0,0,0,1,3,6,0,0,0,0,0,4,2,102101,1
7001,1,채광하기,140,190,40,0,"◆ ""고목나무 숲""에 있는 [산림탄광]과 [개척자의 탄광]으로 가면 채광을 할 수 있습니다.\n◆ 채광 스킬은 벨로스 [아세스]가 주는 ""채광 스킬 습득""퀘스트를 통해 획득할 수 있습니다.\n◆ 채광으로 얻은 광석은 '강화'와 '조합' 등에 사용됩니다.",7,1,3,7,999,0,0,0,0,0,0,0,0,0,0,0,0
7002,2,타임 어택! 편지 전달!,84,69,44,0,◆ 수행지역: 벨로스\n◆ 레벨: 7\n> 유형: 타임어택\n◆ 수락NPC: 이그나트(엘리아스 격투장 입구)\n◆ 완료NPC: 케베르(벨로스 전투용품점)\n\n◆ 미션: 엘리아스 [이그나트]의 편지 전해주기.\n\n◆ 보상: 방어구,7,0,0,0,0,1,3,7,0,0,0,0,0,4,2,101100,1
7003,2,채광 스킬 습득,84,69,44,0,"◆ 수행지역: 산림지대\n◆ 레벨: 7\n> 유형: 필수 퀘스트\n◆ 수락NPC: 아세스(벨로스 마을 출구 방향)\n◆ 완료NPC: 아세스(벨로스 마을 출구 방향)\n\n◆ 미션: ""그레이 비틀G""와 ""흉견"" 사냥하기\n\n◆ 보상: <채광 습득서>, 회복약",7,0,0,0,0,1,3,7,0,0,0,0,0,4,2,102200,1
7004,2,산림 탄광이란 무엇이죠?,84,69,44,0,◆ 수행지역: 벨로스\n◆ 레벨: 7\n◆ 수락NPC: 발트(벨로스 전투용품점)\n◆ 완료NPC: 아세스(벨로스 마을 출구 방향)\n\n◆ 미션: 벨로스 [아세스] 찾아가기\n\n◆ 보상: 회복약,7,0,0,0,0,1,3,7,0,0,0,0,0,4,2,106100,1
7005,2,"고르고, 골라서, 선택!",84,69,44,0,"◆ 수행지역: 산림탄광\n◆ 레벨: 7\n◆ 수락NPC: 마린(엘리아스 레스토랑)\n◆ 완료NPC: 마린(엘리아스 레스토랑)\n\n◆ 미션: ""흉견""의 아이템 구하기\n\n◆ 보상: 회복약",7,0,0,0,0,1,3,7,0,0,0,0,0,4,2,207100,3
7006,2,푸슈-훗슈-,84,69,44,0,"◆ 수행지역: 고목나무 숲\n◆ 레벨: 7\n◆ 수락NPC: 아일린(벨로스 주점)\n◆ 완료NPC: 아일린(벨로스 주점)\n\n◆ 미션: ""푸슈훗슈"" 사냥하기\n\n◆ 보상: 회복약",7,0,0,0,0,1,3,7,0,0,0,0,0,4,2,111301,1
7007,2,조심+조심,84,69,44,0,"◆ 수행지역: 산림탄광\n◆ 레벨: 7\n◆ 수락NPC: 야휘(엘리아스 물품보관소)\n◆ 완료NPC: 야휘(엘리아스 물품보관소)\n\n◆ 미션: ""그레이 비틀G""의 아이템 구하기\n\n◆ 보상: 워프캡슐",7,0,0,0,0,1,3,7,0,0,0,0,0,4,2,204100,1
8001,1,친구맺기,140,190,40,0,"◆ 친구창(B)의 [친구목록] 탭에서 친구를 맺어 친구의 접속여부와 레벨, 위치를 알 수 있습니다.\n◆ 친구와는 친구채팅도 가능합니다.",8,1,3,8,999,0,0,0,0,0,0,0,0,0,0,0,0
8002,1,차단하기,140,190,40,0,"◆ 친구창(B)의 [차단목록] 탭에서 다른 플레이어를 차단할 수 있습니다.\n◆ 차단한 플레이어와는 귓속말, 거래, 정보보기 등을 할 수 없습니다.",8,1,3,8,999,0,0,0,0,0,0,0,0,0,0,0,0
8003,2,고목나무 숲의 모험,84,69,44,0,◆ 수행지역: 고목나무 숲\n◆ 레벨: 8\n◆ 수락NPC: 에린(벨로스 주점)\n◆ 완료NPC: 에린(벨로스 주점)\n\n◆ 미션: 고목나무 숲 탐험하기\n\n◆ 보상: 회복약,8,0,0,0,0,1,3,8,0,0,0,0,0,4,2,110400,1
8004,2,고목나무 멧돼지 잡이,84,69,44,0,"◆ 수행지역: 고목나무 숲\n◆ 레벨: 8\n◆ 수락NPC: 웰딘(벨로스 주점)\n◆ 완료NPC: 웰딘(벨로스 주점)\n\n◆ 미션: ""멧돼지"" 사냥하기\n\n◆ 보상: 회복약",8,0,0,0,0,1,3,8,0,0,0,0,0,4,2,109400,1
8005,2,매혹의 목덜미,84,69,44,0,"◆ 수행지역: 고목나무 숲\n◆ 레벨: 8\n◆ 수락NPC: 아일린(벨로스 주점)\n◆ 완료NPC: 아일린(벨로스 주점)\n\n◆ 미션: 고목나무 숲 입구 탐사 후 ""푸슈훗슈""의 아이템 구하기\n\n◆ 보상: 회복약",8,0,0,0,0,1,3,8,0,4,1,111301,1,4,2,111400,1
8006,2,광석을 사용하는 법,84,69,44,0,"◆ 수행지역: 산림탄광\n◆ 레벨: 8\n◆ 수락NPC: 션(엘리아스 전투용품점)\n◆ 완료NPC: 션(엘리아스 전투용품점)\n\n◆ 미션: <보통광석> 아이템 구하기\n\n◆ 보상: 이리스 석탑 조각, 회복약",8,2,1,180190101,1,1,3,8,0,0,0,0,0,4,2,201200,1
9001,1,창고 이용하기,140,190,40,0,◆ 창고는 각 마을의 물품보관소 NPC를 통해 열 수 있습니다.\n◆ 창고는 계정 안에 있는 모든 캐릭터가 함께 사용합니다.,9,1,3,9,999,0,0,0,0,0,0,0,0,0,0,0,0
9002,1,우체통 이용하기,140,190,40,0,◆ 우체통은 각 마을의 NPC 포스트맨을 통해 이용할 수 있습니다.,9,1,3,9,999,0,0,0,0,0,0,0,0,0,0,0,0
9003,2,특별한 무언가를 얻으려면,84,69,44,0,◆ 수행지역: 산림탄광\n◆ 레벨: 9\n◆ 수락NPC: 션(엘리아스 전투용품점)\n◆ 완료NPC: 션(엘리아스 전투용품점)\n\n◆ 미션: 보너스 퀘스트\n\n◆ 보상: 광석,9,0,0,0,0,1,3,9,0,4,1,201300,999,4,2,201400,2
9004,2,브런치 or 디너,84,69,44,0,"◆ 수행지역: 벨로스\n◆ 레벨: 9\n◆ 수락NPC: 베룬(엘리아스 레스토랑)\n◆ 완료NPC: 웰딘(벨로스 주점)\n\n◆ 미션: 벨로스 [웰딘] 찾아가기\n\n◆ 보상: 음식, 회복약",9,0,0,0,0,1,3,9,0,0,0,0,0,4,2,206100,1
9005,2,몬스터 타워 트레이닝 (1),84,69,44,0,"◆ 수행지역: 몬스터 타워\n◆ 레벨: 9\n◆ 수락NPC: 제리(빅 애플)\n◆ 완료NPC: 제리(빅 애플)\n\n◆ 미션: 몬스터 타워 ""프리링"" 사냥하기\n\n◆ 보상:",9,0,0,0,0,1,3,9,0,0,0,0,0,4,2,8620110,1
9006,2,멧돼지 헌팅 시즌,84,69,44,0,"◆ 수행지역: 고목나무 숲\n◆ 레벨: 9\n◆ 수락NPC: 웰딘(벨로스 주점)\n◆ 완료NPC: 웰딘(벨로스 주점)\n\n◆ 미션: ""멧돼지""의 아이템 구하기\n\n◆ 보상: 회복약",9,0,0,0,0,1,3,9,0,4,1,109400,1,4,2,109500,1
10001,1,일일 퀘스트,140,190,40,0,◆ 하루에 총 10개만 완료할 수 있는 퀘스트입니다.\n◆ 특정 NPC들을 통해 퀘스트를 획득할 수있습니다.,10,1,3,10,999,0,0,0,0,0,0,0,0,0,0,0,0
10002,3,스킬 초기화,65,110,200,0,◆ 각 마을 도구점에서 <스킬 초기화 북>을 구입하여 사용하면 습득한 스킬을 모두 초기화 할 수 있습니다.\n◆ 초기화된 스킬을 다시 배울 때에는 엘리가 소모됩니다.,10,1,3,10,999,0,0,0,0,0,0,0,0,0,0,0,0
10003,3,직업 2차 스킬 습득,65,110,200,0,◆ 스킬창(K)의 무기/정령마법 카테고리에서 2차 스킬을 배우실 수 있습니다.,10,1,3,10,80,0,0,0,0,0,0,0,0,0,0,0,0
10004,3,조합 스킬 습득,65,110,200,0,"◆ 벨로스 전투용품점의 [케베르]와 [발트]에게서 조합 스킬을 배울 수 있습니다.\n◆ 조합 스킬은 총 5가지 중 한가지만 습득이 가능합니다. \n\n◆ 조합 스킬 종류\n ☞ 무기조합:무기 제작\n ☞방어구조합: 방어구, 방패 제작\n ☞액세서리 조합: 액세서리 제작\n ☞세공술:가죽, 광석 제작\n ☞연금술: 음식, 물약 제작",10,1,3,10,999,0,0,0,0,0,0,0,0,0,0,0,0
10005,3,조합 초기화,65,110,200,0,"◆ 각 마을 도구점에서 <조합스킬+레벨 초기화 북>을 구입하여 사용하면 조합 스킬과 레벨이 모두 초기화 됩니다.\n◆ 초기화 후, 다시 조합을 배우시려면 벨로스 전투용품점의 [케베르]와 [발트]를 찾아가면 됩니다. \n◆ 패션샵에서 판매하는 <조합 스킬 초기화북>을 사용하시면, 조합 레벨을 유지한 채, 조합 스킬만 초기화할 수 있습니다.",10,1,3,10,999,0,0,0,0,0,0,0,0,0,0,0,0
10006,2,몬스터 타워 트레이닝 (2),84,69,44,0,"◆ 수행지역: 몬스터 타워\n◆ 레벨: 10\n◆ 수락NPC: 제리(빅 애플)\n◆ 완료NPC: 제리(빅 애플)\n\n◆ 미션: 몬스터 타워 ""비틀G"" 사냥하기\n\n◆ 보상:",10,0,0,0,0,1,3,10,0,0,0,0,0,4,2,8620120,1
10007,2,몬스터 타워 트레이닝 (3),84,69,44,0,"◆ 수행지역: 몬스터 타워\n◆ 레벨: 10\n◆ 수락NPC: 제리(빅 애플)\n◆ 완료NPC: 제리(빅 애플)\n\n◆ 미션: 몬스터 타워 ""들개"" 사냥하기\n\n◆ 보상:",10,0,0,0,0,1,3,10,0,0,0,0,0,4,2,8620130,1
10008,2,몬스터 타워 트레이닝 (4),84,69,44,0,"◆ 수행지역: 몬스터 타워\n◆ 레벨: 10\n◆ 수락NPC: 제리(빅 애플)\n◆ 완료NPC: 제리(빅 애플)\n\n◆ 미션: 몬스터 타워 ""늑대"" 사냥하기\n\n◆ 보상:",10,0,0,0,0,1,3,10,0,0,0,0,0,4,2,8620140,1
10009,2,어글리 보글리,84,69,44,0,"◆ 수행지역: 플루톤 신전\n◆ 레벨: 10\n◆ 수락NPC: 네미(엘리아스 전투용품점)\n◆ 완료NPC: 네미(엘리아스 전투용품점)\n\n◆ 미션: ""보글리"" 사냥하기\n\n◆ 보상: 회복약",10,0,0,0,0,1,3,10,0,0,0,0,0,4,2,202310,1
10010,2,[초급] 페이즈 LV01,84,69,44,0,◆ 수행지역: 몬스터 콜로세움\n◆ 레벨: 10\n◆ 수락NPC: 페이벨(벨로스 투기장 입구)\n◆ 완료NPC: 페이벨(벨로스 투기장 입구)\n\n◆ 미션: 콜로세움 초급 경기장 몬스터 사냥하기\n\n◆ 보상: 몬스터 사리,10,0,0,0,0,1,3,10,120,0,0,0,0,4,2,2009301001,1
10011,2,[초급] 페이즈 LV02,84,69,44,0,◆ 수행지역: 몬스터 콜로세움\n◆ 레벨: 10\n◆ 수락NPC: 페이벨(벨로스 투기장 입구)\n◆ 완료NPC: 페이벨(벨로스 투기장 입구)\n\n◆ 미션: 콜로세움 초급 경기장 몬스터 사냥하기\n\n◆ 보상: 몬스터 사리,10,0,0,0,0,1,3,10,120,0,0,0,0,4,2,2009301002,1
10012,2,[초급] 페이즈 LV01∞,84,69,44,0,◆ 수행지역: 몬스터 콜로세움\n◆ 레벨: 10\n◆ 수락NPC: 페이벨(벨로스 투기장 입구)\n◆ 완료NPC: 페이벨(벨로스 투기장 입구)\n\n◆ 미션: 콜로세움 초급 경기장 몬스터 사냥하기\n\n◆ 보상: 몬스터 사리,10,4,1,2009301001,1,1,3,10,120,0,0,0,0,4,2,2009301053,15
10013,2,[초급] 페이즈 LV02∞,84,69,44,0,◆ 수행지역: 몬스터 콜로세움\n◆ 레벨: 10\n◆ 수락NPC: 페이벨(벨로스 투기장 입구)\n◆ 완료NPC: 페이벨(벨로스 투기장 입구)\n\n◆ 미션: 콜로세움 초급 경기장 몬스터 사냥하기\n\n◆ 보상: 몬스터 사리,10,4,1,2009301002,1,1,3,10,120,0,0,0,0,4,2,2009301054,15
10014,2,10레벨업 달성!,84,69,44,0,"◆ 수행지역: 벨로스\n◆ 레벨: 10\n◆ 수락NPC: 레드(벨로스 마을 출구 방향)\n◆ 완료NPC: 레드(벨로스 마을 출구 방향)\n\n◆ 미션: 벨로스 도시 [레드] 찾아가기\n\n◆ 보상: Ely가 든 요술상자, 회복약",10,1,3,10,0,0,0,0,0,0,0,0,0,4,2,95010020,1
11001,1,파티하기,140,190,40,0,◆ 다른 라테일 유저와 파티를 맺어 함께 사냥할 수 있습니다.\n◆ 파티창(P)에서 파티를 맺고 탈퇴가 가능합니다.,11,1,3,0,999,0,0,0,0,0,0,0,0,0,0,0,0
11002,2,처음 가보는 엘리아스,84,69,44,0,◆ 수행지역: 엘리아스\n◆ 레벨: 11\n◆ 수락NPC: 미린(벨로스 도시 입구)\n◆ 완료NPC: 미린(벨로스 도시 입구)\n\n◆ 미션: 엘리아스 귀환의 비석 저장하기\n\n◆ 보상: 회복약,11,0,0,0,0,1,3,11,0,0,0,0,0,4,2,104100,1
11003,2,딜! 광석을 제련해드리죠!,84,69,44,0,◆ 수행지역: 산림탄광\n◆ 레벨: 11\n◆ 수락NPC: 션(엘리아스 전투용품점)\n◆ 완료NPC: 션(엘리아스 전투용품점)\n\n◆ 미션: <보통광석> 아이템 구하기\n\n◆ 보상: 광석,11,0,0,0,0,1,3,11,0,4,1,201200,1,4,2,201300,999
11004,2,파쇠계곡 입구 탐사,84,69,44,0,◆ 수행지역: 파쇠계곡\n◆ 레벨: 11\n◆ 수락NPC: 미코얀(강철도시 방어구점)\n◆ 완료NPC: 미코얀(강철도시 방어구점)\n\n◆ 미션: 파쇠계곡 입구 탐사하기\n\n◆ 보상: 회복약,11,0,0,0,0,1,3,11,0,0,0,0,0,4,2,9001110,1
11005,2,강철도시로!,84,69,44,0,"◆ 수행지역: 강철도시\n◆ 레벨: 11\n◆ 수락NPC: 션(엘리아스 전투용품점)\n◆ 완료NPC: 미코얀(강철도시 방어구점)\n\n◆ 미션: <보통광석> 아이템 구하기\n\n◆ 보상: 광석, 회복약",11,0,0,0,0,1,3,11,0,0,0,0,0,4,2,201500,1
11006,2,도깨비 뿔을 찾으러 가자,84,69,44,0,"◆ 수행지역: 플루톤 신전\n◆ 레벨: 11\n◆ 수락NPC: 발트(벨로스 전투용품점)\n◆ 완료NPC: 발트(벨로스 전투용품점)\n\n◆ 미션: ""보글""의 아이템 구하기\n\n◆ 보상: 회복약",11,0,0,0,0,1,3,11,0,4,1,110100,1,4,2,106200,1
11007,2,보석함을 찾아서,84,69,44,0,"◆ 수행지역: 플루톤 신전\n◆ 레벨: 11\n◆ 수락NPC: 에린(벨로스 주점)\n◆ 완료NPC: 에린(벨로스 주점)\n\n◆ 미션: ""보글""의 아이템 구하기\n\n◆ 보상: 회복약",11,0,0,0,0,1,3,11,0,0,0,0,0,4,2,110100,1
11008,2,칠전팔기,84,69,44,0,"◆ 수행지역: 벨로스\n◆ 레벨: 11\n◆ 수락NPC: 아일린(벨로스 주점)\n◆ 완료NPC: 아일린(벨로스 주점)\n\n◆ 미션: 다운 경험하기\n\n◆ 보상: 광석, 회복약",11,0,0,0,0,1,3,11,0,0,0,0,0,4,2,111200,1
12001,2,…댄디즘?,84,69,44,0,"◆ 수행지역: 플루톤 신전\n◆ 레벨: 12\n◆ 수락NPC: 웰딘(벨로스 주점)\n◆ 완료NPC: 웰딘(벨로스 주점)\n\n◆ 미션: ""보글리""와 ""젤라틴 큐브""의 아이템 구하기\n\n◆ 보상: 방어구, 회복약",12,2,1,180100502,1,1,3,12,0,0,0,0,0,4,2,109100,2
12002,2,플루톤 신전 탐험,84,69,44,0,"◆ 수행지역: 플루톤 신전\n◆ 레벨: 12\n◆ 수락NPC: 네미(엘리아스 전투용품점)\n◆ 완료NPC: 네미(엘리아스 전투용품점)\n\n◆ 미션: ""젤라틴 큐브""와 ""고블린"" 사냥하기\n\n◆ 보상: 퍼즐, 이리스 석탑 조각",12,0,0,0,0,1,3,12,0,0,0,0,0,4,2,202101,1
12003,2,에너지를 우적우적,84,69,44,0,"◆ 수행지역: 파쇠계곡\n◆ 레벨: 12\n◆ 수락NPC: 프라울러(강철도시 도구점)\n◆ 완료NPC: 프라울러(강철도시 도구점)\n\n◆ 미션: ""코드리스"" 사냥하기\n\n◆ 보상: 회복약",12,0,0,0,0,1,3,12,0,0,0,0,0,4,2,9004110,1
12004,2,콘센트가 없어도,84,69,44,0,"◆ 수행지역: 파쇠계곡\n◆ 레벨: 12\n◆ 수락NPC: 프라울러(강철도시 도구점)\n◆ 완료NPC: 프라울러(강철도시 도구점)\n\n◆ 미션: ""코드리스""의 아이템 구하기\n\n◆ 보상: 회복약",12,0,0,0,0,1,3,12,0,0,0,0,0,4,2,9004120,1
13001,1,웨이포인트 이용하기,140,190,40,0,◆ 저장해놓은 '이리스 석탑'과 '귀환의 비석'으로 바로 이동할 수 있게 하는 시스템입니다.\n◆ 웨이포인트(Y)를 열어 사용이 가능합니다.\n◆ 웨이포인트를 이용하려면 패션샵에서 판매하는 <워프 크리스탈>을 소지하고 있어야 합니다.\n◆ 워프 크리스탈은 패션샵에서 판매하는 <워프 크리스탈 충전지>를 이용하여 연장할 수 있습니다.,13,1,3,13,999,0,0,0,0,0,0,0,0,0,0,0,0
13002,2,애완동물을 키워보세요,84,69,44,0,◆ 수행지역: 엘리아스\n◆ 레벨: 13\n◆ 수락NPC: 도르아(엘리아스 도구점)\n◆ 완료NPC: 도르아(엘리아스 도구점)\n\n◆ 미션: 엘리아스 [도르아] 찾아가기\n\n◆ 보상: 팬시 애완동물,13,0,0,0,0,1,3,13,0,0,0,0,0,4,2,203930,1
13003,2,장비를 강화해보세요!,84,69,44,0,◆ 수행지역: 산림탄광\n◆ 레벨: 13\n◆ 수락NPC: 아라(엘리아스 팬시상점)\n◆ 완료NPC: 아라(엘리아스 팬시상점)\n\n◆ 미션: <동> 아이템 구하기\n\n◆ 보상: 강화 캡슐,13,1,1,1,0,1,3,13,0,0,0,0,0,4,2,208210,1
13004,2,장비를 강화해보세요!,84,69,44,0,◆ 수행지역: 산림탄광\n◆ 레벨: 13\n◆ 수락NPC: 아라(엘리아스 팬시상점)\n◆ 완료NPC: 아라(엘리아스 팬시상점)\n\n◆ 미션: <동> 아이템 구하기\n\n◆ 보상: 강화 캡슐,13,1,1,2,0,1,3,13,0,0,0,0,0,4,2,208220,1
13005,2,장비를 강화해보세요!,84,69,44,0,◆ 수행지역: 산림탄광\n◆ 레벨: 13\n◆ 수락NPC: 아라(엘리아스 팬시상점)\n◆ 완료NPC: 아라(엘리아스 팬시상점)\n\n◆ 미션: <동> 아이템 구하기\n\n◆ 보상: 강화 캡슐,13,1,1,8,0,1,3,13,0,0,0,0,0,4,2,208230,1
13006,2,장비를 강화해보세요!,84,69,44,0,◆ 수행지역: 산림탄광\n◆ 레벨: 13\n◆ 수락NPC: 아라(엘리아스 팬시상점)\n◆ 완료NPC: 아라(엘리아스 팬시상점)\n\n◆ 미션: <동> 아이템 구하기\n\n◆ 보상: 강화 캡슐,13,1,1,4,0,1,3,13,0,0,0,0,0,4,2,208240,1
13007,2,보글보글 피버~,84,69,44,0,"◆ 수행지역: 플루톤 신전\n◆ 레벨: 13\n◆ 수락NPC: 에린(벨로스 주점)\n◆ 완료NPC: 에린(벨로스 주점)\n\n◆ 미션: ""보글보글"" 사냥하기\n\n◆ 보상:",13,0,0,0,0,1,3,13,0,0,0,0,0,4,2,110410,1
13008,2,당신은 쓰레기♣,84,69,44,0,"◆ 수행지역: 파쇠계곡\n◆ 레벨: 13\n◆ 수락NPC: MD(강철도시 BAR)\n◆ 완료NPC: MD(강철도시 BAR)\n\n◆ 미션: ""다이오드"" 사냥하기\n\n◆ 보상: 회복약",13,0,0,0,0,1,3,13,0,0,0,0,0,4,2,9005110,1
13009,2,조명빨 그 소녀,84,69,44,0,"◆ 수행지역: 파쇠계곡\n◆ 레벨: 13\n◆ 수락NPC: MD(강철도시 BAR)\n◆ 완료NPC: MD(강철도시 BAR)\n\n◆ 미션: ""다이오드""의 아이템 구하기\n\n◆ 보상: 음식",13,0,0,0,0,1,3,13,0,0,0,0,0,4,2,9005120,1
