ID,_Test1,_Test2,_Name,_Description,_CutIn_Check
805326889,?????,??? ???,混沌計量條,可確認角色目前的狀態。計量條全部消耗後，將自動變更為其他類型,0
805326890,?????,?? ????,鎖鏈計量葉,消耗已補充的鎖鏈計量葉並使用強大技能。鎖鏈計量葉可透過凱利溫劍術進行補充,0
805326891,?????,?? ???,暗黑計量條,標示角色目前RP量的計量條,0
806236191,???,??,選項,可確認彩虹島物語的全部選單及設定快捷鍵,0
806236192,???,???,金幣商店,可前往彩虹島物語金幣商店,0
806236193,???,????,導覽手冊,可確認有助於遊戲進行的資訊,0
806236194,???,??,戳戳樂,可參加戳戳樂,0
805359627,???,???,召喚獸,可確認戰鬥時能接受各種幫助的召喚獸\n\n※※共用伺服器,0
805359628,???,???,禮物箱,可確認禮包內的道具\n道具寄送到禮物箱後僅能保存 1 年\n\n※※共用帳號,0
805359629,???,????,冒險,該功能尚未開放，敬請期待！,0
805359630,???,???,活動,可確認進行中的活動,0
805359631,???,???? ??? ?? (?? ??),記憶,可透過英雄們的記憶獲得各種能力值\n達成Lv.230時開放\n\n※※共用伺服器,0
805359632,???,??,超越技能,可依超越等級的上升獲得超越技能\n達成超越時開放\n\n※※共用伺服器,0
805359633,???,??,刻印,可透過刻印石賦予角色能力值\n\n※※共用伺服器,0
805359635,???,??,倉庫,可開啟保管物品的倉庫背包\nTip:可透過點擊滑鼠右鍵輕鬆保管及尋找物品\n※基本快捷鍵:F5,0
806236205,???,?? ?,覺醒,可使角色覺醒。,0
806236207,???,?? ?,覺醒,可確認角色覺醒相關資訊。,0
805359619,???,??,角色等級,,0
805359621,???,?????,職業圖示,,0
805359622,???,?????,職業,,0
805359623,???,??? ??,角色名稱,,0
805359657,???,XP ???,經驗值計量條,以百分比標示角色目前等級到下個等級所需經驗值的計量條,0
805367839,?? ??,??,狀態,可確認角色的能力值、裝備道具及稱號\n[基本快捷鍵:T],0
805367840,?? ??,???,道具,可依分類確認角色持有的道具\n[基本快捷鍵:I],0
805367841,?? ??,??? ??,道具強化,可強化道具並提升角色的能力值,0
805367842,?? ??,??,技能,可確認角色技能\n[基本快捷鍵:K],0
805367843,?? ??,??,倉庫,可開啟保管道具倉庫\n[基本快捷鍵:F5]\n\n※※可透過點擊滑鼠右鍵輕鬆保管及尋找物品,0
805367844,?? ??,????,寵物,可確認寵物資訊\n[基本快捷鍵:L],0
805367845,?? ??,???,召喚獸,可確認召喚獸資訊及使用召喚獸,0
805367846,?? ??,?? ???,副職業,可獲得及轉換副職業\n\n※※轉換條件※※\nLv.140以上\n2/3轉職業、副職業\n在村莊地區呈現武器解除狀態,0
805367851,?? ??,????,冒險,可遊玩冒險\n[基本快捷鍵：F12]\n\n※※參考事項※※\nULv.1500以上可使用\n套用效果為伺服器共享,0
805367852,?? ??,??,刻印,可確認讓角色能力值上升的刻印資訊,0
805367853,?? ??,???,裝扮,可確認改變角色外型的美妝、傷害字型外觀、地墊效果、坐騎、動作與武器外觀資訊,0
805367854,?? ??,???,金幣商店,可前往付費的金幣商店,0
805367855,?? ??,???,格鬥場,不可使用格鬥場內容,0
805367856,?? ??,? ??,符文,可確認讓角色能力值上升的符文資訊\n\n※※使用條件※※\nLv.200以上\n3轉職業\n副職業,0
805367857,?? ??,??,超越,可依超越等級的上升獲得超越技能\n達成超越時開放\n\n※※共用伺服器,0
805367863,?? ??,???,任務,可確認劇情及一般任務資訊\n[基本快捷鍵:Q],0
805367864,?? ??,??,圖鑑,可確認怪物圖鑑、道具圖鑑及收集稱號資訊,0
805367865,?? ??,??,成就,可確認成就資訊\n[基本快捷鍵:F9],0
805367866,?? ??,??,聲望,可確認各種聲望資訊,0
805367867,?? ??,??,組合,可確認結合各種道具後生成新道具的組合資訊[基本快捷鍵:F10]\n\n※達成Lv.10後可使用,0
805367868,?? ??,?? ??,組隊配對,有助於輕鬆組成隊伍\n[基本快捷鍵:] ],0
805367869,?? ??,????,記憶,可透過英雄們的記憶獲得各種能力值\n\n※達成Lv.230後可使用,0
805367875,?? ??,??? ?,導覽手冊,可確認有助於遊戲進行的資訊\n[基本快捷鍵:H],0
805367876,?? ??,???,世界地圖,可開啟世界地圖\n[基本快捷鍵:W],0
805367877,?? ??,???,詳細地圖,可開啟詳細地圖\n[基本快捷鍵:M],0
805367878,?? ??,?????,傳送點,可確認儲存的返回石碑和石塔資訊\n[基本快捷鍵:Y],0
805367879,?? ??,?? ??,副本資訊,可確認副本資訊及調整副本難度\n\n※完成新手教學後可使用,0
805367887,?? ??,??,組隊,可確認組隊資訊\n[基本快捷鍵:P],0
805367888,?? ??,??,好友,可確認好友及封鎖列表\n[基本快捷鍵:B],0
805367889,?? ??,??,情侶,可確認情侶資訊\n[基本快捷鍵:J],0
805367890,?? ??,??,公會,可確認公會資訊\n[基本快捷鍵: G],0
805367893,?? ??,???,活動,可確認進行中的活動資訊\n[基本快捷鍵:F8],0
805367894,?? ??,???,禮物箱,可確認及領取禮包道具,0
805367829,?? ??,??,屬性,可設定及確認屬性\n[基本快捷鍵:O],0
805367830,?? ??,??? ??,設定快捷鍵,可設定及確認快捷鍵,0
805367831,?? ??,? ?? ???,重置視窗位置,可讓變更過位置的UI回到基本設定,0
805335048,????,?????,道具強化(U),可提升道具能力值\n可延長道具期限,0
805335049,????,?????,道具分解,可分解道具並獲得材料道具,0
805335079,????,?????,道具覺醒,可於強化至最高階段的裝備上追加覺醒屬性\n\n※達成Lv.235後可使用,0
805335046,????,??,持有彩虹幣,角色持有的彩虹幣總額,0
805585025,????,??? ??,強化,可升級為高階道具,0
805585026,????,??? ??,鑲嵌,可賦予道具追加屬性,0
805585027,????,??? ??,降級,降低道具裝備限制等級\nLv.235以下可使用道具,0
805585028,????,??? ??,延長期限,可延長期間制道具的期限,0
805347449,???,????,稱號收藏夾,最多可設定5個,0
805347450,???,???,稱號名稱,可確認角色持有的稱號名稱,0
805347451,???,??? ?? ??,設定稱號效果,選擇欲在角色身上套用效果的稱號,0
805347452,???,??? ?? ??,設定稱號標示,選擇欲標示於角色外型的稱號,0
805347829,???,??/?? ?? ??,頭飾,,0
805347830,???,??/?? ?? ??,眼鏡,,0
805347831,???,??/?? ?? ??,耳環,,0
805347832,???,??/?? ?? ??,上衣,,0
805347833,???,??/?? ?? ??,下衣,,0
805347834,???,??/?? ?? ??,披風,,0
805347835,???,??/?? ?? ??,手套,,0
805347836,???,??/?? ?? ??,鞋子,,0
805347837,???,??/?? ?? ??,絲襪,,0
805347838,???,??/?? ?? ??,臉部裝飾,,0
805347839,???,??/?? ?? ??,魔法石,,0
805347840,???,??/?? ?? ??,戒指,,0
805347841,???,?? ?? ??,武器1,,0
805347842,???,?? ?? ??,武器1,,0
805347843,???,?? ?? ??,武器2,,0
805347844,???,?? ?? ??,武器2,,0
805347845,???,??/?? ?? ??,綴飾,,0
805347846,???,??/?? ?? ??,圖騰,,0
805347847,???,??/?? ?? ??,遺物,,0
805347879,???,?? ?? ??,鏡子,,0
805347880,???,?? ?? ??,項鍊,,0
805347881,???,?? ?? ??,指南針,,0
805347882,???,?? ?? ??,教本,,0
805347883,???,?? ?? ??,卡片,,0
805347884,???,?? ?? ??,鑰匙,,0
805347885,???,?? ?? ??,徽章1,,0
805347886,???,?? ?? ??,徽章2,,0
805347887,???,?? ?? ??,徽章3,,0
805347888,???,?? ?? ??,徽章4,,0
805347889,???,?? ?? ??,徽章5,,0
805347890,???,?? ?? ??,徽章6,,0
805347891,???,?? ?? ??,貼紙,,0
805347892,???,?? ?? ??,腰帶,,0
805347893,???,?? ?? ??,胸針,,0
805347929,???,??? ??,紅色1,,0
805347930,???,??? ??,紅色2,,0
805347931,???,??? ??,紅色3,,0
805347932,???,??? ??,紅色4,紅色寶石1~3全部裝備之後才會啟動,0
805347933,???,??? ??,黃色1,,0
805347934,???,??? ??,黃色2,,0
805347935,???,??? ??,黃色3,,0
805347936,???,??? ??,黃色4,黃色寶石1~3全部裝備之後才會啟動,0
805347937,???,??? ??,藍色1,,0
805347938,???,??? ??,藍色2,,0
805347939,???,??? ??,藍色3,,0
805347940,???,??? ??,藍色4,藍色寶石1~3全部裝備之後才會啟動,0
805347941,???,??? ??,大師,紅色、黃色、藍色寶石全部裝備之後才會啟動,0
805355599,???,,道具權限,設定該組隊的道具獲得方式,0
805355721,???,,變更隊長,變更該組隊的隊長\n擔任隊長的角色才能使用,0
805355732,???,,寵物學習限制,只能獲得比設定道具稀有度高的道具,0
805404707,??,?? ??,時尚倉庫,可保管所有時尚裝備,0
805597203,?????,?????,我的傳送點,將現在位置儲存於.我的傳送點,0
805597198,?????,????,立即前往儲存的村莊,立即前往最近儲存的村莊,0
805597199,?????,????,立即前往儲存的石塔,立即前往最近儲存的石塔,0
805597307,?????,?????,儲存位置,將現在位置儲存於我的傳點,0
805597366,?????,?????,剩餘期限,剩餘可使用傳送點的時間,0
805597369,?????,????,延長傳送點期限,向貝羅斯村莊的NPC洛汗購買道具即可延長期限。,0
805605401,?????,??,選擇外型,標示角色旁邊選擇的寵物外型,0
805605570,?????,??,能力,可透過點擊寵物持有的道具啟動撿取道具和自動使用藥水,0
805606576,?????,???,被動能力值,自動套用持有寵物的各類型最高被動能力值,0
805605655,?????,???,潛力,可賦予裝備在寵物視窗上的寵物特別能力值,0
805605656,?????,????,外型變更,部分寵物可變更外型,0
805638148,???,?? ??,公會徽章,標示自身公會的徽章,0
805638187,???,?? ??,公會名稱,標示自身公會的名稱,0
805638282,???,?? ??,公會人數,標示公會最多人數和目前人數,0
805638189,???,?? ??,公會種類,標示自身公會的種類,0
805638280,???,?? ??,公會等級,標示自身公會的等級和效果,0
805638160,???,?? ??,顯示離線公會成員,標示自身公會的離線成員,0
805638159,???,?? ??,逐出公會,可逐出自身公會的成員\n\n※只有擔任(副)公會長的角色可以使用,0
805638162,???,?? ??,公會標語,可變更自身公會的標語\n\n※只有擔任(副)公會長的角色可以使用,0
805638245,???,?? ??,委任權限,將公會長權限委任給其中一名副公會長\n\n※只有擔任公會長的角色可以使用,0
805638291,???,?? ??,進入公會房間,點擊可進入公會房間\n\n※只能在村莊內使用,0
805638624,???,?? ??,儲存鍵,儲存已變更的公會技能資訊,0
805638625,???,?? ??,取消鍵,取消已變更的公會技能資訊,0
805638626,???,?? ??,重置鍵,重置儲存的公會技能。但是，重置需要很多彩虹幣!!!!!,0
805716119,???,???,搜尋道具,可搜尋組合道具,0
805716003,???,???,組合產物,透過組合可獲得的產物。\n產物失敗時，有一定的機率可獲得其他道具,0
805716028,???,???,組合次數,可設定希望組合的次數,0
805716310,???,???,組合等候時間,為執行下一次組合的等候時間,0
805838862,???,????_?? ??,等級搜尋,可搜尋欲尋找的道具等級範圍,1
805838866,???,????_?? ?? ??,可使用等級,將道具依可裝備的等級區分後顯示,1
805838871,???,????_?? ??,名稱搜尋,可輸入用欲尋找的道具名稱進行搜尋,1
805838929,???,????,搜尋,可搜尋登錄於拍賣場的道具,1
805838930,???,????,競標狀況,可確認在拍賣場競標的道具現況,1
805838931,???,????,拍賣,可於拍賣場登錄道具,1
805838932,???,????,裝備,可開啟狀態視窗,1
805838933,???,?????,道具,可開啟道具視窗,1
805838936,???,??,持有金幣,帳號內持有的金幣總額,1
805838939,???,??,持有彩虹幣,角色持有的彩虹幣總額,1
805990409,?? ?? ??,?? ?? ??,星星計量條,為了讓樹木成長而決定星星數量的計量條，星星數量越多，成長的幅度越大,1
805990413,?? ?? ??,?? ?? ??,星星計量條補充時間,補充星星計量條的星星所需時間(每1分鐘1個),1
805990414,?? ?? ??,?? ?? ??,樹木成長次數,為了讓樹木成長而使用星星的次數，每日4點30分重置。,1
805990607,?? ?? ??,?? ?? ??,累積成長值,吃星星的樹的累積成長值,1
805541934,???&???,???,放大/縮小,放大或縮小地圖,0
805541927,???&???,???,固定我的位置,可設定及解除我的位置固定功能,0
805541916,???&???,???,詳細地圖,可確認詳細地圖,0
805541917,???&???,???,世界地圖,可確認世界地圖,0
822096134,???,?? ??,交往天數,顯示交往天數，每天增加1天,0
822096135,???,?? ??,愛情狀態,根據愛情指數標示愛情狀態，隨著愛情指數增加會擁有不同的愛情狀態,0
822096136,???,?? ??,現有愛情指數,和伴侶組隊後，狩獵怪物時將獲得數值並在使用結婚相關技能時消耗,0
822096137,???,?? ??,最大愛情指數,情侶一天當中在相同時間上線時增加(1天增加1次),0
822095911,???,???? ?? ??,求婚,求婚計量條達100%後可求婚。情侶一天當中在相同時間上線時將增加(1天1次),0
805765157,???,?? ??? ??,技能頁面轉換,轉換頁面後，一定時間內無法變更\n\n※無法於活動地圖和副本中進行轉換,0
805527689,???,? ?? ?????,本月購買紅利,可依購買金額獲得不同階段的獎勵，每月1號重置,0
806002697,???,? ?? ?????,首次購買,首次購買金幣道具時發放的禮物(每個帳號1次),0
805529053,???,??,裝備,可確認目前配戴中的裝備,0
805531076,???,??? ????,扭蛋箱子購買紅利,購買扭蛋箱子類型商品時獲得點數,0
805527569,???,????,限定販賣,只有在特定期間販售的商品,0
805529042,???,?? ????,購買背包,可確認及取消購買的道具,0
805351429,????,???,主要劇情,※共用帳號,0
805351430,????,???,輔助劇情,※共用帳號,0
805351431,????,???,一般任務,,0
805351441,????,??? ???,任務通知視窗,可開啟及關閉任務通知視窗,0
805351640,????,??? ??,再次查看NPC對話,可再次查看該任務的NPC對話,0
805351728,????,??? ??,執行地區,可確認該任務的執行地區,0
805507284,???,????,自動使用不屈的精神,設定為死亡時自動使用不屈的精神,0
805507285,???,????,道具比較視窗標示,和目前裝備的道具資訊一同顯示道具提示說明,0
805507286,???,????,標示冷卻時間,標示道具和技能的冷卻時間,0
805507290,???,????,通知任務進行狀況,於畫面中央上方標示任務的進行狀況,0
805507291,???,????,自動登錄任務通知,自動將新接收的任務登錄於通知\n\n※只有在任務通知區塊有空間時才會登錄新任務,0
805507292,???,????,任務標示範圍,設定可接收的任務範圍\n\n※設定範圍須在重新開啟詳細地圖後才會更新,0
806125576,????,??? ??,轉換頁面,可變更記憶儲存空間的按鍵\n\n※頁面轉換後30秒內無法再次變更,0
806125703,????,?? ??,兌換英雄破片,"使用所有英雄點數後獲得英雄破片\n\n※可累積點數上限：1,000,000",0
806101023,??? ?,?? ?? ??? ?? ??,超人升級,獲得清單上登錄的所有超人後，可提升超人等級,0
806102222,??? ?,?? ???,超人點數,"最多可獲得100,000點",0
806101996,??? ?,?? ??,超人任務,每日上午5點重置,0
806064130,?????(?????),?????,卡片匣,點擊時將開啟卡片匣。,0
806170634,??? ??(?????),?? ?? ?? ?? ??? ?? ???,取消使用不朽,取消使用不朽。\n持有復活精髓時在原地復活\n未持有復活精髓時在村莊&石塔復活,0
805359634,????,????,戰鬥通行證,可確認戰鬥通行證相關進行內容,0
805347894,???,?? ?? ??,手帕,,0
805347895,???,?? ?? ??,鍊墜,,0
805347896,???,?? ?? ??,徽章1,,0
805347897,???,?? ?? ??,徽章2,,0
805326901,?????,?????,元素計量條,使用一般技能時恢復或消耗，計量條為2階段以上時賦予特別效果。,0
805326902,?????,?????,元素計量條,使用一般技能時恢復或消耗，計量條達到特定階段時賦予強力效果。,0
806080635,?????,??? ??1 ????,跳過傳奇1,跳過傳奇1任務可習得技能。\n\n[使用條件]\n帳號中的角色需完整完成1次傳奇1任務\nLv.207以上\n持有傳奇技能1跳過券,0
806080636,?????,??? ??2 ????,跳過傳奇2,跳過傳奇2任務可習得技能。\n\n[使用條件]\n帳號中的角色需完整完成1次傳奇2任務\nLv.219以上\n持有傳奇技能2跳過券,0
806158620,???,?? ?? ??,移動至召喚獸目錄,點擊回到上一頁鍵時，可移動至前一個階段,0
805606886,?????,???,頁面1,\n\n※點擊右鍵時可變更頁面名稱,0
805606887,?????,???,頁面2,\n\n※點擊右鍵時可變更頁面名稱,0
805606888,?????,???,頁面3,\n\n※點擊右鍵時可變更頁面名稱,0
805606889,?????,???,頁面4,\n\n※點擊右鍵時可變更頁面名稱,0
805606890,?????,???,頁面5,\n\n※點擊右鍵時可變更頁面名稱,0
805606917,?????,??? ?? ??,開啟頁面2,\n\n※請點擊該按鍵並確認所需道具後再擴充。,0
805606918,?????,??? ?? ??,開啟頁面3,\n\n※未擴充上一頁時無法開啟,0
805606919,?????,??? ?? ??,開啟頁面4,\n\n※未擴充上一頁時無法開啟,0
805606920,?????,??? ?? ??,開啟頁面5,\n\n※未擴充上一頁時無法開啟,0
805606926,?????,??? ?? ??,轉換頁面,可轉換寵物頁面的按鍵\n\n※在選擇的頁面套用裝備的寵物外型、 主要寵物能力值、主要寵物鑲嵌、潛力效果\n\n※參考※\n轉換頁面時，3秒後可再次轉換至其他頁面。,0
536875438,??? ???,?? ??,雙環刃,可使用各種攻擊模式的武器。根據戰鬥狀況讓武器變成閘門，施展敵人無法預測的攻擊。,1
805507629,???,????,輸入按鍵使用復活精髓,設定為死亡時只要按下鍵盤的「SPACE BAR」鍵，就能立即使用復活精髓\n也可同時使用現有的方法,0
805326904,GP???,GP???,GP計量條,產生閘門時所需的點數每隔一段時間就會自然恢復。產生及維持閘門時點數將減少。,0
805367858,?? ??,???,星座,於拉伊提提亞副本獲得「星星之瓶」，即可確認可提升角色能力值的星座資訊\n\n※※參考事項※※\nULv.2000以上可使用\n套用效果為伺服器共享,0
805335080,????,??? ??,搜尋道具,可使用欲尋找之道具名稱或提示進行搜尋，如搜尋到相符的道具，會變更邊框。\n\n輸入#交易、#販賣、#倉庫、#時效制時，可搜尋符合該條件的各個道具,0
805347848,???,??/?? ?? ??,手錶,,0
805404706,??,?? 1,倉庫1,放置可倉庫保管的所有道具\nTip：可透過點擊右鍵輕鬆保管與尋找\n※基本快捷鍵：F5\n\n擴充倉庫背包需要「倉庫背包」,0
805404708,??,?? 2,倉庫2,放置可倉庫保管的所有道具\nTip：可透過點擊右鍵輕鬆保管與尋找\n※基本快捷鍵：F5\n\n擴充倉庫背包需要「倉庫背包」\n\n※參考※\n倉庫1擴充至上限之後才可使用,0
805335074,???,??,裝備,角色可配戴的「裝備」道具背包\n\n擴充裝備背包須持有「裝備背包」或是「綜合背包」,0
805335075,???,??,消耗,使用後可習得或消耗後可獲得增益的「消耗型」道具背包\n\n擴充消耗背包須持有「消耗背包」或「綜合背包」,0
805335076,???,??,其他,作為強化材料、副本材料使用或販售的「其他」道具背包\n\n擴充其他背包須持有「其他背包」或是「綜合背包」,0
805335077,???,???,活動,作為活動道具或兌換材料使用的「活動」道具背包\n\n擴充活動背包須持有「活動背包」或是「綜合背包」,0
806158458,???,?? ??,階段標示,,0
806158459,???,?? ??? ?? ??,進化至下個階段,可將該召喚獸進化至下個階段\n\n※※進化條件※※\n所需經驗值達成100%\n召喚中或訓練中不可進化,0
806158465,???,??? ?? ??,召喚獸特性,可確認能夠強化該召喚獸的技能，或是提升角色能力的召喚獸特性\n\n※參考※\n升級時獲得特性點數\n召喚中不可變更特性,0
806158487,???,???? ?? ?? ??,立即完成馴養,跳過馴養任務 - 可跳過該召喚獸的馴養任務立即獲得召喚獸。\n\n[使用條件]\n召喚獸獲得限制等級以上\n持有馴養召喚獸跳過券,0
806158488,???,???? ???? ??,開始馴養,開始該召喚獸的馴養任務。\n\n※參考※\n馴養任務進行途中可隨時放棄。,0
806158470,???,??? ??? ??? ?,召喚獸經驗值計量條,以百分比表示召喚獸現階段或等級到下階段或等級所需經驗值的計量條\n\n※參考※\n召喚獸可於「召喚中」的狀態下，透過與角色一起狩獵怪物獲得經驗值。,0
806158755,???,??? ?? ??,召喚獸覺醒,可覺醒該召喚獸\n\n※※覺醒條件※※\n100%達成所需經驗值\n超越等級5000以上\n所有技能MAX強化\n召喚中或訓練中不可覺醒,0
806158847,???,??? ?? ??? ??,重置特性,可重置該召喚獸學習的所有特性並返還點數的功能\n\n※參考※\n可透過「高級召喚獸技能強化咒語書 x10個」重置\n召喚中不可重置,0
806158850,???,??? ?? ????,關閉特性視窗,關閉召喚獸特性視窗。\n\n※注意※\n請留意若在分配召喚獸特性點數時，未儲存即關閉視窗，分配的特性可能會被取消。,0
806256643,???,??? ??? - ????,召喚獸通知,可確認目前召喚之召喚獸的經驗值、剩餘召喚時間、階段以及Lv.的按鍵\n\n※點擊右鍵時開啟召喚獸視窗,0
806256644,???,??? ??? - ????,召喚獸通知,可確認目前召喚之召喚獸的經驗值、剩餘召喚時間、階段以及Lv.的按鍵\n\n※點擊右鍵時開啟召喚獸視窗,0
806256645,???,??? ??? - ???,召喚獸通知,可確認目前召喚之召喚獸的經驗值、剩餘召喚時間、階段以及Lv.的按鍵\n\n※點擊右鍵時開啟召喚獸視窗,0
806256646,???,??? ??? - ?????,召喚獸通知,可確認目前召喚之召喚獸的經驗值、剩餘召喚時間、階段以及Lv.的按鍵\n\n※點擊右鍵時開啟召喚獸視窗,0
806256647,???,??? ??? - ???,召喚獸通知,可確認目前召喚之召喚獸的經驗值、剩餘召喚時間、階段以及Lv.的按鍵\n\n※點擊右鍵時開啟召喚獸視窗,0
806256648,???,??? ??? - ???,召喚獸通知,可確認目前召喚之召喚獸的經驗值、剩餘召喚時間、階段以及Lv.的按鍵\n\n※點擊右鍵時開啟召喚獸視窗,0
806256649,???,??? ??? - ???,召喚獸通知,可確認目前召喚之召喚獸的經驗值、剩餘召喚時間、階段以及Lv.的按鍵\n\n※點擊右鍵時開啟召喚獸視窗,0
805322992,????,?????? - ???,每日限定掉落,可確認每日限定獲得的道具種類和數量。\n\n獲得記錄於凌晨4點30分重置,0
805322993,????,?????? - ???,每日限定掉落,可確認每日限定獲得的道具種類和數量。\n\n獲得記錄於凌晨4點30分重置,0
805367847,?? ??,??,聖物,可確認聖物資訊\n\n※※參考事項※※\nULv.5000以上可使用\n套用效果為伺服器共享,0
805348030,???,?? ?? ??,一併解除,\n可一次解除目前分頁內所有裝備的按鍵\n\n※參考※\n因角色死亡或其他限制條件影響，可能無法使用一併解除。,0
805348031,???,?? ?? ?? - ?? ??,鎖定一併解除設定,\n為防止目前狀態視窗內各個欄位被一併解除而設置「鎖定」的按鍵\n\n各角色分開儲存,0
805348032,???,?? ?? ?? - ?? ??,設定完畢,\n儲存設定內容的按鍵\n\n※參考※\n左鍵點擊狀態視窗中的「X」鍵後，不會儲存變更內容。,0
806265556,??,???,成長力,\n聖物技能升級後增加成長力，且根據成長力減少聖物技能的補充時間並增加補充次數上限。\n\n※效果※\n1∼3等級聖物：增加1成長力\n4等級聖物：增加2成長力\n每1成長力，補充時間減少0.1秒\n成長力為400/800/1200時，補充次數上限增加1次,0
806265536,??,????,轉換計量條,\n顯示神秘破片轉換為聖物點數的個數。\n\n※※參考事項※※\n每週四凌晨4點重置轉換個數。,0
806265533,??,?? ???,聖物點數,\n聖物成長所需的點數，在聖物技能升級後消耗。,0
806264939,??,???,專用石,,0
806265039,??,???,專用石,,0
806265139,??,???,專用石,,0
806265239,??,???,專用石,,0
806265339,??,???,專用石,,0
806265439,??,???,專用石,,0
806264940,??,???,共用石,,0
806264941,??,???,共用石,,0
806265040,??,???,共用石,,0
806265041,??,???,共用石,,0
806265140,??,???,共用石,,0
806265141,??,???,共用石,,0
806265240,??,???,共用石,,0
806265241,??,???,共用石,,0
806265340,??,???,共用石,,0
806265341,??,???,共用石,,0
806265440,??,???,共用石,,0
806265441,??,???,共用石,,0
805347373,???,???? ??,開放武器外觀,\n立即開放可變更已套用武器外觀的[裝扮 - 武器外觀],0
808453713,????,???? ?? ??,武器外觀群組,\n顯示武器外觀群組的目錄\n\n※參考※\n目錄中不顯示可使用的武器外觀群組,0
808452312,????,???? ?? ??,使用武器外觀,\n使用所選的「武器外觀」\n\n※參考※\n不可使用無法配戴之武器的「武器外觀」,0
808452316,????,???? ?? ??,購買武器外觀,\n消耗需要道具，購買所選的「武器外觀」\n\n※參考※\n可預覽並購買無法配戴之武器的「武器外觀」,0
809566238,????,???? ?? ??,骰子任務,\n完成登入任務後，可獲得3個骰子\n完成登入時間任務後，每5分鐘可獲得1個骰子,0
809566449,????,?? ???,冒險點數,\n可在冒險中獲得的點數\n※※帳號共享,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
0,,,,,0
