ID,_LuckOverlap,_Event_Type,_Event_Group,_Event_Image,_Event_Index,_Event_Name,_Event_Description,_Mission_Kind,_Mission_ID,_Mission_Count,_Reward_ID1,_Item_Count1,_Item_Rare1,_Reward_ID2,_Item_Count2,_Item_Rare2,_Reward_ID3,_Item_Count3,_Item_Rare3,_Reward_Point,_Luck_Icon,_Luck_IconIndex,_Area_Reputation,_Reputation
23,23,1,0,Card_01_01.png,3,骰子2倍！,點擊幸運卡片後立即擲骰子，並向前移動擲出點數2倍的格數！(骰子使用次數消耗1次。),3,2,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,41,0,0
24,24,1,0,Card_01_01.png,3,骰子3倍！！,點擊幸運卡片後立即擲骰子，並向前移動擲出點數3倍的格數！(骰子使用次數消耗1次。),3,3,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,42,0,0
25,25,1,0,Card_01_01.png,3,骰子5倍！！！,點擊幸運卡片後立即擲骰子，並向前移動擲出點數5倍的格數！(骰子使用次數消耗1次。),3,5,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,44,0,0
26,26,1,0,Card_01_01.png,3,骰子7倍！！！！,點擊幸運卡片後立即擲骰子，並向前移動擲出點數7倍的格數！(骰子使用次數消耗1次。),3,7,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,46,0,0
27,27,1,0,Card_01_01.png,3,骰子8倍！！！！！,點擊幸運卡片後立即擲骰子，並向前移動擲出點數8倍的格數！(骰子使用次數消耗1次。),3,8,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,47,0,0
28,28,1,0,Card_01_01.png,3,骰子10倍！！！！！！,點擊幸運卡片後立即擲骰子，並向前移動擲出點數10倍的格數！(骰子使用次數消耗1次。),3,10,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,49,0,0
29,29,1,0,Card_01_01.png,5,移動至下一關第一格！,點擊幸運卡片後，立即移動至下一關第一格。,5,1,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,70,0,0
30,30,1,0,Card_01_01.png,5,移動至下一關第一格！,點擊幸運卡片後，立即移動至下一關第一格。,5,1,0,0,0,1,0,0,1,0,0,1,0,Card_01_01.png,70,0,0
10001,0,2,0,Card_02_02.png,6,征服蛇龍巢穴,請在「蛇龍巢穴」消滅[影波克EX]。,2,810000291,1,170195404,5,1,0,0,1,0,0,1,100,,0,0,0
10002,0,2,0,Card_02_02.png,6,征服香格里拉,請在「香格里拉」消滅[玄武]。,2,810000300,1,170195404,5,1,0,0,1,0,0,1,100,,0,0,0
10003,0,2,0,Card_02_02.png,6,征服十六日的月,請在「十六日的月」消滅[黑月公主]。,2,810000319,1,170195404,5,1,0,0,1,0,0,1,100,,0,0,0
10004,0,2,0,Card_02_02.png,6,征服金字塔墓室,請在「金字塔墓室」消滅[人面獅身]。,2,810000306,1,170195404,5,1,0,0,1,0,0,1,150,,0,0,0
10005,0,2,0,Card_02_02.png,6,征服哥德房屋,請在「哥德房屋」消滅[潘朵拉]。,2,810000303,1,170195404,5,1,0,0,1,0,0,1,150,,0,0,0
10006,0,2,0,Card_02_02.png,6,征服年糕地區,請在「年糕地區」消滅[科學怪人]。,2,810000397,1,170195404,5,1,0,0,1,0,0,1,150,,0,0,0
10007,0,2,0,Card_02_02.png,6,征服已冷卻的心臟,請在「已冷卻的心臟」消滅[海龍王]。,2,810000307,1,170195404,5,1,0,0,1,0,0,1,150,,0,0,0
10008,0,2,0,Card_02_02.png,6,征服奇邁羅研究所,請在「奇邁羅研究所」消滅[喬安潘]。,2,810000376,1,170195404,5,1,0,0,1,0,0,1,150,,0,0,0
10009,0,2,0,Card_02_02.png,6,征服瓦爾哈拉,請在「瓦爾哈拉」消滅[芙尼克斯]。,2,810000391,1,170195404,5,1,0,0,1,0,0,1,150,,0,0,0
10010,0,2,0,Card_02_02.png,6,征服地獄之門,請在「地獄之門」消滅[霍爾]。,2,810000795,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10011,0,2,0,Card_02_02.png,6,征服星座峭壁,請在「星座峭壁」消滅[魯塞利亞]。,2,810001744,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10012,0,2,0,Card_02_02.png,6,征服崩壞之塔地下,請在「崩壞之塔地下」消滅[尼奧爾德]。,2,810001964,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10013,0,2,0,Card_02_02.png,6,征服夢之路,請在「夢之路」消滅[阿卡修拉的幻影]。,2,810002626,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10014,0,2,0,Card_02_02.png,6,征服世界樹的幻影,請在「世界樹的幻影」消滅[主神的幻影]。,2,810002630,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10015,0,2,0,Card_02_02.png,6,征服魔法書閱覽室,請在「魔法書閱覽室」消滅[伊普莉特]。,2,810001581,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10016,0,2,0,Card_02_02.png,6,征服被遺忘的花園,請在「被遺忘的花園」消滅[德古氏]。,2,810001596,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10017,0,2,0,Card_02_02.png,6,征服歐若拉庭園,請在「歐若拉庭園」消滅[歐若拉]。,2,810006734,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10018,0,2,0,Card_02_02.png,6,征服青空城,請在「青空城」消滅[Lv.225 青空城哈瓦]。,2,810003122,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10019,0,2,0,Card_02_02.png,6,征服毀壞之城,請在「毀壞之城」消滅[凱米努茲]。,2,810003630,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10020,0,2,0,Card_02_02.png,6,征服魔石實驗室,請在「魔石實驗室」消滅[奧莉安]。,2,810006817,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10021,0,2,0,Card_02_02.png,6,征服黃金洞穴,請在「黃金洞穴」消滅[SD博士]。,2,810007358,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10022,0,2,0,Card_02_02.png,6,征服小矮人飛空艇,請在「小矮人飛空艇」消滅[機甲虎林]。,2,810007184,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10023,0,2,0,Card_02_02.png,6,征服神聖的教堂,請在「神聖的教堂」消滅[普拉斯]。,2,810007049,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10024,0,2,0,Card_02_02.png,6,征服太陽神的地下祭壇,請在「太陽神的地下祭壇」消滅[阿瑟嵐 - 第35代火神]。,2,810007250,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10025,0,2,0,Card_02_02.png,6,征服寶石樹森林,請在「寶石樹森林」消滅[沛斯嘉]。,2,810007471,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10026,0,2,0,Card_02_02.png,6,征服幻影毒霧沼澤,請在「幻影毒霧沼澤」消滅[魔王的幻影]。,2,810007728,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10027,0,2,0,Card_02_02.png,6,征服冰封的世界,請在「冰封的世界」消滅[厄運]。,2,810007928,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10028,0,2,0,Card_02_02.png,6,征服安息之地,請在「安息之地」消滅[摩厄圖]。,2,810008100,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10029,0,2,0,Card_02_02.png,6,征服超人紀念館,請在「超人紀念館」消滅[藍大人]。,2,810008352,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10030,0,2,0,Card_02_02.png,6,征服地獄房間,請在「地獄房間」消滅[瑪帕斯]。,2,810008362,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10031,0,2,0,Card_02_02.png,6,征服拉法爾,請在「拉法爾」消滅[安魂者]。,2,810008624,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10032,0,2,0,Card_02_02.png,6,征服玫瑰園,請在「玫瑰園」消滅[阿斯莫德]。,2,810009158,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10033,0,2,0,Card_02_02.png,6,征服回音之泉,請在「回音之泉」消滅[艾可]。,2,810009519,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10034,0,2,0,Card_02_02.png,6,征服煉獄亞茲拉爾,請在「煉獄亞茲拉爾」消滅[罪人拜斯]。,2,810009809,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10035,0,2,0,Card_02_02.png,6,征服亞特拉斯庭園,請在「亞特拉斯庭園」消滅[梅修絲]。,2,810010431,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10036,0,2,0,Card_02_02.png,6,征服黃昏殿堂,請在「黃昏殿堂」消滅[莫爾嘉納]。,2,810010196,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10037,0,2,0,Card_02_01.png,7,完成訓練召喚獸,完成1次訓練召喚獸！,6,1,1,190148179,2,1,0,0,1,0,0,1,0,,0,0,0
10038,0,2,0,Card_02_01.png,7,完成訓練召喚獸,完成2次訓練召喚獸！,6,1,2,170196840,1,1,0,0,1,0,0,1,0,,0,0,0
10039,0,2,0,Card_02_01.png,8,完成超人任務,完成2次超人任務！,7,1,2,190148726,2,1,0,0,1,0,0,1,0,,0,0,0
10040,0,2,0,Card_02_01.png,8,完成超人任務,完成5次超人任務！,7,1,5,190148726,5,1,0,0,1,0,0,1,0,,0,0,0
10041,0,2,0,Card_02_01.png,11,成功鑲嵌,成功鑲嵌1次任意道具！,10,0,1,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
10042,0,2,0,Card_02_01.png,11,成功鑲嵌,成功鑲嵌2次任意道具！,10,0,2,300136001,1,1,0,0,1,0,0,1,0,,0,0,0
10043,0,2,0,Card_02_01.png,11,成功鑲嵌,成功鑲嵌3次任意道具！,10,0,3,300136005,1,1,0,0,1,0,0,1,0,,0,0,0
10044,0,2,0,Card_02_02.png,6,征服太陽宮殿,請在「太陽宮殿」消滅[塔勒曼]。,2,810007252,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10045,0,2,0,Card_02_02.png,6,征服瀑布樹森林,請在「瀑布樹森林」消滅[特莉妮婭]。,2,810007460,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10046,0,2,0,Card_02_02.png,6,征服浮游島,請在「浮游島」消滅[比柏萊特]。,2,810007727,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10047,0,2,0,Card_02_02.png,6,征服混沌峽谷,請在「混沌峽谷」消滅[暴走的愛麗絲]。,2,810007917,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10048,0,2,0,Card_02_02.png,6,征服拉的城堡,請在「拉的城堡」消滅[拉厄那盾]。,2,810008092,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10049,0,2,0,Card_02_02.png,6,征服龍峽谷,請在「龍峽谷」消滅[聖禱神象]。,2,810008625,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10050,0,2,0,Card_02_02.png,6,征服幻之搖籃,請在「幻之搖籃」消滅[莉莉絲]。,2,810009145,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10051,0,2,0,Card_02_02.png,6,征服峇尼塔斯,請在「峇尼塔斯」消滅[裴洛許]。,2,810009792,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10052,0,2,0,Card_02_02.png,6,征服消逝的星之歌,請在「消逝的星之歌」消滅[梅林]。,2,810010193,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
10053,0,2,0,Card_02_02.png,6,征服埃吉爾遺址,請在「埃吉爾遺址」消滅[拉帕艾拉]。,2,810010412,1,170195404,5,1,0,0,1,0,0,1,200,,0,0,0
20001,0,4,1,Card_02_01.png,2,消滅普通怪物,消滅500隻普通怪物吧。,1,1,500,190147983,100,1,0,0,1,0,0,1,0,,0,0,0
20002,0,4,1,Card_02_01.png,2,消滅普通怪物,消滅500隻普通怪物吧。,1,1,500,190146494,1,1,0,0,1,0,0,1,0,,0,0,0
20003,0,4,1,Card_02_01.png,2,消滅普通怪物,消滅500隻普通怪物吧。,1,1,500,190148475,50,1,0,0,1,0,0,1,0,,0,0,0
20004,0,4,1,Card_02_01.png,2,消滅普通怪物,消滅500隻普通怪物吧。,1,1,500,170171241,20,1,0,0,1,0,0,1,0,,0,0,0
20005,0,4,1,Card_02_01.png,2,消滅普通怪物,消滅500隻普通怪物吧。,1,1,500,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20006,0,4,1,Card_02_01.png,2,消滅BOSS怪物,消滅1隻BOSS怪物吧。,1,2,1,190147983,100,1,0,0,1,0,0,1,0,,0,0,0
20007,0,4,1,Card_02_01.png,2,消滅BOSS怪物,消滅1隻BOSS怪物吧。,1,2,1,190146494,1,1,0,0,1,0,0,1,0,,0,0,0
20008,0,4,1,Card_02_01.png,2,消滅BOSS怪物,消滅1隻BOSS怪物吧。,1,2,1,190148475,50,1,0,0,1,0,0,1,0,,0,0,0
20009,0,4,1,Card_02_01.png,2,消滅BOSS怪物,消滅1隻BOSS怪物吧。,1,2,1,170171241,20,1,0,0,1,0,0,1,0,,0,0,0
20010,0,4,1,Card_02_01.png,2,消滅BOSS怪物,消滅1隻BOSS怪物吧。,1,2,1,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20011,0,4,1,Card_02_01.png,5,完成一般任務,完成5次一般任務吧。,4,0,5,190147983,100,1,0,0,1,0,0,1,0,,0,0,0
20012,0,4,1,Card_02_01.png,5,完成一般任務,完成5次一般任務吧。,4,0,5,190146494,1,1,0,0,1,0,0,1,0,,0,0,0
20013,0,4,1,Card_02_01.png,5,完成一般任務,完成5次一般任務吧。,4,0,5,190148475,50,1,0,0,1,0,0,1,0,,0,0,0
20014,0,4,1,Card_02_01.png,5,完成一般任務,完成5次一般任務吧。,4,0,5,170171241,20,1,0,0,1,0,0,1,0,,0,0,0
20015,0,4,1,Card_02_01.png,5,完成一般任務,完成5次一般任務吧。,4,0,5,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20016,0,4,1,Card_02_01.png,9,休息 - 5分鐘,遊戲登入時間達5分鐘後再完成任務吧。,8,1,5,190147983,100,1,0,0,1,0,0,1,0,,0,0,0
20017,0,4,1,Card_02_01.png,9,休息 - 5分鐘,遊戲登入時間達5分鐘後再完成任務吧。,8,1,5,190146494,1,1,0,0,1,0,0,1,0,,0,0,0
20018,0,4,1,Card_02_01.png,9,休息 - 5分鐘,遊戲登入時間達5分鐘後再完成任務吧。,8,1,5,190148475,50,1,0,0,1,0,0,1,0,,0,0,0
20019,0,4,1,Card_02_01.png,9,休息 - 5分鐘,遊戲登入時間達5分鐘後再完成任務吧。,8,1,5,170171241,20,1,0,0,1,0,0,1,0,,0,0,0
20020,0,4,1,Card_02_01.png,9,休息 - 5分鐘,遊戲登入時間達5分鐘後再完成任務吧。,8,1,5,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20021,0,4,1,Card_02_02.png,3,成功組合,嘗試後成功組合5次吧。,14,0,5,190147983,100,1,0,0,1,0,0,1,0,,0,0,0
20022,0,4,1,Card_02_02.png,3,成功組合,嘗試後成功組合5次吧。,14,0,5,190146494,1,1,0,0,1,0,0,1,0,,0,0,0
20023,0,4,1,Card_02_02.png,3,成功組合,嘗試後成功組合5次吧。,14,0,5,190148475,50,1,0,0,1,0,0,1,0,,0,0,0
20024,0,4,1,Card_02_02.png,3,成功組合,嘗試後成功組合5次吧。,14,0,5,170171241,20,1,0,0,1,0,0,1,0,,0,0,0
20025,0,4,1,Card_02_02.png,3,成功組合,嘗試後成功組合5次吧。,14,0,5,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20201,0,4,2,Card_02_01.png,2,消滅普通怪物,消滅800隻普通怪物吧。,1,1,800,190147983,150,1,0,0,1,0,0,1,0,,0,0,0
20202,0,4,2,Card_02_01.png,2,消滅普通怪物,消滅800隻普通怪物吧。,1,1,800,190146494,2,1,0,0,1,0,0,1,0,,0,0,0
20203,0,4,2,Card_02_01.png,2,消滅普通怪物,消滅800隻普通怪物吧。,1,1,800,190148475,75,1,0,0,1,0,0,1,0,,0,0,0
20204,0,4,2,Card_02_01.png,2,消滅普通怪物,消滅800隻普通怪物吧。,1,1,800,170171241,30,1,0,0,1,0,0,1,0,,0,0,0
20205,0,4,2,Card_02_01.png,2,消滅普通怪物,消滅800隻普通怪物吧。,1,1,800,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20206,0,4,2,Card_02_01.png,2,消滅普通怪物,消滅800隻普通怪物吧。,1,1,800,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20207,0,4,2,Card_02_01.png,2,消滅BOSS怪物,消滅2隻BOSS怪物吧。,1,2,2,190147983,150,1,0,0,1,0,0,1,0,,0,0,0
20208,0,4,2,Card_02_01.png,2,消滅BOSS怪物,消滅2隻BOSS怪物吧。,1,2,2,190146494,2,1,0,0,1,0,0,1,0,,0,0,0
20209,0,4,2,Card_02_01.png,2,消滅BOSS怪物,消滅2隻BOSS怪物吧。,1,2,2,190148475,75,1,0,0,1,0,0,1,0,,0,0,0
20210,0,4,2,Card_02_01.png,2,消滅BOSS怪物,消滅2隻BOSS怪物吧。,1,2,2,170171241,30,1,0,0,1,0,0,1,0,,0,0,0
20211,0,4,2,Card_02_01.png,2,消滅BOSS怪物,消滅2隻BOSS怪物吧。,1,2,2,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20212,0,4,2,Card_02_01.png,2,消滅BOSS怪物,消滅2隻BOSS怪物吧。,1,2,2,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20213,0,4,2,Card_02_01.png,5,完成一般任務,完成8次一般任務吧。,4,0,8,190147983,150,1,0,0,1,0,0,1,0,,0,0,0
20214,0,4,2,Card_02_01.png,5,完成一般任務,完成8次一般任務吧。,4,0,8,190146494,2,1,0,0,1,0,0,1,0,,0,0,0
20215,0,4,2,Card_02_01.png,5,完成一般任務,完成8次一般任務吧。,4,0,8,190148475,75,1,0,0,1,0,0,1,0,,0,0,0
20216,0,4,2,Card_02_01.png,5,完成一般任務,完成8次一般任務吧。,4,0,8,170171241,30,1,0,0,1,0,0,1,0,,0,0,0
20217,0,4,2,Card_02_01.png,5,完成一般任務,完成8次一般任務吧。,4,0,8,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20218,0,4,2,Card_02_01.png,5,完成一般任務,完成8次一般任務吧。,4,0,8,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20219,0,4,2,Card_02_01.png,9,休息 - 8分鐘,遊戲登入時間達8分鐘後再完成任務吧。,8,1,8,190147983,150,1,0,0,1,0,0,1,0,,0,0,0
20220,0,4,2,Card_02_01.png,9,休息 - 8分鐘,遊戲登入時間達8分鐘後再完成任務吧。,8,1,8,190146494,2,1,0,0,1,0,0,1,0,,0,0,0
20221,0,4,2,Card_02_01.png,9,休息 - 8分鐘,遊戲登入時間達8分鐘後再完成任務吧。,8,1,8,190148475,75,1,0,0,1,0,0,1,0,,0,0,0
20222,0,4,2,Card_02_01.png,9,休息 - 8分鐘,遊戲登入時間達8分鐘後再完成任務吧。,8,1,8,170171241,30,1,0,0,1,0,0,1,0,,0,0,0
20223,0,4,2,Card_02_01.png,9,休息 - 8分鐘,遊戲登入時間達8分鐘後再完成任務吧。,8,1,8,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20224,0,4,2,Card_02_01.png,9,休息 - 8分鐘,遊戲登入時間達8分鐘後再完成任務吧。,8,1,8,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20225,0,4,2,Card_02_02.png,3,成功組合,嘗試後成功組合8次吧。,14,0,8,190147983,150,1,0,0,1,0,0,1,0,,0,0,0
20226,0,4,2,Card_02_02.png,3,成功組合,嘗試後成功組合8次吧。,14,0,8,190146494,2,1,0,0,1,0,0,1,0,,0,0,0
20227,0,4,2,Card_02_02.png,3,成功組合,嘗試後成功組合8次吧。,14,0,8,190148475,75,1,0,0,1,0,0,1,0,,0,0,0
20228,0,4,2,Card_02_02.png,3,成功組合,嘗試後成功組合8次吧。,14,0,8,170171241,30,1,0,0,1,0,0,1,0,,0,0,0
20229,0,4,2,Card_02_02.png,3,成功組合,嘗試後成功組合8次吧。,14,0,8,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20230,0,4,2,Card_02_02.png,3,成功組合,嘗試後成功組合8次吧。,14,0,8,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20301,0,4,3,Card_02_01.png,2,消滅普通怪物,消滅1000隻普通怪物吧。,1,1,1000,190147983,200,1,0,0,1,0,0,1,0,,0,0,0
20302,0,4,3,Card_02_01.png,2,消滅普通怪物,消滅1000隻普通怪物吧。,1,1,1000,190146494,3,1,0,0,1,0,0,1,0,,0,0,0
20303,0,4,3,Card_02_01.png,2,消滅普通怪物,消滅1000隻普通怪物吧。,1,1,1000,190148475,100,1,0,0,1,0,0,1,0,,0,0,0
20304,0,4,3,Card_02_01.png,2,消滅普通怪物,消滅1000隻普通怪物吧。,1,1,1000,170171241,40,1,0,0,1,0,0,1,0,,0,0,0
20305,0,4,3,Card_02_01.png,2,消滅普通怪物,消滅1000隻普通怪物吧。,1,1,1000,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20306,0,4,3,Card_02_01.png,2,消滅普通怪物,消滅1000隻普通怪物吧。,1,1,1000,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20307,0,4,3,Card_02_01.png,2,消滅BOSS怪物,消滅3隻BOSS怪物吧。,1,2,3,190147983,200,1,0,0,1,0,0,1,0,,0,0,0
20308,0,4,3,Card_02_01.png,2,消滅BOSS怪物,消滅3隻BOSS怪物吧。,1,2,3,190146494,3,1,0,0,1,0,0,1,0,,0,0,0
20309,0,4,3,Card_02_01.png,2,消滅BOSS怪物,消滅3隻BOSS怪物吧。,1,2,3,190148475,100,1,0,0,1,0,0,1,0,,0,0,0
20310,0,4,3,Card_02_01.png,2,消滅BOSS怪物,消滅3隻BOSS怪物吧。,1,2,3,170171241,40,1,0,0,1,0,0,1,0,,0,0,0
20311,0,4,3,Card_02_01.png,2,消滅BOSS怪物,消滅3隻BOSS怪物吧。,1,2,3,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20312,0,4,3,Card_02_01.png,2,消滅BOSS怪物,消滅3隻BOSS怪物吧。,1,2,3,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20313,0,4,3,Card_02_01.png,5,完成一般任務,完成10次一般任務吧。,4,0,10,190147983,200,1,0,0,1,0,0,1,0,,0,0,0
20314,0,4,3,Card_02_01.png,5,完成一般任務,完成10次一般任務吧。,4,0,10,190146494,3,1,0,0,1,0,0,1,0,,0,0,0
20315,0,4,3,Card_02_01.png,5,完成一般任務,完成10次一般任務吧。,4,0,10,190148475,100,1,0,0,1,0,0,1,0,,0,0,0
20316,0,4,3,Card_02_01.png,5,完成一般任務,完成10次一般任務吧。,4,0,10,170171241,40,1,0,0,1,0,0,1,0,,0,0,0
20317,0,4,3,Card_02_01.png,5,完成一般任務,完成10次一般任務吧。,4,0,10,170193811,1,1,0,0,1,0,0,1,0,,0,0,0
20318,0,4,3,Card_02_01.png,5,完成一般任務,完成10次一般任務吧。,4,0,10,180202202,1,1,0,0,1,0,0,1,0,,0,0,0
20319,0,4,3,Card_02_01.png,9,休息 - 10分鐘,遊戲登入時間達10分鐘後再完成任務吧。,8,1,10,190147983,200,1,0,0,1,0,0,1,0,,0,0,0
20320,0,4,3,Card_02_01.png,9,休息 - 10分鐘,遊戲登入時間達10分鐘後再完成任務吧。,8,1,10,190146494,3,1,0,0,1,0,0,1,0,,0,0,0
