ID,_Name,_Description,_MaxLv,_Up_Mastery_Point,_Icon,_IconIndex,_StatusEffect1,_StatusEffectType1,_StatusEffect1_Value1,_StatusEffect1_Value2,_StatusEffect2,_StatusEffectType2,_StatusEffect2_Value1,_StatusEffect2_Value2
205,體力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,10,1,10003040,82,3,26,0,100,0,0,0,0
206,力量/魔力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
207,BOSS額外傷害III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加BOSS怪物額外傷害。\n\n※效果※\n每等級增加1000,20,1,10003041,126,3,570,0,1000,0,0,0,0
208,體力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
209,最小傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最小傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,29,3,462,0,2,0,0,0,0
210,最大傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最大傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,41,3,461,0,2,0,0,0,0
211,力量/魔力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
212,體力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
213,力量/魔力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加1%,1,1,10003040,111,3,595,0,1,0,0,0,0
214,BOSS怪物支配力,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加BOSS怪物支配力。\n\n※效果※\n每等級增加0.5%,3,1,10003045,25,3,574,0,5,0,0,0,0
215,體力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加1%,1,1,10003040,47,3,27,0,1,0,0,0,0
301,爆擊傷害I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加爆擊傷害。\n\n※效果※\n每等級增加1%,10,1,10003041,20,3,464,0,1,0,0,0,0
302,爆擊傷害II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加爆擊傷害。\n\n※效果※\n每等級增加1%,20,1,10003041,20,3,464,0,1,0,0,0,0
303,訓練清單,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 星願羽翼的訓練清單增加1個。\n\n※效果※\n星願羽翼訓練清單增加1個\n更新訓練清單後套用效果,1,5,10003045,41,2,20002,1,0,0,0,0,0
304,力量/魔力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,10,1,10003040,43,3,594,0,100,0,0,0,0
305,體力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,10,1,10003040,82,3,26,0,100,0,0,0,0
306,力量/魔力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
307,爆擊傷害III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加爆擊傷害。\n\n※效果※\n每等級增加1%,20,1,10003041,20,3,464,0,1,0,0,0,0
308,體力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
309,最小傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最小傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,29,3,462,0,2,0,0,0,0
310,最大傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最大傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,41,3,461,0,2,0,0,0,0
311,力量/魔力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
312,體力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
313,力量/魔力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加1%,1,1,10003040,111,3,595,0,1,0,0,0,0
314,爆擊傷害V,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加爆擊傷害。\n\n※效果※\n每等級增加10%,3,1,10003041,20,3,464,0,10,0,0,0,0
315,體力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加1%,1,1,10003040,47,3,27,0,1,0,0,0,0
316,爆擊傷害IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加爆擊傷害。\n\n※效果※\n每等級增加1%,20,1,10003041,20,3,464,0,1,0,0,0,0
401,固定傷害I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加固定傷害。\n\n※效果※\n每等級增加150,10,1,10003040,73,3,496,0,150,0,0,0,0
402,固定傷害II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加固定傷害。\n\n※效果※\n每等級增加150,20,1,10003040,73,3,496,0,150,0,0,0,0
403,訓練清單,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 貝雅蒂彩的訓練清單增加1個。\n\n※效果※\n貝雅蒂彩訓練清單增加1個\n更新訓練清單後套用效果,1,5,10003045,41,2,20002,1,0,0,0,0,0
404,力量/魔力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,10,1,10003040,43,3,594,0,100,0,0,0,0
405,體力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,10,1,10003040,82,3,26,0,100,0,0,0,0
406,力量/魔力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
407,固定傷害III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加固定傷害。\n\n※效果※\n每等級增加500,20,1,10003040,73,3,496,0,500,0,0,0,0
408,體力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
409,最小傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最小傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,29,3,462,0,2,0,0,0,0
410,最大傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最大傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,41,3,461,0,2,0,0,0,0
411,力量/魔力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
412,體力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
413,力量/魔力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加1%,1,1,10003040,111,3,595,0,1,0,0,0,0
414,固定傷害IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加固定傷害。\n\n※效果※\n每等級增加1%,3,1,10003040,77,3,588,0,1,0,0,0,0
415,體力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加1%,1,1,10003040,47,3,27,0,1,0,0,0,0
501,彩虹幣獲得量I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加彩虹幣獲得量。\n\n※效果※\n每等級增加1%,10,1,10003045,42,3,128,0,1,0,0,0,0
502,彩虹幣獲得量II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加彩虹幣獲得量。\n\n※效果※\n每等級增加1%,20,1,10003045,42,3,128,0,1,0,0,0,0
503,訓練清單,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 富翁耶比的訓練清單增加1個。\n\n※效果※\n富翁耶比訓練清單增加1個\n更新訓練清單後套用效果,1,5,10003045,41,2,20002,1,0,0,0,0,0
504,力量/魔力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,10,1,10003040,43,3,594,0,100,0,0,0,0
505,體力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,10,1,10003040,82,3,26,0,100,0,0,0,0
506,力量/魔力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
507,彩虹幣獲得量III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加彩虹幣獲得量。\n\n※效果※\n每等級增加1%,20,1,10003045,42,3,128,0,1,0,0,0,0
508,體力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
509,最小傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最小傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,29,3,462,0,2,0,0,0,0
510,最大傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最大傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,41,3,461,0,2,0,0,0,0
511,力量/魔力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
512,體力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
513,力量/魔力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加1%,1,1,10003040,111,3,595,0,1,0,0,0,0
514,道具掉落,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加道具掉落率。\n\n※效果※\n每等級增加5%,3,1,10003045,29,3,132,0,5,0,0,0,0
515,體力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加1%,1,1,10003040,47,3,27,0,1,0,0,0,0
601,HP上限I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加HP上限。\n\n※效果※\n每等級增加300,10,1,10003040,66,3,30,0,300,0,0,0,0
602,HP上限II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加HP上限。\n\n※效果※\n每等級增加300,20,1,10003040,66,3,30,0,300,0,0,0,0
603,訓練清單,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 悠尼亞的訓練清單增加1個。\n\n※效果※\n悠尼亞訓練清單增加1個\n更新訓練清單後套用效果,1,5,10003045,41,2,20002,1,0,0,0,0,0
604,力量/魔力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,10,1,10003040,43,3,594,0,100,0,0,0,0
605,體力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,10,1,10003040,82,3,26,0,100,0,0,0,0
606,力量/魔力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
607,HP上限III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加HP上限。\n\n※效果※\n每等級增加1000,20,1,10003040,66,3,30,0,1000,0,0,0,0
608,體力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
609,最小傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最小傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,29,3,462,0,2,0,0,0,0
610,最大傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最大傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,41,3,461,0,2,0,0,0,0
611,力量/魔力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
612,體力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
613,力量/魔力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加1%,1,1,10003040,111,3,595,0,1,0,0,0,0
614,HP上限IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加HP上限。\n\n※效果※\n每等級增加1%,3,1,10003041,24,3,31,0,1,0,0,0,0
615,體力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加1%,1,1,10003040,47,3,27,0,1,0,0,0,0
701,經驗值獲得量I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加經驗值獲得量。\n\n※效果※\n每等級增加1%,15,1,10003041,255,3,124,0,1,0,0,0,0
702,經驗值獲得量II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加經驗值獲得量。\n\n※效果※\n每等級增加1%,25,1,10003041,255,3,124,0,1,0,0,0,0
703,訓練清單,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 艾莉兒的訓練清單增加1個。\n\n※效果※\n艾莉兒訓練清單增加1個\n更新訓練清單後套用效果,1,5,10003045,41,2,20002,1,0,0,0,0,0
704,力量/魔力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,10,1,10003040,43,3,594,0,100,0,0,0,0
705,體力I,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,10,1,10003040,82,3,26,0,100,0,0,0,0
706,力量/魔力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
707,經驗值獲得量III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加經驗值獲得量。\n\n※效果※\n每等級增加3%,20,1,10003041,255,3,124,0,3,0,0,0,0
708,體力II,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
709,最小傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最小傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,29,3,462,0,2,0,0,0,0
710,最大傷害,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加最大傷害。\n\n※效果※\n每等級增加2%,5,1,10003041,41,3,461,0,2,0,0,0,0
711,力量/魔力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加100,20,1,10003040,43,3,594,0,100,0,0,0,0
712,體力III,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加100,20,1,10003040,82,3,26,0,100,0,0,0,0
713,力量/魔力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加力量/魔力。\n\n※效果※\n每等級增加1%,1,1,10003040,111,3,595,0,1,0,0,0,0
714,任務獎勵,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加任務獎勵數量。\n\n※效果※\n每等級增加5%,3,1,10003045,10,3,488,0,5,0,0,0,0
715,體力IV,[被動效果]\n※無論是否召喚皆套用效果\n\n[特性] 增加體力。\n\n※效果※\n每等級增加1%,1,1,10003040,47,3,27,0,1,0,0,0,0
10101,移動速度I,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10102,召喚獸經驗值I,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10103,強化召喚獸I,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加1%,5,1,10003042,84,2,20001,1,0,0,0,0,0
10104,召喚時間I,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,1,10003043,127,2,20003,60,0,0,0,0,0
10105,閃電衝擊[精通],[特性] 強化閃電衝擊的效果。\n\n※效果※\n增加連擊次數,1,5,10003043,254,2,20004,1101,0,0,0,0,0
10106,閃電衝擊[技能冷卻時間],[特性] 減少閃電衝擊技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1101,20,0,0,0,0
10107,未使用1,未使用,1,1,10003043,116,0,0,0,0,0,0,0,0
10108,移動速度II,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10109,召喚獸經驗值II,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10110,極限風暴[精通],[特性] 強化極限風暴的效果。\n\n※效果※\n增加連擊次數,1,5,10003043,255,2,20004,1102,0,0,0,0,0
10111,極限風暴[技能冷卻時間],[特性] 減少極限風暴技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1102,25,0,0,0,0
10121,未使用2,未使用,1,1,10003043,62,0,0,0,0,0,0,0,0
10112,強化召喚獸II,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加2%,5,2,10003042,84,2,20001,2,0,0,0,0,0
10113,岩漿噴發[精通],[特性] 強化岩漿噴發的效果。\n\n※效果※\n增加連擊次數,1,5,10003043,256,2,20004,1103,0,0,0,0,0
10114,岩漿噴發[技能冷卻時間],[特性] 減少岩漿噴發技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1103,30,0,0,0,0
10115,召喚時間II,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,2,10003043,127,2,20003,60,0,0,0,0,0
10116,暗黑龍捲風[精通],[特性] 強化暗黑龍捲風的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,1,2,20004,1104,0,0,0,0,0
10117,暗黑龍捲風[技能冷卻時間],[特性] 減少暗黑龍捲風技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1104,40,0,0,0,0
10118,冰凌[精通],[特性] 強化冰凌的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,2,2,20004,1105,0,0,0,0,0
10119,冰凌[技能冷卻時間],[特性] 減少冰凌技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1105,60,0,0,0,0
10120,冰凌[束縛],[特性] 冰凌技能增加特殊效果。\n\n※效果※\n受到攻擊的敵人1.5秒內處於束縛狀態,1,5,10003043,152,2,20006,2,0,0,0,0,0
10201,移動速度I,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10202,召喚獸經驗值I,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10203,強化召喚獸I,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加1%,5,1,10003042,84,2,20001,1,0,0,0,0,0
10204,召喚時間I,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,1,10003043,127,2,20003,60,0,0,0,0,0
10205,Main[精通],[特性] 強化Main的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,3,2,20004,1201,0,0,0,0,0
10206,Main[技能冷卻時間],[特性] 減少Main技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1201,20,0,0,0,0
10207,移動速度II,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10208,召喚獸經驗值II,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10209,Attack[精通],[特性] 強化Attack的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,4,2,20004,1202,0,0,0,0,0
10210,Attack[技能冷卻時間],[特性] 減少Attack技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1202,25,0,0,0,0
10211,強化召喚獸II,[特性] 增加召喚獸技能傷害。\n\n※效果※\n每等級增加2%,5,2,10003042,84,2,20001,2,0,0,0,0,0
10212,Remove[精通],[特性] 強化Remove的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,5,2,20004,1203,0,0,0,0,0
10213,Remove[技能冷卻時間],[特性] 減少Remove技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1203,30,0,0,0,0
10214,召喚時間II,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,2,10003043,127,2,20003,60,0,0,0,0,0
10215,Invade[精通],[特性] 強化Invade的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,6,2,20004,1204,0,0,0,0,0
10216,Invade[技能冷卻時間],[特性] 減少Invade技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1204,40,0,0,0,0
10217,Nuclear[精通],[特性] 強化Nuclear的效果。\n\n※效果※\n增加連擊次數,1,5,10003046,7,2,20004,1205,0,0,0,0,0
10218,Nuclear[技能冷卻時間],[特性] 減少Nuclear技能冷卻時間。\n\n※效果※\n技能冷卻時間減少10%,1,1,10003042,125,2,20005,1205,60,0,0,0,0
10219,Nuclear[暈眩],[特性] Nuclear技能增加特殊效果。\n\n※效果※\n受到攻擊的敵人1.5秒內處於暈眩狀態,1,5,10003043,116,2,20006,4,0,0,0,0,0
10301,移動速度I,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10302,召喚獸經驗值I,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10303,召喚獸經驗值II,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10304,召喚時間I,[特性] 增加召喚獸維持時間。\n\n※效果※\n每等級增加60秒,5,1,10003043,127,2,20003,60,0,0,0,0,0
10305,瘋狂藥水[技能冷卻時間],[特性] 減少瘋狂藥水技能冷卻時間。\n\n※效果※\n每等級減少1秒,5,2,10003042,125,2,20005,1301,10,0,0,0,0
10306,移動速度II,[特性] 召喚後增加移動速度。\n\n※效果※\n每等級增加5,5,1,10003042,64,3,106,0,5,0,0,0,0
10307,召喚獸經驗值III,[特性] 召喚後增加召喚獸的經驗值獲得量。\n\n※效果※\n每等級增加1%,5,1,10003043,153,3,632,0,1,0,0,0,0
10308,目標數I,[特性] 召喚後增加角色的技能目標數。\n\n※效果※\n角色技能目標數增加1,1,5,10003042,70,3,614,1,0,0,0,0,0
